Fecha;NO;NO2;O3;PM10;PM25
01/01/2015;57;41;8;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
02/01/2015;94;48;3;52;38
03/01/2015;77;53;4;54;39
04/01/2015;14;29;11;34;25
05/01/2015;82;45;5;40;29
06/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;8;41;28
07/01/2015;;;11;34;22
08/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;13;15;10
09/01/2015;76;40;2;38;27
10/01/2015;46;26;2;36;22
11/01/2015;20;30;7;24;17
12/01/2015;51;35;5;31;22
13/01/2015;47;36;11;33;25
14/01/2015;22;40;20;20;14
15/01/2015;10;24;35;11;6
16/01/2015;4;17;52;8;2
17/01/2015;11;31;28;18;11
18/01/2015;5;22;36;9;5
19/01/2015;7;24;42;10;4
20/01/2015;20;37;23;15;11
21/01/2015;9;27;39;7;4
22/01/2015;7;24;44;9;3
23/01/2015;45;47;17;25;15
24/01/2015;30;45;15;30;19
25/01/2015;23;32;24;30;19
26/01/2015;31;47;20;36;22
27/01/2015;55;52;11;38;24
28/01/2015;46;43;11;44;30
29/01/2015;4;16;37;12;8
30/01/2015;3;7;50;4;2
31/01/2015;2;6;68;5;2
01/02/2015;2;6;63;7;3
02/02/2015;7;20;44;7;4
03/02/2015;6;17;54;5;2
04/02/2015;4;14;60;8;2
05/02/2015;5;17;54;11;5
06/02/2015;5;19;50;9;4
07/02/2015;4;18;35;15;10
08/02/2015;3;14;51;19;17
09/02/2015;5;30;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;18;9
10/02/2015;37;54;;34;21
11/02/2015;20;45;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;33;18
12/02/2015;18;41;23;26;15
13/02/2015;8;34;36;19;12
14/02/2015;3;16;60;11;5
15/02/2015;2;8;55;5;1
16/02/2015;4;20;41;7;3
17/02/2015;2;12;58;10;5
18/02/2015;3;25;43;16;10
19/02/2015;28;46;22;28;18
20/02/2015;17;37;24;26;17
21/02/2015;2;12;57;7;3
22/02/2015;2;9;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;6;1
23/02/2015;4;13;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;7;3
24/02/2015;3;13;57;7;4
25/02/2015;3;11;56;10;3
26/02/2015;7;15;40;8;5
27/02/2015;5;18;51;9;4
28/02/2015;5;19;39;11;7
01/03/2015;2;9;49;7;3
02/03/2015;4;14;41;6;3
03/03/2015;10;21;29;10;5
04/03/2015;2;13;57;7;4
05/03/2015;3;19;55;14;5
06/03/2015;40;45;31;33;17
07/03/2015;19;42;23;33;19
08/03/2015;5;25;43;23;16
09/03/2015;21;48;36;32;21
10/03/2015;28;48;26;39;24
11/03/2015;34;49;26;41;26
12/03/2015;23;28;32;55;29
13/03/2015;3;17;57;23;11
14/03/2015;3;14;59;16;11
15/03/2015;2;16;56;25;17
16/03/2015;11;31;41;37;26
17/03/2015;8;39;32;36;25
18/03/2015;3;18;56;17;13
19/03/2015;2;18;57;12;7
20/03/2015;2;22;44;27;23
21/03/2015;2;15;50;13;9
22/03/2015;1;7;61;12;8
23/03/2015;3;19;42;9;5
24/03/2015;2;21;46;8;4
25/03/2015;4;19;53;9;3
26/03/2015;7;24;33;10;6
27/03/2015;8;18;36;8;4
28/03/2015;8;19;33;16;10
29/03/2015;3;14;50;9;6
30/03/2015;7;21;51;11;6
31/03/2015;9;22;54;12;8
01/04/2015;4;19;57;17;6
02/04/2015;3;15;59;16;6
03/04/2015;3;16;43;12;4
04/04/2015;1;7;64;10;3
05/04/2015;1;8;62;9;4
06/04/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;56;19;7
07/04/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;60;18;8
08/04/2015;3;22;70;23;8
09/04/2015;7;35;40;28;11
10/04/2015;5;29;44;13;5
11/04/2015;2;21;50;14;5
12/04/2015;2;15;59;28;9
13/04/2015;5;26;62;45;12
14/04/2015;5;30;53;50;13
15/04/2015;2;20;60;38;9
16/04/2015;3;20;56;18;6
17/04/2015;4;27;55;25;7
18/04/2015;2;15;64;11;3
19/04/2015;1;15;66;7;2
20/04/2015;8;26;52;15;6
21/04/2015;5;27;51;19;6
22/04/2015;8;26;36;22;9
23/04/2015;6;27;41;20;9
24/04/2015;5;20;54;18;7
25/04/2015;1;13;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;8;2
26/04/2015;1;9;;6;2
27/04/2015;2;15;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;5;2
28/04/2015;2;10;64;8;3
29/04/2015;2;15;61;11;4
30/04/2015;4;17;52;12;4
01/05/2015;2;10;43;8;2
02/05/2015;2;12;35;10;2
03/05/2015;2;13;42;22;6
04/05/2015;8;17;45;22;7
05/05/2015;2;10;80;9;2
06/05/2015;2;15;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;11;4
07/05/2015;8;26;;17;5
08/05/2015;2;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;13;4
09/05/2015;2;19;63;15;5
10/05/2015;1;22;62;23;9
11/05/2015;6;31;58;29;10
12/05/2015;6;33;64;28;9
13/05/2015;2;19;68;37;14
14/05/2015;2;12;80;16;5
15/05/2015;2;6;72;13;4
16/05/2015;2;9;64;12;5
17/05/2015;1;9;63;11;2
18/05/2015;6;25;58;20;6
19/05/2015;1;9;69;13;3
20/05/2015;3;15;68;13;4
21/05/2015;2;15;69;13;4
22/05/2015;2;15;74;16;5
23/05/2015;1;9;73;16;4
24/05/2015;1;8;58;11;3
25/05/2015;2;11;60;16;5
26/05/2015;2;14;61;10;2
27/05/2015;2;12;80;15;4
28/05/2015;3;20;75;25;9
29/05/2015;2;15;78;26;9
30/05/2015;2;13;73;16;5
31/05/2015;1;7;68;14;4
01/06/2015;3;14;59;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
02/06/2015;4;21;63;;
03/06/2015;3;28;66;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
04/06/2015;3;23;74;25;9
05/06/2015;3;17;83;19;8
06/06/2015;2;13;76;16;9
07/06/2015;2;15;77;18;10
08/06/2015;2;14;90;21;11
09/06/2015;1;13;91;19;10
10/06/2015;2;15;66;12;6
11/06/2015;5;27;59;14;4
12/06/2015;3;17;82;16;4
13/06/2015;1;11;84;13;5
14/06/2015;1;10;68;8;2
15/06/2015;3;15;54;10;5
16/06/2015;3;13;72;13;6
17/06/2015;2;13;76;15;9
18/06/2015;2;16;79;16;9
19/06/2015;3;14;51;14;6
20/06/2015;1;11;70;11;5
21/06/2015;2;17;77;15;7
22/06/2015;5;27;72;22;11
23/06/2015;2;14;81;18;10
24/06/2015;4;19;71;17;9
25/06/2015;4;30;69;20;9
26/06/2015;5;26;78;25;13
27/06/2015;2;23;84;22;12
28/06/2015;2;19;69;22;8
29/06/2015;5;34;72;29;14
30/06/2015;4;28;88;35;14
01/07/2015;3;18;82;28;10
02/07/2015;2;13;72;15;4
03/07/2015;3;21;75;23;10
04/07/2015;2;21;88;18;6
05/07/2015;2;14;61;26;8
06/07/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;66;29;10
07/07/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;81;22;8
08/07/2015;8;19;60;20;9
09/07/2015;7;24;78;21;7
10/07/2015;10;35;77;31;14
11/07/2015;7;15;80;20;8
12/07/2015;7;21;70;21;10
13/07/2015;8;23;85;22;9
14/07/2015;8;25;98;25;10
15/07/2015;10;39;74;34;12
16/07/2015;9;34;79;32;11
17/07/2015;12;43;57;38;15
18/07/2015;7;19;82;15;5
19/07/2015;7;13;69;10;4
20/07/2015;8;25;68;21;8
21/07/2015;8;25;74;25;9
22/07/2015;8;21;66;16;5
23/07/2015;9;21;65;13;3
24/07/2015;8;17;61;15;4
25/07/2015;7;14;77;13;3
26/07/2015;8;18;61;19;7
27/07/2015;8;18;61;13;3
28/07/2015;9;20;61;16;5
29/07/2015;9;19;51;14;4
30/07/2015;7;17;54;14;3
31/07/2015;8;19;57;15;5
01/08/2015;7;20;82;10;4
02/08/2015;7;29;82;18;5
03/08/2015;9;30;80;24;8
04/08/2015;8;30;68;20;7
05/08/2015;10;37;68;23;6
06/08/2015;11;36;63;22;5
07/08/2015;7;17;67;17;6
08/08/2015;7;11;69;8;2
09/08/2015;7;13;76;10;3
10/08/2015;10;33;56;30;7
11/08/2015;10;31;72;47;17
12/08/2015;9;23;65;31;15
13/08/2015;7;12;64;8;2
14/08/2015;8;13;59;6;2
15/08/2015;7;13;56;8;2
16/08/2015;7;16;50;11;2
17/08/2015;8;18;56;15;4
18/08/2015;8;16;63;13;4
19/08/2015;8;23;65;17;4
20/08/2015;10;37;58;25;8
21/08/2015;10;35;67;29;11
22/08/2015;7;17;85;19;8
23/08/2015;7;10;59;10;4
24/08/2015;8;15;58;9;2
25/08/2015;13;33;50;18;4
26/08/2015;10;29;50;15;5
27/08/2015;9;18;46;10;2
01/09/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
02/09/2015;9;26;51;18;6
03/09/2015;7;22;61;12;4
04/09/2015;8;20;61;10;3
05/09/2015;8;21;59;11;4
06/09/2015;8;18;64;13;6
07/09/2015;8;24;63;15;5
08/09/2015;20;43;52;26;12
09/09/2015;14;39;50;29;12
10/09/2015;12;33;54;14;4
11/09/2015;19;49;42;28;13
12/09/2015;11;34;50;28;10
13/09/2015;8;16;59;10;3
14/09/2015;9;19;53;10;2
15/09/2015;11;25;40;12;2
16/09/2015;8;15;51;8;2
17/09/2015;12;33;42;8;2
18/09/2015;19;36;37;12;5
19/09/2015;9;28;49;16;8
20/09/2015;16;40;39;18;9
21/09/2015;19;40;48;15;6
22/09/2015;15;31;52;16;6
23/09/2015;21;36;36;19;7
24/09/2015;17;40;27;23;8
25/09/2015;32;55;25;29;11
26/09/2015;13;36;46;26;12
27/09/2015;8;18;57;13;6
28/09/2015;11;28;48;18;7
29/09/2015;12;26;53;23;8
30/09/2015;15;37;43;22;12
01/10/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;55;15;8
02/10/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;57;18;10
03/10/2015;12;37;41;23;14
04/10/2015;2;15;33;21;10
05/10/2015;2;10;55;22;7
06/10/2015;2;12;54;7;2
07/10/2015;8;25;41;11;6
08/10/2015;4;18;43;13;6
09/10/2015;17;40;25;19;10
10/10/2015;10;29;36;22;12
11/10/2015;2;13;37;10;8
12/10/2015;2;10;30;8;4
13/10/2015;3;17;50;15;10
14/10/2015;4;22;44;16;12
15/10/2015;13;36;35;18;11
16/10/2015;15;39;20;23;15
17/10/2015;7;28;27;18;11
18/10/2015;6;23;24;10;5
19/10/2015;5;21;25;10;4
20/10/2015;1;8;55;10;5
21/10/2015;3;15;53;12;8
22/10/2015;11;29;32;18;11
23/10/2015;46;51;15;28;20
24/10/2015;12;35;19;17;11
25/10/2015;1;17;44;16;11
26/10/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;24;12;8
27/10/2015;;;46;8;3
28/10/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;48;7;3
29/10/2015;9;28;34;13;3
30/10/2015;26;29;21;12;7
31/10/2015;7;27;37;17;11
01/11/2015;1;8;48;12;6
02/11/2015;1;9;61;6;4
03/11/2015;4;25;39;8;3
