Fecha;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;8;60;31;81;18;5;286;80;1009.7;6.4;116.5;17.9;1.09
30/09/2015;9;62;52;55;;5;113;75;1007;1.3;131.6;19.2;0.97
29/09/2015;12;72;50;62;;5;230;85;1007.8;0;133.5;16.7;0.19
28/09/2015;8;81;43;73;18;5;187;83;1012.3;0;173;17.4;0.15
27/09/2015;9;54;37;67;13;5;260;84;1012;0;132.8;16.8;0.54
26/09/2015;9;55;38;63;14;5;241;85;1009.5;0.1;155.7;17.6;0.21
25/09/2015;12;63;47;57;14;5;188;81;1010.6;0;150.2;17.4;0.22
24/09/2015;9;61;42;58;11;5;136;77;1011.3;0;159.9;17.4;0.3
23/09/2015;5;57;24;62;9;5;274;85;1008.6;6.7;92.2;16.5;0.74
22/09/2015;5;47;21;66;10;5;275;86;1006.2;23.2;97.8;16.6;1.91
21/09/2015;9;50;38;78;11;5;240;82;1008.3;0;153.6;17.1;0.36
20/09/2015;6;69;29;68;9;5;174;79;1012.9;0;196.2;17.3;0.14
19/09/2015;5;61;26;74;10;5;267;78;1015.4;0;197.7;17.4;0.1
18/09/2015;9;75;38;76;11;5;252;75;1011.6;0;189.7;16.6;0.36
17/09/2015;6;66;39;68;10;5;241;74;1001.7;0.9;66.9;16.6;1.3
16/09/2015;5;22;17;69;12;5;184;58;986.3;0.1;173.3;23.2;1.79
15/09/2015;20;67;58;63;13;5;159;68;993.1;1.2;64.3;18.8;1.86
14/09/2015;5;48;26;68;12;3;271;77;1002.7;4.4;103.5;17.2;1.31
13/09/2015;10;47;42;52;12;4;231;72;996.6;0.8;70.6;20.6;0.97
12/09/2015;4;38;27;73;13;3;230;88;1001.8;0.5;28.8;19.8;0.25
11/09/2015;12;51;42;80;16;4;286;82;1002.6;0;200.5;20.2;0.56
10/09/2015;10;74;55;80;16;4;237;85;1005.6;6.1;53.5;19.3;0.49
09/09/2015;10;58;41;84;19;4;245;76;1003.9;0;175.1;20.4;0.29
08/09/2015;9;67;43;75;15;5;267;75;1008;0;213.7;17.6;0.26
07/09/2015;10;62;42;70;11;5;266;74;1012.9;0;215.6;17.3;0.4
06/09/2015;10;77;36;78;10;5;276;75;1013.6;0;221.6;17.3;0.23
05/09/2015;5;49;26;68;8;4;282;70;1012.1;0;132.6;17.7;0.46
04/09/2015;5;45;26;68;9;3;357;70;1009;0;130.7;17.9;0.1
03/09/2015;6;63;33;75;10;3;258;82;1007.5;0.3;97.8;18.2;0.55
02/09/2015;5;37;23;80;10;3;342;76;1007.6;14.3;206.8;18.7;0.34
01/09/2015;3;48;18;69;11;3;297;80;1009.9;1.5;118.1;19.5;1.13
