Fecha;PM25;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;12;3;4;20;16;26;29
02/01/2015;12;5;29;39;20;83;14
03/01/2015;10;4;21;35;17;66;15
04/01/2015;10;3;7;24;14;35;29
05/01/2015;16;3;21;32;22;64;19
06/01/2015;22;3;7;22;25;33;24
07/01/2015;20;3;21;30;31;62;21
08/01/2015;25;3;26;34;39;74;16
09/01/2015;18;3;48;44;36;117;12
10/01/2015;11;4;24;38;21;75;15
11/01/2015;9;3;20;28;15;58;26
12/01/2015;13;4;11;30;26;46;21
13/01/2015;19;4;33;39;30;90;13
14/01/2015;16;4;26;39;33;78;15
15/01/2015;16;6;40;40;42;102;20
16/01/2015;6;3;7;27;32;37;41
17/01/2015;6;3;5;21;10;29;43
18/01/2015;8;4;3;19;12;23;40
19/01/2015;6;4;10;29;8;43;19
20/01/2015;7;5;28;36;16;79;19
21/01/2015;6;5;13;26;16;46;24
22/01/2015;4;3;6;23;14;32;38
23/01/2015;3;4;6;23;12;32;45
24/01/2015;4;4;6;23;9;32;41
25/01/2015;3;3;2;13;5;16;67
26/01/2015;10;5;24;42;27;79;22
27/01/2015;9;3;15;22;32;45;38
28/01/2015;7;4;18;34;23;62;31
29/01/2015;9;4;8;26;41;37;30
30/01/2015;5;3;2;7;46;10;52
31/01/2015;2;3;2;9;2;12;63
01/02/2015;2;4;2;9;2;11;65
02/02/2015;5;3;7;23;12;33;35
03/02/2015;2;3;3;17;15;21;53
04/02/2015;4;3;3;17;13;22;57
05/02/2015;5;3;2;11;30;14;62
06/02/2015;4;3;7;22;15;33;47
07/02/2015;13;3;12;30;20;48;14
08/02/2015;8;3;4;17;10;22;40
09/02/2015;11;3;5;27;19;34;35
10/02/2015;12;3;4;27;22;33;43
11/02/2015;15;4;5;27;21;35;42
12/02/2015;18;4;18;36;23;63;17
13/02/2015;10;4;31;37;18;84;18
14/02/2015;5;4;3;15;7;19;51
15/02/2015;2;3;3;13;3;16;48
16/02/2015;6;3;13;28;15;47;35
17/02/2015;6;3;4;23;8;28;39
18/02/2015;8;3;6;26;16;34;38
19/02/2015;17;4;7;31;24;41;37
20/02/2015;16;5;4;23;25;28;52
21/02/2015;10;4;4;16;16;21;52
22/02/2015;3;3;2;14;8;16;63
23/02/2015;5;4;6;20;20;29;35
24/02/2015;2;4;2;10;18;13;67
25/02/2015;3;3;3;14;27;19;59
26/02/2015;4;3;4;14;30;20;53
27/02/2015;5;3;4;14;38;19;61
28/02/2015;6;3;4;25;12;31;49
01/03/2015;5;3;2;13;8;16;42
02/03/2015;6;3;7;25;27;36;27
03/03/2015;10;3;8;28;19;41;28
04/03/2015;16;3;6;18;38;26;47
05/03/2015;6;4;8;24;34;36;57
06/03/2015;7;4;6;30;20;40;39
07/03/2015;11;4;9;29;21;42;41
08/03/2015;15;3;4;24;20;29;48
09/03/2015;17;3;13;37;29;58;36
10/03/2015;20;3;20;41;36;71;36
11/03/2015;30;4;27;52;47;94;21
12/03/2015;22;3;6;31;41;41;55
13/03/2015;30;3;5;31;42;39;51
14/03/2015;12;3;4;23;20;28;48
15/03/2015;7;3;2;12;11;16;66
16/03/2015;11;3;8;27;15;39;41
17/03/2015;15;3;5;19;18;26;54
18/03/2015;11;4;4;19;13;25;55
19/03/2015;15;3;2;8;19;10;76
20/03/2015;11;3;2;11;14;13;71
21/03/2015;9;4;2;11;13;13;59
24/03/2015;11;3;2;17;15;20;56
25/03/2015;1;3;2;10;4;13;69
26/03/2015;4;3;9;24;10;37;53
27/03/2015;3;3;8;17;13;29;40
28/03/2015;4;3;4;20;8;25;41
29/03/2015;6;3;3;20;9;24;39
30/03/2015;5;3;14;27;19;48;35
31/03/2015;7;4;13;37;18;56;35
01/04/2015;8;3;13;27;19;48;43
02/04/2015;9;4;11;28;16;44;40
03/04/2015;14;3;3;14;18;18;50
04/04/2015;10;3;2;12;13;15;56
05/04/2015;8;3;3;10;10;13;51
06/04/2015;5;3;2;8;8;10;69
07/04/2015;6;4;2;14;10;17;69
08/04/2015;6;4;4;19;9;24;66
09/04/2015;6;3;3;19;8;22;66
10/04/2015;8;3;2;17;11;20;62
11/04/2015;14;3;4;21;17;26;48
12/04/2015;14;3;2;12;17;14;65
13/04/2015;10;3;3;18;13;22;65
14/04/2015;11;3;5;25;19;32;49
15/04/2015;15;4;11;34;24;50;34
16/04/2015;11;3;10;24;22;39;42
17/04/2015;6;3;4;23;14;29;49
18/04/2015;11;3;4;19;13;26;54
19/04/2015;2;3;2;8;4;11;71
20/04/2015;3;3;4;17;8;23;58
21/04/2015;7;3;3;16;11;21;56
22/04/2015;9;3;6;21;12;30;51
23/04/2015;11;3;14;29;19;49;44
24/04/2015;17;3;4;20;28;26;59
25/04/2015;18;3;4;19;30;25;48
26/04/2015;6;3;2;10;19;13;59
27/04/2015;3;4;2;12;26;15;65
28/04/2015;5;3;6;18;21;27;55
29/04/2015;10;3;3;19;26;24;53
30/04/2015;15;3;5;24;25;32;52
01/05/2015;11;3;4;17;23;22;48
02/05/2015;7;4;5;21;16;29;49
03/05/2015;13;4;3;21;27;25;51
04/05/2015;18;5;5;19;30;26;71
05/05/2015;7;3;3;18;40;23;51
06/05/2015;7;4;3;17;24;20;66
07/05/2015;12;3;10;22;25;37;55
08/05/2015;12;3;6;26;45;36;45
09/05/2015;12;3;3;19;24;22;59
10/05/2015;10;3;2;15;18;17;57
11/05/2015;7;3;3;19;19;23;61
12/05/2015;10;3;7;26;28;36;54
13/05/2015;15;4;5;31;33;39;46
14/05/2015;22;6;24;35;91;71;49
15/05/2015;7;;3;13;43;17;74
16/05/2015;3;3;2;14;9;17;73
