Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;0.5;342;9.2;67;1016;114;0;7;3;0.2;2;9;8;11;43
02/01/2015;0.4;302;9.4;66;1019;119;0;10;3;0.2;5;21;13;28;28
03/01/2015;0.6;284;12.4;46;1017;123;0;7;3;0.2;3;17;13;21;34
04/01/2015;0.4;6;14.2;49;1013;121;0;7;3;0.2;4;17;13;22;38
05/01/2015;0.4;339;10.9;80;1011;116;0;10;3;0.1;3;13;12;18;34
06/01/2015;0.2;11;9.7;84;1007;108;0.1;14;3;0.2;4;17;15;22;24
07/01/2015;0.3;353;10.7;81;1012;81;0;16;3;0.2;5;18;17;25;30
08/01/2015;0.4;331;10.2;80;1019;111;0;21;3;0.2;8;23;25;34;28
09/01/2015;0.5;292;10.2;71;1023;124;0;14;3;0.2;6;21;18;30;28
10/01/2015;0.4;276;12.9;48;1015;130;0;8;3;0.2;4;21;18;26;31
11/01/2015;0.6;346;15.1;41;1011;125;0;5;3;0.2;7;16;12;26;45
12/01/2015;0.5;16;12.3;69;1015;109;0;6;3;0.2;4;19;10;25;34
13/01/2015;0.5;319;12.2;68;1008;115;0;9;3;0.2;6;24;16;33;33
14/01/2015;0.4;352;13.9;59;1007;114;0;9;3;0.2;9;30;18;43;29
15/01/2015;0.5;300;12.1;72;1001;121;0;15;3;0.2;7;27;23;37;25
16/01/2015;1;307;12.1;58;997;75;0;9;3;0.1;8;21;25;33;32
17/01/2015;0.7;308;9.9;53;1004;133;0;5;3;0.2;3;15;12;19;45
18/01/2015;0.3;317;8.5;62;998;101;1.8;6;3;0.2;2;10;9;13;42
19/01/2015;0.6;0;9.7;78;989;40;1.8;2;3;0.1;2;13;2;16;39
20/01/2015;0.9;317;9;49;992;136;0;3;3;0.1;3;16;8;20;43
21/01/2015;1.1;299;9.2;57;991;141;0;4;3;0.1;5;12;10;19;40
22/01/2015;1.1;315;9.8;54;994;110;0;3;3;0.1;5;15;10;22;43
23/01/2015;0.7;329;9.6;49;1001;87;0;2;3;0.1;4;16;6;20;44
24/01/2015;0.6;304;10.4;42;1004;134;0;4;3;0.1;4;19;16;25;42
25/01/2015;1.4;341;12.3;45;1004;141;0;3;3;0.1;3;13;5;17;50
26/01/2015;0.5;313;9.7;62;1008;143;0;5;3;0.1;4;18;18;23;38
27/01/2015;0.5;336;11.6;63;1006;140;0;5;3;0.1;4;21;9;26;34
28/01/2015;0.5;293;11.3;59;1004;146;0;4;3;0.1;6;20;14;29;38
29/01/2015;1.6;277;15.4;48;994;140;0;4;3;0.1;4;12;17;17;48
30/01/2015;2.7;249;20.2;46;981;109;0;1;3;0.1;2;5;8;7;49
31/01/2015;3.8;297;15.6;46;979;122;0.6;2;3;0.1;4;13;15;19;50
01/02/2015;3.3;303;10.6;39;993;159;0;2;3;0.1;5;13;9;19;54
02/02/2015;1.3;286;11.2;47;993;120;0.9;2;3;0.1;4;13;7;18;49
03/02/2015;1.7;274;13.4;51;984;140;0.2;1;3;0.1;3;8;6;12;54
04/02/2015;2.3;301;9.2;46;983;132;0;1;3;0.1;3;13;4;17;56
05/02/2015;1.8;299;7.9;37;989;130;0;3;3;0.1;4;12;16;18;51
06/02/2015;1.6;302;7.9;40;993;150;0;3;3;0.1;6;19;22;28;50
07/02/2015;0.3;13;7.2;51;1000;98;0;3;3;0.2;2;9;4;12;51
08/02/2015;0.6;284;8.2;54;1003;165;0;6;3;0.2;2;9;7;12;49
09/02/2015;0.8;36;8.7;69;1005;79;0;6;3;0.2;3;12;8;16;
10/02/2015;0.6;51;11;73;1005;56;0;4;3;0.1;2;11;6;14;65
11/02/2015;0.7;34;11.9;77;1002;143;0;5;3;0.2;2;12;9;15;49
12/02/2015;0.2;326;10.9;83;1002;31;0;7;3;0.2;3;23;13;28;
13/02/2015;0.4;302;13.1;65;1003;166;0;7;3;0.2;4;19;13;25;
14/02/2015;1.3;275;15.6;51;999;120;0;3;3;0.1;3;9;7;12;72
15/02/2015;1.8;292;16.1;60;994;179;0.2;2;3;0.1;3;9;5;13;57
16/02/2015;1.2;349;15.9;60;999;161;0.3;2;3;0.1;2;8;5;11;68
17/02/2015;1.3;27;12.8;71;1004;79;0.1;2;3;0.1;2;6;2;8;72
18/02/2015;1.3;49;13.6;64;1011;150;0;4;3;0.1;2;8;6;10;79
19/02/2015;1;33;12.6;64;1010;168;0;7;3;0.1;4;10;9;15;88
20/02/2015;0.7;25;11.6;68;1003;175;0;7;3;0.2;3;14;9;18;72
21/02/2015;1.2;314;11.6;63;990;91;0;4;3;0.2;3;12;8;15;60
22/02/2015;1.5;318;12.5;45;994;172;0;2;3;0.1;2;9;3;11;75
23/02/2015;1.7;283;16.1;51;996;75;0;3;3;0.1;4;10;10;16;55
24/02/2015;2.2;305;14.7;34;1003;154;0;2;;0.1;3;14;17;18;69
25/02/2015;2.5;310;14.9;39;1004;126;0;2;;0.1;4;11;13;15;68
26/02/2015;1.1;12;17.6;49;1001;153;0;2;;0.1;3;13;5;17;62
27/02/2015;1;317;17.2;40;1000;172;0;2;4;0.1;3;10;5;13;66
28/02/2015;0.2;13;12.1;60;1004;177;0;3;4;0.1;2;13;8;16;64
01/03/2015;0.8;284;19.3;46;1004;166;0;3;4;0.1;4;11;9;16;57
02/03/2015;0.7;285;21.3;49;1003;180;0;3;;0.1;3;19;16;23;46
03/03/2015;0.3;90;16.8;72;1005;178;0;8;;0.1;4;16;12;21;45
04/03/2015;0.4;25;14.3;80;1008;116;0;10;3;0.1;3;11;13;14;59
05/03/2015;0.7;313;12.8;27;1012;206;0;2;4;0.1;2;11;5;13;77
06/03/2015;0.5;345;10.4;43;1013;213;0;4;3;0.1;5;19;14;26;60
07/03/2015;0.4;275;11.8;55;1010;232;0;5;3;0.2;4;18;16;23;61
08/03/2015;0.4;32;12.3;70;1006;169;0;6;3;0.2;2;9;11;11;78
09/03/2015;0.3;215;13.6;78;1006;218;0;9;3;0.2;2;15;14;18;74
10/03/2015;0.2;9;12.6;81;1008;221;0;9;3;0.2;6;18;20;26;60
11/03/2015;0.3;13;14.1;68;1005;235;0;11;3;0.2;5;24;19;32;57
12/03/2015;0.3;37;16;56;1001;213;0;10;3;0.2;5;30;20;36;64
13/03/2015;0.4;71;13.8;80;1002;214;0;13;3;0.2;2;12;19;15;84
14/03/2015;0.3;54;10.7;82;1002;86;0;6;3;0.1;2;10;9;12;56
15/03/2015;0.3;80;10.6;73;1000;188;0;4;4;0.1;2;7;5;9;62
16/03/2015;0.4;91;10.9;78;1001;241;0;5;3;0.1;2;9;7;11;67
17/03/2015;0.7;37;10.5;;1002;;0;4;3;0.1;3;8;5;12;68
18/03/2015;0.9;39;12.7;78;998;45;0;4;3;0.2;3;13;6;16;64
19/03/2015;1.7;44;14.7;79;993;124;0;4;3;0.1;2;5;7;7;75
20/03/2015;1.8;49;16.1;71;989;;0;5;3;0.1;2;7;9;9;79
21/03/2015;0.5;161;14.5;86;989;184;0;7;3;0.1;2;6;11;9;70
22/03/2015;0.5;95;14.3;87;991;165;0;5;3;0.1;2;5;6;7;79
23/03/2015;0.6;61;13.8;93;990;56;0;9;3;0.1;2;9;13;11;70
24/03/2015;0.5;152;14.5;84;985;179;0;5;3;0.1;3;11;9;14;61
25/03/2015;0.6;336;11.8;70;987;71;0;2;3;0.1;2;8;3;11;59
26/03/2015;1.1;327;12.1;47;997;229;0;1;3;0.1;2;9;5;11;69
27/03/2015;0.8;350;18.5;50;1003;244;0;2;3;0.1;6;17;5;24;51
28/03/2015;0.6;44;19;56;1005;246;0;2;3;0.1;3;13;5;16;48
29/03/2015;0.5;0;18.6;55;1005;221;0;3;3;0.1;2;12;6;14;53
30/03/2015;0.9;316;24.3;35;1004;229;0;2;3;0.1;3;18;12;23;54
31/03/2015;0.4;343;22.1;43;1005;246;0;3;3;0.1;4;21;16;27;55
01/04/2015;0.5;74;16.6;70;1007;195;0;4;3;0.1;4;11;8;16;68
02/04/2015;0.4;161;15;78;1007;241;0;6;3;0.1;2;8;9;11;66
03/04/2015;0.3;164;14.8;83;1001;236;0;8;3;0.1;2;9;13;12;54
04/04/2015;0.5;57;14.8;82;996;200;0;6;3;0.1;2;9;9;12;60
05/04/2015;0.6;112;15.3;77;994;258;0;5;3;0.1;2;6;7;8;67
06/04/2015;1.3;71;15;73;1001;177;0;3;3;0.1;2;4;6;6;87
07/04/2015;1.5;59;14.5;61;1007;133;0;3;3;0.1;2;6;6;8;94
08/04/2015;2.1;73;14.1;60;1009;241;0;3;3;0.1;2;5;5;7;102
09/04/2015;1.2;60;14.6;62;1007;204;0;4;3;0.1;2;6;8;8;93
10/04/2015;0.5;15;14.1;72;1005;225;0;5;3;0.1;3;13;13;16;74
11/04/2015;0.3;66;14.6;78;1005;104;0;8;3;0.1;2;13;15;16;63
12/04/2015;1.3;61;16.9;62;1006;148;0;7;3;0.1;2;6;14;8;87
13/04/2015;1.8;61;19.3;42;1008;179;0;6;3;0.1;2;6;16;8;101
14/04/2015;1.8;54;18.7;39;1005;234;0;8;3;0.1;3;10;21;14;80
15/04/2015;1.1;87;17.8;65;999;88;0.6;8;3;0.1;2;10;17;12;75
16/04/2015;0.2;76;16.6;86;998;182;1.6;9;3;0.1;3;13;13;17;49
17/04/2015;0.5;353;18.8;65;999;249;0;4;3;0.1;3;17;7;20;60
18/04/2015;0.4;124;16.9;72;996;245;0;5;3;0.1;3;11;8;14;62
19/04/2015;0.8;328;18.8;48;997;252;0;2;3;0.1;2;12;6;14;71
20/04/2015;0.5;58;16.5;67;1002;264;0;3;3;0.1;3;9;6;13;70
21/04/2015;1;52;16.4;67;1004;214;0;3;3;0.1;3;11;8;15;68
22/04/2015;0.5;75;17;72;1003;199;0;4;3;0.1;2;8;7;10;75
23/04/2015;0.2;202;17;80;999;219;0;9;3;0.1;3;17;15;21;56
24/04/2015;0.3;171;16.7;88;998;199;0;11;3;0.1;2;12;16;14;69
25/04/2015;0.3;96;18.8;79;996;217;0;13;3;0.1;3;13;22;16;64
26/04/2015;0.9;261;19.5;71;991;204;3.1;5;3;0.1;3;11;10;15;53
27/04/2015;2.2;282;19.8;45;994;277;0;2;3;0.1;3;13;9;17;70
28/04/2015;0.8;26;18.8;57;1000;288;0;2;3;0.1;3;12;7;15;66
29/04/2015;0.5;145;17.9;77;1000;271;0;6;3;0.1;3;14;11;17;57
30/04/2015;0.3;114;18.1;84;1002;247;0;8;3;0.1;2;9;12;11;71
01/05/2015;0.4;176;21.6;65;998;239;0;7;3;0.1;2;18;15;21;63
02/05/2015;0.3;144;24.2;47;996;286;0;4;3;0.1;2;14;10;17;66
03/05/2015;0.4;90;24.2;52;993;271;0;5;3;0.1;2;16;11;19;64
04/05/2015;0.2;160;23.3;59;990;187;0;6;3;0.1;3;24;16;28;55
05/05/2015;0.4;79;23.4;62;993;221;0;7;3;0.1;2;12;19;14;53
06/05/2015;0.8;344;22.2;51;998;293;0;3;3;0.1;2;9;10;11;76
07/05/2015;0.6;47;20;66;1000;299;0;5;3;0.1;3;11;11;15;63
08/05/2015;0.8;269;24.1;45;1000;304;0;4;3;0.1;2;13;14;16;67
09/05/2015;0.5;56;22.8;62;1005;295;0;7;3;0.1;2;7;15;9;60
10/05/2015;0.6;55;21.1;60;1006;300;0;5;3;0.1;2;7;9;9;65
11/05/2015;1;42;21.6;45;1004;299;0;3;3;0.1;2;9;9;12;78
12/05/2015;0.5;127;21.4;44;1005;310;0;3;3;0.1;3;12;11;15;70
13/05/2015;0.4;189;22.1;55;1004;280;0;5;3;;4;19;16;23;54
14/05/2015;0.6;143;28.6;32;995;279;0;7;3;;5;29;33;37;63
15/05/2015;0.8;124;21.2;59;999;306;0;5;3;;2;5;15;7;74
16/05/2015;0.6;160;19.1;61;1005;311;0;2;3;;2;7;8;9;69
17/05/2015;0.5;190;19.8;60;1003;314;0;2;3;;2;7;6;9;70
18/05/2015;0.4;137;20.1;59;997;311;0;2;3;;2;8;7;10;65
19/05/2015;1;68;20.9;70;992;194;0;4;3;;2;9;10;12;58
20/05/2015;0.8;73;18.8;65;999;254;0;2;3;;2;5;5;7;68
21/05/2015;0.8;75;17.7;59;1005;311;0;2;3;;2;7;5;9;68
22/05/2015;0.7;92;17.2;65;1003;314;0;2;3;0.1;2;8;6;11;65
23/05/2015;0.5;30;18;63;999;314;0;2;3;0.1;2;8;6;10;66
24/05/2015;0.5;49;17.9;62;998;129;0;2;3;0.2;2;6;6;7;73
25/05/2015;0.6;64;20.9;48;998;292;0;3;3;0.2;2;8;8;10;79
26/05/2015;0.6;92;20.5;62;998;266;0;6;3;;3;12;17;15;67
27/05/2015;0.5;92;20.6;74;1000;290;0;5;3;;2;6;9;7;76
28/05/2015;0.5;74;20.3;67;1001;317;0;5;3;;2;7;9;9;67
