Fecha;PM10;SO2;NO2;NO;O3;dd;vv;TMP;HR;PRB;RS;LL
01/01/2015;21;0;43;15;22;92;0.8;1.9;77.5;937;29;0
02/01/2015;32;1;57;37;13;182;0.8;2.8;83.9;932;29;0.25
03/01/2015;20;1;38;18;17;271;1;3.6;96.3;931;28;1.25
04/01/2015;12;0;20;3;32;288;1.5;3.2;85.5;927;28;0
05/01/2015;21;1;39;30;14;87;1.2;2.6;81.2;922;28;0
06/01/2015;18;0;23;5;27;90;1.5;2.5;73.3;922;28;0
07/01/2015;19;1;31;16;19;88;1.3;1.4;78.2;914;28;12.5
08/01/2015;20;2;34;19;11;265;1.2;1.6;86.5;914;28;2
09/01/2015;24;3;42;29;15;246;1;4.1;74.4;920;28;3.25
10/01/2015;21;2;31;15;13;88;1;4;79.8;912;28;8.5
11/01/2015;12;0;17;2;48;92;1.9;3.9;84.9;915;28;4
12/01/2015;15;1;21;6;39;89;2.8;1.5;86.4;912;28;8.25
13/01/2015;12;0;14;3;49;183;3;4.5;85.1;911;28;4.5
14/01/2015;12;0;18;5;54;184;3.3;4.1;85.6;917;28;21.75
15/01/2015;7;0;10;2;70;185;3.1;5.8;86.8;924;28;9.75
16/01/2015;7;0;17;2;65;7;3.4;1.9;82.4;927;28;1.75
17/01/2015;11;1;22;4;58;180;1.8;0.4;84.2;929;28;0.5
18/01/2015;5;1;11;2;65;182;2.5;2.3;83.6;928;28;0
19/01/2015;8;1;19;3;68;7;4.4;0.1;87.5;928;29;0
20/01/2015;11;1;22;3;59;292;1.7;0.6;88.6;924;28;0.25
21/01/2015;8;0;18;3;70;225;3.5;0.6;83.2;913;28;0.5
22/01/2015;5;0;8;2;78;7;4.1;1.4;88;904;28;26.75
23/01/2015;8;1;24;5;62;85;1.4;1.5;87.7;904;27;15.5
24/01/2015;9;1;;;64;7;3;2.9;80.9;914;28;1.25
25/01/2015;11;0;;;80;7;2.4;2.3;82.7;909;29;16.25
26/01/2015;16;1;;;54;271;1.1;1;86.5;906;28;10.25
27/01/2015;4;0;;;73;7;3.1;4.6;91.2;912;28;0
28/01/2015;15;1;30;5;40;93;1.5;2.9;86.2;917;28;0
29/01/2015;14;2;29;7;35;155;1.4;4.4;88.4;915;28;0.25
30/01/2015;10;2;30;8;52;293;1.8;5.4;92.9;919;28;0
31/01/2015;3;2;3;0;86;224;4.2;0.6;85.6;926;28;0
01/02/2015;6;1;5;0;85;223;3.4;0.5;79.2;925;28;2.75
02/02/2015;8;2;25;5;54;180;2.1;1.5;73.8;922;28;5.25
03/02/2015;6;0;17;5;74;7;3.1;0.5;75.1;920;28;5.5
04/02/2015;5;0;7;1;81;7;5.3;-2.4;79.2;919;28;0.75
05/02/2015;8;0;7;1;81;7;5.3;-1.2;80;918;28;0
06/02/2015;7;0;10;1;65;7;3.2;-1.7;89.1;915;28;2.75
07/02/2015;12;0;13;2;56;7;3.6;-1.2;90.4;915;29;7.5
08/02/2015;16;0;10;1;70;7;3.8;-0.2;85.5;921;29;7.75
09/02/2015;22;0;33;7;64;7;4.2;-0.3;82.7;929;28;9.75
10/02/2015;17;0;65;19;44;184;2.5;-0.7;78.9;931;28;0.75
11/02/2015;20;0;56;13;49;83;1.1;1.6;70.4;927;29;0
12/02/2015;23;0;49;12;46;178;1.7;2.5;74.2;918;28;0.75
13/02/2015;15;0;38;7;56;180;2.5;3.3;83.7;913;28;11.75
14/02/2015;16;0;42;8;46;72;1.2;2.5;85.2;917;28;4
15/02/2015;9;0;35;9;49;73;1.1;5;87.1;915;28;2.75
16/02/2015;;0;19;3;70;90;1.6;4.3;81.2;923;28;7.25
17/02/2015;;1;7;1;87;;;1.7;80.2;926;28;3
18/02/2015;14;0;15;2;73;88;1.4;1.7;84.4;924;59;3.25
19/02/2015;19;1;40;10;49;272;1.1;3.2;84.1;924;64;3.75
20/02/2015;13;1;24;4;62;180;2;4.1;85;923;76;2
21/02/2015;5;0;5;1;89;7;4.8;2.5;78.7;922;100;0
22/02/2015;8;0;22;3;70;7;5;3.3;91.3;923;42;2.25
23/02/2015;7;0;24;5;53;87;1.5;3.8;92.3;924;117;10.75
24/02/2015;4;0;7;1;87;7;4;2;80.9;931;69;5.25
25/02/2015;5;0;4;1;88;7;5.6;5.8;67;932;157;2
26/02/2015;6;1;16;3;61;156;2.1;7.7;49.1;929;167;0
27/02/2015;6;1;9;2;91;7;4.2;3.1;51.6;928;171;0
28/02/2015;14;1;19;4;50;311;1.5;5.9;55.1;926;171;0
01/03/2015;9;1;13;3;45;203;1.9;9.8;52.1;925;153;0
02/03/2015;11;0;15;3;54;111;2.1;8.6;57.6;925;167;0
03/03/2015;10;0;15;3;53;110;2;7.9;77.3;925;167;0
04/03/2015;9;0;5;1;91;7;3;2.9;85.1;923;150;0
05/03/2015;25;1;18;4;77;7;2.6;3.5;78.3;925;159;0.5
06/03/2015;33;1;38;14;47;112;1.8;7.6;79.1;923;46;1.5
07/03/2015;30;2;32;11;45;297;1;9.1;82.4;920;28;2.75
08/03/2015;26;1;24;4;66;110;2.4;8.1;61.3;918;175;0
09/03/2015;33;2;34;10;48;286;0.9;8.3;53.9;918;160;0
10/03/2015;41;1;32;9;52;113;2.2;9.7;75.5;920;121;3
11/03/2015;50;1;25;8;57;112;2.6;7.7;85.2;921;44;4.25
12/03/2015;48;1;22;8;49;111;2.7;7;93;919;29;0.25
13/03/2015;16;0;6;2;90;7;3.6;4.5;92.6;916;16;1.75
14/03/2015;14;0;7;1;91;7;3.1;1.9;89.8;916;41;5.25
15/03/2015;26;1;14;2;80;7;2.5;1.3;91.3;912;57;4.5
16/03/2015;37;1;29;6;68;179;2.2;4.3;85.4;914;46;8
17/03/2015;37;2;30;5;68;158;2.2;7.8;80.7;916;165;9
18/03/2015;22;0;27;6;60;111;2.9;6.7;89.1;919;55;14
19/03/2015;17;0;20;4;78;7;2.7;6.6;91.4;927;129;5.75
20/03/2015;21;0;14;3;79;7;3.1;4.2;87.3;928;158;0
21/03/2015;11;0;16;4;67;7;2.8;3.7;78.7;927;152;0
22/03/2015;17;0;10;2;81;7;3.9;3.3;73.3;927;166;0
23/03/2015;10;0;22;6;59;112;1.7;1.8;89.2;929;215;0
24/03/2015;5;0;8;2;84;7;3.3;3.1;81.3;930;169;0.5
25/03/2015;9;0;4;1;92;7;4.3;1.4;56.2;927;227;0
26/03/2015;11;0;19;5;64;7;1.8;5.1;68.1;923;194;0
27/03/2015;10;0;19;6;49;86;2;8.7;82;920;101;0
28/03/2015;20;0;17;5;44;113;2.1;8;77.1;918;197;0
29/03/2015;19;0;19;4;46;290;1.1;9.1;68.5;920;243;0
30/03/2015;32;0;23;8;53;115;2;10.7;54.3;924;244;0
31/03/2015;18;0;14;4;58;115;3;8.9;47.4;924;243;0
01/04/2015;22;0;13;3;76;112;2.9;7;58.8;923;122;0
02/04/2015;24;0;20;4;59;115;2.9;8.8;82.5;922;81;3.75
03/04/2015;18;0;10;3;55;112;3.1;8.4;81.6;925;216;0
04/04/2015;12;0;9;2;84;7;3.1;6;61.9;926;237;0
05/04/2015;15;0;7;2;68;111;2.7;7.4;54.1;927;239;0
06/04/2015;23;0;13;2;69;112;2.9;7.3;47.7;924;195;0
07/04/2015;24;0;20;5;75;112;2.8;10.3;57.3;919;83;1
08/04/2015;31;0;15;2;91;92;2.2;11.8;80.7;917;92;6.25
09/04/2015;35;0;21;4;75;155;1.9;10.7;92.3;919;100;5.75
10/04/2015;15;0;17;4;69;201;2.1;9.4;77;917;183;2.5
11/04/2015;18;0;14;2;65;112;2.3;9.5;83;919;147;2
12/04/2015;31;0;14;2;67;108;2.2;12.6;82.3;922;239;0
13/04/2015;56;0;23;6;64;113;2.8;13.7;59.6;922;255;0
14/04/2015;49;1;20;3;72;109;2.8;15.2;66.4;921;98;10
15/04/2015;44;1;24;4;66;158;2.1;13.1;82.9;920;194;0.25
16/04/2015;;1;24;5;54;111;1.8;9.9;59;918;105;0
17/04/2015;16;0;22;5;57;111;2.1;9.6;70.7;916;128;10
18/04/2015;17;0;16;3;68;88;1.4;9.6;81.9;912;92;22.75
19/04/2015;15;0;12;3;72;111;2.4;7.1;78.6;917;171;0.75
20/04/2015;23;0;18;5;62;113;2.5;9;74.8;921;217;2
21/04/2015;24;0;17;5;74;109;2.7;14;84.5;921;125;0.25
22/04/2015;18;0;14;2;81;111;2.2;12.3;68.8;920;190;0
23/04/2015;15;0;14;2;69;112;2.2;10.8;76.5;918;89;0.5
24/04/2015;16;0;15;3;71;205;2.2;13.4;70.6;916;69;0.25
25/04/2015;8;0;7;2;79;204;2.4;12.7;71;915;36;0.25
26/04/2015;5;0;7;2;82;205;2.3;9.8;75;910;139;12.75
27/04/2015;7;0;8;2;77;7;3.1;8.3;70;916;223;1.75
28/04/2015;13;0;9;2;73;112;2.3;8.4;71.5;920;275;0.25
29/04/2015;17;0;13;3;55;113;2.6;8;48.2;918;285;0
30/04/2015;17;;14;4;55;204;2.2;12.9;66.3;921;235;0
01/05/2015;7;;6;2;49;203;2.4;14.4;85.3;926;254;0
02/05/2015;9;0;5;2;48;204;2.5;16.5;52.9;924;279;0
03/05/2015;10;0;6;2;62;202;2;15;52.8;923;279;0
04/05/2015;14;1;7;3;67;204;3.8;14.4;46.1;923;283;0.75
05/05/2015;12;1;7;2;86;204;2.6;10.8;38;922;264;1
06/05/2015;16;0;10;2;78;111;2.8;9.2;79.5;921;106;0
07/05/2015;18;0;14;3;79;221;2.2;16.2;76.4;926;89;0
08/05/2015;14;0;10;2;86;111;2.4;15.1;79.2;929;204;0
09/05/2015;15;0;9;2;67;112;2.4;13.5;78.3;926;266;0
10/05/2015;18;0;12;2;67;222;1.9;6.6;25.3;919;261;0.5
11/05/2015;26;0;16;3;64;185;2;14.3;19.8;920;158;0.75
12/05/2015;29;0;15;2;81;267;1.6;19.1;20.7;924;159;0.5
13/05/2015;35;0;11;2;96;203;3.7;16.1;19.6;928;199;1.75
14/05/2015;18;0;11;2;69;111;2.7;7.2;23.7;927;105;0
15/05/2015;9;0;5;1;81;7;3.1;7.2;23.8;924;283;0
16/05/2015;13;0;6;2;76;111;2.5;9.5;29.2;923;149;0
17/05/2015;10;0;6;2;64;111;2.9;11.9;34.4;924;255;0
18/05/2015;15;1;8;3;56;113;3.3;-26.1;37.6;925;193;0
19/05/2015;10;0;4;1;85;7;3.4;-34.2;43.5;924;245;0
20/05/2015;9;0;5;1;91;7;3;-35.2;54.5;922;310;0
21/05/2015;10;0;5;2;88;7;3.2;-33.9;78.5;920;259;0
22/05/2015;13;0;6;2;87;7;3;-31.9;31.1;921;274;0
23/05/2015;13;0;6;2;81;111;2.1;-30.8;24.9;922;250;0
24/05/2015;9;0;6;2;60;62;2.1;-24.9;22.6;922;154;0
25/05/2015;9;0;7;3;57;112;2.6;-21;;922;306;0
26/05/2015;7;0;5;2;70;7;3;-18.3;;924;301;0
27/05/2015;16;0;7;2;81;110;2.9;-14.3;66.4;923;217;3.75
28/05/2015;22;0;9;2;84;112;3;-1.8;87.7;923;165;0.5
29/05/2015;20;0;10;2;75;113;2.9;10;91.4;926;155;0
30/05/2015;17;0;9;1;72;112;3;-24.8;81.6;925;286;0
31/05/2015;14;0;7;1;55;112;2.8;-20;77.7;923;306;0
01/06/2015;10;0;8;2;50;111;2.6;-32.3;87.8;921;167;6.25
02/06/2015;19;1;11;3;65;112;3.1;;88.9;917;73;17.5
03/06/2015;28;0;13;2;55;111;2.5;;82.3;916;151;1.5
04/06/2015;29;0;17;4;64;132;1.6;20.4;80.6;916;182;0.75
05/06/2015;15;0;15;3;51;112;2.9;15;67.4;916;246;0.25
06/06/2015;9;0;7;2;59;109;2.3;12.9;74.9;917;213;0
07/06/2015;17;0;7;2;57;109;2.7;16.6;81.8;922;146;0.75
08/06/2015;25;0;12;2;76;107;2.4;17.1;77.1;926;228;0
09/06/2015;19;0;12;2;89;87;1.8;13;77;927;222;0
10/06/2015;12;0;15;2;83;70;1.3;12.1;73.8;926;318;0
11/06/2015;14;1;11;2;75;205;1.7;14.4;80.9;925;293;0
12/06/2015;17;1;12;2;73;110;2.7;13.1;61.6;924;326;0
13/06/2015;15;0;9;2;76;205;2.1;14.7;63.8;923;318;0
14/06/2015;12;0;7;2;77;61;2.5;12.5;75.1;920;249;5.25
15/06/2015;12;0;9;2;80;69;2.3;11.8;82.6;921;148;0
16/06/2015;13;0;6;2;83;109;2.8;12.1;63.2;922;324;0
17/06/2015;16;0;7;2;91;90;2.1;12.9;56.6;924;317;0
18/06/2015;22;0;13;3;80;111;2.5;15.1;65.9;925;309;0
19/06/2015;11;0;8;3;45;110;2.8;14.7;68.3;924;316;0
20/06/2015;12;0;10;2;65;106;2.6;16.2;77.9;924;300;0
21/06/2015;15;1;11;2;67;93;2.2;17.3;66.5;923;312;1
22/06/2015;23;1;13;3;62;108;2.9;18.7;51.7;919;298;0.25
23/06/2015;18;0;11;2;60;108;2.1;15.3;67.6;919;295;0
24/06/2015;14;0;11;3;57;110;2.8;15.8;84;923;242;0
25/06/2015;18;;13;3;82;294;1.1;20.6;56.4;922;277;0
26/06/2015;26;;13;3;80;112;3.3;19.3;70.3;924;304;0
