Fecha;Hora;SO2 ;NO ;NO2 ;PM10;O3 ;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;1;2;10;36;48;128;0.5;16.1;72;1023;0;0.0
01/01/2014;1:00:00;1;3;12;38;33;302;0.8;14.4;74;1023;0;0.0
01/01/2014;2:00:00;1;3;11;34;33;283;1.4;13.6;72;1022;0;0.0
01/01/2014;3:00:00;1;2;9;30;35;281;1.5;13.8;68;1022;0;0.0
01/01/2014;4:00:00;1;2;8;31;38;279;1.3;14.2;63;1022;0;0.0
01/01/2014;5:00:00;1;2;8;39;39;271;1.1;14.2;64;1021;0;0.0
01/01/2014;6:00:00;1;2;8;34;40;220;0.9;14.3;63;1022;0;0.0
01/01/2014;7:00:00;1;2;8;35;40;272;1.1;14.0;68;1022;0;0.0
01/01/2014;8:00:00;1;2;8;33;41;221;1.3;14.8;65;1022;51;0.0
01/01/2014;9:00:00;1;2;8;27;43;289;1.2;17.3;59;1023;284;0.0
01/01/2014;10:00:00;1;3;10;24;49;203;1.0;20.6;56;1023;446;0.0
01/01/2014;11:00:00;1;4;14;32;51;117;1.7;21.0;60;1023;582;0.0
01/01/2014;12:00:00;1;2;9;40;59;148;1.5;20.0;63;1023;297;0.0
01/01/2014;13:00:00;1;2;8;26;62;48;1.9;20.1;62;1022;376;0.0
01/01/2014;14:00:00;1;2;6;26;66;45;2.2;19.2;66;1021;217;0.0
01/01/2014;15:00:00;1;2;6;28;66;60;1.5;19.5;66;1021;214;0.0
01/01/2014;16:00:00;1;2;7;30;65;54;1.4;18.6;68;1021;57;0.0
01/01/2014;17:00:00;1;2;7;21;63;53;1.7;18.3;68;1021;27;0.0
01/01/2014;18:00:00;1;2;8;24;57;161;0.7;17.3;70;1021;0;0.0
01/01/2014;19:00:00;1;2;10;21;41;289;1.0;15.9;74;1022;0;0.0
01/01/2014;20:00:00;1;3;11;17;33;276;1.0;15.2;76;1022;0;0.0
