Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;SO2;TOL
01/01/2015;0.1;0.51;40;54;115;13;38;3.5;10
02/01/2015;0.1;0.57;83;67;194;5.5;41;2.6;10
03/01/2015;0.1;0.34;16;33;58;26;22;2.3;9.8
04/01/2015;0.1;0.33;23;37;72;25;26;1.3;9.9
05/01/2015;0.1;0.36;21;31;63;25;24;2.6;9.9
06/01/2015;0.1;0.3;14;32;54;38;8.6;1.2;10
07/01/2015;0.11;0.5;67;61;164;7;8.3;3.4;10
08/01/2015;0.1;0.38;36;45;99;18;16;2.7;9.9
09/01/2015;0.12;0.28;34;45;97;16;30;3.2;9.7
10/01/2015;0.1;0.3;21;34;66;20;25;5;9.8
11/01/2015;0.1;0.25;18;34;62;26;28;2.3;9.2
12/01/2015;0.1;0.37;24;34;71;23;27;5.6;9.8
13/01/2015;0.1;0.21;6.4;21;30;54;16;6.2;8.9
14/01/2015;0.1;0.26;5.6;19;27;55;17;13;9.6
15/01/2015;0.1;0.22;8;23;35;60;21;6.2;8.4
16/01/2015;0.1;0.21;14;32;54;48;30;7.8;9.9
17/01/2015;0.1;0.24;10;24;39;48;18;7.1;9.9
18/01/2015;0.1;0.17;11;18;34;56;15;1;9
19/01/2015;0.1;0.19;17;30;55;51;27;2.6;8
20/01/2015;0.1;0.19;19;31;59;54;20;1;9
21/01/2015;0.1;0.16;11;23;40;73;26;1;8
22/01/2015;0.1;0.23;26;43;83;52;23;1.2;9.1
23/01/2015;0.1;0.31;37;51;108;22;23;4.6;9.8
24/01/2015;0.1;0.28;23;36;71;30;20;1.3;9.8
25/01/2015;0.1;0.18;11;29;45;50;27;2.7;9
26/01/2015;0.1;0.37;64;53;151;20;27;3.5;9.8
27/01/2015;0.1;0.33;63;52;149;28;31;2.6;9.8
28/01/2015;0.1;0.21;20;32;63;42;15;2.8;9.8
29/01/2015;0.1;0.16;4.4;19;25;52;12;22;8.7
30/01/2015;0.1;0.14;4.2;11;17;65;13;1;7.9
31/01/2015;0.1;0.16;8.7;15;27;73;24;1;8
01/02/2015;0.1;0.16;4;14;19;70;21;2.5;7.4
02/02/2015;0.12;0.19;7.5;18;29;63;18;5;9.1
03/02/2015;0.1;0.15;10;19;34;69;18;1;8.4
04/02/2015;0.1;0.22;17;31;57;47;19;1.3;9
05/02/2015;0.1;0.24;20;38;69;37;18;1.7;9.6
06/02/2015;0.1;0.21;13;24;43;50;16;1;8.7
07/02/2015;0.1;0.23;6.3;19;28;46;26;1.3;8.7
08/02/2015;0.1;0.25;3.8;15;20;54;27;1.3;8.7
09/02/2015;0.1;0.18;6.8;22;32;57;24;2.9;8.7
10/02/2015;0.1;0.4;39;50;109;25;36;5.4;8.6
11/02/2015;0.1;0.55;70;65;172;16;45;7.2;8.6
12/02/2015;0.1;0.36;24;39;76;32;34;2.4;8.6
13/02/2015;0.1;0.19;4.4;20;27;66;19;4.8;8.6
14/02/2015;0.1;0.18;3.3;23;27;58;19;18;9.2
15/02/2015;0.1;0.15;2.5;10;13;71;17;1.2;8.2
16/02/2015;0.1;0.18;10;22;37;58;20;5.1;10
17/02/2015;0.1;0.14;3.3;11;16;73;26;1.3;6.3
18/02/2015;0.1;0.19;10;29;44;50;30;3.7;9
19/02/2015;0.1;0.35;46;48;119;20;29;4.3;10
20/02/2015;0.11;0.26;7;24;34;50;15;25;10
21/02/2015;0.1;0.18;11;22;38;71;23;1;8.5
22/02/2015;0.1;0.17;2.2;11;13;61;15;7.3;8.9
23/02/2015;0.1;0.17;5.5;17;25;65;22;8.5;8.7
24/02/2015;0.1;0.17;5.9;16;24;72;38;1;8
25/02/2015;0.1;0.17;5.7;18;26;67;30;1.1;9
26/02/2015;0.12;0.17;6.8;22;32;60;16;5.4;9.3
27/02/2015;0.1;0.21;12;27;46;66;30;1.9;8.8
28/02/2015;0.1;0.17;3.2;19;23;49;16;12;9.6
01/03/2015;0.1;0.21;2.2;17;20;55;8.6;32;7.2
02/03/2015;0.1;0.22;14;30;50;52;18;4.9;9.5
03/03/2015;0.1;0.24;21;32;63;57;21;1.1;9
04/03/2015;0.1;0.17;8.4;21;33;63;30;1.8;7.9
05/03/2015;0.1;0.22;15;32;53;47;29;3.4;8.3
06/03/2015;0.12;0.32;35;48;102;30;40;4.1;10
07/03/2015;0.1;0.4;31;52;100;32;42;6.6;10
08/03/2015;0.1;0.34;17;37;63;48;39;3.6;9.9
09/03/2015;0.1;0.32;24;39;76;45;38;3.6;9.7
10/03/2015;0.1;0.29;17;32;57;67;39;2.9;9
11/03/2015;0.1;0.23;15;28;51;55;27;3.5;9.6
12/03/2015;0.1;0.24;15;28;51;39;52;7.2;10
13/03/2015;0.1;0.19;14;21;42;79;26;1;9.2
14/03/2015;0.1;0.21;8.3;22;35;61;24;2.1;9.2
15/03/2015;0.1;0.21;5.1;20;27;60;20;2.5;7.9
16/03/2015;0.11;0.35;27;42;83;32;31;3.6;8.5
17/03/2015;0.1;0.35;25;37;75;41;40;3.1;8.5
18/03/2015;0.1;0.25;11;23;40;78;29;1.3;8.7
19/03/2015;0.1;0.27;9.3;19;33;72;39;1.4;8.8
20/03/2015;0.1;0.23;2.5;12;15;88;40;2.6;7.2
21/03/2015;0.1;0.25;4.4;16;22;72;21;3.5;6.5
22/03/2015;0.1;0.18;3;11;15;78;28;2.4;5.8
23/03/2015;0.1;0.21;12;18;36;73;21;2.6;7
24/03/2015;0.1;0.18;11;16;32;84;24;2.5;7.4
25/03/2015;0.1;0.21;17;26;51;69;24;2.7;8.5
26/03/2015;0.1;0.16;4;16;21;56;16;2.8;8.7
27/03/2015;0.1;0.17;8.4;23;36;41;20;4;8.9
28/03/2015;0.1;0.17;3.4;13;18;55;15;3.1;9.5
29/03/2015;0.1;0.19;5.5;16;24;55;20;10;9.2
30/03/2015;0.1;0.19;7.2;19;29;53;22;5.5;9.4
31/03/2015;0.1;0.19;11;22;38;50;17;3.2;9.4
01/04/2015;0.1;0.18;8.2;18;30;62;33;2.1;8.6
02/04/2015;0.1;0.22;11;31;47;41;33;5;9.2
03/04/2015;0.1;0.2;9.5;20;35;50;23;3.9;8
04/04/2015;0.1;0.15;2.9;10;14;82;16;2.3;5.5
05/04/2015;0.1;0.18;3.5;15;20;55;18;3.3;8
06/04/2015;0.1;0.21;8.3;19;32;62;23;4.3;8.2
07/04/2015;0.1;0.27;19;39;68;43;31;7.8;9.7
08/04/2015;0.1;0.26;17;32;57;62;33;2.6;9.7
09/04/2015;0.1;0.29;17;34;60;55;30;2.2;9.7
10/04/2015;0.11;0.25;10;26;41;53;27;4;9.4
11/04/2015;0.11;0.22;7.6;20;31;65;18;4.8;9.5
12/04/2015;0.1;0.25;7.8;22;33;49;21;2.3;9.1
13/04/2015;0.1;0.38;36;44;100;28;45;5.8;9.6
14/04/2015;0.1;0.37;28;48;90;33;61;3.8;9.7
15/04/2015;0.1;0.39;26;40;80;19;47;3.9;9.8
16/04/2015;0.1;0.26;13;27;47;48;29;3.2;9.7
17/04/2015;0.1;0.27;14;26;47;49;16;5.7;9.7
18/04/2015;0.1;0.23;12;22;41;43;10;3;9.4
19/04/2015;0.11;0.21;5.4;17;24;43;17;2.8;9.1
20/04/2015;0.1;0.26;16;23;47;null(null);25;2.8;8.8
21/04/2015;0.1;0.33;20;34;64;null(null);33;5.6;9.7
22/04/2015;0.1;0.28;16;25;49;42;26;3.1;9.8
23/04/2015;0.1;0.26;18;28;56;49;19;4.3;10
24/04/2015;0.1;0.28;17;25;51;44;15;2.6;9.9
25/04/2015;0.1;0.34;6.5;18;27;58;13;6.1;8.1
26/04/2015;0.1;0.23;2.5;9.6;13;74;13;3.9;7.5
27/04/2015;0.1;0.26;16;21;46;63;21;1.8;8.5
28/04/2015;0.1;0.25;20;24;53;42;24;5.1;9.1
29/04/2015;0.1;0.23;10;20;36;55;18;5.4;9.6
30/04/2015;0.1;0.35;4.6;9.8;17;48;10;8.1;7.7
01/05/2015;0.1;0.27;4.2;10;16;41;9.5;7.6;6.7
02/05/2015;0.1;0.28;2.8;5.5;9.3;41;8.2;6;5.9
03/05/2015;0.1;0.23;3;8.8;13;41;14;3.1;7.7
04/05/2015;0.13;0.24;8.5;13;26;null(null);12;1.6;8.8
05/05/2015;0.1;0.25;2;6.7;9.1;78;22;11;10
06/05/2015;0.1;0.31;2.5;1.6;4.6;62;25;8.2;9.9
07/05/2015;0.13;0.28;null(null);null(null);null(null);54;18;6.5;9.9
08/05/2015;0.1;0.24;null(null);null(null);null(null);60;13;14;8.9
09/05/2015;0.1;0.19;null(null);null(null);null(null);63;12;5.1;9.6
10/05/2015;0.1;0.18;null(null);null(null);null(null);65;17;5;8.5
11/05/2015;0.1;0.22;null(null);null(null);null(null);59;22;2.8;8.4
12/05/2015;0.1;0.29;24;43;80;55;31;7.8;9.5
13/05/2015;0.1;0.24;15;29;52;61;23;15;9.2
14/05/2015;0.1;0.22;14;23;44;70;25;6.1;8.7
15/05/2015;0.1;0.24;26;35;75;74;31;2.4;8.5
16/05/2015;0.1;0.22;16;21;46;66;17;2.1;7.2
17/05/2015;0.1;0.22;15;16;39;54;15;1.3;6
18/05/2015;0.1;0.23;22;25;59;70;19;1.8;8.5
19/05/2015;0.1;0.23;24;36;71;72;25;2.2;8.6
20/05/2015;0.1;0.22;18;35;62;47;28;2.1;8.4
21/05/2015;0.1;0.2;13;25;44;null(null);22;3.3;7.6
22/05/2015;0.1;0.18;11;24;40;null(null);23;2.3;6.6
23/05/2015;0.1;0.19;9.5;18;32;60;14;2.4;6.3
24/05/2015;0.1;0.19;6.8;13;23;51;16;1.3;6.2
25/05/2015;0.1;0.23;18;26;52;56;18;2.1;6.5
26/05/2015;0.1;0.22;16;26;50;57;20;2.3;6.7
27/05/2015;0.1;0.21;13;28;47;65;19;2.9;7.1
28/05/2015;0.1;0.23;14;28;49;75;22;1.6;7.2
29/05/2015;0.1;0.25;17;34;60;64;16;2.2;8.3
30/05/2015;0.1;0.19;8.2;22;34;null(null);15;3;7.7
31/05/2015;0.1;0.22;7.5;22;34;null(null);12;8.1;8.7
01/06/2015;0.1;0.23;18;33;60;null(null);15;2.2;8.1
02/06/2015;0.1;0.24;11;28;44;47;18;9.9;9.4
03/06/2015;0.1;0.24;22;33;65;33;33;1.7;7.8
04/06/2015;0.1;0.28;23;40;75;34;35;4.1;8.9
05/06/2015;0.1;0.23;19;28;56;56;19;1.9;7.4
06/06/2015;0.1;0.19;7.4;18;29;61;15;2;4.4
07/06/2015;0.1;0.18;4.3;22;28;58;18;3.1;5.7
08/06/2015;0.1;0.22;9.6;35;49;62;25;4;6.4
09/06/2015;0.1;0.2;5.8;27;35;86;28;3.5;5.9
10/06/2015;0.1;0.24;16;33;58;82;32;2.6;7.3
11/06/2015;0.1;0.23;12;33;51;74;25;4.8;8.5
12/06/2015;0.1;0.3;5.8;25;33;74;21;20;9.8
13/06/2015;0.1;0.21;9.2;33;47;59;12;4.5;8.5
14/06/2015;0.1;0.23;12;30;48;60;15;2.2;5.9
15/06/2015;0.1;0.24;18;34;61;69;17;2;6.4
16/06/2015;0.1;0.23;18;31;58;56;14;1.7;6.3
17/06/2015;0.1;0.24;19;35;63;70;24;2.8;7.1
18/06/2015;0.1;0.22;11;29;44;74;25;2.3;6
19/06/2015;0.1;0.23;20;26;56;38;19;3.1;7.2
20/06/2015;0.1;0.19;7;20;30;57;22;2.8;6.6
21/06/2015;0.1;0.24;13;43;63;49;34;9.1;7.2
22/06/2015;0.1;0.31;30;52;98;46;35;4;7.5
23/06/2015;0.1;0.37;20;44;75;47;36;2.2;8.2
24/06/2015;0.1;0.35;11;41;58;40;37;3.3;8.3
25/06/2015;0.1;0.31;26;42;82;39;28;3.6;8.8
