Fecha;PM10;SO2
01/11/2015;11.0;6.3
02/11/2015;16.0;6.8
03/11/2015;12.0;8.4
04/11/2015;11.0;7.0
05/11/2015;6.6;6.4
06/11/2015;7.8;6.5
07/11/2015;10.0;6.6
08/11/2015;13.0;7.3
01/10/2015;20.0;4.5
02/10/2015;13.0;4.6
03/10/2015;13.0;4.7
04/10/2015;9.3;5.2
05/10/2015;8.6;5.5
06/10/2015;10.0;5.0
07/10/2015;11.0;5.0
08/10/2015;13.0;5.1
09/10/2015;17.0;5.1
10/10/2015;19.0;4.3
11/10/2015;16.0;5.0
12/10/2015;23.0;4.6
13/10/2015;22.0;4.4
14/10/2015;19.0;4.9
15/10/2015;15.0;5.3
16/10/2015;16.0;6.2
17/10/2015;23.0;7.3
18/10/2015;18.0;5.2
19/10/2015;17.0;4.8
20/10/2015;21.0;3.9
21/10/2015;14.0;null(null)
22/10/2015;11.0;null(null)
23/10/2015;20.0;6.1
24/10/2015;13.0;6.6
25/10/2015;14.0;6.2
26/10/2015;9.0;7.3
27/10/2015;7.7;7.1
28/10/2015;9.7;7.5
29/10/2015;7.3;6.6
30/10/2015;11.0;6.8
31/10/2015;16.0;8.0
01/09/2015;12.0;2.0
02/09/2015;9.9;2.1
03/09/2015;10.0;2.0
04/09/2015;7.8;2.4
05/09/2015;8.7;2.2
06/09/2015;12.0;3.2
11/09/2015;14.0;8.0
12/09/2015;10.0;4.3
13/09/2015;8.8;5.0
14/09/2015;13.0;4.7
15/09/2015;6.2;5.6
16/09/2015;9.5;5.9
17/09/2015;9.8;4.2
18/09/2015;11.0;4.5
19/09/2015;9.9;3.5
20/09/2015;14.0;4.1
21/09/2015;12.0;5.0
22/09/2015;9.8;4.7
23/09/2015;11.0;4.8
24/09/2015;12.0;3.8
25/09/2015;14.0;4.3
26/09/2015;16.0;4.1
27/09/2015;16.0;4.2
28/09/2015;18.0;4.8
29/09/2015;20.0;4.6
30/09/2015;16.0;4.9
01/08/2015;14.0;1.4
02/08/2015;20.0;3.8
03/08/2015;12.0;2.4
04/08/2015;13.0;1.5
05/08/2015;9.6;2.9
06/08/2015;9.8;1.3
07/08/2015;14.0;2.0
