Fecha;NO;NO2;O3;vv;dd;TMP;HR;PRB;RS;LL
01/05/2015;1.0;10.0;50.0;2.2;248;18.4;63;947;209;0.0
02/05/2015;4.0;13.0;21.0;1.9;192;20.5;73;944;233;0.0
03/05/2015;3.0;18.0;49.0;1.6;225;19.7;59;942;124;0.0
04/05/2015;10.0;17.0;59.0;3.9;225;20.4;56;938;201;0.0
05/05/2015;4.0;16.0;74.0;3.6;248;15.7;59;944;286;0.0
06/05/2015;13.0;38.0;53.0;0.9;45;16.3;44;948;293;0.0
07/05/2015;14.0;50.0;53.0;1.1;225;20.0;34;946;277;0.0
08/05/2015;5.0;14.0;65.0;3.1;248;19.1;55;949;279;0.0
09/05/2015;18.0;46.0;58.0;0.5;23;21.4;49;953;291;0.0
10/05/2015;7.0;19.0;81.0;1.5;158;24.4;34;951;295;0.0
11/05/2015;14.0;37.0;76.0;0.7;45;25.4;31;950;299;0.0
12/05/2015;20.0;56.0;68.0;0.7;45;26.0;30;952;301;0.0
13/05/2015;18.0;63.0;42.0;1.2;23;27.6;29;951;261;0.0
14/05/2015;2.0;27.0;75.0;2.8;315;24.8;29;946;256;0.0
15/05/2015;2.0;11.0;79.0;3.5;45;17.4;37;951;322;0.0
16/05/2015;2.0;17.0;77.0;3.3;45;19.3;37;954;325;0.0
17/05/2015;3.0;25.0;70.0;1.9;45;22.7;33;950;322;0.0
18/05/2015;6.0;32.0;72.0;1.1;248;24.3;31;943;318;0.0
19/05/2015;3.0;22.0;58.0;4.4;45;17.9;49;941;278;0.0
20/05/2015;4.0;24.0;72.0;3.2;45;14.4;42;949;323;0.0
21/05/2015;3.0;22.0;78.0;3.7;45;15.0;40;953;329;0.0
22/05/2015;3.0;23.0;80.0;4.0;45;15.0;38;951;331;0.0
23/05/2015;2.0;16.0;79.0;4.2;45;16.4;44;947;322;0.0
24/05/2015;1.0;13.0;74.0;2.9;45;18.0;46;946;233;0.0
25/05/2015;5.0;28.0;63.0;2.0;45;20.2;43;947;273;0.0
26/05/2015;4.0;26.0;65.0;2.4;45;20.9;36;947;327;0.0
27/05/2015;5.0;30.0;69.0;2.5;45;21.5;33;947;326;0.0
28/05/2015;13.0;40.0;76.0;0.9;45;24.2;34;946;318;0.0
29/05/2015;3.0;20.0;78.0;1.6;147;22.4;39;944;194;0.4
30/05/2015;3.0;26.0;68.0;1.3;135;22.7;43;946;304;0.0
31/05/2015;4.0;18.0;73.0;0.8;45;23.6;40;946;294;0.0
