Fecha;Hora;SO2;NO;NO2;PM10;dd;vv;TMP;O3
01/01/2015;1:00:00;3;0.8;2;20;62;1.4;9.1;62
01/01/2015;2:00:00;3;0.9;3;20;48;2.7;9.5;68
01/01/2015;3:00:00;3;0.9;1;20;50;3.3;9.7;69
01/01/2015;4:00:00;3;0.9;2;19;74;2.5;9.4;67
01/01/2015;5:00:00;3;1.0;1;19;73;2.1;9.5;66
01/01/2015;6:00:00;3;1.0;1;18;41;2.1;9.6;66
01/01/2015;7:00:00;3;0.9;0;17;125;1.3;9.5;63
01/01/2015;8:00:00;3;0.9;1;17;49;0.5;8.5;61
01/01/2015;9:00:00;3;1.0;3;16;86;0.5;8.8;61
01/01/2015;10:00:00;3;1.5;1;16;71;0.5;8.8;59
01/01/2015;11:00:00;3;1.0;1;15;54;2.4;11.5;62
01/01/2015;12:00:00;3;1.0;0;14;62;3.0;12.4;66
01/01/2015;13:00:00;3;1.0;0;13;131;2.4;13.1;70
01/01/2015;14:00:00;3;1.0;0;12;54;3.0;13.3;74
01/01/2015;15:00:00;3;1.0;0;12;49;3.1;13.2;77
01/01/2015;16:00:00;3;1.0;0;13;45;3.0;12.9;78
01/01/2015;17:00:00;3;0.9;0;14;57;1.9;12.5;77
01/01/2015;18:00:00;3;0.7;2;14;117;0.9;11.0;70
01/01/2015;19:00:00;3;0.5;9;16;201;0.2;8.9;55
01/01/2015;20:00:00;3;0.6;10;19;248;0.5;7.0;39
01/01/2015;21:00:00;3;0.4;7;20;243;0.8;6.1;37
01/01/2015;22:00:00;3;0.3;13;22;241;0.3;4.7;22
01/01/2015;23:00:00;3;1.0;21;24;228;0.3;3.5;12
01/01/2015;0:00:00;3;0.9;18;27;237;0.4;3.0;14
02/01/2015;1:00:00;3;1.0;16;30;227;0.6;2.6;15
02/01/2015;2:00:00;3;0.7;12;32;228;0.4;2.3;19
02/01/2015;3:00:00;3;0.4;9;32;206;0.5;2.0;17
02/01/2015;4:00:00;3;0.7;11;32;235;0.9;1.5;16
