Fecha;NO;NO2;PM10;NOX;O3
01/01/2015;2;8;22;10;37
02/01/2015;4;17;29;22;23
03/01/2015;3;15;30;19;27
04/01/2015;3;12;22;15;35
05/01/2015;4;12;22;18;25
06/01/2015;4;11;30;15;21
07/01/2015;4;12;28;18;25
08/01/2015;6;14;34;22;21
09/01/2015;8;17;26;30;15
10/01/2015;4;16;38;21;23
11/01/2015;3;9;18;13;39
12/01/2015;3;12;20;16;31
13/01/2015;5;17;26;24;17
14/01/2015;6;16;20;24;22
15/01/2015;6;13;24;22;32
16/01/2015;2;8;14;10;58
17/01/2015;2;8;16;11;52
18/01/2015;3;10;18;12;41
19/01/2015;3;11;8;15;32
20/01/2015;3;11;10;14;44
21/01/2015;4;9;8;14;44
22/01/2015;3;8;6;11;57
23/01/2015;2;5;4;7;68
24/01/2015;2;5;5;7;70
25/01/2015;2;5;5;7;74
26/01/2015;3;15;18;19;42
27/01/2015;4;10;13;16;42
28/01/2015;;;14;;
29/01/2015;;;16;;61
30/01/2015;3;4;14;7;60
31/01/2015;;;7;;74
01/02/2015;;;8;;76
02/02/2015;;;6;;56
03/02/2015;;;6;;64
04/02/2015;;;10;;69
05/02/2015;;;14;;71
06/02/2015;;;;;61
07/02/2015;;;13;;29
08/02/2015;;;;;56
09/02/2015;;;19;;48
10/02/2015;;;;;53
11/02/2015;;;;;56
12/02/2015;;;26;;26
13/02/2015;;;21;;23
14/02/2015;;;11;;41
15/02/2015;;;;;58
16/02/2015;;;;;56
17/02/2015;;;5;;47
18/02/2015;;;;;52
19/02/2015;;;19;;63
20/02/2015;;;24;;49
21/02/2015;;;10;;60
22/02/2015;;;;;75
23/02/2015;5;8;5;14;46
24/02/2015;2;4;3;6;67
25/02/2015;2;4;1;6;61
26/02/2015;2;14;;16;45
27/02/2015;2;5;4;6;66
28/02/2015;2;13;10;15;61
01/03/2015;2;15;9;16;40
02/03/2015;4;20;11;23;23
03/03/2015;3;22;16;25;26
04/03/2015;9;17;15;29;37
05/03/2015;3;19;9;22;52
06/03/2015;4;11;19;14;42
07/03/2015;3;23;26;26;41
08/03/2015;2;14;24;16;50
09/03/2015;5;29;31;35;34
10/03/2015;6;37;30;44;36
11/03/2015;10;41;38;55;30
12/03/2015;5;20;34;27;55
13/03/2015;3;26;37;29;47
14/03/2015;3;15;23;17;54
15/03/2015;2;11;12;13;59
16/03/2015;3;17;13;20;41
17/03/2015;3;15;17;17;52
18/03/2015;2;9;15;10;57
19/03/2015;2;4;18;6;62
20/03/2015;2;8;16;10;59
21/03/2015;2;6;35;8;51
22/03/2015;2;9;1;10;45
23/03/2015;2;10;17;12;51
24/03/2015;2;9;21;11;52
25/03/2015;2;5;9;8;62
26/03/2015;4;14;;19;53
27/03/2015;3;10;;14;47
28/03/2015;2;10;;13;40
29/03/2015;3;11;;14;39
30/03/2015;2;10;;12;53
31/03/2015;12;34;;51;33
01/04/2015;3;11;17;14;53
02/04/2015;4;18;24;22;33
03/04/2015;3;11;25;14;38
04/04/2015;2;13;18;14;39
05/04/2015;2;7;12;8;41
06/04/2015;2;5;18;7;53
07/04/2015;2;11;16;14;60
08/04/2015;2;10;14;13;67
09/04/2015;2;8;12;10;
10/04/2015;3;12;15;16;
11/04/2015;3;17;23;21;
12/04/2015;2;6;19;9;
13/04/2015;3;20;17;24;
14/04/2015;4;26;27;32;
15/04/2015;5;33;31;40;57
16/04/2015;8;22;26;34;54
17/04/2015;5;17;14;24;65
18/04/2015;4;19;17;26;66
19/04/2015;2;11;10;14;78
20/04/2015;4;9;25;14;57
21/04/2015;3;14;16;19;64
22/04/2015;3;19;16;24;58
23/04/2015;10;29;28;45;48
24/04/2015;8;26;33;38;62
25/04/2015;5;17;;24;56
26/04/2015;3;9;19;13;66
27/04/2015;3;7;9;10;79
28/04/2015;4;11;14;17;75
29/04/2015;3;19;20;24;67
30/04/2015;4;20;22;26;65
01/05/2015;3;13;23;17;62
02/05/2015;4;17;20;23;61
03/05/2015;5;23;34;30;62
04/05/2015;3;12;24;16;80
05/05/2015;3;16;21;21;66
06/05/2015;4;14;21;19;81
07/05/2015;3;17;22;22;75
08/05/2015;3;16;27;21;71
09/05/2015;3;14;28;18;81
10/05/2015;3;14;18;19;74
11/05/2015;5;22;18;29;70
12/05/2015;4;24;23;30;69
13/05/2015;5;24;31;31;61
14/05/2015;4;12;71;16;69
15/05/2015;4;10;37;15;88
16/05/2015;2;8;11;11;87
17/05/2015;4;19;16;25;60
18/05/2015;4;19;26;24;67
19/05/2015;2;10;20;13;65
20/05/2015;3;11;11;16;76
21/05/2015;4;14;12;19;77
22/05/2015;3;17;15;22;84
23/05/2015;2;9;18;12;88
24/05/2015;4;16;16;22;78
25/05/2015;3;16;19;21;78
26/05/2015;4;14;16;19;67
27/05/2015;8;29;17;41;59
28/05/2015;3;13;19;18;72
29/05/2015;4;22;16;29;78
30/05/2015;3;10;14;14;74
31/05/2015;3;8;12;12;70
01/06/2015;3;13;17;17;70
02/06/2015;4;17;19;22;70
03/06/2015;5;21;17;29;69
04/06/2015;9;27;;41;67
05/06/2015;4;16;23;22;80
06/06/2015;14;31;26;52;64
07/06/2015;6;18;;28;74
08/06/2015;6;25;23;33;81
09/06/2015;3;12;;15;92
10/06/2015;2;6;35;9;97
11/06/2015;2;12;;15;81
12/06/2015;4;19;22;25;77
13/06/2015;2;8;21;11;76
14/06/2015;2;6;19;8;89
15/06/2015;2;10;17;13;78
16/06/2015;3;10;12;14;69
17/06/2015;4;9;15;13;68
18/06/2015;3;10;16;13;72
19/06/2015;3;12;19;16;86
20/06/2015;2;6;;9;77
21/06/2015;4;13;;19;72
22/06/2015;4;19;;25;76
