Fecha;vv;dd;TMP;HR;RS;SO2;CO;NO;NO2;NOX;O3
01/01/2015;0.4;267;10.6;79;94;;0.2;4;15;19;56
02/01/2015;0.3;260;10.2;71;108;;0.3;20;30;50;26
03/01/2015;0.2;229;11;73;107;4;0.2;28;38;66;12
04/01/2015;0.4;259;12.1;77;106;3;0.1;10;26;36;17
05/01/2015;0.4;262;11.4;86;103;6;0.1;12;23;35;23
06/01/2015;0.2;317;11.1;94;87;5;0.1;3;15;17;27
07/01/2015;0.5;301;11.2;88;71;3;0.1;6;18;24;24
08/01/2015;0.4;262;10.7;84;98;4;0.1;11;24;35;20
09/01/2015;0.3;270;10.6;82;114;6;0.1;32;32;64;13
10/01/2015;0.3;274;12.3;76;112;7;0.1;23;35;57;16
11/01/2015;0.3;303;13.5;69;97;4;0.1;10;25;34;24
12/01/2015;0.6;264;12.9;88;101;4;0.1;5;20;24;34
13/01/2015;0.4;262;12.3;88;100;6;0.1;16;30;46;18
14/01/2015;0.4;274;12.8;77;108;5;0.1;17;30;46;23
15/01/2015;0.6;241;13.7;73;105;5;0.1;21;33;53;28
16/01/2015;1.1;224;13.9;61;53;4;0.1;11;27;38;39
17/01/2015;0.9;260;10.7;57;115;7;0.1;4;14;17;60
18/01/2015;0.6;251;8.5;65;78;5;0.1;3;17;20;49
19/01/2015;0.3;317;8.5;88;15;5;0.1;10;20;29;36
20/01/2015;0.5;272;8.3;61;93;4;0.1;7;20;26;52
21/01/2015;0.7;258;9.6;66;85;4;0.1;13;21;34;45
22/01/2015;0.7;279;10.4;59;114;4;0.1;3;12;15;66
23/01/2015;0.9;262;11.5;47;126;4;0.1;4;10;13;73
24/01/2015;1;268;12.9;45;112;4;0.1;4;12;16;71
25/01/2015;0.9;277;13.9;34;118;4;0.1;2;8;10;80
26/01/2015;0.5;238;10.5;58;120;6;0.1;10;26;35;50
27/01/2015;0.7;273;13.2;62;116;7;0.1;12;21;33;48
28/01/2015;0.7;246;12;68;123;5;0.1;7;22;29;55
29/01/2015;1.5;226;15.9;62;80;4;0.1;9;21;30;47
30/01/2015;4.3;277;19.9;68;125;5;0.1;8;12;20;56
31/01/2015;1.5;269;14.5;60;116;3;0.1;3;6;8;79
01/02/2015;1.7;266;11.2;44;130;5;0.1;2;6;9;84
02/02/2015;1.3;240;11;61;95;4;;8;17;25;56
03/02/2015;1.6;251;12.8;60;132;3;;3;13;16;66
04/02/2015;0.9;274;7.4;60;55;6;;2;7;9;76
05/02/2015;1.8;263;7.3;38;127;6;;2;5;6;80
06/02/2015;0.9;286;6.7;44;126;5;0.2;2;10;12;68
07/02/2015;0.5;350;6;64;38;3;0.4;3;15;19;37
08/02/2015;0.9;269;9.1;55;141;4;0.2;3;11;13;59
09/02/2015;1;342;8.4;68;118;4;0.1;3;18;21
10/02/2015;0.8;301;10.3;74;140;5;0.1;3;19;23
11/02/2015;0.8;357;10.9;85;68;3;0.1;4;23;27
12/02/2015;0.3;346;10.8;93;31;4;0.2;11;30;41
13/02/2015;0.7;230;11.9;86;137;3;0.2;17;28;46;38
14/02/2015;0.6;239;13.8;70;76;3;0.1;7;25;32;37
15/02/2015;1;247;17.4;65;127;3;0.1;2;10;12;63
16/02/2015;1.1;264;15.1;72;123;3;0.1;3;17;20
17/02/2015;1.5;30;12.7;79;43;3;0.1;2;15;18
18/02/2015;1;17;12.2;72;112;3;0.1;3;18;21
19/02/2015;0.9;353;10.9;82;89;3;0.1;3;20;23;56
20/02/2015;0.9;251;10.6;78;151;3;0.2;4;24;27;52
21/02/2015;0.9;244;12.1;72;70;3;0.2;4;15;19;50
22/02/2015;1.2;249;13;57;117;3;0.1;2;10;13;68
23/02/2015;1.5;229;17;62;91;3;0.1;8;20;28;34
24/02/2015;1.7;258;14.5;44;150;3;0.1;2;6;8;68
25/02/2015;1.4;266;15.2;55;69;3;0.1;2;8;10;63
26/02/2015;1;279;17.2;68;136;3;0.1;4;19;23;45
27/02/2015;1.4;267;16.4;47;158;3;0.1;2;8;9;65
28/02/2015;0.9;215;12.7;58;163;3;0.1;3;17;19;61
01/03/2015;0.8;247;18.2;67;120;3;0.1;3;19;22;37
02/03/2015;0.9;268;21;68;135;3;0.1;8;23;31;25
03/03/2015;1.2;34;15.7;91;115;3;0.1;2;16;18;42
04/03/2015;0.9;280;14.5;70;132;3;0.1;7;17;24;40
05/03/2015;1;263;13;41;178;4;0.1;4;19;22;56
06/03/2015;0.9;315;12.1;63;174;3;0.1;4;22;25;46
07/03/2015;0.8;245;12.5;78;178;3;0.1;5;23;28;42
08/03/2015;0.7;353;12.3;89;135;3;0.1;2;16;18;59
09/03/2015;0.6;58;13;86;148;3;0.1;6;28;34;41
10/03/2015;0.7;32;13;82;171;3;0.1;5;30;34;43
11/03/2015;0.5;229;13.3;91;164;3;0.2;8;34;41;37
12/03/2015;1;52;15.3;77;179;3;0.2;12;32;45;44
13/03/2015;0.7;259;13.4;90;157;3;0.1;3;24;27;59
14/03/2015;0.9;228;12.5;65;144;3;0.1;3;16;19;58
15/03/2015;1;217;11.6;62;146;3;0.1;3;12;15;69
16/03/2015;0.9;35;10.3;79;180;3;0.1;3;18;21;52
17/03/2015;1.1;49;10.8;76;189;3;0.1;3;16;20;64
18/03/2015;1.9;42;13;93;34;3;0.1;2;13;15;69
19/03/2015;3.4;55;13.8;94;19;3;0.1;2;7;9;80
20/03/2015;3.4;49;13.5;93;22;3;0.1;2;9;11;75
21/03/2015;1.1;40;13.8;96;76;3;0.1;2;10;12;62
22/03/2015;0.2;345;11.7;100;20;3;0.1;2;12;14;53
23/03/2015;1;74;13;100;25;3;0.1;2;10;12;68
24/03/2015;1;26;12.9;99;26;3;0.1;2;10;11;63
25/03/2015;0.9;241;12.4;60;141;3;0.1;2;9;10;67
26/03/2015;0.8;230;12.9;58;205;3;0.1;2;14;17;59
27/03/2015;0.7;170;18.9;65;205;3;0.1;6;22;28;41
28/03/2015;0.9;251;20.2;68;210;3;0.1;3;14;16;43
29/03/2015;1;135;18.6;71;189;3;0.1;3;13;15;44
30/03/2015;0.9;263;23.7;50;95;3;0.1;3;13;14;46
31/03/2015;0.6;195;22.2;63;216;3;0.2;8;29;37;34
01/04/2015;1.1;61;18.1;69;219;3;0.1;3;11;13;63
02/04/2015;0.9;222;15.2;85;221;3;0.1;3;19;21;48
03/04/2015;1;29;14.6;93;208;3;0.1;2;11;13;55
04/04/2015;0.9;107;15.1;90;190;3;0.1;2;14;15;48
05/04/2015;1.3;56;14.4;90;225;3;0.1;2;9;10;55
06/04/2015;1.5;74;15;86;145;3;0.1;2;7;9;78
07/04/2015;1.7;32;13.3;85;110;3;0.1;2;10;11;77
08/04/2015;1.2;23;13.3;77;222;3;0.1;2;13;15;80
09/04/2015;1;17;13.5;80;175;3;0.1;2;13;14;84
10/04/2015;1;9;14.5;79;203;3;0.1;2;12;13;85
11/04/2015;0.7;17;14.3;91;60;3;0.1;2;13;14;78
12/04/2015;1.7;37;15.6;89;160;3;0.1;2;8;9;92
13/04/2015;1.1;25;15.6;75;196;3;0.1;2;13;14;84
14/04/2015;0.7;15;16.3;75;211;3;0.1;4;20;23;61
15/04/2015;0.8;20;15.6;85;50;3;0.1;3;20;22;62
16/04/2015;1;176;18;87;183;3;0.1;6;21;27;56
17/04/2015;1.1;301;19.4;75;225;3;0.1;4;18;22;66
18/04/2015;0.9;34;17.6;89;212;3;0.1;2;12;14;84
19/04/2015;1.3;266;18.2;68;211;3;0.1;2;9;10;86
20/04/2015;1;43;17.1;82;231;3;0.1;2;11;12;85
21/04/2015;1;29;17.1;87;197;3;0.1;2;12;13;80
22/04/2015;1.1;38;16.9;89;169;3;0.1;2;14;15;78
23/04/2015;0.7;117;17.7;88;221;3;0.2;7;19;26;63
24/04/2015;1.2;43;17.9;92;218;3;0.1;3;14;16;78
25/04/2015;0.8;41;18.9;95;141;3;0.1;3;14;16;70
26/04/2015;1.3;243;21.8;70;190;3;0.1;5;19;23;55
27/04/2015;1.5;273;21.8;51;233;3;0.1;5;17;22;69
28/04/2015;1.4;301;18.9;69;246;3;0.1;2;8;10;86
29/04/2015;1.2;39;17.7;86;218;3;0.1;3;15;18;73
30/04/2015;1.1;47;18.1;93;243;3;0.1;3;13;15;77
01/05/2015;1.3;262;24.4;65;150;3;0.1;5;20;24;59
02/05/2015;1.1;54;22.9;76;248;3;0.1;3;12;14;74
03/05/2015;0.8;78;23.2;84;214;3;0.1;3;14;16;85
04/05/2015;1.4;47;21.5;94;150;3;0.1;2;11;13;96
05/05/2015;0.9;210;24.8;65;141;3;0.1;7;23;29;54
06/05/2015;1.2;49;21.3;73;261;3;0.1;2;13;15;83
07/05/2015;1.1;40;20.1;87;253;3;0.1;2;11;12;88
08/05/2015;1.3;241;25.3;63;264;3;0.1;5;22;26;61
09/05/2015;1.1;76;22.9;80;254;3;0.1;2;12;13;84
10/05/2015;1;82;21.6;83;246;3;0.1;2;9;10;79
11/05/2015;0.9;146;21.7;76;247;3;0.1;2;12;14;87
12/05/2015;0.9;32;21.6;78;263;3;0.1;3;17;19;80
13/05/2015;1;38;22.3;84;228;3;0.1;4;17;20;73
14/05/2015;1.3;230;31.2;65;229;3;0.2;8;28;35;55
15/05/2015;1.7;190;22.4;55;271;3;0.1;2;7;9;91
16/05/2015;1.2;230;22;52;276;3;0.1;2;9;10;93
17/05/2015;1.1;81;20.4;71;275;3;0.1;2;9;11;79
18/05/2015;1.2;113;20.9;79;270;3;0.1;3;15;17;71
19/05/2015;1.4;32;18.9;93;79;3;0.1;2;11;12;65
20/05/2015;1.2;192;17.8;69;275;3;0.1;2;8;9;81
21/05/2015;1.2;239;18.4;62;280;3;0.1;2;8;9;85
22/05/2015;1.1;224;18.4;66;281;3;0.1;2;9;10;86
23/05/2015;1.2;164;19.4;71;276;3;0.1;2;9;10;90
24/05/2015;0.8;181;19.7;75;212;3;0.1;2;9;10;87
25/05/2015;0.8;226;21.9;69;214;3;0.1;3;14;16;70
26/05/2015;1.3;104;21.8;70;284;4;0.1;3;8;10;61
27/05/2015;1.1;139;21.1;78;284;3;0.1;3;9;11;71
28/05/2015;1.2;71;21;87;266;3;0.1;2;8;10;77
29/05/2015;1.1;111;21.1;83;246;3;0.1;2;10;11;82
30/05/2015;1.2;89;21.5;87;247;3;0.1;2;9;11;77
31/05/2015;0.9;95;22;87;244;3;0.1;2;8;9;78
01/06/2015;1.1;98;22.4;92;252;3;0.1;2;7;9;76
02/06/2015;1;64;23.2;87;256;3;0.1;2;8;10;74
03/06/2015;0.9;147;23.8;74;278;3;0.1;2;11;13;72
04/06/2015;0.9;94;24.5;66;284;3;0.1;3;10;12;74
05/06/2015;1;62;24.7;65;281;3;0.1;3;11;13;77
06/06/2015;0.9;186;24.9;66;284;3;0.1;3;11;13;71
07/06/2015;0.9;71;25.1;59;288;3;0.1;2;8;10;78
08/06/2015;0.9;169;26.2;55;278;3;0.1;3;14;17;83
09/06/2015;1.2;67;25.9;70;267;5;0.1;3;12;14;93
10/06/2015;1.4;43;25.4;87;215;3;0.1;2;6;7;105
11/06/2015;1;30;24.3;94;78;3;0.1;2;8;9;80
12/06/2015;1.2;42;25.1;83;264;3;0.1;3;9;11;76
13/06/2015;1.3;15;23;92;119;3;0.1;2;7;9;73
14/06/2015;1.3;235;25;61;238;3;0.1;2;8;10;74
15/06/2015;1.1;332;22;77;229;3;0.1;2;9;11;72
16/06/2015;0.8;229;21;86;201;3;0.1;2;9;10;80
17/06/2015;1.1;129;23;78;269;3;0.1;2;8;10;75
18/06/2015;1;90;24.1;80;274;3;0.1;2;10;12;73
19/06/2015;1.2;57;25.2;79;289;3;0.1;2;11;12;110
20/06/2015;1.2;52;24.5;84;275;3;0.1;2;11;12;90
21/06/2015;1.1;82;25.2;83;274;3;0.1;2;9;11;96
22/06/2015;1;179;25.7;80;229;3;0.1;3;14;17;99
23/06/2015;1;320;27;72;226;3;0.1;3;18;20;107
24/06/2015;1.3;65;25.2;81;271;3;0.1;2;9;10;106
25/06/2015;1;159;25.5;83;274;3;0.1;2;12;14;99
26/06/2015;1.2;137;27.4;78;271;3;0.1;3;18;20;102
27/06/2015;1.3;40;27.2;86;267;3;0.1;2;12;13;108
28/06/2015;1.3;39;27.3;88;268;3;0.1;2;9;11;112
29/06/2015;1.1;39;27.3;89;262;3;0.1;2;11;12;111
30/06/2015;0.9;30;28.4;70;268;3;0.1;3;18;20;103
01/07/2015;1.2;35;27.5;86;253;3;0.1;2;13;14;94
02/07/2015;1.6;31;27.9;85;115;3;0.1;2;13;14;107
03/07/2015;1.5;46;27.8;89;217;3;0.1;2;11;12;104
04/07/2015;0.9;28;29;75;253;3;0.1;2;12;13;110
05/07/2015;0.9;28;29;74;261;3;0.1;2;10;11;116
06/07/2015;0.8;81;29.3;75;259;3;0.1;2;17;19;101
07/07/2015;1.1;41;30;73;251;3;0.2;5;23;27;96
08/07/2015;1.4;50;29.1;87;250;3;0.2;2;13;14;97
09/07/2015;1.3;104;28.1;93;211;3;0.1;2;9;11;88
10/07/2015;1.3;68;28.2;92;255;3;0.1;2;10;11;92
11/07/2015;1.3;56;28.1;92;150;3;0.1;2;7;8;96
12/07/2015;1;95;28.2;87;260;3;0.1;2;8;9;95
13/07/2015;1.1;39;28.4;91;255;3;0.1;2;10;12;88
14/07/2015;1.1;33;28.4;93;227;3;0.2;2;9;11;85
15/07/2015;1.2;43;28.6;89;251;3;0.2;2;10;11;97
16/07/2015;0.9;47;28.9;84;252;3;0.2;2;11;12;104
17/07/2015;0.9;44;29.2;81;240;3;0.1;3;15;16;95
18/07/2015;0.9;36;29.2;85;231;3;0.2;2;10;11;88
19/07/2015;1;43;29.2;87;212;3;0.1;2;9;10;83
20/07/2015;1.2;38;29.2;93;253;3;0.2;2;10;11;88
21/07/2015;1.2;66;29.8;93;242;3;0.3;2;10;12;85
22/07/2015;1.4;17;29.7;78;239;3;0.2;2;14;16;98
23/07/2015;1.1;96;29.5;85;253;3;0.1;2;12;13;90
24/07/2015;1.2;65;30.4;88;254;3;0.2;3;14;16;93
25/07/2015;1.9;54;29.8;84;232;3;0.1;2;8;10;91
26/07/2015;1.4;72;28.9;96;222;3;0.2;2;6;7;84
27/07/2015;1.4;61;30.1;91;259;3;0.2;4;10;13;84
28/07/2015;1.5;64;29.6;94;237;3;0.2;2;8;9;93
29/07/2015;1.2;73;29.9;94;226;3;0.2;2;7;9;88
30/07/2015;1.6;67;28.7;95;87;3;0.2;2;6;7;90
31/07/2015;1.4;51;27.1;94;132;3;0.2;2;12;13;84
01/08/2015;1.2;36;25.5;86;216;3;0.1;2;9;10;102
02/08/2015;1.1;148;27.2;89;247;3;0.1;2;7;8;103
03/08/2015;0.9;44;28.6;87;219;3;0.1;3;11;13;92
04/08/2015;1;37;29;89;240;3;0.1;2;11;12;93
05/08/2015;1;48;29.1;92;247;3;0.1;2;8;10;95
06/08/2015;1.1;70;29.4;94;231;3;0.2;2;9;10;89
07/08/2015;1.1;163;30.5;93;171;3;0.2;4;14;18;78
08/08/2015;0.8;18;27.9;95;73;3;0.1;2;12;13;73
09/08/2015;0.8;51;26.7;88;141;3;0.1;2;10;11;71
10/08/2015;1;25;27.4;85;230;3;0.1;3;10;12;83
11/08/2015;1;77;28.5;92;190;3;0.1;2;10;12;81
12/08/2015;1.2;85;29.6;96;221;3;0.2;2;8;9;93
13/08/2015;1.2;288;32.5;57;255;3;0.2;5;20;25;70
14/08/2015;1.2;46;28.6;62;239;3;0.1;2;9;10;88
15/08/2015;1.1;28;25.1;76;107;3;0.1;2;11;12;75
16/08/2015;1.1;198;26.3;81;213;3;0.1;2;7;8;81
17/08/2015;1.2;11;26.6;92;154;3;0.1;2;12;14;76
18/08/2015;1.7;36;25.2;94;130;3;0.1;2;9;10;79
19/08/2015;1;27;26;91;148;3;0.1;2;10;10;82
20/08/2015;1;126;27.8;92;203;3;0.1;3;10;12;65
21/08/2015;1;107;27.9;91;201;3;0.1;3;12;14;68
22/08/2015;0.9;15;27.4;90;214;3;0.1;2;8;10;71
23/08/2015;1.5;265;30.5;51;219;4;0.1;5;16;21;45
24/08/2015;1.3;268;29.6;56;227;3;0.1;5;15;20;56
25/08/2015;1.1;24;27.4;80;211;3;0.1;2;11;12;73
26/08/2015;1;184;27.5;88;217;3;0.1;2;10;12;71
27/08/2015;1.1;26;27.6;90;219;3;0.1;3;11;14;59
28/08/2015;0.9;29;27.6;91;210;3;0.1;2;11;12;63
29/08/2015;1;28;27.7;92;213;3;0.1;2;8;9;59
30/08/2015;1.1;35;27.8;95;199;3;0.1;2;6;7;61
31/08/2015;1;233;28.3;95;164;3;0.1;3;14;16;47
