Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;7;10;;5;;;;4
02/01/2014;;9;18;;7;;;;4
03/01/2014;;9;18;;11;;;;4
04/01/2014;;8;10;;9;;;;7
05/01/2014;;7;11;;10;;;;7
06/01/2014;;7;10;;12;;;;6
07/01/2014;;10;21;;8;;;;11
08/01/2014;;21;38;;19;;;;16
09/01/2014;;57;64;;30;;;;26
10/01/2014;;93;63;;36;;;;17
11/01/2014;;38;39;;33;;;;20
12/01/2014;;8;17;;24;;;;8
13/01/2014;;9;16;;11;;;;6
14/01/2014;;9;16;;7;;;;6
15/01/2014;;10;20;;10;;;;6
16/01/2014;;9;17;;10;;;;6
17/01/2014;;10;24;;10;;;;9
18/01/2014;;9;19;;9;;;;4
19/01/2014;;7;12;;9;;;;6
20/01/2014;;10;21;;11;;;;4
21/01/2014;;10;23;;10;;;;5
22/01/2014;;8;24;;13;;;;5
23/01/2014;;8;31;;12;;;;8
24/01/2014;;2;20;;17;;;;5
25/01/2014;;2;15;;7;;;;4
26/01/2014;;2;16;;9;;;;5
27/01/2014;;2;11;;12;;;;5
28/01/2014;;1;11;;10;;;;5
29/01/2014;;2;14;;8;;;;6
30/01/2014;;2;15;;11;;;;7
31/01/2014;;2;16;;9;;;;3
01/02/2014;;1;12;;10;;;;4
02/02/2014;;4;20;;13;;;;8
03/02/2014;;2;15;;12;;;;7
04/02/2014;;2;15;;9;;;;6
05/02/2014;;2;15;;13;;;;6
06/02/2014;;3;10;;10;;;;4
07/02/2014;;6;16;;11;;;;3
08/02/2014;;4;11;;10;;;;3
09/02/2014;;3;12;;9;;;;7
10/02/2014;;4;13;;10;;;;2
11/02/2014;;7;22;;7;;;;5
12/02/2014;;8;21;;10;;;;5
13/02/2014;;6;13;;7;;;;4
14/02/2014;;6;12;;6;;;;6
15/02/2014;;5;16;;8;;;;7
16/02/2014;;5;21;;11;;;;5
17/02/2014;;12;30;;13;;;;7
18/02/2014;;13;34;;10;;;;4
19/02/2014;;9;30;;11;;;;5
20/02/2014;;6;19;;13;;;;2
21/02/2014;;5;30;;10;;;;4
22/02/2014;;5;33;;15;;;;9
23/02/2014;;9;56;;16;;;;17
24/02/2014;;5;25;;8;;;;9
25/02/2014;;4;19;;13;;;;10
26/02/2014;;4;24;;11;;;;14
27/02/2014;;5;28;;11;;;;6
28/02/2014;;4;18;;14;;;;4
01/03/2014;;4;18;;10;;;;2
02/03/2014;;4;22;;3;;;;2
03/03/2014;;4;14;;13;;;;4
04/03/2014;;4;14;;10;;;;3
05/03/2014;;8;26;;13;;;;5
06/03/2014;;17;36;;24;;;;10
07/03/2014;;16;46;;24;;;;8
08/03/2014;;14;41;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;12
09/03/2014;;5;31;;20;;;;11
10/03/2014;;8;32;;30;;;;7
11/03/2014;;5;28;;24;;;;3
12/03/2014;;10;38;;37;;;;5
13/03/2014;;18;42;;40;;;;11
14/03/2014;;30;57;;43;;;;17
15/03/2014;;4;29;;38;;;;4
16/03/2014;;10;33;;31;;;;5
17/03/2014;;17;45;;32;;;;10
18/03/2014;;13;35;;39;;;;9
19/03/2014;;12;36;;29;;;;7
20/03/2014;;15;36;;31;;;;10
21/03/2014;;5;19;;26;;;;4
22/03/2014;;3;13;;9;;;;3
23/03/2014;;3;18;;10;;;;3
24/03/2014;;5;21;;16;;;;3
25/03/2014;;4;13;;19;;;;4
26/03/2014;;5;20;;8;;;;5
27/03/2014;;6;27;;12;;;;5
28/03/2014;;9;34;;15;;;;8
29/03/2014;;5;22;;8;;;;3
30/03/2014;;3;16;;9;;;;5
31/03/2014;;6;26;;11;;;;9
01/04/2014;;5;24;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;9
02/04/2014;;6;28;;7;;;;6
03/04/2014;;6;20;;8;;;;4
04/04/2014;;6;23;;7;;;;4
05/04/2014;;5;20;;8;;;;3
06/04/2014;;4;22;;8;;;;7
07/04/2014;;14;30;;8;;;;9
08/04/2014;;18;33;;11;;;;7
09/04/2014;;9;29;;23;;;;4
10/04/2014;;10;32;;33;;;;3
11/04/2014;;8;28;;23;;;;2
12/04/2014;;4;22;;25;;;;3
13/04/2014;;3;20;;25;;;;4
14/04/2014;;5;27;;23;;;;4
15/04/2014;;6;38;;18;;;;4
16/04/2014;;12;36;;22;;;;6
17/04/2014;;5;29;;20;;;;3
18/04/2014;;3;25;;17;;;;3
19/04/2014;;4;19;;18;;;;2
20/04/2014;;3;18;;9;;;;2
21/04/2014;;5;22;;10;;;;3
22/04/2014;;5;25;;13;;;;4
23/04/2014;;3;18;;8;;;;4
24/04/2014;;5;23;;14;;;;3
25/04/2014;;5;23;;14;;;;3
26/04/2014;;4;19;;10;;;;5
27/04/2014;;3;18;;13;;;;5
28/04/2014;;5;21;;14;;;;2
29/04/2014;;5;21;;12;;;;3
30/04/2014;;5;25;;10;;;;2
01/05/2014;;3;20;;10;;;;4
02/05/2014;;6;25;;15;;;;5
03/05/2014;;4;19;;12;;;;3
04/05/2014;;5;33;;13;;;;4
05/05/2014;;14;47;;20;;;;9
06/05/2014;;7;32;;18;;;;3
07/05/2014;;4;22;;16;;;;3
08/05/2014;;4;20;;21;;;;4
09/05/2014;;4;26;;22;;;;4
10/05/2014;;3;17;;17;;;;2
11/05/2014;;2;18;;12;;;;3
12/05/2014;;5;25;;20;;;;3
13/05/2014;;3;17;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;3
14/05/2014;;4;21;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
15/05/2014;;4;25;;;;;;2
