Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3
01/01/2014;00:00:00;5;15;52;38;12;18
01/01/2014;01:00:00;4;5;35;36;10;24
01/01/2014;02:00:00;4;2;22;36;11;35
01/01/2014;03:00:00;4;2;19;37;10;37
01/01/2014;04:00:00;4;1;34;36;10;26
01/01/2014;05:00:00;6;6;55;36;11;14
01/01/2014;06:00:00;6;3;33;31;13;38
01/01/2014;07:00:00;6;4;16;26;9;56
01/01/2014;08:00:00;5;3;10;22;6;61
01/01/2014;09:00:00;5;9;19;23;7;59
01/01/2014;10:00:00;4;4;7;26;8;67
01/01/2014;11:00:00;4;4;6;30;6;68
01/01/2014;12:00:00;4;4;6;32;7;69
01/01/2014;13:00:00;4;3;6;34;7;70
01/01/2014;14:00:00;4;6;9;34;8;69
01/01/2014;15:00:00;4;4;15;33;8;67
01/01/2014;16:00:00;4;5;12;29;8;68
01/01/2014;17:00:00;4;4;19;23;6;59
01/01/2014;18:00:00;4;3;19;20;7;51
01/01/2014;19:00:00;5;2;15;17;6;54
01/01/2014;20:00:00;6;2;27;18;7;47
01/01/2014;21:00:00;4;2;18;18;6;52
01/01/2014;22:00:00;4;1;14;17;6;52
01/01/2014;23:00:00;4;1;10;17;5;51
02/01/2014;00:00:00;4;2;6;20;6;58
02/01/2014;01:00:00;4;1;12;20;5;52
02/01/2014;02:00:00;4;1;12;22;7;54
02/01/2014;03:00:00;4;1;18;21;4;45
02/01/2014;04:00:00;4;1;25;22;7;42
02/01/2014;05:00:00;5;16;59;22;7;14
02/01/2014;06:00:00;6;21;59;28;11;20
02/01/2014;07:00:00;4;5;14;22;9;59
02/01/2014;08:00:00;4;5;13;19;7;60
02/01/2014;09:00:00;5;10;14;20;7;58
02/01/2014;10:00:00;5;8;14;22;7;62
02/01/2014;11:00:00;4;5;9;20;4;69
02/01/2014;12:00:00;5;4;8;19;5;74
02/01/2014;13:00:00;5;5;9;21;6;74
02/01/2014;14:00:00;6;7;18;22;6;68
02/01/2014;15:00:00;5;6;16;18;4;69
02/01/2014;16:00:00;4;6;24;22;7;62
02/01/2014;17:00:00;5;3;29;19;6;53
02/01/2014;18:00:00;5;7;47;16;7;31
02/01/2014;19:00:00;5;11;52;19;6;24
02/01/2014;20:00:00;5;28;73;18;7;6
02/01/2014;21:00:00;4;18;62;18;8;12
02/01/2014;22:00:00;4;21;58;14;6;12
02/01/2014;23:00:00;4;8;50;13;5;18
03/01/2014;00:00:00;5;2;23;13;6;40
03/01/2014;01:00:00;4;1;14;10;4;47
03/01/2014;02:00:00;4;1;19;10;4;42
03/01/2014;03:00:00;4;5;35;13;4;35
03/01/2014;04:00:00;4;3;29;10;5;40
03/01/2014;05:00:00;5;N;N;4;4;10
03/01/2014;06:00:00;9;N;N;14;6;3
03/01/2014;07:00:00;6;N;N;45;23;40
03/01/2014;08:00:00;5;8;19;31;16;56
03/01/2014;09:00:00;6;9;20;22;9;54
03/01/2014;10:00:00;5;7;14;18;7;62
03/01/2014;11:00:00;4;7;12;20;6;66
03/01/2014;12:00:00;4;8;12;18;6;68
03/01/2014;13:00:00;5;7;14;18;4;68
03/01/2014;14:00:00;6;9;21;19;8;63
03/01/2014;15:00:00;6;7;27;19;6;57
03/01/2014;16:00:00;5;3;25;17;6;57
03/01/2014;17:00:00;4;2;16;14;5;57
03/01/2014;18:00:00;4;3;15;12;6;55
03/01/2014;19:00:00;4;2;24;11;4;43
03/01/2014;20:00:00;4;11;58;17;7;10
03/01/2014;21:00:00;4;12;54;22;9;17
03/01/2014;22:00:00;4;12;54;18;8;17
03/01/2014;23:00:00;4;4;35;15;6;28
04/01/2014;00:00:00;4;5;35;13;7;28
04/01/2014;01:00:00;4;3;25;11;4;31
04/01/2014;02:00:00;4;1;9;6;4;50
04/01/2014;03:00:00;4;1;9;8;4;51
04/01/2014;04:00:00;4;1;6;8;5;51
04/01/2014;05:00:00;4;10;29;8;4;34
04/01/2014;06:00:00;5;27;52;14;7;22
04/01/2014;07:00:00;4;7;19;18;8;46
04/01/2014;08:00:00;4;5;10;11;4;53
04/01/2014;09:00:00;5;6;13;12;4;48
04/01/2014;10:00:00;5;5;13;14;4;49
04/01/2014;11:00:00;4;4;7;12;4;52
04/01/2014;12:00:00;4;4;9;14;4;51
04/01/2014;13:00:00;4;4;8;14;4;52
04/01/2014;14:00:00;4;4;7;11;4;51
04/01/2014;15:00:00;4;2;7;10;4;51
04/01/2014;16:00:00;4;2;5;10;4;53
04/01/2014;17:00:00;4;2;5;6;4;52
04/01/2014;18:00:00;4;2;4;5;4;53
04/01/2014;19:00:00;4;2;6;4;4;51
04/01/2014;20:00:00;4;3;7;5;4;52
04/01/2014;21:00:00;4;3;8;4;4;50
04/01/2014;22:00:00;4;2;6;5;4;53
04/01/2014;23:00:00;4;1;7;7;4;51
05/01/2014;00:00:00;4;1;8;8;5;50
05/01/2014;01:00:00;4;2;6;8;4;53
05/01/2014;02:00:00;4;1;10;9;4;50
05/01/2014;03:00:00;4;7;17;14;4;42
05/01/2014;04:00:00;4;8;39;14;4;18
05/01/2014;05:00:00;4;29;53;11;6;8
05/01/2014;06:00:00;4;12;38;11;6;22
05/01/2014;07:00:00;9;10;35;14;6;35
05/01/2014;08:00:00;8;7;21;16;6;49
05/01/2014;09:00:00;6;6;15;18;5;57
05/01/2014;10:00:00;4;3;7;19;6;67
05/01/2014;11:00:00;4;3;5;19;4;68
05/01/2014;12:00:00;4;4;6;21;5;66
05/01/2014;13:00:00;4;3;8;18;4;65
05/01/2014;14:00:00;4;3;9;18;6;66
05/01/2014;15:00:00;4;3;11;17;5;62
05/01/2014;16:00:00;5;2;16;14;5;54
05/01/2014;17:00:00;6;3;29;14;5;42
05/01/2014;18:00:00;6;3;23;13;5;45
05/01/2014;19:00:00;5;2;21;14;5;48
05/01/2014;20:00:00;6;1;17;14;5;52
05/01/2014;21:00:00;6;1;19;14;5;49
05/01/2014;22:00:00;5;2;16;14;5;56
05/01/2014;23:00:00;5;1;16;13;5;48
