Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;CO;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;4;2;7;26;9;53;0.1;230;0.4;13.8;83;1026;0;0
01/01/2014;1:00:00;4;1;7;23;8;55;0.1;230;0.9;13.1;82;1025;0;0
01/01/2014;2:00:00;3;2;6;23;8;57;0.1;230;0.9;12.8;82;1025;0;0
01/01/2014;3:00:00;3;2;7;21;7;60;0.1;229;1.1;12.6;79;1024;0;0
01/01/2014;4:00:00;3;2;6;22;7;58;0.1;231;1.1;12.3;78;1024;0;0
01/01/2014;5:00:00;3;2;6;20;7;60;0.1;228;1.1;12.5;81;1024;0;0
01/01/2014;6:00:00;3;2;6;18;7;60;0.1;226;1.3;12.3;78;1024;0;0
01/01/2014;7:00:00;3;1;6;18;7;59;0.1;227;1.8;12;76;1024;0;0
01/01/2014;8:00:00;3;1;6;18;7;60;0.1;229;2;11.9;76;1024;0;0
01/01/2014;9:00:00;3;2;7;20;7;62;0.1;235;1.4;12.7;80;1025;29;0
01/01/2014;10:00:00;5;3;9;18;7;73;0.1;310;0.1;16.1;76;1026;177;0
01/01/2014;11:00:00;4;2;7;18;7;79;0.1;12;0.4;18.2;68;1025;474;0
01/01/2014;12:00:00;3;2;6;18;7;83;0.1;9;0.9;18.5;68;1026;555;0
01/01/2014;13:00:00;3;2;6;19;7;82;0.1;7;0.9;18.1;70;1025;400;0
01/01/2014;14:00:00;3;2;6;19;7;81;0.1;17;1.1;17.7;71;1024;289;0
01/01/2014;15:00:00;3;2;6;19;7;78;0.1;7;0.9;17.6;72;1024;208;0
01/01/2014;16:00:00;3;2;6;18;7;78;0.1;2;1.1;17.1;74;1023;157;0
01/01/2014;17:00:00;3;2;7;17;7;77;0.1;0;0.9;16.9;75;1023;105;0
01/01/2014;18:00:00;4;2;9;15;6;45;0.1;117;0.3;16.5;77;1024;48;0
01/01/2014;19:00:00;4;2;9;14;5;44;0.1;230;0.7;14;73;1024;4;0
01/01/2014;20:00:00;3;2;8;14;5;50;0.1;229;0.9;12.7;75;1024;0;0
01/01/2014;21:00:00;4;2;8;14;5;52;0.1;229;1.1;12.4;82;1025;0;0
01/01/2014;22:00:00;5;2;13;12;4;39;0.1;237;0.7;12;79;1025;0;0
01/01/2014;23:00:00;4;1;8;11;4;53;0.1;229;0.4;12;78;1025;0;0
02/01/2014;0:00:00;4;1;7;9;3;55;0.1;229;1.1;11.9;79;1025;0;0
02/01/2014;1:00:00;3;1;7;7;3;54;0.1;230;1.3;11.6;66;1024;0;0
02/01/2014;2:00:00;5;1;13;7;2;38;0.1;247;0.9;11.2;63;1024;0;0
02/01/2014;3:00:00;6;1;12;6;2;38;0.1;242;0.4;11.2;63;1023;0;0
02/01/2014;4:00:00;8;2;17;6;2;21;0.1;232;0.7;11.2;59;1023;0;0
02/01/2014;5:00:00;3;2;6;7;2;56;0.1;230;0.9;10.9;63;1023;0;0
02/01/2014;6:00:00;3;1;6;7;2;56;0.1;229;0.9;11.2;76;1023;0;0
02/01/2014;7:00:00;3;1;8;6;2;53;0.1;229;1.1;11.2;76;1023;0;0
02/01/2014;8:00:00;3;3;10;7;2;49;0.1;228;0.9;11.1;81;1024;0;0
02/01/2014;9:00:00;9;5;17;6;2;41;0.1;245;1.1;12.8;81;1024;43;0
02/01/2014;10:00:00;8;4;12;6;2;63;0.1;6;0.3;17.1;77;1025;243;0
02/01/2014;11:00:00;4;2;7;6;2;81;0.1;9;0.7;17.8;75;1025;429;0
02/01/2014;12:00:00;3;2;6;6;2;81;0.1;32;0.9;18.4;74;1025;552;0
02/01/2014;13:00:00;3;2;7;5;2;77;0.1;44;0.9;18.6;74;1024;651;0
02/01/2014;14:00:00;3;2;7;6;2;82;0.1;50;0.7;19.1;72;1024;662;0
02/01/2014;15:00:00;4;2;8;6;2;77;0.1;23;0.9;18.9;73;1023;509;0
02/01/2014;16:00:00;4;2;8;7;2;75;0.1;19;0.4;18.7;73;1023;507;0
02/01/2014;17:00:00;4;2;8;8;3;72;0.1;20;0.4;18.4;73;1023;345;0
02/01/2014;18:00:00;3;2;13;10;3;38;0.1;20;0.1;17;78;1023;27;0
02/01/2014;19:00:00;4;2;12;11;4;30;0.1;126;0.1;15.4;82;1024;3;0
02/01/2014;20:00:00;5;3;15;10;3;20;0.1;235;0.4;14.2;85;1024;0;0
02/01/2014;21:00:00;5;3;15;10;3;23;0.1;235;0.3;13.7;86;1025;0;0
02/01/2014;22:00:00;4;2;9;10;3;43;0.1;236;0.4;13.4;87;1025;0;0
02/01/2014;23:00:00;3;2;7;9;3;46;0.1;229;0.9;13.2;88;1025;0;0
03/01/2014;0:00:00;3;2;6;7;2;44;0.1;232;0.9;12.9;87;1025;0;0
03/01/2014;1:00:00;3;1;6;6;2;46;0.1;246;0.4;12.8;84;1025;0;0
03/01/2014;2:00:00;3;1;6;6;2;44;0.1;245;0.3;12.9;82;1025;0;0
03/01/2014;3:00:00;3;1;6;5;1;47;0.1;245;0.4;12.8;82;1025;0;0
03/01/2014;4:00:00;3;1;6;5;1;45;0.1;242;0.3;12.8;82;1024;0;0
03/01/2014;5:00:00;3;1;6;5;1;45;0.1;238;0.3;12.3;82;1024;0;0
03/01/2014;6:00:00;3;2;6;4;1;43;0.1;230;0.7;12.3;80;1024;0;0
03/01/2014;7:00:00;3;1;8;4;1;42;0.1;230;0.9;12.3;81;1025;0;0
03/01/2014;8:00:00;3;1;8;4;1;44;0.1;236;0.9;12.3;83;1025;0;0
03/01/2014;9:00:00;3;2;8;3;1;60;0.1;242;0.7;14.3;83;1025;61;0
03/01/2014;10:00:00;7;5;11;3;1;61;0.1;4;0.3;18.2;77;1026;269;0
03/01/2014;11:00:00;3;2;6;3;1;74;0.1;12;1.1;18.5;76;1027;472;0
03/01/2014;12:00:00;3;2;6;4;1;73;0.1;6;1.1;18.7;76;1027;456;0
03/01/2014;13:00:00;3;3;6;5;1;71;0.1;6;0.9;18.2;76;1027;221;0
