Fecha;SO2;O3;CO;NO;NO2;PM10;NOX
01/01/2014;;24;0.6;27;55;;97
02/01/2014;;7;0.7;78;77;;197
03/01/2014;;13;0.6;60;60;;153
04/01/2014;;39;0.3;32;38;23;87
05/01/2014;;56;0.2;9;35;11;48
06/01/2014;;36;0.3;19;40;18;70
07/01/2014;;16;0.5;78;74;47;193
08/01/2014;;18;0.4;49;56;54;131
09/01/2014;;23;0.3;33;53;44;103
10/01/2014;;18;0.3;30;59;;104
11/01/2014;;10;0.6;62;63;85;158
12/01/2014;;18;0.4;28;44;57;87
13/01/2014;;17;0.3;49;57;34;133
14/01/2014;;34;0.2;34;55;15;108
15/01/2014;;22;0.3;47;59;22;131
16/01/2014;;6;0.6;78;64;;183
17/01/2014;;25;0.3;39;54;25;114
18/01/2014;;28;0.4;28;49;35;92
19/01/2014;;32;0.3;15;36;;59
20/01/2014;;48;0.2;24;44;13;81
21/01/2014;;29;0.3;41;59;28;122
22/01/2014;;15;0.4;42;61;26;124
23/01/2014;;25;0.4;34;59;17;111
24/01/2014;;44;0.3;19;47;;77
25/01/2014;;51;0.3;8;25;;38
26/01/2014;;35;0.4;14;39;;60
27/01/2014;;42;0.4;27;43;;85
28/01/2014;;38;0.4;20;45;;75
29/01/2014;;11;0.4;34;56;19;108
30/01/2014;;12;0.3;14;53;4;73
31/01/2014;;7;0.4;37;66;35;124
01/02/2014;;11;0.4;18;50;30;78
02/02/2014;;21;0.3;14;35;17;57
03/02/2014;;5;0.5;42;62;38;126
04/02/2014;;10;0.3;31;61;22;108
05/02/2014;;7;0.5;31;61;40;107
06/02/2014;;8;0.5;49;63;40;137
07/02/2014;;14;0.4;25;58;19;97
08/02/2014;;20;0.4;22;50;21;83
09/02/2014;;11;0.4;11;47;33;64
10/02/2014;;32;0.3;6;35;6;44
11/02/2014;;21;0.4;19;55;17;83
12/02/2014;;7;0.3;29;60;36;104
13/02/2014;;9;0.4;67;62;36;164
14/02/2014;;20;0.3;48;58;31;132
15/02/2014;;26;0.3;33;51;58;101
16/02/2014;;53;0.2;9;30;23;44
17/02/2014;;33;0.3;23;50;30;85
18/02/2014;;36;0.3;18;45;30;72
19/02/2014;;38;0.3;30;51;29;96
20/02/2014;;36;0.2;30;55;34;100
21/02/2014;;41;0.2;26;45;17;85
22/02/2014;;50;0.2;15;48;17;71
23/02/2014;;51;0.2;12;40;30;57
24/02/2014;;22;0.4;38;72;45;131
25/02/2014;;34;0.3;36;60;23;115
26/02/2014;;38;0.3;39;61;22;121
27/02/2014;;31;0.3;37;67;33;123
28/02/2014;;47;0.2;28;48;20;90
01/03/2014;;39;0.3;40;63;;123
02/03/2014;;44;0.2;22;32;;65
03/03/2014;;62;0.1;13;31;;51
04/03/2014;;64;0.2;15;38;;61
05/03/2014;;45;0.2;21;44;17;75
06/03/2014;;46;0.3;21;42;35;75
07/03/2014;;66;0.3;18;44;30;71
08/03/2014;;57;0.3;13;45;38;64
09/03/2014;;66;0.3;9;38;41;52
10/03/2014;;53;0.3;22;50;37;82
