Fecha;NO;NO2;NOX;PM10;PM25;O3;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;22;66;61;27;17;;308;84;1019.1;9.2;150;17.3;1.6
30/09/2015;21;74;71;22;13;;135;78;1015.4;0;159.1;18.5;0.63
29/09/2015;24;53;65;27;15;;341;87;1017;0;109.7;15.8;0.25
28/09/2015;15;53;52;22;12;;105;80;1020.9;0;185.3;17.4;1.04
27/09/2015;11;43;35;18;10;;295;84;1021.1;0;165.7;16.3;0.25
26/09/2015;10;41;36;19;10;;78;84;1018.4;0.1;142.5;17.9;0.95
25/09/2015;19;41;53;25;10;;94;80;1019.3;0;171.7;17.5;1
24/09/2015;13;47;48;19;8;;100;82;1019.8;0.1;152.3;17.8;1.32
23/09/2015;6;56;34;12;6;;285;94;1017.9;9.2;49;16.1;0.73
22/09/2015;4;38;22;15;5;;292;84;1015.6;3;87;17.1;3.1
21/09/2015;17;39;47;19;9;;331;83;1017.3;0;131.2;17;0.85
20/09/2015;6;56;30;11;5;;109;77;1021.5;0;198.8;17;0.6
19/09/2015;9;37;33;14;5;;51;79;1024.2;0;164.5;16.8;0.49
18/09/2015;14;52;50;19;7;;46;77;1020.6;0;165.7;16.4;0.73
17/09/2015;4;44;26;11;4;;261;75;1011;0.6;67.7;16.7;1.44
16/09/2015;3;13;11;12;4;;227;58;994.7;0;116.2;23.3;4.41
15/09/2015;16;52;45;18;6;;185;71;1001.5;1.6;37.9;19.2;3.18
14/09/2015;5;54;27;16;5;;295;75;1011.7;2;123.5;17.5;1.64
13/09/2015;5;22;19;13;6;;219;76;1005.8;0.3;93.4;19.6;1.42
12/09/2015;4;33;20;16;9;;57;88;1010.9;0.1;69.8;19.9;0.53
11/09/2015;16;45;49;22;11;;284;81;1011.7;0;196;19.8;0.42
10/09/2015;13;59;44;24;11;;319;87;1014.6;0;131.2;19.4;0.88
09/09/2015;19;54;59;28;15;;336;83;1013.1;0;155.7;18.9;0.47
08/09/2015;16;58;57;26;11;;111;75;1016.9;0;214.5;17.5;0.51
07/09/2015;14;52;47;21;10;;63;76;1022.1;0;177.5;16.6;0.97
06/09/2015;5;43;25;14;5;;88;74;1022.6;0;181.6;16.8;1.14
05/09/2015;7;43;30;15;5;;75;81;1021.3;0;129.6;16.8;0.52
04/09/2015;4;41;22;12;4;;333;85;1018.3;1.6;85.5;16.7;0.31
03/09/2015;6;51;29;15;6;;314;86;1017;2.5;95.1;17.5;1.13
02/09/2015;13;36;39;19;8;;27;83;1016.8;1.8;86.1;17.6;0.47
