Fecha;SO2;NO2;PM10;O3;NO;NOX;PM25
03/10/2015;3;10;12;62;5;14;11
04/10/2015;3;11;12;36;5;15;11
05/10/2015;2;8;12;50;4;11;11
06/10/2015;2;8;11;60;5;12;10
07/10/2015;3;6;10;69;4;10;9
08/10/2015;4;7;10;45;5;12;9
09/10/2015;4;13;11;36;6;18;10
10/10/2015;4;13;12;38;5;17;10
11/10/2015;4;13;11;40;5;16;10
12/10/2015;3;9;11;41;5;14;10
13/10/2015;3;7;10;72;5;11;9
14/10/2015;4;7;10;84;5;11;9
15/10/2015;4;11;9;67;5;15;8
16/10/2015;4;13;9;42;5;17;8
17/10/2015;4;12;9;41;5;16;8
18/10/2015;3;12;9;28;4;15;8
19/10/2015;4;15;9;17;7;21;8
20/10/2015;3;8;10;71;5;11;9
21/10/2015;7;9;10;77;4;12;8
22/10/2015;5;8;9;77;5;12;8
23/10/2015;4;11;10;30;5;16;8
24/10/2015;5;13;0;34;6;19;0
25/10/2015;3;10;0;40;4;14;0
26/10/2015;4;9;0;53;6;14;0
27/10/2015;3;8;0;54;5;12;0
28/10/2015;3;11;0;39;4;14;0
29/10/2015;4;16;13;27;5;20;0
30/10/2015;5;14;19;30;7;19;0
31/10/2015;3;10;14;51;4;13;0
01/11/2015;3;10;20;47;5;14;0
