Fecha;Hora;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
01/01/2015;1:00:00;2.0;2;61;26;29;1.1;10.8;69;1026;0.0
01/01/2015;2:00:00;2.6;2;61;25;24;1.1;10.7;65;1027;0.0
01/01/2015;3:00:00;2.2;1;54;24;24;1.0;9.5;72;1027;0.0
01/01/2015;4:00:00;2.4;1;56;16;95;1.3;10.2;74;1028;0.0
01/01/2015;5:00:00;2.3;1;67;22;91;1.5;12.5;62;1028;0.0
01/01/2015;6:00:00;2.1;2;75;26;270;1.7;13.1;58;1029;0.0
01/01/2015;7:00:00;2.3;2;69;24;114;1.2;12.3;60;1030;0.0
01/01/2015;8:00:00;2.2;2;71;22;14;1.4;13.2;55;1030;0.0
01/01/2015;9:00:00;2.7;3;60;20;196;1.1;13.7;57;1031;0.0
01/01/2015;10:00:00;2.3;2;71;22;109;1.5;15.0;55;1032;0.0
01/01/2015;11:00:00;2.6;2;78;29;226;1.8;16.0;51;1032;0.0
01/01/2015;12:00:00;2.2;2;81;20;230;2.1;16.1;50;1031;0.0
01/01/2015;13:00:00;2.4;2;84;19;269;1.8;15.9;50;1031;0.0
01/01/2015;14:00:00;2.3;2;87;24;303;1.8;15.9;50;1030;0.0
01/01/2015;15:00:00;2.2;2;88;30;284;1.8;15.9;51;1031;0.0
01/01/2015;16:00:00;2.1;3;87;23;248;1.7;15.3;55;1031;0.0
01/01/2015;17:00:00;2.4;3;71;21;136;1.1;13.7;62;1031;0.0
01/01/2015;18:00:00;2.0;2;58;18;11;1.9;10.5;73;1032;0.0
01/01/2015;19:00:00;2.2;2;59;16;10;1.9;9.4;79;1032;0.0
01/01/2015;20:00:00;2.0;1;58;26;11;2.0;8.9;82;1032;0.0
01/01/2015;21:00:00;2.3;1;60;22;11;2.4;8.8;83;1032;0.0
01/01/2015;22:00:00;2.1;2;60;22;9;2.4;8.8;80;1032;0.0
01/01/2015;23:00:00;2.0;2;59;19;8;2.3;8.9;82;1032;0.0
01/01/2015;0:00:00;1.8;1;60;14;6;2.2;8.9;83;1032;0.0
02/01/2015;1:00:00;2.4;1;59;19;3;2.0;9.2;83;1032;0.0
02/01/2015;2:00:00;2.5;1;58;13;356;1.5;10.0;84;1032;0.0
02/01/2015;3:00:00;2.0;1;58;19;348;0.9;11.1;83;1031;0.0
02/01/2015;4:00:00;2.8;2;48;18;15;1.6;10.3;85;1031;0.0
02/01/2015;5:00:00;2.1;2;46;14;179;1.6;10.0;88;1031;0.0
02/01/2015;6:00:00;2.4;1;45;14;8;1.4;9.9;89;1031;0.0
02/01/2015;7:00:00;2.7;1;41;14;6;1.8;9.7;90;1032;0.2
02/01/2015;8:00:00;2.9;2;35;23;8;1.5;10.0;91;1033;0.0
02/01/2015;9:00:00;2.4;3;27;17;14;0.6;12.4;90;1034;0.0
02/01/2015;10:00:00;2.7;4;47;18;182;1.2;15.7;81;1034;0.0
02/01/2015;11:00:00;2.8;4;70;18;239;2.0;16.4;66;1034;0.0
02/01/2015;12:00:00;3.0;4;73;;236;2.0;16.6;65;1034;0.0
02/01/2015;13:00:00;;;;;243;2.6;16.3;67;1033;0.0
02/01/2015;14:00:00;;;;21;232;2.3;16.4;66;1033;0.0
02/01/2015;15:00:00;2.9;5;81;21;238;2.4;16.1;67;1033;0.0
02/01/2015;16:00:00;2.5;4;82;13;231;1.9;16.1;67;1033;0.0
02/01/2015;17:00:00;2.0;5;67;14;196;1.1;15.0;71;1033;0.0
02/01/2015;18:00:00;2.1;2;50;12;12;1.9;11.5;82;1033;0.0
02/01/2015;19:00:00;2.3;2;51;20;7;2.1;10.6;86;1033;0.0
02/01/2015;20:00:00;2.5;3;51;13;8;2.2;10.3;88;1033;0.0
02/01/2015;21:00:00;2.0;3;54;13;178;1.8;10.9;88;1034;0.0
02/01/2015;22:00:00;2.1;3;52;15;357;1.7;11.3;87;1034;0.0
02/01/2015;23:00:00;2.9;3;53;15;357;1.7;11.5;88;1034;0.2
02/01/2015;0:00:00;2.2;2;54;26;269;1.6;11.8;88;1034;0.0
03/01/2015;1:00:00;2.5;2;50;18;270;1.7;11.9;90;1034;0.0
03/01/2015;2:00:00;2.1;2;42;16;9;1.9;11.5;92;1033;0.0
03/01/2015;3:00:00;2.2;2;38;15;7;2.1;11.0;93;1033;0.0
03/01/2015;4:00:00;2.5;2;34;11;7;2.0;10.7;94;1033;0.0
03/01/2015;5:00:00;2.1;2;38;11;2;1.5;11.7;94;1032;0.0
03/01/2015;6:00:00;2.1;1;39;14;8;1.7;12.0;94;1032;0.0
03/01/2015;7:00:00;2.3;2;37;21;265;1.6;11.5;94;1033;0.0
03/01/2015;8:00:00;2.7;5;40;28;312;0.8;13.4;94;1033;0.0
03/01/2015;9:00:00;2.6;6;48;22;267;1.1;15.3;90;1033;0.0
03/01/2015;10:00:00;3.0;7;67;27;220;2.1;16.9;78;1033;0.0
03/01/2015;11:00:00;2.6;6;70;26;208;3.5;17.3;73;1033;0.0
03/01/2015;12:00:00;2.6;6;73;22;209;4.3;17.4;72;1032;0.0
03/01/2015;13:00:00;2.9;6;80;28;209;4.6;17.5;72;1031;0.0
03/01/2015;14:00:00;2.9;6;81;25;200;4.1;17.4;74;1030;0.0
03/01/2015;15:00:00;2.8;7;86;26;203;3.7;17.4;73;1030;0.0
03/01/2015;16:00:00;3.1;8;83;30;211;3.3;17.4;70;1030;0.0
03/01/2015;17:00:00;2.6;8;81;22;213;2.2;16.9;76;1030;0.0
03/01/2015;18:00:00;3.3;7;84;30;217;1.7;16.5;76;1030;0.0
03/01/2015;19:00:00;2.9;7;78;29;212;1.1;16.7;71;1029;0.0
03/01/2015;20:00:00;2.4;7;67;28;246;1.0;16.4;71;1030;0.0
03/01/2015;21:00:00;1.7;7;74;33;243;1.1;16.5;72;1029;0.0
03/01/2015;22:00:00;2.4;6;70;27;260;0.8;16.3;75;1029;0.0
03/01/2015;23:00:00;2.2;9;62;30;273;1.0;16.0;75;1029;0.0
03/01/2015;0:00:00;2.5;10;67;30;252;1.5;16.3;75;1029;0.0
04/01/2015;1:00:00;2.5;8;67;32;262;1.5;16.2;79;1028;0.0
04/01/2015;2:00:00;2.1;10;63;20;261;1.5;16.1;80;1028;0.0
04/01/2015;3:00:00;2.2;8;53;23;286;1.1;15.9;81;1028;0.0
04/01/2015;4:00:00;2.0;6;39;22;349;1.3;14.4;85;1028;0.0
04/01/2015;5:00:00;1.9;6;37;19;357;1.7;13.4;87;1027;0.0
04/01/2015;6:00:00;2.1;6;34;23;2;1.8;12.7;86;1027;0.0
04/01/2015;7:00:00;2.0;5;32;15;8;2.1;11.8;84;1027;0.0
04/01/2015;8:00:00;1.9;7;32;15;9;1.9;11.9;82;1028;0.0
04/01/2015;9:00:00;2.7;6;32;19;12;1.3;13.9;78;1028;0.0
04/01/2015;10:00:00;2.8;6;35;21;65;1.0;17.6;67;1028;0.0
04/01/2015;11:00:00;2.9;5;57;21;54;1.7;19.7;53;1028;0.0
04/01/2015;12:00:00;2.5;4;67;14;214;1.8;20.5;49;1028;0.0
04/01/2015;13:00:00;2.4;2;73;14;113;1.3;20.6;49;1027;0.0
04/01/2015;14:00:00;2.1;3;75;12;145;1.3;21.1;44;1026;0.0
04/01/2015;15:00:00;2.5;2;79;12;113;1.0;21.2;43;1026;0.0
04/01/2015;16:00:00;2.4;3;80;13;128;1.1;20.2;45;1026;0.0
04/01/2015;17:00:00;2.4;3;81;15;331;1.4;18.6;46;1026;0.0
04/01/2015;18:00:00;2.3;5;61;18;138;1.1;15.3;56;1026;0.0
04/01/2015;19:00:00;2.1;3;57;14;8;1.2;13.0;62;1026;0.0
04/01/2015;20:00:00;1.7;5;52;16;94;0.6;12.8;65;1026;0.0
04/01/2015;21:00:00;2.1;4;52;16;197;0.5;12.8;66;1027;0.0
04/01/2015;22:00:00;1.9;2;55;19;15;0.7;13.9;67;1027;0.0
04/01/2015;23:00:00;1.9;1;55;9;183;0.9;13.5;65;1027;0.0
04/01/2015;0:00:00;2.0;2;54;8;5;1.4;11.9;72;1027;0.0
