Fecha;vv;dd;TMP;HR;RS;LL;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;1.2;320;7.7;54;111;0;5;4;7;13;13;64
02/01/2015;0.9;344;7.9;63;113;0;6;5;10;18;16;53
03/01/2015;0.8;356;10.8;56;114;0;5;5;11;17;19;57
04/01/2015;0.6;48;11.4;64;115;0;5;4;13;13;19;53
05/01/2015;0.8;326;9.1;;107;0.2;4;3;10;13;13;48
06/01/2015;0.7;358;8.3;;100;0;5;3;8;;12;40
07/01/2015;0.5;11;7.7;;90;0.4;4;4;9;;14;40
08/01/2015;0.9;22;7.4;;112;0.4;4;4;12;21;18;41
09/01/2015;0.5;352;8.5;;112;0.2;5;5;17;28;24;31
10/01/2015;0.7;341;12.5;;115;0;5;4;15;14;21;43
11/01/2015;2.7;346;13.9;;93;0;4;2;8;8;10;70
12/01/2015;1.2;266;11.3;;121;0;5;4;11;10;16;65
13/01/2015;0.5;293;11.5;;107;0;4;4;17;25;22;47
14/01/2015;1.1;336;11.8;;119;0;7;4;14;17;19;51
15/01/2015;0.7;359;9.8;;115;0;5;4;16;21;21;45
16/01/2015;2.7;342;10.5;;74;0.2;4;2;9;13;12;63
17/01/2015;3.3;330;9.3;43;130;0;6;3;6;8;9;79
18/01/2015;1.1;273;7.8;52;78;0.2;5;4;9;13;14;70
19/01/2015;3.5;359;7.2;;50;0.6;5;3;8;12;12;64
20/01/2015;1.2;349;8.1;53;87;0.1;5;3;9;7;12;72
21/01/2015;1.1;336;7.8;58;67;0;5;4;8;5;13;66
22/01/2015;3.8;355;9;51;125;0;5;2;10;6;13;80
23/01/2015;8.5;333;9.8;41;133;0;8;3;9;18;12;81
24/01/2015;7.8;333;11.2;40;118;0;6;3;8;14;12;82
25/01/2015;6.7;338;10.8;29;133;0;5;2;8;12;11;89
26/01/2015;2.8;352;10.4;47;124;0;7;3;11;11;15;81
27/01/2015;7.7;332;13.1;47;117;0;5;2;6;9;9;82
28/01/2015;4.2;342;11.1;47;140;0;6;2;10;6;12;78
29/01/2015;2.6;296;16;45;86;0;4;2;8;7;10;73
30/01/2015;4;360;12.3;;58;0.6;5;2;7;4;8;66
31/01/2015;6.9;330;9.6;;135;0.1;4;2;6;3;8;81
01/02/2015;7.8;327;9;45;130;0;4;3;5;2;9;87
02/02/2015;0.9;310;9.2;57;68;0;5;3;10;3;14;68
03/02/2015;3.4;332;9;51;143;0.8;4;3;8;0;11;70
04/02/2015;6.2;348;4.3;;60;0.2;5;2;7;6;9;78
05/02/2015;10.6;332;5.3;33;119;0.2;6;2;7;14;9;79
06/02/2015;6.5;333;4.7;37;159;0;6;4;8;6;13;73
07/02/2015;1.1;6;5.2;47;127;0;6;4;9;13;15;59
08/02/2015;3.8;337;7.4;44;158;0;5;3;8;15;13;76
09/02/2015;1.4;351;7.1;52;156;0;6;4;11;14;16;73
10/02/2015;1.2;318;7.4;66;168;0.1;5;5;9;;16;77
11/02/2015;0.7;340;7.4;70;77;0;3;4;11;;16;70
12/02/2015;0.4;353;8.9;;62;0;4;4;11;21;16;62
13/02/2015;0.7;329;10.4;;148;0;4;3;13;;18;56
14/02/2015;1.3;317;10.9;64;52;0;5;3;6;7;11;71
15/02/2015;3.2;320;13.5;50;114;0.1;4;2;6;;9;67
16/02/2015;3;1;13.2;43;169;0;6;3;6;;10;87
17/02/2015;2.8;356;12.3;48;84;0;5;2;7;5;9;77
18/02/2015;2.9;11;11.3;43;163;0;6;3;8;;12;75
19/02/2015;1.4;354;8.5;68;173;0;5;3;10;17;14;73
20/02/2015;1.2;272;8.4;;174;0;4;4;10;;15;88
21/02/2015;5.1;329;9.5;;124;0.2;5;2;7;;10;74
22/02/2015;6.2;349;11.7;34;187;0;5;3;7;;10;96
23/02/2015;2.5;327;16.9;37;129;0;4;2;6;4;9;76
24/02/2015;12.7;331;11.9;32;207;0;6;2;6;;9;91
25/02/2015;9.1;337;14;36;123;0;5;2;7;1;10;93
26/02/2015;7.3;346;17.4;35;175;0.1;6;;;;;81
27/02/2015;10.2;335;14.2;28;212;0.2;5;2;4;7;6;96
28/02/2015;2.2;61;13.2;35;174;0;4;3;4;7;8;91
01/03/2015;0.8;350;17.2;50;132;0;3;2;4;8;7;56
02/03/2015;0.5;256;21.5;38;162;0;4;2;5;;6;60
03/03/2015;0.7;45;12.5;;72;0.5;5;2;4;;6;61
04/03/2015;5.9;340;11.3;;201;0.2;4;2;4;3;6;73
05/03/2015;4.2;335;12;23;223;0;4;2;4;2;6;93
06/03/2015;1.3;272;10.7;43;222;0;4;2;5;10;7;81
07/03/2015;0.9;2;12;55;226;0;4;2;10;24;11;71
08/03/2015;0.8;118;10.2;;201;0;6;2;9;17;11;80
09/03/2015;0.4;54;11;;179;0;5;2;13;;14;73
10/03/2015;0.6;56;10.7;80;204;1;3;;;24;;69
11/03/2015;0.4;36;14.4;;202;0;3;;;23;;73
12/03/2015;1.2;27;14.9;59;213;0;3;;;19;;85
13/03/2015;1.4;312;13.1;;187;0.2;3;;;26;;73
14/03/2015;5;337;11.8;44;217;0;3;2;4;3;6;85
15/03/2015;1.9;314;10.1;52;169;0;4;2;4;12;6;80
16/03/2015;1.2;27;9.2;64;201;0.1;3;2;5;9;6;72
17/03/2015;1.1;307;9.5;70;230;0;3;2;7;12;9;70
18/03/2015;3;66;12.3;83;53;0.7;3;2;6;22;8;78
19/03/2015;4.6;50;13.6;77;91;0.4;3;2;9;;10;85
20/03/2015;6.5;57;13.1;78;37;;3;2;10;;11;88
21/03/2015;3.4;58;12.3;;31;;3;2;7;;8;78
22/03/2015;2;69;11.4;;23;;3;2;8;;9;73
23/03/2015;4.8;116;12.7;95;52;;3;2;9;;10;86
