Fecha;SO2;NO;NO2
01/01/2015;2;3;24
02/01/2015;3;6;29
03/01/2015;5;7;33
04/01/2015;2;7;34
05/01/2015;2;10;34
06/01/2015;1;2;12
07/01/2015;1;6;20
08/01/2015;1;6;18
09/01/2015;2;10;26
10/01/2015;2;7;28
11/01/2015;2;5;24
12/01/2015;2;14;37
13/01/2015;1;19;41
14/01/2015;2;22;37
15/01/2015;2;14;36
16/01/2015;2;8;24
17/01/2015;3;6;25
18/01/2015;2;4;23
19/01/2015;1;8;21
20/01/2015;1;7;23
21/01/2015;2;13;28
22/01/2015;1;11;30
23/01/2015;3;23;36
24/01/2015;4;5;26
25/01/2015;4;2;14
26/01/2015;5;15;42
27/01/2015;3;14;30
28/01/2015;3;15;37
29/01/2015;4;3;19
30/01/2015;1;3;18
31/01/2015;4;2;12
01/02/2015;7;3;23
02/02/2015;2;14;43
03/02/2015;3;5;28
04/02/2015;1;4;19
05/02/2015;2;5;21
06/02/2015;2;10;29
07/02/2015;2;5;25
08/02/2015;2;5;32
09/02/2015;2;6;30
10/02/2015;5;15;44
11/02/2015;3;17;53
12/02/2015;2;10;41
13/02/2015;2;10;39
14/02/2015;2;3;18
15/02/2015;2;5;23
16/02/2015;2;11;38
17/02/2015;1;12;37
18/02/2015;2;8;29
19/02/2015;2;7;32
20/02/2015;2;10;41
21/02/2015;6;5;29
22/02/2015;4;3;20
23/02/2015;2;8;22
24/02/2015;5;5;23
25/02/2015;3;3;16
26/02/2015;1;8;25
27/02/2015;6;4;26
28/02/2015;3;4;22
01/03/2015;1;5;29
02/03/2015;1;3;18
03/03/2015;1;9;31
04/03/2015;2;14;28
05/03/2015;2;3;16
06/03/2015;2;7;32
07/03/2015;2;5;28
08/03/2015;1;5;32
09/03/2015;1;7;46
10/03/2015;2;12;48
11/03/2015;2;10;55
12/03/2015;2;6;37
13/03/2015;2;7;34
14/03/2015;2;3;23
15/03/2015;2;5;25
16/03/2015;1;6;28
17/03/2015;1;6;22
18/03/2015;1;2;15
19/03/2015;1;3;22
20/03/2015;1;3;17
21/03/2015;1;1;5
22/03/2015;1;2;14
23/03/2015;1;2;12
24/03/2015;1;3;18
25/03/2015;1;2;8
26/03/2015;2;10;23
27/03/2015;2;6;25
28/03/2015;1;3;14
29/03/2015;2;2;15
30/03/2015;8;3;25
