Fecha;PM10;SO2;NO2;NO;CO;BEN;TOL;XIL
01/01/2015;26;0;44;24;0.6;12.4;8.4;5
02/01/2015;38;1;61;115;0.9;7.1;12.6;10.6
03/01/2015;32;1;45;66;0.7;5.9;11.2;8.4
04/01/2015;24;0;38;12;0.5;2.1;6.4;3.4
05/01/2015;26;0;39;29;0.6;5.2;11.7;7.2
06/01/2015;26;0;42;21;0.6;4.2;7.7;6
07/01/2015;38;0;50;50;1.2;9.2;10;9.1
08/01/2015;42;0;54;62;0.7;4.5;11;9
09/01/2015;40;0;52;66;0.8;9.7;11.2;14.7
10/01/2015;37;0;36;14;0.6;4.8;7.6;6.8
11/01/2015;30;0;30;7;0.5;2.9;4.4;2
12/01/2015;31;1;53;54;0.7;4.7;11.1;7.6
13/01/2015;17;0;28;9;0.3;1.7;5.3;2.6
14/01/2015;21;2;35;26;0.5;3.8;7.6;4.8
15/01/2015;15;1;23;7;0.3;1.5;4.4;2.1
16/01/2015;14;1;31;8;0.3;1.8;5.7;3.3
17/01/2015;16;1;26;6;0.4;2.1;4.4;2.1
18/01/2015;6;2;21;6;0.4;1.6;3.5;1.5
19/01/2015;17;1;34;15;0.4;1.9;4.6;2.5
20/01/2015;11;1;39;14;0.5;4.1;5.7;2.9
21/01/2015;17;0;28;8;0.3;1.5;4.4;3.1
22/01/2015;22;0;38;22;0.5;2.1;5.5;3.1
23/01/2015;23;1;56;39;0.6;4.2;9;6.2
24/01/2015;20;0;40;17;0.6;3.4;6.4;3.1
25/01/2015;26;0;49;16;0.6;4.5;7.3;4.1
26/01/2015;29;0;51;23;0.5;2.8;8.1;4.6
27/01/2015;22;0;49;17;0.4;2.1;7;4
28/01/2015;18;0;36;9;0.4;1.6;6.6;3.4
29/01/2015;21;1;26;11;0.4;1.4;6.2;2.9
30/01/2015;24;1;21;9;0.4;1.2;3;1.5
31/01/2015;22;1;12;3;0.3;1.2;1.9;0.6
01/02/2015;28;0;14;3;0.3;1.2;1.7;0.5
02/02/2015;11;1;36;17;0.5;2.2;5.3;3.5
03/02/2015;14;0;39;18;0.4;2;5;3
04/02/2015;17;0;34;17;0.4;2;4.5;1.9
05/02/2015;18;0;40;22;0.5;2.1;5.1;2.5
06/02/2015;16;0;45;32;0.5;3.7;6.3;3.3
07/02/2015;27;0;35;15;0.6;3.6;5.3;2
08/02/2015;31;0;43;14;0.6;3.3;6;2.3
09/02/2015;31;0;33;14;0.5;2.8;5.7;3.2
10/02/2015;25;0;49;23;0.6;4.3;7.9;4.7
11/02/2015;38;1;69;40;0.6;3.2;9.8;7.8
12/02/2015;33;1;56;29;0.6;3.3;8.7;6.9
13/02/2015;26;1;47;25;0.6;4.9;7.7;5.2
14/02/2015;11;0;35;7;0.5;1.9;4.8;2.2
15/02/2015;11;0;34;8;0.5;3.3;5;2.9
16/02/2015;19;0;21;6;0.3;1.4;3.9;2.1
17/02/2015;24;0;40;23;0.5;1.9;5.2;2.7
18/02/2015;27;1;51;32;0.7;3.6;7.5;4.8
19/02/2015;25;3;52;35;0.6;7.2;8.6;6.1
20/02/2015;25;4;54;28;0.6;4.6;9.4;7.3
21/02/2015;17;1;12;3;0.3;1.1;3.2;0.9
22/02/2015;21;1;20;5;0.3;1.3;2.9;1.2
23/02/2015;17;2;26;18;0.3;2.8;5.8;2.5
24/02/2015;25;0;17;6;0.3;1.3;2.9;0.8
25/02/2015;20;0;14;4;0.3;1.2;2.7;1.1
26/02/2015;17;1;18;7;0.3;1.3;4.1;1.8
27/02/2015;28;1;32;14;0.3;1.7;4.2;2.1
28/02/2015;14;1;27;6;0.3;1.5;4.6;2.1
01/03/2015;16;2;39;26;0.5;5.1;7.6;4.5
02/03/2015;12;0;35;12;0.5;3.4;6.7;3.5
03/03/2015;31;0;40;22;0.6;3.5;7.2;4.3
04/03/2015;24;0;35;17;0.3;1.8;5;2.6
05/03/2015;27;0;28;12;0.5;4.3;10;5.2
06/03/2015;31;0;31;13;0.5;3.5;6.4;4.1
07/03/2015;37;0;54;39;0.9;10.2;10.6;9.6
08/03/2015;45;0;35;16;0.7;9;7.3;4.3
09/03/2015;52;2;44;19;0.7;5.6;7.9;5.1
10/03/2015;45;1;42;16;0.6;4;7.6;4.3
11/03/2015;51;0;42;12;0.5;3.3;8.1;4.5
12/03/2015;53;1;34;18;0.5;3.3;7.2;4.2
13/03/2015;30;0;23;10;0.3;1.5;4.2;2.2
14/03/2015;29;0;19;4;0.3;1.6;3.3;1.3
15/03/2015;35;0;31;10;0.4;2.1;4.6;1.7
16/03/2015;42;0;;;0.6;6.2;7.4;3.9
17/03/2015;37;0;;;0.6;2.9;8.2;6.2
18/03/2015;33;0;;;0.7;6.9;9.4;5.7
19/03/2015;36;0;51;22;0.7;4.5;9.4;5.6
20/03/2015;55;0;47;19;0.6;3.2;7.2;4.4
21/03/2015;26;0;37;7;0.5;2.9;6.9;2.6
22/03/2015;29;0;30;10;0.6;2.1;4.5;1.8
23/03/2015;20;1;45;24;0.5;4.7;9.4;6.2
24/03/2015;21;0;46;20;0.4;2.3;6;3
25/03/2015;20;0;32;15;0.4;1.6;4.5;2.1
26/03/2015;16;0;31;10;0.4;1.3;4.9;2
27/03/2015;14;0;34;14;0.4;1.3;5.6;2.3
28/03/2015;24;0;22;5;0.3;1.1;4.9;1.8
29/03/2015;21;0;16;3;0.4;1.3;4;1.5
30/03/2015;31;0;20;7;0.3;1.3;5.6;2.9
31/03/2015;26;0;19;6;0.3;1.1;5;1.9
01/04/2015;39;0;37;18;0.3;1.7;5.4;3
02/04/2015;32;1;28;9;0.4;7.1;5.8;2.3
03/04/2015;25;1;21;8;0.2;4.9;4.1;1.7
04/04/2015;19;0;25;8;0.1;1.1;3.1;1.2
05/04/2015;18;0;19;6;0.2;1.6;3.1;1
06/04/2015;25;0;21;5;0.1;1.9;3.7;1
07/04/2015;32;1;37;16;0.4;9.6;8.2;4.8
08/04/2015;30;1;46;20;0.3;6;8.1;4.8
09/04/2015;40;1;42;11;0.3;2.8;5.5;3.1
10/04/2015;21;0;35;12;0.1;1.7;5.4;2.4
11/04/2015;24;0;29;7;0.3;3;5.9;2.8
12/04/2015;33;1;35;10;0.3;3.6;6.6;2.9
13/04/2015;55;0;49;28;0.5;8.5;10.8;7.2
14/04/2015;58;0;55;26;0.6;13.9;12;9.1
15/04/2015;64;0;54;22;0.4;5.6;8.9;6.4
16/04/2015;35;0;40;15;0.5;5.5;9.4;4.8
17/04/2015;23;0;31;11;0.3;1.2;6.4;2
18/04/2015;21;0;19;4;0.1;1.4;4;1.2
19/04/2015;14;0;19;4;0.1;1;3.5;1.4
20/04/2015;24;0;35;14;0.2;2.2;9.3;3.7
21/04/2015;30;2;37;17;0.4;4.6;11;4.5
22/04/2015;33;0;37;15;0.3;7.9;7.3;4.3
23/04/2015;18;0;33;13;0.3;1.5;8;3.5
24/04/2015;25;2;33;17;0.4;5.9;8;4.2
25/04/2015;21;2;30;9;0.3;2.8;6.1;3.1
26/04/2015;15;3;19;4;0.2;0.9;3.6;1.3
27/04/2015;16;1;25;10;0.2;1.5;5.2;2.8
28/04/2015;19;0;26;12;0.2;1.7;6.8;2.9
29/04/2015;23;2;33;12;0.4;2.1;6.3;3
30/04/2015;28;3;49;23;0.5;4.9;9.5;5.8
01/05/2015;19;2;26;11;0.3;2.5;6.8;3.7
02/05/2015;17;3;24;15;0.3;1.6;6.6;3.8
03/05/2015;14;;14;;0.3;1;4.8;1.9
04/05/2015;31;1;;;0.2;1.1;4.9;2.7
05/05/2015;22;2;;;0.3;1.8;6.7;2.7
06/05/2015;23;1;30;20;0.3;1.5;6.5;2.6
07/05/2015;35;1;34;22;0.3;2.3;7.9;3.9
08/05/2015;26;0;39;23;0.4;2.1;7.4;5
09/05/2015;15;0;19;14;0.2;1.3;4.6;1.7
10/05/2015;25;0;18;14;0.2;2;4.9;1.9
11/05/2015;24;0;24;17;0.2;1.1;5.2;1.8
12/05/2015;31;0;;;0.4;;;
13/05/2015;32;1;26;6;0.4;2;10.4;2.1
14/05/2015;31;3;26;7;0.2;1.7;8;3.2
15/05/2015;21;4;15;4;0.1;0.6;3.6;0.5
16/05/2015;20;0;15;2;0.1;0.5;2.6;0.2
17/05/2015;19;1;19;3;0.3;1.3;4.3;0.5
18/05/2015;22;3;23;8;0.3;3.1;5;1.6
