Fecha;NO;NO2;PM10;BEN
01/01/2015;5;35;27;Sense dades
02/01/2015;10;46;21;Sense dades
03/01/2015;4;29;18;0.2
04/01/2015;9;37;Sense dades;Sense dades
05/01/2015;18;66;Sense dades;Sense dades
06/01/2015;6;32;Sense dades;Sense dades
07/01/2015;35;68;Sense dades;Sense dades
08/01/2015;12;48;26;Sense dades
09/01/2015;9;39;25;Sense dades
10/01/2015;12;38;22;0.2
11/01/2015;16;43;29;Sense dades
12/01/2015;16;51;29;0.2
13/01/2015;19;66;34;Sense dades
14/01/2015;7;42;29;0.1
15/01/2015;13;49;33;Sense dades
16/01/2015;28;54;34;Sense dades
17/01/2015;5;27;16;0.1
18/01/2015;4;30;18;Sense dades
19/01/2015;8;45;12;0.5
20/01/2015;8;36;15;Sense dades
21/01/2015;6;29;18;0.1
22/01/2015;8;35;18;Sense dades
23/01/2015;7;31;16;Sense dades
24/01/2015;3;18;22;0.1
25/01/2015;3;25;28;Sense dades
26/01/2015;6;38;20;0.2
27/01/2015;10;39;22;Sense dades
28/01/2015;15;53;25;0.1
29/01/2015;6;33;28;Sense dades
30/01/2015;3;19;23;Sense dades
31/01/2015;3;16;12;0
01/02/2015;2;10;14;Sense dades
02/02/2015;9;37;14;0.1
03/02/2015;8;45;15;Sense dades
04/02/2015;5;36;Sense dades;Sense dades
05/02/2015;8;40;Sense dades;Sense dades
06/02/2015;6;37;Sense dades;Sense dades
07/02/2015;5;36;28;0.1
08/02/2015;2;22;34;Sense dades
09/02/2015;9;49;38;0.3
10/02/2015;16;61;Sense dades;Sense dades
11/02/2015;44;112;44;0.2
12/02/2015;28;103;44;Sense dades
13/02/2015;15;61;49;Sense dades
14/02/2015;10;46;29;0.1
15/02/2015;3;29;18;Sense dades
16/02/2015;11;55;31;0.1
17/02/2015;9;56;32;Sense dades
18/02/2015;7;45;32;0.1
19/02/2015;9;45;39;Sense dades
20/02/2015;8;44;47;Sense dades
21/02/2015;3;32;23;0.1
22/02/2015;2;19;17;Sense dades
23/02/2015;13;46;25;0.2
24/02/2015;3;15;24;Sense dades
25/02/2015;5;22;23;0
26/02/2015;18;49;24;Sense dades
27/02/2015;6;29;23;Sense dades
28/02/2015;3;18;19;0.1
01/03/2015;6;34;27;Sense dades
02/03/2015;7;27;26;0
03/03/2015;4;25;26;Sense dades
04/03/2015;10;39;Sense dades;Sense dades
05/03/2015;7;28;Sense dades;Sense dades
06/03/2015;8;54;Sense dades;Sense dades
07/03/2015;5;41;Sense dades;Sense dades
08/03/2015;4;44;Sense dades;Sense dades
09/03/2015;8;54;Sense dades;Sense dades
10/03/2015;14;65;Sense dades;Sense dades
11/03/2015;36;95;Sense dades;Sense dades
12/03/2015;42;82;68;Sense dades
13/03/2015;5;35;48;Sense dades
14/03/2015;2;25;24;Sense dades
15/03/2015;3;28;17;0.1
16/03/2015;4;34;21;0
17/03/2015;5;37;23;Sense dades
18/03/2015;3;28;27;0
19/03/2015;3;33;36;Sense dades
20/03/2015;3;28;42;Sense dades
21/03/2015;2;19;48;0
22/03/2015;3;23;21;Sense dades
23/03/2015;3;25;31;0
24/03/2015;4;34;16;Sense dades
25/03/2015;5;29;11;0
26/03/2015;4;32;20;Sense dades
27/03/2015;11;49;23;Sense dades
28/03/2015;8;39;22;0.1
29/03/2015;4;31;24;Sense dades
30/03/2015;7;44;44;0.1
31/03/2015;7;36;27;Sense dades
01/04/2015;4;26;28;0
02/04/2015;3;23;31;Sense dades
03/04/2015;2;21;33;Sense dades
04/04/2015;2;18;31;0
05/04/2015;2;18;31;Sense dades
06/04/2015;2;15;35;0
07/04/2015;3;25;44;Sense dades
08/04/2015;6;35;25;0
09/04/2015;5;38;29;Sense dades
10/04/2015;5;39;36;Sense dades
11/04/2015;2;22;42;0
12/04/2015;2;26;47;Sense dades
13/04/2015;14;65;43;0.1
14/04/2015;21;64;45;Sense dades
15/04/2015;11;47;55;0.1
16/04/2015;6;39;40;Sense dades
17/04/2015;8;40;38;Sense dades
18/04/2015;5;34;28;0
19/04/2015;2;18;17;Sense dades
20/04/2015;6;32;18;0
21/04/2015;10;39;24;Sense dades
22/04/2015;12;69;36;0.1
23/04/2015;7;43;28;Sense dades
24/04/2015;5;32;32;Sense dades
25/04/2015;2;18;37;0
26/04/2015;3;23;40;Sense dades
27/04/2015;4;18;14;0
28/04/2015;5;26;21;Sense dades
29/04/2015;4;29;15;0
30/04/2015;6;27;Sense dades;Sense dades
01/05/2015;3;28;28;Sense dades
02/05/2015;3;28;29;0
03/05/2015;3;26;40;Sense dades
04/05/2015;6;36;50;0
05/05/2015;14;36;Sense dades;Sense dades
06/05/2015;7;35;32;0
07/05/2015;12;38;33;Sense dades
08/05/2015;5;30;44;Sense dades
09/05/2015;3;23;38;0
10/05/2015;3;26;34;Sense dades
11/05/2015;9;42;32;0
12/05/2015;12;42;31;Sense dades
13/05/2015;7;31;33;0
14/05/2015;7;38;49;Sense dades
15/05/2015;3;17;70;Sense dades
16/05/2015;2;16;30;0
17/05/2015;2;22;31;Sense dades
18/05/2015;7;31;56;0
19/05/2015;5;34;26;Sense dades
20/05/2015;5;24;11;0
21/05/2015;4;19;15;Sense dades
22/05/2015;4;20;17;Sense dades
23/05/2015;3;17;17;0
24/05/2015;3;21;23;Sense dades
25/05/2015;6;28;22;0
26/05/2015;4;17;22;Sense dades
27/05/2015;4;19;22;0
28/05/2015;4;19;25;Sense dades
29/05/2015;6;33;26;Sense dades
30/05/2015;3;25;24;0
31/05/2015;3;25;20;Sense dades
01/06/2015;3;21;26;0
02/06/2015;4;23;28;Sense dades
03/06/2015;11;42;34;0
04/06/2015;25;57;40;Sense dades
05/06/2015;10;45;36;Sense dades
06/06/2015;7;43;37;0
07/06/2015;3;30;30;Sense dades
08/06/2015;9;44;40;0
09/06/2015;3;40;36;Sense dades
10/06/2015;6;42;47;0
11/06/2015;3;27;45;Sense dades
12/06/2015;4;24;22;Sense dades
13/06/2015;2;17;28;0
14/06/2015;2;11;19;Sense dades
15/06/2015;3;24;20;0
16/06/2015;4;34;13;Sense dades
17/06/2015;4;25;20;0
18/06/2015;4;23;23;Sense dades
19/06/2015;4;33;31;Sense dades
20/06/2015;2;23;Sense dades;Sense dades
21/06/2015;5;29;Sense dades;Sense dades
22/06/2015;3;21;Sense dades;Sense dades
23/06/2015;5;37;Sense dades;Sense dades
24/06/2015;2;19;Sense dades;Sense dades
25/06/2015;3;29;Sense dades;Sense dades
26/06/2015;4;30;26;Sense dades
27/06/2015;3;24;28;0
28/06/2015;4;31;34;Sense dades
29/06/2015;9;38;33;0
30/06/2015;5;37;29;Sense dades
01/07/2015;6;42;33;0
02/07/2015;3;31;45;Sense dades
03/07/2015;6;47;47;Sense dades
04/07/2015;5;46;46;0
05/07/2015;2;26;32;Sense dades
06/07/2015;6;42;39;0
07/07/2015;9;39;41;Sense dades
08/07/2015;4;29;37;0
09/07/2015;5;23;36;Sense dades
10/07/2015;5;32;38;Sense dades
11/07/2015;2;19;38;0
12/07/2015;2;15;28;Sense dades
13/07/2015;4;24;37;0
14/07/2015;7;32;Sense dades;Sense dades
15/07/2015;10;37;34;0
16/07/2015;13;43;40;Sense dades
17/07/2015;7;36;33;Sense dades
18/07/2015;3;24;27;0
