Fecha;NO;NO2;NOX;PM10;PM25;SO2;dd;vv
01/10/2015;11;52;50;24;19;6;301;1.99
30/09/2015;20;61;73;27;22;6;169;0.79
29/09/2015;33;52;86;25;19;5;223;0.17
28/09/2015;18;51;60;18;14;4;158;0.91
27/09/2015;5;30;25;13;9;4;289;0.26
26/09/2015;10;35;36;17;12;4;274;0.26
25/09/2015;29;43;76;23;15;5;152;0.62
24/09/2015;21;43;64;16;10;4;152;0.73
23/09/2015;13;53;49;5;3;4;306;1.96
22/09/2015;6;36;25;8;4;4;298;2.92
21/09/2015;26;59;72;22;14;6;260;0.35
20/09/2015;4;45;26;9;9;5;182;0.79
19/09/2015;5;38;26;15;11;5;191;0.11
18/09/2015;22;45;63;16;10;7;248;0.35
17/09/2015;6;45;31;8;3;5;266;1.05
16/09/2015;7;50;29;8;3;3;165;1.24
15/09/2015;23;54;62;17;14;5;141;2.65
14/09/2015;6;40;29;13;5;4;305;2.2
13/09/2015;3;24;16;9;6;3;172;0.46
12/09/2015;2;18;15;11;8;3;318;1.02
11/09/2015;19;42;56;19;16;5;273;0.36
10/09/2015;8;58;37;13;9;3;315;1.47
09/09/2015;21;61;67;23;21;6;270;0.59
08/09/2015;19;50;62;17;13;6;177;0.75
07/09/2015;19;53;56;15;9;4;307;0.17
06/09/2015;4;41;24;10;8;4;140;0.58
05/09/2015;3;37;20;5;3;5;324;0.88
04/09/2015;10;52;42;7;4;4;319;0.95
03/09/2015;8;55;34;7;4;4;295;1.57
02/09/2015;22;52;62;18;12;4;18;0.09
01/09/2015;8;44;36;10;2;3;309;1.66
31/08/2015;13;70;48;16;15;3;313;2.3
30/08/2015;4;55;25;18;17;3;161;0.12
29/08/2015;6;33;27;14;14;3;318;1.8
28/08/2015;7;37;24;8;8;3;311;1.74
27/08/2015;8;42;34;8;7;4;150;0.83
26/08/2015;9;59;44;14;10;6;277;0.69
25/08/2015;12;47;44;11;8;6;166;0.37
24/08/2015;6;27;25;10;3;6;305;2.27
23/08/2015;3;21;12;5;;7;227;0.44
22/08/2015;3;21;17;16;19;5;317;0.88
21/08/2015;14;52;52;22;20;6;296;0.72
20/08/2015;15;44;56;15;13;7;198;0.61
19/08/2015;13;37;42;10;7;5;308;0.51
18/08/2015;9;51;38;14;9;5;342;0.58
17/08/2015;12;38;39;18;9;5;334;0.9
16/08/2015;4;22;20;11;6;6;180;0.42
15/08/2015;2;20;12;8;5;5;300;1.13
14/08/2015;5;30;23;9;4;5;309;3.63
13/08/2015;9;61;34;12;7;4;307;2.57
12/08/2015;10;57;45;23;17;5;314;0.89
11/08/2015;17;62;55;23;17;5;325;1.18
10/08/2015;12;41;44;13;12;5;145;1.34
09/08/2015;2;21;11;9;5;5;308;1.56
08/08/2015;2;12;11;7;3;4;307;2.15
07/08/2015;6;51;27;10;4;4;304;1.95
06/08/2015;17;48;53;20;14;5;323;0.47
05/08/2015;12;31;42;17;12;4;318;1.06
04/08/2015;9;45;36;8;5;4;311;0.63
03/08/2015;9;57;40;15;10;4;317;0.72
02/08/2015;3;30;20;12;10;6;185;0.64
01/08/2015;3;39;21;10;6;6;53;0.43
31/07/2015;4;42;23;10;6;4;310;0.98
30/07/2015;7;48;30;12;6;4;352;0.81
29/07/2015;22;52;63;10;7;4;321;0.52
28/07/2015;8;43;35;13;9;7;305;0.59
27/07/2015;7;37;27;12;6;4;305;2.47
26/07/2015;4;37;24;10;8;6;308;0.72
25/07/2015;2;20;11;12;5;5;300;1.42
