Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;3;14;54;8;;;;4
02/01/2014;;5;20;45;7;;;;5
03/01/2014;;7;27;37;9;;;;4
04/01/2014;;3;6;75;4;;;;3
05/01/2014;;3;14;60;11;;;;3
06/01/2014;;8;22;27;13;;;;5
07/01/2014;;9;26;34;11;;;;5
08/01/2014;;8;26;44;15;;;;4
09/01/2014;;11;27;35;15;;;;5
10/01/2014;;13;27;27;17;;;;4
11/01/2014;;5;20;37;15;;;;4
12/01/2014;;4;15;46;14;;;;4
13/01/2014;;4;12;67;7;;;;4
14/01/2014;;5;8;66;4;;;;4
15/01/2014;;7;22;44;12;;;;4
16/01/2014;;4;14;61;10;;;;5
17/01/2014;;5;18;54;8;;;;3
18/01/2014;;3;16;55;8;;;;2
19/01/2014;;3;13;49;12;;;;2
20/01/2014;;4;11;64;12;;;;4
21/01/2014;;4;21;54;8;;;;3
22/01/2014;;3;9;58;11;;;;2
23/01/2014;;4;17;48;13;;;;2
24/01/2014;;8;17;51;17;;;;3
25/01/2014;;3;11;48;9;;;;2
26/01/2014;;2;9;50;8;;;;2
27/01/2014;;2;4;75;9;;;;3
28/01/2014;;3;8;72;9;;;;3
29/01/2014;;3;9;67;10;;;;3
30/01/2014;;3;6;64;10;;;;3
31/01/2014;;3;14;60;9;;;;3
01/02/2014;;1;6;70;6;;;;1
02/02/2014;;2;14;54;14;;;;2
03/02/2014;;4;16;61;13;;;;2
04/02/2014;;6;18;59;8;;;;2
05/02/2014;;5;13;69;11;;;;2
06/02/2014;;2;8;64;6;;;;2
07/02/2014;;4;11;68;9;;;;4
08/02/2014;;1;5;78;9;;;;2
09/02/2014;;2;10;65;8;;;;1
10/02/2014;;2;5;80;8;;;;1
11/02/2014;;3;16;58;12;;;;1
12/02/2014;;4;22;49;9;;;;2
13/02/2014;;7;20;47;9;;;;1
14/02/2014;;4;11;46;7;;;;1
15/02/2014;;4;16;62;10;;;;1
16/02/2014;;2;10;60;10;;;;1
17/02/2014;;8;25;47;14;;;;2
18/02/2014;;3;19;47;13;;;;1
19/02/2014;;6;20;45;13;;;;1
20/02/2014;;3;14;50;10;;;;1
21/02/2014;;3;10;68;9;;;;1
22/02/2014;;3;18;54;12;;;;1
23/02/2014;;3;11;68;12;;;;1
24/02/2014;;4;15;68;9;;;;1
25/02/2014;;4;10;71;11;;;;1
26/02/2014;;5;15;63;12;;;;1
27/02/2014;;7;23;55;14;;;;1
28/02/2014;;3;7;78;11;;;;2
01/03/2014;;2;7;66;9;;;;1
02/03/2014;;1;3;58;5;;;;1
03/03/2014;;2;2;85;10;;;;1
04/03/2014;;2;5;73;13;;;;2
05/03/2014;;3;9;62;10;;;;3
06/03/2014;;5;16;50;15;;;;2
07/03/2014;;4;16;64;18;;;;3
08/03/2014;;4;12;86;13;;;;2
09/03/2014;;5;9;101;10;;;;1
10/03/2014;;7;16;77;14;;;;1
11/03/2014;;7;19;72;20;;;;2
12/03/2014;;6;16;97;22;;;;2
13/03/2014;;7;20;74;25;;;;2
14/03/2014;;7;17;70;17;;;;3
15/03/2014;;6;13;81;26;;;;1
16/03/2014;;6;14;67;22;;;;2
17/03/2014;;7;15;70;17;;;;3
18/03/2014;;6;14;77;21;;;;2
19/03/2014;;7;17;58;28;;;;2
20/03/2014;;6;21;76;24;;;;2
21/03/2014;;6;13;78;27;;;;2
22/03/2014;;5;5;80;8;;;;2
23/03/2014;;5;6;78;7;;;;1
24/03/2014;;7;10;72;10;;;;2
25/03/2014;;7;6;82;17;;;;2
26/03/2014;;6;6;78;8;;;;2
27/03/2014;;8;22;58;12;;;;3
28/03/2014;;6;12;86;17;;;;2
29/03/2014;;5;9;90;26;;;;2
30/03/2014;;6;10;79;9;;;;2
31/03/2014;;7;13;77;9;;;;2
01/04/2014;;6;9;82;11;;;;1
02/04/2014;;6;10;84;8;;;;2
03/04/2014;;6;5;80;7;;;;3
04/04/2014;;7;8;79;10;;;;2
05/04/2014;;8;12;49;7;;;;2
06/04/2014;;6;8;51;6;;;;3
07/04/2014;;6;10;60;11;;;;2
08/04/2014;;6;9;59;9;;;;2
09/04/2014;;7;10;66;20;;;;1
10/04/2014;;7;14;71;27;;;;1
11/04/2014;;6;8;80;23;;;;2
12/04/2014;;5;7;72;23;;;;2
13/04/2014;;5;7;82;20;;;;1
14/04/2014;;6;13;85;22;;;;1
15/04/2014;;6;10;82;15;;;;1
16/04/2014;;6;9;82;18;;;;2
17/04/2014;;5;5;87;15;;;;1
18/04/2014;;5;6;90;13;;;;1
19/04/2014;;5;5;86;18;;;;1
20/04/2014;;5;4;77;9;;;;2
21/04/2014;;6;9;61;6;;;;2
22/04/2014;;6;8;77;10;;;;1
23/04/2014;;6;9;60;9;;;;1
24/04/2014;;7;9;67;9;;;;1
25/04/2014;;6;3;93;9;;;;1
26/04/2014;;5;5;69;9;;;;1
27/04/2014;;5;2;84;13;;;;1
28/04/2014;;6;7;62;12;;;;2
29/04/2014;;6;9;59;14;;;;1
30/04/2014;;6;7;62;11;;;;1
01/05/2014;;6;8;69;11;;;;2
02/05/2014;;5;6;68;11;;;;2
03/05/2014;;5;6;70;10;;;;1
04/05/2014;;5;6;84;11;;;;1
05/05/2014;;6;12;87;13;;;;2
06/05/2014;;6;13;71;24;;;;2
07/05/2014;;6;15;68;21;;;;1
08/05/2014;;6;11;82;26;;;;1
09/05/2014;;6;12;76;25;;;;2
10/05/2014;;6;11;71;20;;;;2
11/05/2014;;5;11;63;14;;;;1
12/05/2014;;6;8;83;19;;;;1
13/05/2014;;5;4;80;19;;;;1
14/05/2014;;6;7;80;14;;;;1
15/05/2014;;6;10;87;18;;;;1
16/05/2014;;6;7;92;20;;;;1
17/05/2014;;5;10;93;19;;;;1
18/05/2014;;5;7;109;;;;;1
19/05/2014;;3;9;105;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;1
20/05/2014;;2;8;89;10;;;;1
21/05/2014;;1;6;92;7;;;;1
22/05/2014;;1;4;81;6;;;;2
23/05/2014;;1;5;87;5;;;;2
24/05/2014;;1;7;76;8;;;;2
25/05/2014;;1;8;79;6;;;;1
26/05/2014;;1;8;75;8;;;;2
27/05/2014;;2;10;77;8;;;;2
28/05/2014;;2;10;59;5;;;;2
29/05/2014;;1;7;61;7;;;;1
30/05/2014;;1;5;69;5;;;;1
31/05/2014;;1;5;69;6;;;;1
01/06/2014;;1;5;69;7;;;;2
02/06/2014;;2;9;80;7;;;;2
03/06/2014;;2;10;83;9;;;;3
04/06/2014;;1;7;78;9;;;;2
05/06/2014;;2;13;81;9;;;;2
06/06/2014;;2;11;78;26;;;;2
07/06/2014;;1;7;52;10;;;;2
08/06/2014;;1;8;67;10;;;;2
09/06/2014;;2;12;66;13;;;;1
10/06/2014;;2;12;65;11;;;;1
11/06/2014;;2;12;83;15;;;;2
12/06/2014;;2;11;98;17;;;;3
13/06/2014;;1;10;94;17;;;;1
14/06/2014;;1;7;90;15;;;;1
15/06/2014;;1;3;90;14;;;;2
16/06/2014;;2;6;84;13;;;;2
17/06/2014;;2;11;92;13;;;;2
18/06/2014;;2;14;89;14;;;;2
19/06/2014;;1;14;97;20;;;;2
20/06/2014;;1;12;102;22;;;;2
21/06/2014;;1;8;75;11;;;;3
22/06/2014;;1;8;75;9;;;;2
23/06/2014;;1;9;79;13;;;;1
24/06/2014;;1;7;75;8;;;;2
25/06/2014;;1;6;97;13;;;;2
26/06/2014;;1;9;82;12;;;;1
27/06/2014;;2;14;75;15;;;;1
28/06/2014;;1;8;63;13;;;;1
29/06/2014;;1;6;72;8;;;;2
30/06/2014;;1;11;77;6;;;;2
01/07/2014;;1;9;63;4;;;;1
02/07/2014;;1;4;80;;;;;2
03/07/2014;;1;11;69;;;;;1
04/07/2014;;1;7;80;;;;;1
05/07/2014;;1;10;85;;;;;1
06/07/2014;;1;8;38;;;;;1
07/07/2014;;1;6;64;;;;;1
08/07/2014;;2;9;70;;;;;1
09/07/2014;;1;5;62;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;1
10/07/2014;;2;6;63;8;;;;1
11/07/2014;;2;8;58;10;;;;2
12/07/2014;;1;8;66;11;;;;1
13/07/2014;;1;7;79;9;;;;1
14/07/2014;;2;11;70;21;;;;3
15/07/2014;;1;12;96;18;;;;2
16/07/2014;;1;12;114;24;;;;1
17/07/2014;;2;12;92;49;;;;1
18/07/2014;;1;11;92;53;;;;1
19/07/2014;;1;8;57;14;;;;2
20/07/2014;;1;5;57;8;;;;1
21/07/2014;;2;10;60;10;;;;1
22/07/2014;;2;10;81;12;;;;1
23/07/2014;;2;11;94;14;;;;1
24/07/2014;;1;13;102;22;;;;1
25/07/2014;;1;12;103;21;;;;1
26/07/2014;;1;9;115;25;;;;1
27/07/2014;;1;10;109;27;;;;1
28/07/2014;;1;10;99;27;;;;1
29/07/2014;;1;3;80;13;;;;1
30/07/2014;;2;10;83;14;;;;2
31/07/2014;;1;12;93;19;;;;2
01/08/2014;;1;8;100;25;;;;2
02/08/2014;;2;5;63;13;;;;3
03/08/2014;;1;5;59;10;;;;2
04/08/2014;;1;7;77;14;;;;1
05/08/2014;;1;10;87;19;;;;1
06/08/2014;;1;10;83;17;;;;2
07/08/2014;;2;11;59;21;;;;2
08/08/2014;;1;9;62;27;;;;1
09/08/2014;;1;12;57;19;;;;1
10/08/2014;;1;11;65;21;;;;2
11/08/2014;;2;9;63;19;;;;2
12/08/2014;;1;8;65;13;;;;1
13/08/2014;;1;4;74;16;;;;1
14/08/2014;;2;9;74;15;;;;1
15/08/2014;;1;6;89;18;;;;1
16/08/2014;;1;7;76;17;;;;1
17/08/2014;;1;9;86;20;;;;1
18/08/2014;;1;14;77;23;;;;2
19/08/2014;;2;14;76;22;;;;2
20/08/2014;;1;12;81;19;;;;1
21/08/2014;;1;11;72;15;;;;1
22/08/2014;;1;8;74;15;;;;1
23/08/2014;;1;9;78;10;;;;1
24/08/2014;;1;8;90;13;;;;1
25/08/2014;;1;15;83;17;;;;2
26/08/2014;;1;9;51;18;;;;1
27/08/2014;;2;10;42;22;;;;1
28/08/2014;;2;11;59;21;;;;1
29/08/2014;;2;10;68;19;;;;1
30/08/2014;;1;13;68;19;;;;1
31/08/2014;;1;10;74;19;;;;1
01/09/2014;;2;12;79;20;;;;1
02/09/2014;;2;12;84;27;;;;1
03/09/2014;;2;15;73;29;;;;1
04/09/2014;;2;14;55;15;;;;1
05/09/2014;;2;17;62;13;;;;2
06/09/2014;;1;15;56;12;;;;3
07/09/2014;;1;9;55;12;;;;2
08/09/2014;;1;12;64;10;;;;1
09/09/2014;;2;17;72;12;;;;1
10/09/2014;;1;14;91;15;;;;1
11/09/2014;;1;11;72;12;;;;1
12/09/2014;;2;13;58;11;;;;1
13/09/2014;;1;13;59;11;;;;1
14/09/2014;;1;10;62;9;;;;1
15/09/2014;;1;11;64;10;;;;1
16/09/2014;;1;9;78;20;;;;1
17/09/2014;;1;9;65;11;;;;1
18/09/2014;;2;13;60;10;;;;1
19/09/2014;;2;18;53;7;;;;1
20/09/2014;;1;9;66;7;;;;1
21/09/2014;;1;12;60;11;;;;1
22/09/2014;;2;13;56;9;;;;1
23/09/2014;;3;17;45;11;;;;1
24/09/2014;;3;13;48;15;;;;1
25/09/2014;;2;18;54;29;;;;1
26/09/2014;;2;17;72;20;;;;1
27/09/2014;;1;14;72;17;;;;1
28/09/2014;;1;11;50;12;;;;1
29/09/2014;;3;15;49;11;;;;1
30/09/2014;;3;17;56;15;;;;1
01/10/2014;;4;21;57;19;;;;1
02/10/2014;;4;18;52;25;;;;1
03/10/2014;;2;16;63;24;;;;1
04/10/2014;;2;19;69;19;;;;1
05/10/2014;;1;12;59;12;;;;1
06/10/2014;;3;14;51;11;;;;2
07/10/2014;;2;12;48;8;;;;2
08/10/2014;;2;9;45;9;;;;1
09/10/2014;;3;15;28;8;;;;1
10/10/2014;;1;13;47;7;;;;2
11/10/2014;;1;11;51;7;;;;1
12/10/2014;;1;6;75;5;;;;1
13/10/2014;;1;6;60;5;;;;1
14/10/2014;;2;11;62;11;;;;2
15/10/2014;;7;22;27;9;;;;2
16/10/2014;;8;15;34;10;;;;2
17/10/2014;;11;21;38;11;;;;1
18/10/2014;;4;21;47;36;;;;2
19/10/2014;;2;15;54;24;;;;2
20/10/2014;;3;16;52;45;;;;2
21/10/2014;;4;21;43;53;;;;2
22/10/2014;;6;16;43;24;;;;3
23/10/2014;;3;18;51;17;;;;2
24/10/2014;;3;14;37;27;;;;2
25/10/2014;;3;17;38;30;;;;1
26/10/2014;;2;15;46;21;;;;1
27/10/2014;;5;24;39;28;;;;2
