Fecha;NO;NO2;NOX;O3;dd;HR;PRB;RS;TMP;vv
01/10/2015;2;18;14;96;289;78;971.1;;15.1;5.92
30/09/2015;3;37;22;76;129;66;967.6;;16.3;3.42
29/09/2015;3;36;20;83;44;86;968.8;;13.9;1.73
28/09/2015;3;21;16;89;105;76;972.8;;15.1;3.36
27/09/2015;3;22;14;75;12;89;973;;13.8;2.12
26/09/2015;3;16;13;65;71;89;970.5;;14.4;2.75
25/09/2015;4;37;18;70;96;78;971.2;;14.7;4.25
24/09/2015;3;25;15;63;99;79;971.7;;14.6;1.5
23/09/2015;2;6;8;69;323;97;969.5;;12.6;5.66
22/09/2015;2;9;8;82;290;89;967.1;;12.5;9.55
21/09/2015;4;51;26;82;310;82;969.1;;14.5;3.24
20/09/2015;3;18;10;82;113;76;973.4;;14.7;2.03
19/09/2015;4;31;13;82;35;81;976;;14;1.21
18/09/2015;4;31;15;82;298;75;972.2;;13.4;3.61
17/09/2015;3;11;10;71;265;75;962.6;;13;6.11
16/09/2015;3;14;9;72;235;60;946.9;;17.9;11.45
15/09/2015;3;21;11;73;214;61;952.7;;15.8;14.11
14/09/2015;3;15;9;77;294;74;963.4;;13.4;6.12
13/09/2015;3;22;11;71;236;72;957.8;;15.9;8.38
12/09/2015;3;10;9;87;17;93;963.2;;15.3;2.13
11/09/2015;3;26;13;89;353;83;963.9;;15.7;0.91
10/09/2015;3;32;11;87;355;93;966.8;;15.3;2.82
09/09/2015;3;23;13;95;293;67;965.3;;17.3;2.68
08/09/2015;4;33;16;84;26;70;968.9;;15.7;0.75
07/09/2015;5;41;16;86;29;75;974;;14.5;2.98
06/09/2015;3;10;9;84;62;68;974.4;;14.9;3.86
05/09/2015;3;26;11;73;2;74;973;;13.6;2.26
04/09/2015;3;22;13;67;38;83;970.1;;13;3.88
03/09/2015;3;25;11;76;331;88;968.9;;13.4;3.54
02/09/2015;3;22;11;80;40;78;968.7;;14.4;2.56
01/09/2015;3;7;9;74;339;84;971.1;;14.5;4.17
31/08/2015;3;11;10;82;295;82;965;;18.8;4.47
30/08/2015;3;13;13;86;167;51;964.2;;23.5;5.57
29/08/2015;4;46;17;74;225;74;966;;20.4;2.29
28/08/2015;3;22;11;60;25;88;967.1;;18.5;2.37
27/08/2015;3;15;11;62;223;52;962.7;;21.8;4.85
26/08/2015;3;15;13;78;191;47;963.8;;21.4;3.37
25/08/2015;3;19;14;62;138;59;968.4;;17.9;1.43
24/08/2015;3;22;10;66;295;69;964.4;;15.1;5.05
23/08/2015;3;14;11;67;244;59;957.9;;17.4;7.17
22/08/2015;3;20;14;76;314;94;963.3;;16.5;1.74
21/08/2015;4;54;19;102;333;76;969.5;;19.4;0.71
20/08/2015;4;26;16;98;110;57;971.8;;19.2;2.09
19/08/2015;5;53;17;67;33;78;971;;15.6;2.17
18/08/2015;3;27;12;79;26;86;968.3;;15.5;2.23
17/08/2015;4;37;14;76;20;83;966.9;;15.4;2.44
16/08/2015;3;12;10;61;99;76;965.5;;14.9;2.11
15/08/2015;3;17;11;56;307;85;967.9;;14.4;2.98
14/08/2015;3;6;9;72;289;76;968.6;;14.5;9.71
13/08/2015;4;25;13;79;285;80;966.9;;16.5;7.38
12/08/2015;5;51;19;98;294;81;966.1;;18.6;2.11
11/08/2015;6;44;22;101;318;86;964.6;;18.2;3.14
10/08/2015;4;17;13;97;118;58;967.9;;19.6;5.17
09/08/2015;4;7;10;71;310;81;973.9;;15.6;2.44
08/08/2015;4;5;9;69;299;85;974.3;;14.3;6.26
07/08/2015;4;14;10;66;316;94;970.2;;15.4;5.38
06/08/2015;4;20;13;73;48;92;966.5;;16.8;3.24
05/08/2015;4;17;14;75;304;79;965.4;;17.8;1.48
04/08/2015;4;12;12;57;16;94;969.3;;15.4;1.8
03/08/2015;4;19;13;112;355;72;966.9;;17.6;2.49
02/08/2015;4;8;12;114;232;48;964.9;;21.4;2.14
01/08/2015;4;32;16;92;44;68;968.1;;15.7;1.79
31/07/2015;4;22;12;90;15;87;964.1;;14;3.25
30/07/2015;4;29;14;67;46;71;967.7;;14.4;4.84
29/07/2015;4;17;13;68;23;90;966.8;;15.5;3.04
28/07/2015;4;21;17;74;294;75;966.7;;17.4;1.9
27/07/2015;4;7;10;56;304;87;968.2;;15.8;6.29
26/07/2015;3;20;11;84;293;59;966;;18.7;4.25
25/07/2015;3;8;9;71;308;73;970.9;;14.8;2.76
24/07/2015;5;51;27;67;305;75;964.7;;17.7;6
23/07/2015;4;29;16;56;30;79;968;;17.6;1.12
22/07/2015;3;12;10;57;;95;970.2;;16.9;
21/07/2015;3;17;11;54;;98;967.2;11.5;18.2;
20/07/2015;4;38;16;74;;75;968;317.6;20.3;
19/07/2015;4;33;14;73;;78;968.3;301.2;19.7;
18/07/2015;4;31;17;52;;87;967;197.6;18.7;
17/07/2015;;12;;87;;87;968.9;209;18;
16/07/2015;;0;;69;;92;966.6;140.3;17.4;
15/07/2015;;27;;51;;96;969.3;111.2;16.7;
14/07/2015;17;22;34;55;;90;972.8;232.3;16.2;
13/07/2015;15;17;29;57;;87;974;314.2;16;
12/07/2015;16;9;30;54;;84;974.3;150.4;16.1;
11/07/2015;18;8;31;77;;89;974.7;159.1;15.7;
10/07/2015;21;15;39;113;;62;967.8;333.2;19.2;
09/07/2015;17;14;33;67;;71;972.2;256.3;16.2;
08/07/2015;15;7;28;62;;80;973.7;152.7;15.1;
07/07/2015;16;21;33;85;;87;970.1;313.8;16.7;
06/07/2015;15;30;34;90;;82;969.2;324.6;17.9;
05/07/2015;7;7;15;58;;98;971.4;78.5;16;
04/07/2015;14;9;25;93;;75;971.9;252.6;18;
03/07/2015;22;12;40;110;;63;968.2;309.7;21.2;
02/07/2015;2;8;8;62;;97;970.7;141;15.6;
01/07/2015;4;28;16;66;;95;964.9;201.3;16.2;
30/06/2015;19;22;39;106;;55;963.8;318.7;22.8;
29/06/2015;11;12;25;82;;80;970.4;300.8;19.1;
28/06/2015;6;20;17;55;;93;972.7;92.5;16.4;
27/06/2015;8;14;18;78;;85;972.9;306.8;16.2;
26/06/2015;7;40;25;116;;86;972.7;176;16.6;
25/06/2015;9;33;24;116;;50;971.4;349.9;20.4;
24/06/2015;10;22;23;68;;79;970.6;347.3;15.6;
23/06/2015;9;28;22;49;;87;968.1;339.6;15.1;
22/06/2015;10;39;25;85;;83;966.7;299;16.5;
21/06/2015;10;31;22;100;;67;971;347.8;16.5;
20/06/2015;7;15;18;79;;78;973.6;351;14.6;
19/06/2015;4;26;15;74;;95;974.3;100.1;13.4;
18/06/2015;5;38;18;85;;88;975.9;307.5;13.8;
17/06/2015;7;9;17;84;;91;977.3;190.9;13.2;
16/06/2015;11;7;21;84;;85;975.7;241.6;12.5;
