Fecha;NO;NO2;NOX
01/10/2015;10;67;49
30/09/2015;21;85;83
29/09/2015;21;58;68
28/09/2015;12;67;55
27/09/2015;8;50;38
26/09/2015;11;52;47
25/09/2015;22;55;67
24/09/2015;16;52;56
23/09/2015;7;57;40
22/09/2015;5;35;25
21/09/2015;18;60;56
20/09/2015;7;73;39
19/09/2015;8;50;38
18/09/2015;13;48;48
17/09/2015;6;44;34
16/09/2015;4;23;18
15/09/2015;15;60;48
14/09/2015;6;61;30
13/09/2015;6;33;27
12/09/2015;5;38;26
11/09/2015;15;50;52
10/09/2015;12;70;53
09/09/2015;15;59;61
08/09/2015;16;64;65
07/09/2015;13;67;52
06/09/2015;6;63;33
05/09/2015;6;62;33
04/09/2015;6;39;31
03/09/2015;9;72;43
02/09/2015;12;54;45
01/09/2015;6;55;35
31/08/2015;7;56;39
30/08/2015;5;87;30
29/08/2015;7;33;31
28/08/2015;12;47;40
27/08/2015;7;57;34
26/08/2015;11;64;53
25/08/2015;8;50;38
24/08/2015;6;50;28
23/08/2015;4;19;16
22/08/2015;5;33;26
21/08/2015;10;53;49
20/08/2015;12;51;51
19/08/2015;11;42;41
18/08/2015;9;50;38
17/08/2015;10;38;35
16/08/2015;7;29;29
15/08/2015;5;33;24
14/08/2015;5;24;23
13/08/2015;7;52;31
12/08/2015;15;76;62
11/08/2015;12;60;49
10/08/2015;9;43;38
09/08/2015;5;28;21
08/08/2015;5;25;23
07/08/2015;7;56;31
06/08/2015;13;54;46
05/08/2015;10;35;40
04/08/2015;6;36;31
03/08/2015;9;58;38
02/08/2015;5;36;29
01/08/2015;5;38;24
31/07/2015;5;41;26
30/07/2015;9;59;39
29/07/2015;8;51;37
28/07/2015;8;49;36
27/07/2015;5;32;23
26/07/2015;7;36;30
25/07/2015;4;32;18
24/07/2015;14;55;48
23/07/2015;11;39;41
22/07/2015;7;40;32
21/07/2015;13;47;44
20/07/2015;15;54;51
19/07/2015;10;39;34
18/07/2015;9;33;31
17/07/2015;14;50;48
16/07/2015;8;46;33
15/07/2015;9;51;35
14/07/2015;11;48;37
13/07/2015;15;40;43
12/07/2015;6;36;21
11/07/2015;7;19;22
10/07/2015;12;50;48
09/07/2015;8;53;31
08/07/2015;7;37;26
07/07/2015;9;55;36
06/07/2015;10;50;41
05/07/2015;6;23;23
04/07/2015;7;40;26
03/07/2015;12;43;44
02/07/2015;8;29;29
01/07/2015;7;29;19
30/06/2015;10;67;38
29/06/2015;8;46;29
28/06/2015;7;29;23
27/06/2015;7;39;25
26/06/2015;10;63;41
25/06/2015;14;45;53
24/06/2015;10;47;37
23/06/2015;12;42;39
22/06/2015;15;48;47
21/06/2015;8;41;34
20/06/2015;10;42;36
19/06/2015;10;51;41
18/06/2015;11;54;40
17/06/2015;7;35;28
16/06/2015;7;30;25
15/06/2015;6;51;27
14/06/2015;7;28;26
13/06/2015;6;31;26
12/06/2015;9;61;37
11/06/2015;8;66;41
10/06/2015;14;71;65
09/06/2015;9;72;40
08/06/2015;8;45;32
07/06/2015;6;19;20
06/06/2015;6;27;22
05/06/2015;13;74;50
04/06/2015;13;72;51
03/06/2015;6;32;24
02/06/2015;11;42;39
01/06/2015;10;44;39
31/05/2015;9;46;35
30/05/2015;12;41;44
29/05/2015;6;52;26
28/05/2015;13;50;43
27/05/2015;8;51;36
26/05/2015;7;39;29
25/05/2015;7;29;23
24/05/2015;6;30;25
23/05/2015;6;39;24
22/05/2015;7;57;31
21/05/2015;11;69;38
20/05/2015;7;42;28
19/05/2015;7;36;27
18/05/2015;17;38;48
17/05/2015;6;40;26
16/05/2015;6;31;27
15/05/2015;6;19;22
14/05/2015;7;44;28
13/05/2015;8;50;38
12/05/2015;9;56;39
11/05/2015;8;41;33
10/05/2015;9;47;41
09/05/2015;7;47;32
08/05/2015;10;93;41
07/05/2015;15;92;76
06/05/2015;11;62;43
05/05/2015;7;56;31
04/05/2015;16;66;51
03/05/2015;6;56;26
02/05/2015;9;51;32
01/05/2015;5;17;16
30/04/2015;11;87;56
29/04/2015;23;63;74
28/04/2015;11;70;38
27/04/2015;6;38;27
26/04/2015;5;56;24
25/04/2015;7;46;28
24/04/2015;22;68;76
23/04/2015;13;69;54
22/04/2015;7;88;44
21/04/2015;24;75;83
20/04/2015;15;54;55
19/04/2015;7;43;34
18/04/2015;8;43;36
17/04/2015;18;59;59
16/04/2015;20;95;79
15/04/2015;6;63;38
14/04/2015;9;80;53
13/04/2015;8;77;51
12/04/2015;10;84;49
11/04/2015;9;53;40
10/04/2015;6;76;39
09/04/2015;6;60;39
08/04/2015;6;46;29
07/04/2015;23;78;80
06/04/2015;10;65;43
05/04/2015;6;60;26
04/04/2015;6;27;21
03/04/2015;11;50;43
02/04/2015;10;58;46
01/04/2015;7;55;31
31/03/2015;7;27;29
30/03/2015;9;58;45
29/03/2015;11;77;52
28/03/2015;11;73;50
27/03/2015;12;81;52
26/03/2015;10;74;42
25/03/2015;7;35;31
24/03/2015;10;69;47
23/03/2015;24;78;93
22/03/2015;5;31;21
21/03/2015;8;43;43
20/03/2015;6;42;31
19/03/2015;11;50;51
18/03/2015;26;94;100
17/03/2015;9;83;56
16/03/2015;18;75;68
15/03/2015;8;66;40
14/03/2015;6;29;29
13/03/2015;7;47;33
12/03/2015;19;61;68
11/03/2015;22;76;83
10/03/2015;28;73;95
09/03/2015;22;88;92
08/03/2015;18;67;71
07/03/2015;29;101;96
06/03/2015;41;95;126
05/03/2015;8;78;39
04/03/2015;7;39;31
03/03/2015;20;74;69
02/03/2015;21;77;78
01/03/2015;13;57;48
28/02/2015;21;79;81
27/02/2015;7;66;36
26/02/2015;7;38;31
25/02/2015;6;23;22
24/02/2015;7;33;30
23/02/2015;14;71;53
22/02/2015;7;71;39
21/02/2015;6;23;21
20/02/2015;11;65;45
19/02/2015;41;99;124
18/02/2015;21;86;77
17/02/2015;6;31;25
16/02/2015;9;67;38
15/02/2015;6;32;31
14/02/2015;5;45;28
13/02/2015;9;67;40
12/02/2015;11;80;49
11/02/2015;21;83;75
10/02/2015;27;91;97
09/02/2015;14;82;57
08/02/2015;8;57;39
07/02/2015;16;56;65
06/02/2015;16;70;60
05/02/2015;8;50;31
04/02/2015;10;45;40
03/02/2015;17;88;66
02/02/2015;8;71;40
01/02/2015;6;27;23
31/01/2015;6;25;24
30/01/2015;9;88;40
29/01/2015;12;59;43
28/01/2015;19;88;68
27/01/2015;10;60;52
26/01/2015;48;81;128
25/01/2015;13;69;52
24/01/2015;20;64;65
23/01/2015;42;97;115
22/01/2015;9;69;44
21/01/2015;9;69;35
20/01/2015;16;68;66
19/01/2015;8;58;37
18/01/2015;5;37;21
17/01/2015;8;59;41
16/01/2015;8;51;39
15/01/2015;7;59;28
14/01/2015;22;71;62
13/01/2015;7;37;28
12/01/2015;13;76;47
11/01/2015;9;64;39
10/01/2015;34;67;92
09/01/2015;77;109;178
08/01/2015;71;92;171
07/01/2015;49;84;126
06/01/2015;28;64;86
05/01/2015;43;80;114
04/01/2015;22;60;77
03/01/2015;46;81;124
02/01/2015;68;101;166
01/01/2015;30;69;94
