Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;4;8;58;3;;;;2
02/01/2014;;13;17;58;5;;;;3
03/01/2014;;9;15;60;4;;;;3
04/01/2014;;8;12;73;5;;;;4
05/01/2014;;5;8;71;4;;;;3
06/01/2014;;9;18;50;8;;;;1
07/01/2014;;20;30;41;12;;;;2
08/01/2014;;30;40;27;18;;;;4
09/01/2014;;61;42;22;30;;;;4
10/01/2014;;61;45;17;33;;;;5
11/01/2014;;49;43;17;30;;;;6
12/01/2014;;15;19;34;18;;;;3
13/01/2014;;12;17;64;11;;;;3
14/01/2014;;15;22;57;7;;;;3
15/01/2014;;12;17;50;7;;;;2
16/01/2014;;9;13;67;6;;;;2
17/01/2014;;14;22;56;12;;;;3
18/01/2014;;9;14;60;4;;;;1
19/01/2014;;8;16;59;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
20/01/2014;;15;19;62;;;;;4
21/01/2014;;13;19;60;;;;;2
22/01/2014;;18;27;48;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
23/01/2014;;17;27;59;14;;;;2
24/01/2014;;14;18;63;16;;;;2
25/01/2014;;10;17;52;11;;;;3
26/01/2014;;7;12;56;6;;;;2
27/01/2014;;10;13;70;9;;;;3
28/01/2014;;7;9;74;5;;;;3
29/01/2014;;19;26;58;12;;;;5
30/01/2014;;13;17;63;9;;;;5
31/01/2014;;20;25;50;12;;;;4
01/02/2014;;8;13;69;4;;;;3
02/02/2014;;12;17;62;7;;;;3
03/02/2014;;10;19;55;6;;;;2
04/02/2014;;9;13;66;4;;;;2
05/02/2014;;8;11;77;6;;;;2
06/02/2014;;7;13;63;5;;;;2
07/02/2014;;7;11;72;5;;;;2
08/02/2014;;5;8;77;4;;;;3
09/02/2014;;9;16;66;4;;;;2
10/02/2014;;11;18;73;8;;;;2
11/02/2014;;16;23;55;7;;;;2
12/02/2014;;16;25;51;7;;;;3
13/02/2014;;6;7;69;5;;;;2
14/02/2014;;9;11;51;6;;;;2
15/02/2014;;8;13;72;5;;;;2
16/02/2014;;9;15;59;7;;;;3
17/02/2014;;37;38;41;15;;;;5
18/02/2014;;19;32;39;17;;;;4
19/02/2014;;23;29;54;15;;;;3
20/02/2014;;11;16;56;8;;;;2
21/02/2014;;15;23;70;10;;;;2
22/02/2014;;8;13;71;5;;;;1
23/02/2014;;8;20;53;8;;;;2
24/02/2014;;12;23;62;8;;;;2
25/02/2014;;8;12;76;6;;;;2
26/02/2014;;15;23;68;10;;;;3
27/02/2014;;10;14;62;6;;;;2
28/02/2014;;10;17;72;7;;;;3
01/03/2014;;7;13;66;4;;;;2
02/03/2014;;6;9;60;3;;;;2
03/03/2014;;10;12;79;10;;;;3
04/03/2014;;10;14;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
05/03/2014;;7;13;;;;;;
06/03/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;11;27;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
07/03/2014;0.5;16;37;53;15;;;;4
08/03/2014;0.5;10;27;67;12;;;;3
09/03/2014;0.5;4;19;81;10;;;;4
10/03/2014;0.4;9;24;76;14;;;;4
11/03/2014;0.5;5;19;94;16;;;;3
12/03/2014;0.5;7;30;74;27;;;;3
13/03/2014;0.4;8;30;63;24;;;;3
14/03/2014;0.4;12;31;61;25;;;;3
15/03/2014;0.2;3;12;98;21;;;;2
16/03/2014;0.3;2;7;88;10;;;;1
17/03/2014;0.4;14;30;54;18;;;;4
18/03/2014;0.3;10;21;66;22;;;;5
19/03/2014;0.2;16;31;60;18;;;;3
20/03/2014;0.4;16;35;46;23;;;;3
21/03/2014;0.4;10;22;66;23;;;;3
22/03/2014;0.3;7;13;71;9;;;;3
23/03/2014;0.4;5;13;74;8;;;;5
24/03/2014;0.4;11;20;64;10;;;;3
25/03/2014;0.3;8;15;72;10;;;;2
26/03/2014;0.3;7;14;75;10;;;;3
27/03/2014;0.5;14;27;65;15;;;;2
28/03/2014;0.5;9;23;64;15;;;;2
29/03/2014;0.4;3;12;80;13;;;;2
30/03/2014;0.3;6;17;68;30;;;;3
31/03/2014;0.3;12;28;47;15;;;;3
01/04/2014;0.4;9;20;68;17;;;;3
02/04/2014;0.4;15;28;56;12;;;;3
03/04/2014;0.4;12;22;65;11;;;;3
04/04/2014;0.6;14;20;69;14;;;;3
05/04/2014;0.4;9;20;53;12;;;;2
06/04/2014;;8;21;;;;;;
07/04/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;14;25;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
08/04/2014;0.4;12;19;56;13;;;;4
09/04/2014;0.4;10;23;57;16;;;;5
10/04/2014;0.3;11;23;55;21;;;;4
11/04/2014;0.3;7;14;68;18;;;;2
12/04/2014;0.2;3;12;78;16;;;;2
13/04/2014;0.1;4;14;67;19;;;;2
14/04/2014;0.3;7;23;65;20;;;;3
15/04/2014;0.3;14;33;53;26;;;;3
16/04/2014;0.2;10;23;59;19;;;;3
17/04/2014;0.3;4;14;89;12;;;;4
18/04/2014;0.4;5;17;81;15;;;;4
19/04/2014;0.4;8;22;71;20;;;;4
20/04/2014;0.4;7;14;62;10;;;;2
21/04/2014;0.4;12;21;48;10;;;;2
22/04/2014;0.4;10;20;58;13;;;;2
23/04/2014;0.3;7;16;53;10;;;;3
24/04/2014;0.3;14;23;53;10;;;;5
25/04/2014;0.4;11;18;75;16;;;;4
26/04/2014;0.5;5;10;67;8;;;;2
27/04/2014;0.5;4;11;72;11;;;;2
28/04/2014;0.2;10;15;46;13;;;;2
29/04/2014;0.3;11;14;53;14;;;;3
30/04/2014;0.4;14;17;46;15;;;;4
01/05/2014;0.2;4;7;58;12;;;;2
02/05/2014;0.1;6;8;77;11;;;;2
03/05/2014;0.3;3;4;84;8;;;;1
04/05/2014;0.3;5;16;87;16;;;;3
05/05/2014;0.3;10;22;69;18;;;;4
06/05/2014;0.2;14;26;53;26;;;;3
07/05/2014;0.2;9;16;62;25;;;;2
08/05/2014;0.3;7;15;68;23;;;;3
09/05/2014;0.4;9;16;60;18;;;;4
10/05/2014;0.3;6;10;58;23;;;;3
11/05/2014;0.2;5;6;50;17;;;;2
12/05/2014;0.2;7;11;67;19;;;;3
13/05/2014;0.3;4;6;81;14;;;;2
14/05/2014;0.5;5;9;80;11;;;;1
15/05/2014;0.3;6;14;82;16;;;;2
16/05/2014;0.3;5;11;96;17;;;;2
17/05/2014;0.3;3;7;95;16;;;;3
18/05/2014;0.3;4;11;88;19;;;;3
19/05/2014;0.4;7;17;81;27;;;;2
20/05/2014;0.4;10;17;67;17;;;;3
21/05/2014;0.4;6;11;78;15;;;;2
22/05/2014;0.4;8;11;64;8;;;;2
23/05/2014;0.2;9;14;71;10;;;;2
24/05/2014;0.2;5;11;62;12;;;;2
25/05/2014;0.3;5;9;67;13;;;;2
26/05/2014;0.4;8;13;64;12;;;;2
27/05/2014;0.5;8;17;65;12;;;;4
28/05/2014;0.6;7;12;57;10;;;;5
29/05/2014;0.5;18;29;51;13;;;;4
30/05/2014;0.3;5;8;65;6;;;;2
31/05/2014;0.3;3;4;75;7;;;;3
01/06/2014;0.4;2;4;79;9;;;;2
02/06/2014;0.6;7;16;74;13;;;;2
03/06/2014;0.5;11;24;68;17;;;;2
04/06/2014;0.5;9;12;56;12;;;;2
05/06/2014;0.6;12;28;68;17;;;;2
06/06/2014;0.5;12;27;67;40;;;;2
07/06/2014;0.4;11;16;59;14;;;;2
08/06/2014;0.4;6;14;63;11;;;;1
09/06/2014;0.6;12;25;65;17;;;;2
10/06/2014;0.6;9;21;65;19;;;;2
11/06/2014;0.6;9;22;59;17;;;;1
12/06/2014;0.5;11;24;61;18;;;;1
13/06/2014;0.5;8;18;74;16;;;;2
14/06/2014;0.4;3;7;101;16;;;;2
15/06/2014;0.5;3;5;84;14;;;;4
16/06/2014;0.6;4;8;87;13;;;;3
17/06/2014;0.7;8;18;81;17;;;;2
18/06/2014;0.7;8;17;78;15;;;;2
19/06/2014;0.6;8;20;78;18;;;;2
20/06/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;8;26;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/06/2014;;7;17;;;;;;
22/06/2014;;5;11;;;;;;
23/06/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;6;15;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
24/06/2014;0.2;15;29;56;12;;;;2
25/06/2014;0.2;7;18;81;18;;;;3
26/06/2014;0.1;7;16;60;13;;;;4
27/06/2014;0.1;8;17;62;11;;;;3
28/06/2014;0.1;7;16;52;12;;;;2
29/06/2014;0.1;7;10;61;7;;;;2
30/06/2014;0.2;6;14;65;10;;;;3
01/07/2014;0.2;12;23;54;13;;;;3
02/07/2014;0.3;8;15;54;12;;;;1
