Fecha;Hora;SO2;NO;NO2;PM10;PM25;dd;vv
01/01/2014;00:00:00;7;2;11;30;13;324;2.7
01/01/2014;01:00:00;7;3;10;28;13;325;2.7
01/01/2014;02:00:00;7;2;6;26;12;324;2.7
01/01/2014;03:00:00;7;2;6;24;11;324;2.7
01/01/2014;04:00:00;8;2;6;24;11;323;3.0
01/01/2014;05:00:00;8;3;6;20;8;324;3.1
01/01/2014;06:00:00;7;3;6;19;8;322;3.3
01/01/2014;07:00:00;9;3;7;18;8;325;3.1
01/01/2014;08:00:00;7;3;7;23;8;346;1.9
01/01/2014;09:00:00;5;1;5;22;7;49;2.1
01/01/2014;10:00:00;4;1;5;19;6;81;3.2
01/01/2014;11:00:00;4;2;4;15;5;82;4.4
01/01/2014;12:00:00;4;2;4;13;4;78;5.1
01/01/2014;13:00:00;4;2;4;14;5;75;4.9
01/01/2014;14:00:00;4;2;5;14;5;78;4.5
01/01/2014;15:00:00;4;2;5;14;4;75;4.3
01/01/2014;16:00:00;4;2;5;13;4;69;3.9
01/01/2014;17:00:00;4;2;4;13;4;54;3.0
01/01/2014;18:00:00;4;3;4;13;4;48;2.4
01/01/2014;19:00:00;4;3;6;14;4;45;1.8
01/01/2014;20:00:00;5;2;8;13;4;142;1.9
01/01/2014;21:00:00;5;3;7;13;4;115;2.0
01/01/2014;22:00:00;5;2;6;15;5;1;2.4
01/01/2014;23:00:00;5;2;7;15;5;311;2.3
02/01/2014;00:00:00;5;2;6;12;4;61;3.5
02/01/2014;01:00:00;5;2;6;12;4;291;2.0
02/01/2014;02:00:00;5;2;6;12;4;295;2.2
02/01/2014;03:00:00;6;2;6;12;4;321;2.1
02/01/2014;04:00:00;7;2;6;12;4;318;2.2
02/01/2014;05:00:00;6;3;12;12;4;328;2.4
02/01/2014;06:00:00;7;3;20;12;4;329;2.4
02/01/2014;07:00:00;6;3;18;12;4;327;2.5
02/01/2014;08:00:00;6;3;15;12;4;23;3.1
02/01/2014;09:00:00;5;2;7;12;3;54;4.1
02/01/2014;10:00:00;3;2;5;11;3;63;4.9
02/01/2014;11:00:00;2;2;4;12;3;75;5.0
02/01/2014;12:00:00;4;3;6;12;3;78;5.0
02/01/2014;13:00:00;3;2;5;12;3;81;4.8
02/01/2014;14:00:00;3;2;5;13;3;77;4.3
02/01/2014;15:00:00;3;3;4;14;4;81;4.1
02/01/2014;16:00:00;3;3;4;12;3;67;3.9
02/01/2014;17:00:00;2;3;4;14;4;46;2.8
02/01/2014;18:00:00;3;2;15;13;3;39;1.6
02/01/2014;19:00:00;4;3;12;12;3;326;1.6
02/01/2014;20:00:00;5;3;13;12;3;286;1.7
02/01/2014;21:00:00;6;2;15;10;3;297;1.9
02/01/2014;22:00:00;6;2;12;10;3;165;2.8
