Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
22/04/2015;18:00:00;34;2;4;2;100.667;181;3.6;36.2667;0;974;24
22/04/2015;19:00:00;28;2;6.5;2;101.5;165;2.8;34.825;0;974;23.9
22/04/2015;20:00:00;25.25;2;5.75;2;104.5;179;3.6;35.025;0;974;23.475
22/04/2015;21:00:00;24.25;2;6.5;2;97.75;183;2.7;40.2;0;974.25;21.45
22/04/2015;22:00:00;28.25;2;8.5;2;85.25;181;0.2;47.75;0;975;19.375
22/04/2015;23:00:00;28.25;2;8.25;2;80;183;0.2;53.825;0;975.25;18.05
22/04/2015;0:00:00;27.25;2;12;2;60.5;99;0.1;58.625;0;976;16.475
23/04/2015;1:00:00;31.25;2;9.5;2;56.25;100;0.1;64.825;0;976;15.4
23/04/2015;2:00:00;29.75;2;13.75;2;45.5;104;0.1;68.8;0;976;14.65
23/04/2015;3:00:00;26.75;2;18.5;2;27.25;104;0.1;72.9;0;975.75;14.125
23/04/2015;4:00:00;36.25;2;4;2;49.25;105;0.1;75.35;0;975;13.3
23/04/2015;5:00:00;25.5;2;14;2;19.75;268;0.1;89.3;0;975;11.275
23/04/2015;6:00:00;31.5;2;15.5;2.25;16.75;276;0.1;86.175;0;975;11.475
23/04/2015;7:00:00;26.25;2;14.5;2.5;21.5;297;0.1;87.275;0;974.75;11.2
23/04/2015;8:00:00;27.25;2;17.25;10.25;8.25;292;0.1;96.25;0;975;9.725
23/04/2015;9:00:00;37.25;2;24.25;22.5;9.75;285;0.1;78.425;0;975;12.475
23/04/2015;10:00:00;36.5;2;29;16.25;24.25;8;0.7;63.35;0;975;15.625
23/04/2015;11:00:00;39.5;2;17.5;8;45.75;315;0.6;54.875;0;975;18.2
23/04/2015;12:00:00;29.75;2;11.75;3;73.5;194;1.2;45.825;0;975;20.975
23/04/2015;13:00:00;27.25;2;6.5;2.25;92.75;180;2.5;39.85;0;974.5;22.525
23/04/2015;14:00:00;28;2;4;2;103.25;222;3.2;35.425;0;974;23.6
23/04/2015;15:00:00;23.5;2.25;2.5;2;106.25;188;3;30.925;0;973;24.55
23/04/2015;16:00:00;20.5;2.25;2.5;2;104.75;202;3.3;28.8;0;972.5;25.65
23/04/2015;17:00:00;17.5;2;3.5;2;104;200;3.8;25.475;0;972;26.2
23/04/2015;18:00:00;23;2;5;2;103.25;210;4.3;25.375;0;971.25;26.125
23/04/2015;19:00:00;22.5;2;4.75;2;103.75;209;4.2;24.6;0;971;26.025
23/04/2015;20:00:00;23.75;2;6.75;2;98;206;3.5;29.275;0;971;24.9
23/04/2015;21:00:00;26.5;2;6;2;95.5;208;1.9;33.725;0;971.25;22.875
23/04/2015;22:00:00;20.25;2;15.75;2;75.75;182;0.6;36.95;0;972;21.225
23/04/2015;23:00:00;35.75;2;11;2;75.25;197;0.9;42.6;0;972;19.9
23/04/2015;0:00:00;27.25;2;7.5;2;69;127;0.3;49.6;0;972;18.125
24/04/2015;1:00:00;26.25;2;6.5;2;60;137;0.2;54.65;0;972;16.825
24/04/2015;2:00:00;29.5;2;9.5;2;48.5;141;0.2;56.175;0;972;16.775
24/04/2015;3:00:00;25;2;11.5;2;32.25;141;0.1;64.7;0;972;15.275
24/04/2015;4:00:00;30;2;8.25;2;36.75;142;0.1;66.625;0;971.5;15
24/04/2015;5:00:00;21.75;2;9.5;2;27;142;0.1;69.25;0;971;14.6
24/04/2015;6:00:00;26.75;2;15;2;17;156;0.1;81.275;0;971;12.8
24/04/2015;7:00:00;28.75;2.25;19;2.25;15.5;155;0.1;79.025;0;971;13.35
24/04/2015;8:00:00;26.5;2;25.25;11.75;8.75;159;0.1;79.1;0;971;13.425
24/04/2015;9:00:00;33.75;2;21.25;13.5;12.75;350;0.3;75.925;0;972;14.1
