Fecha;Hora;PM10 ;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;47;37;0.1;11.9;63;1025;0;0.0
01/01/2014;1:00:00;47;36;0.1;11.0;65;1025;0;0.0
01/01/2014;2:00:00;70;42;0.1;10.6;70;1024;0;0.0
01/01/2014;3:00:00;41;45;0.1;9.6;72;1024;0;0.0
01/01/2014;4:00:00;41;46;0.1;9.3;78;1024;0;0.0
01/01/2014;5:00:00;40;48;0.1;9.2;79;1023;0;0.0
01/01/2014;6:00:00;38;49;0.1;9.2;75;1024;0;0.0
01/01/2014;7:00:00;41;47;0.2;9.3;76;1024;0;0.0
01/01/2014;8:00:00;44;43;0.1;11.2;80;1025;85;0.0
01/01/2014;9:00:00;47;41;0.1;14.8;75;1025;301;0.0
01/01/2014;10:00:00;46;26;0.1;17.3;62;1026;478;0.0
01/01/2014;11:00:00;46;12;0.2;18.2;51;1026;600;0.0
01/01/2014;12:00:00;50;56;0.4;18.5;51;1025;663;0.0
01/01/2014;13:00:00;58;57;1.1;18.3;49;1024;657;0.0
01/01/2014;14:00:00;50;5;0.3;18.3;52;1023;587;0.0
01/01/2014;15:00:00;53;33;0.8;18.2;57;1023;456;0.0
01/01/2014;16:00:00;50;35;0.4;17.6;60;1023;280;0.0
01/01/2014;17:00:00;48;65;0.2;16.7;63;1024;84;0.0
01/01/2014;18:00:00;50;42;0.2;15.6;67;1024;0;0.0
01/01/2014;19:00:00;49;36;0.1;14.6;70;1024;0;0.0
01/01/2014;20:00:00;50;39;0.1;13.6;72;1025;0;0.0
01/01/2014;21:00:00;44;38;0.1;13.2;75;1025;0;0.0
01/01/2014;22:00:00;30;24;0.1;13.3;82;1025;0;0.0
01/01/2014;23:00:00;22;29;0.1;12.7;83;1025;0;0.0
02/01/2014;0:00:00;12;22;0.1;12.2;85;1025;0;0.0
02/01/2014;1:00:00;13;31;0.1;11.6;87;1024;0;0.0
02/01/2014;2:00:00;15;34;0.1;10.9;90;1024;0;0.0
02/01/2014;3:00:00;16;30;0.2;11.1;90;1023;0;0.0
02/01/2014;4:00:00;18;20;0.2;12.5;89;1023;0;0.0
02/01/2014;5:00:00;14;21;0.1;12.4;91;1023;0;0.0
02/01/2014;6:00:00;10;16;0.1;12.2;89;1023;0;0.0
02/01/2014;7:00:00;9;22;0.1;12.2;90;1024;0;0.0
02/01/2014;8:00:00;11;25;0.7;13.3;85;1024;91;0.0
02/01/2014;9:00:00;11;26;0.9;15.3;76;1025;307;0.0
02/01/2014;10:00:00;11;24;1.1;16.8;69;1025;483;0.0
02/01/2014;11:00:00;11;24;1.1;17.7;65;1025;608;0.0
02/01/2014;12:00:00;11;23;1.3;18.5;59;1024;669;0.0
02/01/2014;13:00:00;17;24;1.6;19.2;50;1023;663;0.0
02/01/2014;14:00:00;9;23;1.6;19.5;46;1023;592;0.0
02/01/2014;15:00:00;10;25;1.8;19.8;41;1023;467;0.0
02/01/2014;16:00:00;12;27;2.6;19.2;43;1023;296;0.0
02/01/2014;17:00:00;10;27;2.0;18.1;46;1023;101;0.0
02/01/2014;18:00:00;8;25;0.3;16.7;57;1024;0;0.0
02/01/2014;19:00:00;9;24;0.6;15.7;71;1024;0;0.0
02/01/2014;20:00:00;10;35;0.2;15.1;78;1025;0;0.0
02/01/2014;21:00:00;11;24;0.2;14.5;79;1025;0;0.0
02/01/2014;22:00:00;8;28;0.4;14.6;82;1026;0;0.0
02/01/2014;23:00:00;8;30;0.6;14.4;86;1026;0;0.0
03/01/2014;0:00:00;8;27;0.8;14.3;83;1025;0;0.0
03/01/2014;1:00:00;8;27;3.3;14.7;85;1025;0;0.0
03/01/2014;2:00:00;10;26;2.6;15.0;76;1024;0;0.0
03/01/2014;3:00:00;7;24;2.8;14.9;81;1024;0;0.0
03/01/2014;4:00:00;8;25;4.8;15.1;80;1024;0;0.0
03/01/2014;5:00:00;9;35;2.4;14.7;85;1024;0;0.0
03/01/2014;6:00:00;11;33;0.9;14.7;86;1025;0;0.0
03/01/2014;7:00:00;15;20;2.0;15.0;84;1025;0;0.0
03/01/2014;8:00:00;14;24;0.3;15.4;82;1026;97;0.0
03/01/2014;9:00:00;14;22;2.0;16.3;80;1026;305;0.0
03/01/2014;10:00:00;16;20;0.5;17.8;74;1026;480;0.0
03/01/2014;11:00:00;24;18;1.5;18.7;64;1026;599;0.0
03/01/2014;12:00:00;24;21;3.0;19.6;55;1026;662;0.0
03/01/2014;13:00:00;29;23;2.9;20.1;53;1025;659;0.0
03/01/2014;14:00:00;24;22;2.2;20.4;51;1025;588;0.0
03/01/2014;15:00:00;19;21;2.8;20.1;53;1025;459;0.0
03/01/2014;16:00:00;14;23;2.3;19.7;55;1025;286;0.0
03/01/2014;17:00:00;12;22;1.9;18.7;61;1025;96;0.0
03/01/2014;18:00:00;12;24;1.3;17.2;70;1026;0;0.0
03/01/2014;19:00:00;11;24;1.1;16.4;77;1026;0;0.0
03/01/2014;20:00:00;10;27;0.2;15.8;78;1026;0;0.0
03/01/2014;21:00:00;12;24;1.5;15.7;83;1027;0;0.0
03/01/2014;22:00:00;12;24;2.7;15.4;87;1027;0;0.0
03/01/2014;23:00:00;10;19;1.2;15.3;86;1028;0;0.0
04/01/2014;0:00:00;11;17;0.7;14.7;87;1027;0;0.0
04/01/2014;1:00:00;12;24;1.6;14.9;87;1027;0;0.0
04/01/2014;2:00:00;10;20;0.9;15.3;85;1026;0;0.0
04/01/2014;3:00:00;8;19;2.0;15.8;84;1027;0;0.0
04/01/2014;4:00:00;6;19;3.0;15.6;84;1026;0;0.0
04/01/2014;5:00:00;4;19;1.8;15.9;84;1026;0;0.0
04/01/2014;6:00:00;4;18;1.3;16.2;83;1027;0;0.0
04/01/2014;7:00:00;4;7;1.2;15.8;85;1028;0;0.0
04/01/2014;8:00:00;4;21;0.7;16.3;78;1028;80;0.0
04/01/2014;9:00:00;6;15;1.0;17.4;75;1029;173;0.0
04/01/2014;10:00:00;8;12;2.7;17.6;76;1030;173;0.0
04/01/2014;11:00:00;8;16;2.9;18.4;69;1029;295;0.0
04/01/2014;12:00:00;6;19;1.9;19.4;65;1028;489;0.0
04/01/2014;13:00:00;8;18;3.4;20.0;64;1027;613;0.0
04/01/2014;14:00:00;12;17;3.1;20.5;62;1027;475;0.0
04/01/2014;15:00:00;12;17;3.1;19.8;67;1027;190;0.0
04/01/2014;16:00:00;8;15;2.8;19.2;73;1027;108;0.0
04/01/2014;17:00:00;7;8;3.8;18.3;83;1027;23;0.0
04/01/2014;18:00:00;16;13;0.9;18.0;83;1027;0;0.0
04/01/2014;19:00:00;8;18;2.5;18.0;80;1027;0;0.0
04/01/2014;20:00:00;5;22;2.1;17.4;83;1027;0;0.0
04/01/2014;21:00:00;8;22;1.9;16.9;85;1027;0;0.0
04/01/2014;22:00:00;12;17;1.6;16.8;83;1027;0;0.0
04/01/2014;23:00:00;8;12;0.3;16.3;87;1027;0;0.0
