Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25
01/01/2014;0:00:00;3;1;2;19;6
01/01/2014;1:00:00;3;1;2;13;4
01/01/2014;2:00:00;3;1;2;16;4
01/01/2014;3:00:00;3;1;3;21;6
01/01/2014;4:00:00;3;1;4;18;5
01/01/2014;5:00:00;3;1;5;22;6
01/01/2014;6:00:00;3;1;6;23;6
01/01/2014;7:00:00;4;1;9;42;8
01/01/2014;8:00:00;4;3;14;42;10
01/01/2014;9:00:00;4;3;11;25;8
01/01/2014;10:00:00;4;1;4;24;6
01/01/2014;11:00:00;3;1;6;22;6
01/01/2014;12:00:00;3;1;7;20;5
01/01/2014;13:00:00;3;1;5;19;6
01/01/2014;14:00:00;3;1;7;17;6
01/01/2014;15:00:00;3;1;9;16;6
01/01/2014;16:00:00;4;2;30;12;6
01/01/2014;17:00:00;4;1;17;10;6
01/01/2014;18:00:00;3;1;14;10;5
01/01/2014;19:00:00;3;1;11;10;6
01/01/2014;20:00:00;4;1;9;6;4
01/01/2014;21:00:00;3;1;8;6;4
01/01/2014;22:00:00;4;1;9;8;4
01/01/2014;23:00:00;4;1;6;7;4
02/01/2014;0:00:00;4;1;10;5;4
02/01/2014;1:00:00;4;1;19;6;4
02/01/2014;2:00:00;5;1;10;4;4
02/01/2014;3:00:00;5;1;11;6;4
02/01/2014;4:00:00;4;1;9;18;4
02/01/2014;5:00:00;4;1;7;6;4
02/01/2014;6:00:00;4;1;7;9;4
02/01/2014;7:00:00;5;2;14;52;9
02/01/2014;8:00:00;4;1;5;38;11
02/01/2014;9:00:00;4;1;7;14;6
02/01/2014;10:00:00;4;2;7;24;6
02/01/2014;11:00:00;3;1;5;19;5
02/01/2014;12:00:00;3;1;6;16;6
02/01/2014;13:00:00;4;1;6;10;5
02/01/2014;14:00:00;4;1;6;10;4
02/01/2014;15:00:00;4;1;8;9;4
02/01/2014;16:00:00;4;1;10;8;4
02/01/2014;17:00:00;4;1;8;5;4
02/01/2014;18:00:00;3;1;7;6;4
02/01/2014;19:00:00;4;1;6;4;4
02/01/2014;20:00:00;3;1;4;4;4
02/01/2014;21:00:00;3;1;2;4;4
02/01/2014;22:00:00;3;1;2;4;4
02/01/2014;23:00:00;3;1;2;4;4
03/01/2014;0:00:00;3;1;2;7;4
03/01/2014;1:00:00;3;1;2;4;4
03/01/2014;2:00:00;3;1;2;4;4
03/01/2014;3:00:00;3;1;2;6;4
03/01/2014;4:00:00;3;1;2;14;4
03/01/2014;5:00:00;3;1;2;4;4
03/01/2014;6:00:00;3;1;2;10;4
03/01/2014;7:00:00;4;1;4;22;5
03/01/2014;8:00:00;4;8;25;74;15
03/01/2014;9:00:00;4;3;13;22;11
03/01/2014;10:00:00;4;2;10;24;8
03/01/2014;11:00:00;4;1;7;19;6
03/01/2014;12:00:00;4;2;11;6;4
03/01/2014;13:00:00;5;4;20;15;5
03/01/2014;14:00:00;4;5;30;26;8
03/01/2014;15:00:00;4;1;14;12;6
03/01/2014;16:00:00;4;1;10;6;6
03/01/2014;17:00:00;3;1;11;7;5
03/01/2014;18:00:00;3;1;14;6;4
03/01/2014;19:00:00;4;1;9;4;4
03/01/2014;20:00:00;4;1;2;4;4
03/01/2014;21:00:00;4;1;2;4;4
