Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;BEN;TOL;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;5;5;33;54;22;45;0.3;0.5;292;1.7;16.0;60;1005;0;0.0
01/01/2014;1:00:00;5;11;65;77;51;16;0.7;1.6;295;2.2;15.7;63;1005;0;0.0
01/01/2014;2:00:00;4;8;55;56;23;23;0.9;2.3;292;2.4;15.2;57;1004;0;0.0
01/01/2014;3:00:00;5;6;48;46;20;27;0.6;1.6;294;2.2;15.0;57;1004;0;0.0
01/01/2014;4:00:00;8;4;43;36;18;32;0.5;1.3;292;2.0;14.7;63;1003;0;0.0
01/01/2014;5:00:00;7;4;36;39;13;36;0.5;1.6;295;2.6;14.3;54;1003;0;0.0
01/01/2014;6:00:00;5;3;30;38;13;42;0.3;1.1;295;2.8;14.2;51;1003;0;0.0
01/01/2014;7:00:00;5;3;33;38;13;43;0.3;0.9;298;2.4;14.0;63;1004;0;0.0
01/01/2014;8:00:00;7;6;42;32;14;33;0.4;1.1;297;2.6;14.5;64;1005;82;0.0
01/01/2014;9:00:00;5;7;29;23;14;51;0.4;1.3;316;1.3;18.1;56;1005;268;0.0
01/01/2014;10:00:00;7;6;20;24;11;68;0.3;0.7;124;2.0;18.1;57;1005;436;0.0
01/01/2014;11:00:00;6;4;16;24;7;77;0.3;0.7;136;2.6;18.3;59;1005;559;0.0
01/01/2014;12:00:00;7;3;12;16;6;83;0.2;0.5;101;3.3;18.3;64;1005;647;0.0
01/01/2014;13:00:00;11;3;13;24;4;83;0.3;0.4;102;3.3;18.4;63;1004;579;0.0
01/01/2014;14:00:00;6;2;12;17;4;88;0.3;0.4;113;3.0;18.6;62;1003;551;0.0
01/01/2014;15:00:00;6;2;13;10;8;87;0.4;0.5;159;2.9;18.4;64;1003;442;0.0
01/01/2014;16:00:00;7;2;13;12;6;87;0.3;0.7;113;2.0;18.4;63;1003;274;0.0
01/01/2014;17:00:00;7;3;17;12;3;80;0.4;0.6;225;1.6;17.7;68;1003;22;0.0
01/01/2014;18:00:00;4;3;29;12;7;62;0.5;0.7;313;2.3;17.1;68;1003;0;0.0
01/01/2014;19:00:00;5;5;50;16;10;37;0.4;0.8;312;1.9;16.6;72;1004;0;0.0
01/01/2014;20:00:00;8;5;52;16;9;34;0.6;1.5;303;2.4;16.1;71;1004;0;0.0
01/01/2014;21:00:00;4;2;23;16;17;63;0.5;1.3;313;2.3;15.7;68;1005;0;0.0
01/01/2014;22:00:00;4;1;18;16;3;69;0.3;0.6;304;2.5;15.7;65;1005;0;0.0
01/01/2014;23:00:00;4;2;29;11;15;53;0.4;0.8;291;1.8;15.2;63;1005;0;0.0
02/01/2014;0:00:00;6;3;35;12;8;42;0.4;1.3;292;2.1;14.6;69;1004;0;0.0
