Fecha;CO;NO;NO2;O3;PM10;PM25;SO2
01/01/2015;0.5;9;23;33;;;5
02/01/2015;;;;;;;
03/01/2015;0.5;17;29;22;;;3
04/01/2015;0.6;15;27;26;;;4
05/01/2015;0.6;21;27;26;;;13
06/01/2015;0.6;16;24;26;;;6
07/01/2015;0.6;23;28;20;;;9
08/01/2015;0.6;23;32;19;;;10
09/01/2015;0.7;25;34;18;;;8
10/01/2015;0.6;18;29;21;;;6
11/01/2015;0.6;15;23;32;;;8
12/01/2015;0.7;25;29;27;;;11
13/01/2015;0.7;26;32;27;;;11
14/01/2015;0.7;25;31;22;;;5
15/01/2015;0.6;21;17;41;;;5
16/01/2015;0.6;11;13;67;;;6
17/01/2015;0.8;12;19;56;;;9
18/01/2015;0.8;14;20;39;;;4
19/01/2015;0.7;11;18;51;;;7
20/01/2015;0.7;17;27;35;;;10
21/01/2015;0.7;14;24;38;;;5
22/01/2015;0.6;11;16;58;;;9
23/01/2015;0.6;10;11;69;;;7
24/01/2015;0.6;10;9;68;;;9
25/01/2015;0.6;10;9;75;;;9
26/01/2015;0.7;13;19;53;;;9
27/01/2015;0.6;10;12;63;;;7
28/01/2015;0.7;12;17;59;;;7
29/01/2015;0.7;16;16;47;;;6
30/01/2015;0.7;10;6;67;;;5
31/01/2015;;;;;;;
01/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;;No hay dato;No hay dato
02/02/2015;;;;;;;
03/02/2015;0.7;4;14;;;;3
04/02/2015;0.7;4;13;;;;6
05/02/2015;0.7;4;12;73;;;6
06/02/2015;0.7;4;13;69;;;9
07/02/2015;0.8;5;18;45;;;12
08/02/2015;0.8;6;23;42;;;5
09/02/2015;0.8;9;29;46;;;5
10/02/2015;0.8;9;30;43;;;4
11/02/2015;0.9;12;33;46;;;5
12/02/2015;1.3;10;31;37;;;5
13/02/2015;1.8;6;26;48;;;6
14/02/2015;1.7;5;20;60;;;7
15/02/2015;1.7;4;13;58;;;7
16/02/2015;1.7;4;15;60;;;9
17/02/2015;1.7;4;15;71;;;7
18/02/2015;1.7;4;19;62;;;6
19/02/2015;1.6;8;25;55;;;5
20/02/2015;1.6;5;23;64;;;4
21/02/2015;1.2;4;17;70;;;6
22/02/2015;1;3;10;80;;;7
23/02/2015;1;9;17;54;;;7
24/02/2015;0.9;4;12;78;;;7
25/02/2015;0.9;3;9;78;;;6
26/02/2015;0.9;4;11;65;;;7
27/02/2015;0.9;3;11;78;;;7
28/02/2015;0.9;4;15;56;;;8
01/03/2015;1;5;17;42;;;6
02/03/2015;0.8;13;24;24;;;10
03/03/2015;0.6;11;27;22;;;6
04/03/2015;0.5;7;18;58;;;6
05/03/2015;0.5;4;16;75;;;7
06/03/2015;0.5;9;27;48;;;5
07/03/2015;0.5;5;22;47;;;8
08/03/2015;0.5;5;21;55;;;6
09/03/2015;0.5;9;31;47;;;17
10/03/2015;0.5;8;29;51;;;6
11/03/2015;0.5;9;28;47;;;9
12/03/2015;0.5;7;25;62;;;5
13/03/2015;0.5;6;21;58;;;7
14/03/2015;0.4;3;12;81;;;7
15/03/2015;0.4;3;15;69;;;4
16/03/2015;0.5;5;20;67;;;4
17/03/2015;0.5;6;22;74;;;5
18/03/2015;0.5;5;23;80;;No hay dato;6
19/03/2015;0.5;5;20;82;;No hay dato;5
20/03/2015;0.5;6;25;63;;No hay dato;7
21/03/2015;0.5;4;16;68;;No hay dato;6
22/03/2015;0.5;4;14;77;No hay dato;No hay dato;5
23/03/2015;0.5;4;19;85;;;5
24/03/2015;0.5;4;17;77;No hay dato;;6
25/03/2015;0.4;3;10;88;No hay dato;;7
26/03/2015;0.4;3;10;74;No hay dato;;7
27/03/2015;0.5;4;12;60;;;9
28/03/2015;0.5;3;12;57;;;9
29/03/2015;0.5;4;15;53;;;5
30/03/2015;0.5;6;19;52;;;7
31/03/2015;0.5;7;19;57;;;8
01/04/2015;0.5;5;16;69;;;7
02/04/2015;0.4;4;16;60;;;5
03/04/2015;0.4;5;16;49;;;5
04/04/2015;0.4;3;11;72;;;9
05/04/2015;0.4;5;13;64;;;5
06/04/2015;0.5;3;11;82;;;6
07/04/2015;0.4;3;10;89;;No hay dato;5
08/04/2015;0.5;3;13;112;;No hay dato;6
09/04/2015;0.6;3;12;92;;No hay dato;5
10/04/2015;0.6;4;15;97;;No hay dato;6
11/04/2015;0.6;4;18;74;;No hay dato;8
12/04/2015;0.6;3;12;99;;No hay dato;6
13/04/2015;0.5;4;15;104;;No hay dato;6
14/04/2015;0.5;6;16;93;;No hay dato;6
15/04/2015;0.5;3;13;108;;;5
16/04/2015;0.5;4;14;84;;;5
17/04/2015;0.5;11;20;60;;;7
18/04/2015;0.6;3;15;79;;;6
