Fecha;PM10;SO2;NO2;NO;CO;O3
01/01/2015;27;2;26;7;0.4;16
02/01/2015;29;2;38;30;0.5;7
03/01/2015;27;1;36;19;0.5;18
04/01/2015;22;0;30;2;0.3;30
05/01/2015;24;0;33;12;0.5;13
06/01/2015;26;0;36;6;0.4;20
07/01/2015;33;1;34;15;0.7;21
08/01/2015;45;1;40;16;0.5;15
09/01/2015;62;1;41;26;0.6;15
10/01/2015;38;0;33;8;0.5;14
11/01/2015;31;0;16;1;0.2;55
12/01/2015;32;0;28;10;0.5;32
13/01/2015;20;0;19;2;0.3;52
14/01/2015;24;0;21;7;0.3;43
15/01/2015;17;0;11;1;0.2;70
16/01/2015;20;0;27;3;0.4;57
17/01/2015;19;0;19;2;0.2;58
18/01/2015;8;0;10;1;0.2;65
19/01/2015;17;0;17;2;0.2;65
20/01/2015;9;0;25;1;0.3;51
21/01/2015;18;0;21;2;0.2;67
22/01/2015;19;0;15;2;0.2;66
23/01/2015;19;0;36;10;0.4;30
24/01/2015;19;0;21;3;0.3;43
25/01/2015;24;0;29;2;0.3;45
26/01/2015;28;0;45;8;0.4;30
27/01/2015;22;0;41;4;0.3;36
28/01/2015;19;0;35;4;0.3;43
29/01/2015;23;2;25;9;0.3;52
30/01/2015;25;0;10;1;0.2;79
31/01/2015;25;0;7;1;0.2;84
01/02/2015;26;0;8;1;0.2;81
02/02/2015;12;0;28;5;0.3;48
03/02/2015;12;0;20;2;0.3;66
04/02/2015;20;0;13;2;0.2;70
05/02/2015;20;0;15;3;0.2;70
06/02/2015;14;0;17;3;0.3;46
07/02/2015;27;0;19;1;0.4;41
08/02/2015;30;0;34;4;0.4;39
09/02/2015;28;0;13;1;0.2;67
10/02/2015;22;0;21;3;0.3;47
11/02/2015;29;1;48;13;0.6;32
12/02/2015;27;1;49;13;0.5;37
13/02/2015;20;1;37;5;0.4;45
14/02/2015;13;0;36;2;0.5;46
15/02/2015;12;0;23;1;0.3;56
16/02/2015;20;0;16;1;0.3;73
17/02/2015;24;0;9;1;0.2;77
18/02/2015;22;1;19;5;0.4;44
19/02/2015;21;2;30;6;0.4;33
20/02/2015;21;3;39;8;0.4;32
21/02/2015;21;1;8;1;0.2;82
22/02/2015;21;1;14;2;0.2;68
23/02/2015;21;1;18;6;0.3;57
24/02/2015;27;1;11;1;0.2;80
25/02/2015;23;1;8;1;0.2;79
26/02/2015;17;1;11;2;0.2;70
27/02/2015;26;1;16;2;0.3;78
28/02/2015;18;1;26;4;0.4;44
01/03/2015;18;1;21;4;0.4;33
02/03/2015;12;1;23;2;0.4;52
03/03/2015;24;1;17;2;0.3;58
04/03/2015;19;0;15;1;0.2;77
05/03/2015;24;0;10;1;0.2;72
06/03/2015;28;1;21;2;0.2;63
07/03/2015;35;3;46;19;0.5;29
08/03/2015;42;3;26;3;0.5;55
09/03/2015;45;1;21;2;0.3;72
10/03/2015;42;1;19;1;0.2;69
11/03/2015;47;1;32;3;0.3;56
12/03/2015;47;1;30;7;0.3;56
13/03/2015;29;0;14;1;0.2;81
14/03/2015;30;0;13;0;0.2;79
15/03/2015;34;0;25;1;0.3;56
16/03/2015;46;1;21;2;0.3;56
17/03/2015;26;1;31;3;0.3;62
18/03/2015;31;0;23;4;0.3;58
19/03/2015;33;0;24;3;0.3;48
20/03/2015;52;0;18;1;0.3;70
21/03/2015;28;0;36;3;0.3;42
22/03/2015;29;0;12;0;0.2;70
23/03/2015;15;0;28;3;0.3;41
24/03/2015;19;0;20;1;0.2;66
25/03/2015;15;0;9;1;0.2;81
26/03/2015;16;0;20;2;0.2;58
27/03/2015;15;0;19;2;0.2;63
28/03/2015;20;0;19;3;0.2;55
29/03/2015;20;0;12;1;0.2;67
30/03/2015;30;0;11;1;0.2;74
31/03/2015;25;0;9;1;0.2;73
01/04/2015;34;0;10;2;0.2;80
02/04/2015;27;0;8;1;0.2;68
03/04/2015;22;0;11;2;0.2;63
04/04/2015;16;0;5;0;0.2;85
05/04/2015;18;0;7;0;0.2;71
06/04/2015;24;0;6;0;0.2;84
07/04/2015;27;1;16;1;0.2;71
08/04/2015;24;1;22;3;0.2;80
09/04/2015;35;1;19;1;0.2;99
10/04/2015;17;0;15;1;0.2;91
11/04/2015;21;0;17;1;0.2;77
12/04/2015;29;0;15;1;0.2;76
13/04/2015;43;1;24;3;0.4;79
14/04/2015;48;1;27;5;0.4;77
15/04/2015;48;1;27;2;0.3;79
16/04/2015;28;0;22;3;0.2;73
17/04/2015;18;0;10;1;0.2;100
18/04/2015;18;0;15;1;0.2;83
19/04/2015;14;0;14;1;0.2;87
20/04/2015;21;0;19;3;0.2;83
21/04/2015;21;1;14;2;0.2;79
22/04/2015;22;0;19;2;0.2;74
23/04/2015;15;0;13;1;0.2;71
24/04/2015;21;0;18;3;0.2;51
25/04/2015;19;0;14;1;0.2;68
26/04/2015;14;0;8;0;0.2;85
27/04/2015;15;0;10;1;0.2;77
28/04/2015;16;0;8;1;0.1;69
29/04/2015;18;0;20;2;0.2;55
30/04/2015;24;0;26;5;0.3;52
01/05/2015;14;0;13;1;0.2;53
02/05/2015;12;0;9;1;0.2;45
03/05/2015;10;0;5;0;0.1;64
04/05/2015;19;0;6;1;0.1;69
05/05/2015;20;0;6;1;0.1;90
06/05/2015;20;0;9;1;0.2;90
07/05/2015;30;0;14;2;0.2;85
08/05/2015;22;0;17;2;0.2;88
09/05/2015;11;0;5;0;0.1;82
10/05/2015;22;0;10;1;0.2;72
11/05/2015;22;0;5;0;0.2;94
12/05/2015;29;0;8;1;0.3;85
13/05/2015;28;1;12;0;0.3;70
14/05/2015;27;1;15;2;0.3;64
15/05/2015;20;0;10;1;0.2;77
16/05/2015;17;0;10;1;0.2;79
17/05/2015;15;0;7;0;0.2;68
18/05/2015;19;1;10;1;0.3;68
19/05/2015;21;0;12;1;0.2;81
20/05/2015;17;0;12;1;0.2;82
21/05/2015;15;0;9;1;0.2;81
22/05/2015;17;0;13;1;0.2;78
23/05/2015;13;0;9;0;0.2;73
24/05/2015;10;0;8;0;0.2;61
25/05/2015;10;0;5;0;0.2;69
26/05/2015;17;0;8;1;0.2;77
27/05/2015;17;0;8;1;0.2;74
28/05/2015;17;0;10;1;0.3;72
29/05/2015;15;0;7;1;0.2;83
30/05/2015;18;1;10;0;0.3;74
31/05/2015;19;1;11;1;0.4;53
01/06/2015;10;0;11;1;0.2;56
02/06/2015;20;0;8;2;0.2;
03/06/2015;27;0;9;3;0.2;51
04/06/2015;35;0;12;3;0.3;56
05/06/2015;24;0;3;2;0.2;71
06/06/2015;19;0;1;2;0.2;60
07/06/2015;22;0;1;2;0.2;76
08/06/2015;32;0;3;2;0.2;89
09/06/2015;36;0;5;2;0.2;94
10/06/2015;25;0;7;2;0.3;83
11/06/2015;32;0;7;3;0.3;65
12/06/2015;21;0;6;2;0.3;76
13/06/2015;17;0;3;2;0.2;83
14/06/2015;15;0;2;2;0.4;78
15/06/2015;16;0;2;2;0.2;78
16/06/2015;14;0;1;2;0.2;83
17/06/2015;18;0;6;1;0.2;83
18/06/2015;20;0;11;3;0.2;70
19/06/2015;16;0;12;2;0.2;54
20/06/2015;16;0;8;2;0.2;56
21/06/2015;17;0;9;3;0.2;61
22/06/2015;18;1;8;3;0.2;55
23/06/2015;15;0;8;3;0.2;49
24/06/2015;16;1;11;3;0.2;54
25/06/2015;22;1;11;3;0.2;78
26/06/2015;34;0;9;2;0.2;87
27/06/2015;22;0;7;2;0.2;60
28/06/2015;16;0;9;3;0.2;42
29/06/2015;19;0;7;2;0.2;58
30/06/2015;30;1;10;3;0.3;71
01/07/2015;27;0;12;3;0.2;63
02/07/2015;16;0;15;2;0.1;55
03/07/2015;24;0;16;4;0;60
04/07/2015;22;0;12;2;0;60
05/07/2015;15;0;13;2;0;56
06/07/2015;17;0;11;2;0;66
07/07/2015;21;0;11;2;0.1;59
08/07/2015;12;0;8;1;0.1;61
09/07/2015;17;0;9;1;0.1;57
10/07/2015;28;1;10;2;0.2;74
11/07/2015;18;0;8;1;0.1;63
12/07/2015;12;0;7;1;0.2;56
13/07/2015;13;0;8;2;0.1;55
14/07/2015;12;0;8;2;0.2;57
15/07/2015;16;0;7;1;0.2;54
16/07/2015;13;0;8;1;0.2;60
17/07/2015;18;1;14;3;0.2;52
18/07/2015;16;0;8;1;0.2;50
19/07/2015;19;0;10;1;0.2;62
20/07/2015;14;0;14;2;0.2;56
21/07/2015;15;0;13;2;0.2;44
22/07/2015;13;0;14;2;0.3;46
23/07/2015;13;0;12;3;0.2;44
24/07/2015;18;1;18;5;0.2;52
25/07/2015;20;0;9;1;0.1;72
26/07/2015;15;0;11;2;0.1;59
27/07/2015;19;0;11;2;0.1;53
28/07/2015;15;0;12;2;0.1;65
29/07/2015;12;0;9;2;0.1;60
30/07/2015;13;0;6;1;0.1;77
31/07/2015;15;0;22;3;0.1;70
01/08/2015;17;0;13;1;0.2;89
02/08/2015;20;0;11;1;0.1;102
03/08/2015;19;0;11;2;0.1;82
04/08/2015;14;0;10;2;0.1;68
05/08/2015;25;1;12;2;0.2;61
06/08/2015;18;0;10;3;0.2;58
07/08/2015;19;0;18;3;0.3;49
08/08/2015;14;0;8;1;0.2;68
09/08/2015;16;1;8;1;0.1;75
10/08/2015;21;1;12;2;0.2;80
11/08/2015;29;0;19;4;0.3;68
12/08/2015;23;1;15;5;0.2;75
13/08/2015;18;0;13;2;0.2;68
14/08/2015;15;0;6;1;0.1;75
15/08/2015;16;1;11;1;0.2;58
16/08/2015;21;1;8;1;0.2;61
17/08/2015;16;1;10;3;0.2;69
18/08/2015;20;1;17;4;0.4;60
19/08/2015;13;0;13;3;0.2;53
20/08/2015;16;0;13;3;0.2;65
21/08/2015;32;0;18;6;0.3;64
22/08/2015;20;0;11;0;0.2;65
23/08/2015;11;0;9;1;0.2;69
24/08/2015;24;0;9;3;0.1;73
25/08/2015;17;0;13;4;0.2;67
26/08/2015;14;1;19;5;0.2;66
27/08/2015;20;0;11;1;0.1;77
28/08/2015;13;0;8;3;0.2;70
29/08/2015;14;0;9;2;0.2;79
30/08/2015;23;0;10;1;0.2;85
31/08/2015;21;0;13;4;0.2;92
01/09/2015;20;0;10;3;0.2;92
02/09/2015;17;0;14;2;0.3;62
03/09/2015;12;0;28;5;0.3;49
04/09/2015;11;0;17;2;0.2;63
05/09/2015;11;0;17;2;0.2;58
06/09/2015;14;0;9;1;0.2;67
07/09/2015;20;0;14;3;0.3;63
08/09/2015;;0;20;6;0.3;62
09/09/2015;27;0;22;5;0.3;66
10/09/2015;21;0;20;3;0.3;59
11/09/2015;19;0;20;5;0.3;67
12/09/2015;20;1;22;4;0.3;
13/09/2015;11;0;11;1;0.2;
14/09/2015;20;0;10;1;0.2;
15/09/2015;14;0;7;1;0.2;
16/09/2015;19;0;9;2;0.2;61
17/09/2015;15;0;14;1;0.2;60
18/09/2015;15;0;21;4;0.3;54
19/09/2015;13;0;11;1;0.3;61
20/09/2015;7;0;8;1;0.2;61
21/09/2015;17;0;16;3;0.3;54
22/09/2015;17;0;9;1;0.2;68
23/09/2015;12;0;17;2;0.2;49
24/09/2015;13;0;17;3;0.2;46
25/09/2015;26;0;14;4;0.2;55
26/09/2015;21;0;9;1;0.2;58
27/09/2015;17;0;11;2;0.2;50
28/09/2015;21;1;14;3;0.4;60
29/09/2015;23;1;18;8;0.3;52
30/09/2015;25;2;23;4;0.3;45
01/10/2015;33;1;28;7;0.3;53
02/10/2015;18;0;22;2;0.2;67
03/10/2015;16;0;15;1;0.2;73
04/10/2015;13;0;8;1;0.1;52
05/10/2015;12;0;11;1;0.1;56
06/10/2015;17;0;11;1;0.1;63
07/10/2015;19;0;27;4;0.2;38
08/10/2015;20;0;16;2;0.2;47
09/10/2015;20;1;17;1;0.2;50
10/10/2015;23;2;26;5;0.2;41
11/10/2015;19;3;20;1;0.2;60
12/10/2015;21;1;13;0;0.2;51
13/10/2015;25;1;13;1;0.2;64
14/10/2015;21;1;14;1;0.1;66
15/10/2015;12;2;15;1;0.1;61
16/10/2015;13;1;14;1;0.1;60
17/10/2015;22;2;20;1;0.2;42
18/10/2015;24;2;15;0;0.2;53
19/10/2015;24;1;15;2;0.2;39
20/10/2015;25;0;17;1;0.2;53
21/10/2015;19;0;32;3;0.2;41
22/10/2015;19;2;32;6;0.2;41
23/10/2015;27;3;29;7;0.2;30
24/10/2015;25;6;30;5;0.3;36
25/10/2015;20;3;12;0;0.2;57
26/10/2015;11;4;11;1;0.1;58
27/10/2015;14;2;14;1;0.1;66
28/10/2015;14;1;19;3;0.1;57
29/10/2015;11;1;18;2;0.2;49
30/10/2015;7;1;11;1;0.1;58
31/10/2015;14;0;14;1;0.2;56
01/11/2015;24;2;16;1;0.2;52
02/11/2015;21;4;12;1;0.2;63
03/11/2015;11;3;22;2;0.2;46
04/11/2015;10;0;17;1;0.1;45
05/11/2015;15;0;35;7;0.2;25
06/11/2015;10;1;23;6;0.2;32
07/11/2015;13;1;25;6;0.2;28
08/11/2015;10;0;19;1;0.1;44
09/11/2015;;;;;;
