Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;N;6;27;82;28;34;317;1.2;15.1;68;1013;0;0.0
01/01/2014;1:00:00;N;9;46;79;55;17;318;1.4;14.9;68;1013;0;0.0
01/01/2014;2:00:00;N;7;49;79;52;14;317;1.3;14.3;69;1012;0;0.0
01/01/2014;3:00:00;N;3;29;88;24;32;317;1.7;14.4;59;1012;0;0.0
01/01/2014;4:00:00;N;2;22;88;16;40;317;1.7;14.3;59;1011;0;0.0
01/01/2014;5:00:00;N;2;19;56;16;42;316;1.6;14.0;56;1011;0;0.0
01/01/2014;6:00:00;N;2;18;56;18;47;315;1.5;14.1;56;1011;0;0.0
01/01/2014;7:00:00;N;1;13;55;9;59;316;1.9;14.0;68;1012;0;0.0
01/01/2014;8:00:00;N;3;21;55;9;47;316;2.0;14.2;70;1012;54;0.0
01/01/2014;9:00:00;N;4;16;36;9;54;315;1.5;16.8;61;1013;238;0.0
01/01/2014;10:00:00;N;6;19;35;8;61;136;1.3;19.1;58;1013;416;0.0
01/01/2014;11:00:00;N;4;11;30;11;74;135;1.6;19.4;59;1013;557;0.0
01/01/2014;12:00:00;N;3;7;30;15;81;135;2.0;19.8;63;1013;649;0.0
01/01/2014;13:00:00;N;4;8;25;7;81;135;1.8;20.4;61;1012;658;0.0
01/01/2014;14:00:00;N;4;10;24;4;82;134;1.8;20.2;61;1011;611;0.0
01/01/2014;15:00:00;N;4;10;21;8;81;147;1.8;20.3;61;1011;530;0.0
01/01/2014;16:00:00;N;2;8;21;9;83;113;1.5;19.9;62;1011;361;0.0
01/01/2014;17:00:00;N;2;13;19;7;75;112;1.0;19.3;65;1011;144;0.0
01/01/2014;18:00:00;N;2;17;19;3;68;315;1.6;17.4;69;1011;3;0.0
01/01/2014;19:00:00;N;3;30;21;4;46;316;1.5;16.6;72;1012;0;0.0
01/01/2014;20:00:00;N;5;45;21;8;28;316;1.8;16.0;72;1012;0;0.0
01/01/2014;21:00:00;N;2;24;26;7;51;315;1.3;15.7;69;1013;0;0.0
01/01/2014;22:00:00;N;4;22;26;6;55;305;1.0;15.3;68;1013;0;0.0
01/01/2014;23:00:00;N;2;17;24;7;54;318;1.2;14.7;67;1013;0;0.0
