Fecha;Hora;PM10;PM25;SO2;NO2;NO;CO;O3;dd;vv;HR;LL;PRB;TMP
01/02/2015;1:00:00;10;3;4;14;3.5;0.545;59.75;295;0.1;56.35;0;948;3.875
01/02/2015;2:00:00;9.25;2;4.5;10.75;3.25;0.4525;61.5;311;1;59.775;0;948.25;3.375
01/02/2015;3:00:00;7;2;4.25;7.25;3;0.5125;67.5;312;1.1;57.7;0;949;3.25
01/02/2015;4:00:00;7.25;5.25;3.75;5.5;3.25;0.3775;70.25;298;1;56.6;0;949.25;3.35
01/02/2015;5:00:00;8;7.75;3;8.25;3;0.4625;62.25;279;0.8;62.025;0;949.25;2.575
01/02/2015;6:00:00;6.75;2;4;6.5;3;0.4425;63.25;310;0.5;63.475;0;949.75;1.9
01/02/2015;7:00:00;5.5;2;4;5.5;3;0.45;70.25;305;0.3;58.775;0;950.25;2.25
01/02/2015;8:00:00;4.5;5.75;4;10.5;3;0.5425;65.25;295;0.1;56.85;0;951;2.3
01/02/2015;9:00:00;4.75;2.25;4.75;16.25;3.75;0.5025;58.5;307;0.3;57.75;0;951.75;2.175
01/02/2015;10:00:00;6.25;4;4.5;14.25;5;0.425;61;297;0.6;53.95;0;952.5;3.3
01/02/2015;11:00:00;12.75;5;3.75;7.75;4.75;0.395;72.75;293;2;46.6;0;953;5.275
01/02/2015;12:00:00;15.25;5;3.5;6.75;4.25;0.345;76.75;291;2.7;40.7;0;953;6.65
01/02/2015;13:00:00;12.5;4;3.5;7.5;4.25;0.375;76.25;279;2.8;41.025;0;953;6.75
01/02/2015;14:00:00;13.5;3;3.25;11.25;5;0.3625;73.75;291;1.7;40.2;0;953;7.4
01/02/2015;15:00:00;10;2;5.25;10;4.75;0.35;76;291;2.3;36.75;0;952.5;8.475
01/02/2015;16:00:00;6.5;4;5;7.75;5;0.285;79.5;298;3.2;34.075;0;952;9.375
01/02/2015;17:00:00;7.25;4;4.5;8.75;4.75;0.3225;80.25;296;3.2;32.875;0;952;9.525
01/02/2015;18:00:00;8.5;5;4.75;8.75;4.25;0.245;80.5;291;3;33.3;0;952;9.675
01/02/2015;19:00:00;7.75;6;5.25;12.5;4.75;0.3425;73.75;287;2.4;38.125;0;952;8.875
01/02/2015;20:00:00;7.75;4;5;14.75;5;0.345;70;290;2.1;43.025;0;952.5;7.925
01/02/2015;21:00:00;10;5;4;15.75;4.5;0.345;67;295;1.8;45.45;0;953;7
01/02/2015;22:00:00;10.25;6.25;3.25;22.25;4.75;0.455;58;288;0.3;48.05;0;953;5.95
01/02/2015;23:00:00;10;9;4;16;4;0.4925;64.75;288;0.7;48.625;0;953;5.55
01/02/2015;0:00:00;11.25;10;4;9;3.25;0.3375;70.25;288;1;48.9;0;953;5.5
02/02/2015;1:00:00;12.5;12.75;3.75;4.75;3;0.3075;76;289;1.4;50;0;952.75;5.825
02/02/2015;2:00:00;10.5;2;3.25;3.75;3;0.3625;76;288;1.5;53.575;0;952.5;5.75
02/02/2015;3:00:00;8.25;2;3.5;3.25;2.75;0.335;75.5;284;1;56.625;0;952;5.65
02/02/2015;4:00:00;12.25;2.25;4.5;3.75;3;0.3575;74.25;286;1;58.45;0;952;5.525
02/02/2015;5:00:00;13;7;4.25;3;3;0.3875;73.75;292;1.6;62.55;0;952;5.225
02/02/2015;6:00:00;10.75;7.75;3.75;3.25;3;0.4775;74;292;1.2;65.825;0;951.5;5
02/02/2015;7:00:00;10;3.75;4;5.5;3;0.4525;69.25;297;0.7;69.3;0;951;4.625
02/02/2015;8:00:00;11.25;2.5;4.25;16.75;4.5;0.495;58.25;289;0.9;70.725;0;951;4.525
02/02/2015;9:00:00;14;7.25;5.5;38.25;9.75;0.625;38.5;294;0.4;70.95;0;950.5;4.525
02/02/2015;10:00:00;16.25;11;5;35.25;12;0.5325;42.75;286;1.3;70.35;0;950.25;4.725
02/02/2015;11:00:00;16.25;10;5;19.25;7.5;0.4275;59;290;2;69.15;0;950;5.7
02/02/2015;12:00:00;13.5;8;4.25;16.25;7.25;0.4375;62.25;290;2.2;65.925;0;949.75;6.625
02/02/2015;13:00:00;12;6.75;4.25;14.5;6.75;0.4475;66.75;284;2.1;57.4;0;948.75;8.1
02/02/2015;14:00:00;11.25;4.75;3.75;11.5;5.5;0.3925;70.5;272;3.2;57.45;0;947.75;8.6
02/02/2015;15:00:00;9.75;2;4.5;10.25;4.5;0.4625;65;244;2.4;71.475;0.71;946.75;7.125
02/02/2015;16:00:00;7;4;4.5;17;5.75;0.54;53.75;275;1;90.925;1.4;945.75;6.375
02/02/2015;17:00:00;6;4.25;4.75;26;9.25;0.5775;41;296;0.2;99.725;0.35;945;6.65
02/02/2015;18:00:00;7.25;7;6;32.25;10.25;0.545;33.75;310;0.3;99.95;0.35;944;6.7
02/02/2015;19:00:00;9.25;8;5.5;29.25;6.5;0.5875;36;269;0;97.95;0;943.25;6.575
02/02/2015;20:00:00;10;5.75;6;43.75;11.75;0.66;25.75;290;0.1;94.275;0.71;943;6.825
02/02/2015;21:00:00;9.25;2.5;5.25;41.75;12;0.67;23.5;295;0.1;100;0.7;942.25;6.65
02/02/2015;22:00:00;9;13.5;5;21.75;6.25;0.4675;44;294;1.2;100;0.7;942;7.075
02/02/2015;23:00:00;10.25;5;5.25;10.5;4.25;0.5575;57.75;292;2.6;100;0;942;7.475
02/02/2015;0:00:00;9.75;5;5.25;5;3;0.5475;66;290;2.6;95.9;0;942;7.4
03/02/2015;1:00:00;7.75;7;5;3.25;3;0.5825;68.25;292;2.7;88.425;0;941.75;6.95
03/02/2015;2:00:00;7.5;6.5;5.75;2.25;3;0.56;69.75;287;3.1;80.9;0;942;7.025
03/02/2015;3:00:00;7.75;4;4.25;2.25;2.5;0.4925;69;286;3;77.65;0;942;6.85
03/02/2015;4:00:00;6.75;3;5;2.5;3;0.5775;68.25;289;1.9;78.7;0;942;6.675
03/02/2015;5:00:00;7.25;4.25;5;2.5;3;0.5275;68.25;293;2;79.725;0;942;6.75
03/02/2015;6:00:00;9.25;7;5.5;2.5;3;0.4775;68.5;295;1.9;80.125;0;942;6.875
03/02/2015;7:00:00;6.75;5;4.5;4.5;3;0.5675;65.5;297;1.2;82.55;0;942.25;6.4
03/02/2015;8:00:00;5;2;5;12.25;4.5;0.5175;57.25;296;1.2;84.675;0;943;6.225
03/02/2015;9:00:00;7.5;2;5.75;32.75;10.5;0.59;40.25;292;0.9;87.35;0;943.5;6
03/02/2015;10:00:00;10.25;2.25;5.75;24.75;9.25;0.585;48.75;285;1.3;80.175;0;943.75;6.9
03/02/2015;11:00:00;11;8;4.75;13.75;7;0.515;61.75;292;2.6;70.425;0;944;8.125
03/02/2015;12:00:00;10.25;6.75;4;13.75;7;0.4875;64;295;2.7;67.675;0;943.25;8.55
03/02/2015;13:00:00;11.75;3;5.75;13.25;6.75;0.46;67;290;2.8;61.725;0;942.75;9.95
03/02/2015;14:00:00;12.25;2;5.25;11.5;6.25;0.475;73.25;297;4;54.35;0;941.5;10.725
03/02/2015;15:00:00;18.25;2;5.75;12;7;0.42;75;297;4.7;50.75;0;940.5;11.1
03/02/2015;16:00:00;18;3;5.25;11;6;0.4375;75.75;291;4.5;53.575;0;939.5;10.575
03/02/2015;17:00:00;9.5;3;6.25;8.25;5;0.3475;81.25;281;5.7;50.875;0;938.5;10.85
03/02/2015;18:00:00;7.25;3;6;12.5;4.75;0.3975;76;285;4.5;57.825;0;938;9.675
03/02/2015;19:00:00;7.25;2;5.25;21.5;6.25;0.4275;60.75;288;2.3;86.825;0.35;938;7.575
03/02/2015;20:00:00;5.75;2;6.25;13.75;5;0.4875;71.25;283;4;76.475;0;937.25;7.825
03/02/2015;21:00:00;5.5;3;6;11.75;4.5;0.535;76.25;286;4.1;71.125;0;937;7.225
03/02/2015;22:00:00;6.75;4;5.5;10.5;4;0.48;73.75;291;3.3;72.075;0;937;7.3
03/02/2015;23:00:00;9.5;4;4.5;6.25;3.25;0.49;80;286;4.6;72.575;0;937;6.95
03/02/2015;0:00:00;10.25;3;6;4.5;3;0.445;84.75;299;3.1;81.2;0.71;937;5.375
04/02/2015;1:00:00;6.25;5.25;5.75;3.75;3;0.3975;78.75;297;1.9;86.55;0;936.75;4.775
04/02/2015;2:00:00;4;8.75;5.75;3;3;0.45;78;293;2.4;79.125;0;936.5;5.05
04/02/2015;3:00:00;5.5;6.75;5.25;2.75;3;0.45;81;307;2.4;74.3;0;937;4.425
04/02/2015;4:00:00;4.75;3;6;4.25;3;0.48;77.25;322;4.4;61.5;0;937;4.2
04/02/2015;5:00:00;4.75;2.25;5.75;4.75;3;0.4925;77.25;320;2.9;60.625;0;938.5;3.425
04/02/2015;6:00:00;4.25;6;4.75;6.5;3;0.4375;73.5;319;1.8;60.125;0;939.5;3.075
04/02/2015;7:00:00;3.25;5;5;9.5;3.25;0.5375;68;315;0.8;60.85;0;940.5;2.325
04/02/2015;8:00:00;6.75;4;6.25;21;5.5;0.5675;58.75;316;1.4;56.625;0;941.25;2.025
04/02/2015;9:00:00;13.5;3.25;6.25;32.75;8.75;0.47;51;318;1.6;56.45;0;942;2.075
04/02/2015;10:00:00;14.25;4;5.25;26.25;9;0.4775;61.75;324;2.4;55;0;943;2.8
04/02/2015;11:00:00;17;9.25;6.5;26.25;13;0.545;64.75;330;2.8;53.325;0;943.5;3.55
04/02/2015;12:00:00;22;14;5.25;17.25;9.75;0.445;72.25;333;4.2;49.1;0;944;4.45
04/02/2015;13:00:00;17.25;11;4.5;16;9.25;0.4275;74.25;333;4.4;44.175;0;944.5;5.175
04/02/2015;14:00:00;14;9;6.5;15.5;10.25;0.3425;74;339;4.2;41.375;0;944.25;5.775
04/02/2015;17:00:00;10.5;5;6.25;23.5;9;0.305;67.5;336;2.3;45.7;0;946;4.9
04/02/2015;18:00:00;9;4.25;5.75;28.75;11.75;0.32;64.5;341;2.7;43.475;0;946;4.975
04/02/2015;19:00:00;9;7;6.25;26.75;8.25;0.365;63.25;330;3.5;57.325;0;947;3.15
04/02/2015;20:00:00;6.75;7;5.25;35.25;9.5;0.575;52;328;2.8;56.325;0;948;2.775
04/02/2015;21:00:00;6;5;5.5;24.5;8.5;0.7725;64;331;2.9;49.475;0;948;2.7
04/02/2015;22:00:00;7.25;6;5;21.5;6.5;0.615;64.25;329;2.1;48.875;0;948.25;2.475
04/02/2015;23:00:00;9.25;5.25;4.75;14.5;5;0.8175;68;332;2.3;49.825;0;949;2.15
04/02/2015;0:00:00;10;8;5.25;17;4;0.825;61;308;0.9;56.125;0;949;1.25
05/02/2015;1:00:00;10;6;5;10.75;3;0.8675;67;318;1;52.75;0;949;1.6
05/02/2015;2:00:00;10.5;4;5.25;9.75;3;0.84;66.5;314;0.9;55.9;0;949;1.225
05/02/2015;3:00:00;8.5;2;4;8.25;3;0.83;67;294;0.7;55.6;0;949;1.25
05/02/2015;4:00:00;6.25;2;4.75;6;3;0.8625;68;316;1.7;57.35;0;949;1.625
05/02/2015;5:00:00;7.75;4;3.75;5.75;3;0.8625;68;315;1.8;59.225;0;949;1.725
05/02/2015;6:00:00;10.75;5;5;5.75;3;0.72;68.25;313;1.5;54.725;0;949.25;1.725
05/02/2015;7:00:00;12.75;5;5;9.75;3;0.655;65.5;314;1;51.025;0;950;1.5
05/02/2015;8:00:00;13;3;5.75;21;6;0.85;54.75;308;1;50.775;0;950.5;1.5
05/02/2015;9:00:00;13;6;6;41.25;12.5;0.8875;39;314;1.1;49.425;0;951;1.625
05/02/2015;10:00:00;13;7.75;5.75;32;13.25;0.775;54;332;1.6;43.55;0;952;2.825
05/02/2015;11:00:00;18;5;5;25.75;14.25;0.6925;60.75;339;2;40.075;0;953;4.175
05/02/2015;12:00:00;18.5;8;4.25;17;10;0.4825;72;356;3.2;33.225;0;953.25;5.825
05/02/2015;13:00:00;13.5;9.75;4;17.5;10;0.4225;73.5;345;3.7;33.8;0;953.5;6.475
05/02/2015;14:00:00;14.25;7;4.5;17.5;10.25;0.2725;76.75;353;4.1;33.25;0;953;6.55
05/02/2015;15:00:00;16;3;4.5;25.25;15.25;0.2675;71.5;6;3.7;32.375;0;953;6.7
05/02/2015;16:00:00;16.75;2;4.5;20.75;11.5;0.255;75.75;122;3.5;32.3;0;952.25;6.625
05/02/2015;17:00:00;14.5;3;4;19.25;10.25;0.26;76.75;353;3.8;32.175;0;952;6.825
05/02/2015;18:00:00;13.75;3;5.25;21.5;10.75;0.095;73.75;346;3.5;33.65;0;952.25;6.4
05/02/2015;19:00:00;13.25;6;5.5;32;9.5;0.065;59.25;341;2.1;38.125;0;952.5;5.5
05/02/2015;20:00:00;12.25;7;6.25;42.75;8.75;0.1475;44.75;311;0.5;41.875;0;953;4.975
05/02/2015;21:00:00;13.5;5;6;51.5;17.25;0.18;41;355;0.5;42.725;0;952.5;4.8
05/02/2015;22:00:00;15.75;4.25;5.75;41.75;8.75;0.15;41.75;318;0.8;46.6;0;952;4.375
05/02/2015;23:00:00;11.5;6;5.25;27.5;5;0.1725;54.75;310;0.7;45.225;0;952;4.25
05/02/2015;0:00:00;9.75;4;5;13.25;3.75;0.1575;68.75;322;1.5;47.175;0;952;3.95
06/02/2015;1:00:00;11.25;3;4.25;11.75;3.25;0.085;66.25;315;1.1;52.75;0;952;2.95
06/02/2015;2:00:00;14.5;4;4;7.25;3;0.165;68.75;318;1.6;56.25;0;951.25;2.275
06/02/2015;3:00:00;12.75;2.25;4.75;7.5;3;0.1025;69.25;315;1;55.4;0;951;2.325
06/02/2015;4:00:00;11;4;4.25;6.75;3.75;0.22;77.75;236;1;50;0;951;2.925
06/02/2015;5:00:00;9.75;7;3.75;6.5;2.75;0.2075;71.25;292;0.2;55.925;0;950;2.025
06/02/2015;6:00:00;7.25;5;4;8;3;0.1875;62.5;294;0.2;61.725;0;950;0.85
06/02/2015;7:00:00;7.25;5;4;18.25;3.5;0.105;48.5;289;0;64.525;0;950;0.225
06/02/2015;8:00:00;10.5;4;4.5;34;8.25;0.105;29.25;296;0;67.275;0;949.25;-0.5
06/02/2015;9:00:00;15;4;6.25;62.5;32.75;0.205;13.25;312;0.2;61.65;0;949.5;-0.125
06/02/2015;10:00:00;25.25;8.25;6;49.25;25.5;0.2;24.5;298;0;57.6;0;950;0.95
06/02/2015;11:00:00;32.25;18;5.25;30.25;13;0.1525;47.25;294;0.8;50.775;0;950;2.6
06/02/2015;12:00:00;20.75;17.75;5.75;21;10.25;0.0925;57.75;289;0.5;46.55;0;950;4.125
06/02/2015;13:00:00;21.25;13;5.25;20.5;10.75;0.0975;65;344;1.6;41.6;0;950;5.875
06/02/2015;14:00:00;25.5;17;6;28;16.75;0.1225;63.5;337;2.1;40.275;0;949;6.675
06/02/2015;15:00:00;22;17;5.75;35.25;22;0.17;58.75;339;2.4;37.65;0;949;6.85
06/02/2015;16:00:00;11.75;14;4.75;24.25;14.5;0.0775;70.25;183;2.9;34.4;0;949;7.125
06/02/2015;17:00:00;8.25;13.75;5.75;20.5;10.25;0.0975;73;341;2.4;30.675;0;948.5;7.2
06/02/2015;18:00:00;9.5;5;5.25;24.75;11;0.0675;69.5;6;2.3;28.875;0;948.25;7.05
06/02/2015;19:00:00;7.5;6;5.25;32.75;10.75;0.08;57.25;18;1.5;36.05;0;949;5.475
06/02/2015;20:00:00;13.75;7.75;5.25;45.5;12.5;0.095;41.25;8;0.3;42.025;0;949.75;4.175
06/02/2015;21:00:00;13;6;4.5;36.25;9.25;0.065;45.75;321;0.2;46.225;0;950;3.325
06/02/2015;22:00:00;10;5;5;39.75;6.75;0.0775;40;354;0.1;48.475;0;950;2.45
06/02/2015;23:00:00;9.5;6;4.75;41.5;6.75;0.06;34.25;118;0.1;50.85;0;951;1.7
06/02/2015;0:00:00;14.25;6;4.25;72;27;0.1175;6.75;140;0;58.8;0;951.5;0.475
07/02/2015;1:00:00;17;9.25;4.75;56.75;17.75;0.105;15;293;0;60.25;0;951.25;0.325
