Fecha;NO;NO2;NOX;PM10
01/10/2015;33;51;84;27
30/09/2015;27;72;82;19
29/09/2015;16;50;53;21
28/09/2015;21;60;68;23
27/09/2015;11;50;39;16
26/09/2015;13;46;43;16
25/09/2015;20;44;59;20
24/09/2015;25;52;66;20
23/09/2015;15;67;54;13
22/09/2015;14;54;49;16
21/09/2015;13;42;47;19
20/09/2015;8;38;31;10
19/09/2015;14;45;47;12
18/09/2015;14;35;47;16
17/09/2015;20;84;65;14
16/09/2015;9;69;39;16
15/09/2015;28;54;75;19
14/09/2015;14;55;50;15
13/09/2015;15;55;49;14
12/09/2015;8;39;35;19
11/09/2015;18;46;54;22
10/09/2015;24;67;76;21
09/09/2015;18;47;57;24
08/09/2015;;57;;19
07/09/2015;;40;;15
06/09/2015;;0;;13
05/09/2015;10;33;34;12
04/09/2015;11;38;38;12
03/09/2015;12;46;42;13
02/09/2015;10;29;35;15
01/09/2015;;41;;13
31/08/2015;16;65;57;26
30/08/2015;6;69;32;23
29/08/2015;8;42;32;20
28/08/2015;18;41;56;21
27/08/2015;22;61;70;23
26/08/2015;9;70;44;20
25/08/2015;13;36;41;14
24/08/2015;11;61;37;14
23/08/2015;4;38;21;8
22/08/2015;6;28;28;21
21/08/2015;9;30;32;22
20/08/2015;7;44;32;19
19/08/2015;8;22;27;13
18/08/2015;10;29;31;15
17/08/2015;8;30;29;16
16/08/2015;6;15;19;13
15/08/2015;6;21;21;9
14/08/2015;5;28;22;16
13/08/2015;8;35;30;15
12/08/2015;9;32;35;28
11/08/2015;8;32;31;24
10/08/2015;9;28;31;16
09/08/2015;7;24;25;13
08/08/2015;7;27;28;9
07/08/2015;8;31;30;13
06/08/2015;15;30;39;23
05/08/2015;14;35;39;22
04/08/2015;10;35;35;13
03/08/2015;10;36;35;23
02/08/2015;7;44;30;18
01/08/2015;5;29;23;15
31/07/2015;7;29;29;15
30/07/2015;13;36;43;16
29/07/2015;18;31;48;13
28/07/2015;13;31;38;12
27/07/2015;8;30;29;13
26/07/2015;6;18;21;9
25/07/2015;4;28;18;11
24/07/2015;10;32;32;11
23/07/2015;11;32;36;13
22/07/2015;11;36;38;8
21/07/2015;12;30;37;16
20/07/2015;15;42;46;19
19/07/2015;5;28;21;14
18/07/2015;7;31;25;16
17/07/2015;11;33;37;17
16/07/2015;9;34;34;17
15/07/2015;12;38;38;20
14/07/2015;7;39;29;18
13/07/2015;10;38;35;13
12/07/2015;5;23;19;8
11/07/2015;6;30;23;13
10/07/2015;12;41;39;27
09/07/2015;11;44;37;13
08/07/2015;6;33;24;9
07/07/2015;9;43;32;18
06/07/2015;8;34;36;22
05/07/2015;5;13;17;12
04/07/2015;7;36;27;16
03/07/2015;12;71;45;25
02/07/2015;9;35;32;13
01/07/2015;7;44;29;29
30/06/2015;13;66;46;30
29/06/2015;7;43;32;16
28/06/2015;5;17;19;11
27/06/2015;6;28;24;14
26/06/2015;12;42;43;24
25/06/2015;10;58;45;19
24/06/2015;12;29;37;18
23/06/2015;14;37;42;14
22/06/2015;11;43;41;16
21/06/2015;6;33;24;13
20/06/2015;8;23;28;13
19/06/2015;24;49;65;12
18/06/2015;22;68;70;19
17/06/2015;23;53;62;17
16/06/2015;15;60;53;12
15/06/2015;17;41;48;14
14/06/2015;5;32;21;9
13/06/2015;7;40;32;11
12/06/2015;7;51;33;15
11/06/2015;14;69;57;15
10/06/2015;18;64;65;15
09/06/2015;11;58;43;24
08/06/2015;11;35;37;21
