Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;NOX;O3
01/01/2015;;;4.5;83;;;;;;;;;;39
02/01/2015;;;5.4;80;;;;;;;;;;34
03/01/2015;;;8.6;63;;;;;;;;;;44
04/01/2015;;;9;74;;;;;;;;;;42
05/01/2015;;;6.8;89;;;;;;;;;;28
06/01/2015;;;7.4;;;;;;;;;;;34
07/01/2015;;;6.1;;;;;;;;;;;27
08/01/2015;;;5.4;;;;;;;;;;;24
09/01/2015;;;6.6;;;;;;;;;;;23
10/01/2015;;;9.8;70;;;;;;;;;;31
11/01/2015;;;9.9;64;;;;;;;;;;55
12/01/2015;;;8.7;81;;;;;;;;;;43
13/01/2015;;;10;82;;;;;;;;;;29
14/01/2015;;;7.9;77;;;;;;;;;;36
15/01/2015;;;8.2;76;;;;;;;;;;30
16/01/2015;;;11.3;53;;;;;;;;;;71
17/01/2015;;;6;59;;;;;;;;;;67
18/01/2015;;;4.4;72;;;;;;;;;;48
19/01/2015;;;7;71;;;;;;;;;;68
20/01/2015;;;5.6;60;;;;;;;;;;67
21/01/2015;;;6.5;64;;;;;;;;;;63
22/01/2015;;;8.3;53;;;;;;;;;;85
23/01/2015;;;9.3;41;;;;;;;;;;88
24/01/2015;;;11.2;39;;;;;;;;;;90
25/01/2015;;;10.5;32;;;;;;;;;;93
26/01/2015;;;7.4;57;;;;;;;;;;62
27/01/2015;;;10.8;56;;;;;;;;;;75
28/01/2015;;;10.6;56;;;;;;;;;;77
29/01/2015;;;14.5;49;;;;;;;;;;67
30/01/2015;;;16.9;52;;;;;;;;;;79
31/01/2015;;;11.3;50;;;;;;;;;;91
01/02/2015;;;8.1;44;;;;;;;;;;84
02/02/2015;;;7.7;57;;;;;;;;;;61
03/02/2015;;;8.6;57;;;;;;;;;;63
04/02/2015;;;4.2;62;;;;;;;;;;81
05/02/2015;;;4.6;37;;;;;;;;;;85
06/02/2015;;;4.1;43;;;;;;;;;;78
07/02/2015;;;3.4;63;;;;;;;;;;48
08/02/2015;;;4;64;;;;;;;;;;57
09/02/2015;;;3;71;;;;;;;;;;57
10/02/2015;;;3.7;74;;;;;;;;;;59
11/02/2015;;;6;80;;;;;;;;;;55
12/02/2015;;;7.5;86;;;;;;;;;;43
13/02/2015;;;8.9;78;;;;;;;;;;37
14/02/2015;;;6.5;78;;;;;;;;;;37
15/02/2015;;;11.1;67;;;;;;;;;;55
16/02/2015;;;13;52;;;;;;;;;;85
17/02/2015;;;11.1;61;;;;;;;;;;82
18/02/2015;;;10;56;;;;;;;;;;75
19/02/2015;;;6.3;72;;;;;;;;;;64
20/02/2015;;;5.7;79;;;;;;;;;;67
21/02/2015;;;8.6;68;;;;;;;;;;69
22/02/2015;;;10.6;47;;;;;;;;;;96
23/02/2015;;;14.9;51;;;;;;;;;;63
24/02/2015;6.8;315;12.3;39;984;170;;1;3;0.1;2;4;6;81
25/02/2015;4.5;336;14.2;46;987;68;;3;4;0.1;2;4;6;80
26/02/2015;5.3;329;17.7;46;984;152;;1;3;0.1;2;4;6;65
27/02/2015;6.1;323;14;38;984;185;;5;3;0.1;2;4;6;85
28/02/2015;0.7;17;12.3;47;987;119;;4;3;0.1;2;9;11;66
01/03/2015;0.8;258;15.7;56;987;123;;7;3;0.1;2;16;19;30
02/03/2015;0.4;347;18.4;58;988;189;0;6;3;0.1;2;10;13;27
03/03/2015;0.5;10;14.9;79;991;103;0;10;4;0.1;2;8;10;32
04/03/2015;2.8;333;13.2;46;993;187;24.2;5;3;0.1;2;6;7;58
05/03/2015;2.6;331;11.4;32;996;197;13.6;3;3;0.1;2;4;6;76
06/03/2015;1.1;247;8.2;58;997;186;0;40;3;0.1;3;10;15;41
07/03/2015;0.3;259;11.8;60;994;191;0;12;3;0.1;3;10;13;42
08/03/2015;0.3;268;10;75;991;132;0;17;3;0.2;2;6;8;52
09/03/2015;0.3;320;11.9;71;991;167;0;17;4;0.1;3;11;14;43
10/03/2015;0.3;319;12.4;69;992;191;0;14;3;0.1;3;10;12;50
11/03/2015;0.4;308;12.9;60;990;192;0;21;5;0.1;3;9;12;54
12/03/2015;;;14.9;58;;;0;;;;;;;79
13/03/2015;;;11.3;74;;;;;;;;;
14/03/2015;;;10.7;43;;;;;;;;;;98
15/03/2015;;;9.1;50;;;;;;;;;;86
16/03/2015;;;7.1;68;;;;;;;;;;65
17/03/2015;;;7;73;;;;;;;;;;65
18/03/2015;;;10.4;87;;;;;;;;;;85
19/03/2015;;;11.6;83;;;;;;;;;;100
20/03/2015;;;11.3;83;;;;;;;;;;103
21/03/2015;;;11.6;;;;;;;;;;;90
22/03/2015;;;9.8;;;;;;;;;;;89
23/03/2015;;;10.5;;;;;;;;;;;97
