Fecha;CO;NO;NO2;NOX;O3;PM10;PM25;SO2
1/08/2015;0.1;3.7;20.0;24.0;null(null);25.0;10.0;2.1
2/08/2015;0.14;2.3;18.0;19.0;null(null);32.0;14.0;2.9
3/08/2015;0.1;3.6;17.0;21.0;null(null);25.0;8.8;1.9
4/08/2015;0.1;8.2;24.0;35.0;41.0;74.0;23.0;1.1
5/08/2015;0.1;3.2;20.0;23.0;45.0;45.0;15.0;1.1
6/08/2015;0.1;3.4;16.0;19.0;45.0;37.0;15.0;1.1
7/08/2015;0.1;2.1;7.5;8.8;61.0;43.0;11.0;3.2
8/08/2015;0.1;1.7;7.8;8.3;58.0;28.0;11.0;2.0
9/08/2015;0.1;1.8;10.0;11.0;60.0;22.0;9.5;1.2
10/08/2015;0.11;5.0;21.0;27.0;41.0;32.0;13.0;2.0
11/08/2015;0.1;1.9;11.0;11.0;57.0;26.0;9.8;1.2
12/08/2015;0.1;3.8;26.0;31.0;38.0;33.0;15.0;1.7
13/08/2015;0.1;2.0;10.0;11.0;58.0;32.0;9.3;1.7
14/08/2015;0.1;4.4;18.0;23.0;38.0;23.0;8.3;2.1
15/08/2015;0.1;2.9;18.0;20.0;32.0;56.0;22.0;1.2
16/08/2015;0.1;2.1;14.0;15.0;36.0;39.0;16.0;1.4
17/08/2015;0.1;2.4;12.0;13.0;46.0;24.0;8.8;1.0
18/08/2015;0.1;2.5;9.7;12.0;42.0;18.0;5.9;2.1
19/08/2015;0.1;3.1;12.0;15.0;45.0;13.0;3.8;2.1
20/08/2015;0.11;9.1;18.0;31.0;35.0;24.0;8.4;2.3
21/08/2015;0.1;3.2;18.0;21.0;43.0;25.0;8.7;1.1
22/08/2015;0.11;5.0;17.0;23.0;28.0;21.0;6.1;3.9
23/08/2015;0.1;2.3;10.0;12.0;47.0;27.0;13.0;5.1
24/08/2015;0.1;2.9;12.0;15.0;52.0;41.0;12.0;2.1
25/08/2015;0.1;3.2;13.0;16.0;42.0;14.0;3.5;1.6
26/08/2015;0.1;2.2;11.0;12.0;44.0;17.0;5.8;1.0
27/08/2015;0.1;2.4;13.0;14.0;36.0;21.0;7.8;1.2
28/08/2015;0.11;5.8;24.0;31.0;30.0;13.0;4.6;1.5
29/08/2015;0.1;4.6;13.0;19.0;25.0;20.0;6.9;2.3
30/08/2015;0.11;3.2;15.0;19.0;38.0;22.0;11.0;2.4
31/08/2015;0.1;1.5;7.3;7.2;62.0;18.0;8.0;1.0
1/09/2015;0.1;1.4;8.0;7.6;68.0;21.0;8.3;1.6
2/09/2015;0.1;1.3;7.0;6.5;73.0;16.0;5.8;2.0
3/09/2015;0.1;1.3;6.9;5.8;70.0;18.0;7.7;1.0
8/09/2015;0.1;5.7;24.0;31.0;63.0;20.0;11.0;1.4
9/09/2015;0.1;6.3;25.0;32.0;40.0;27.0;10.0;3.7
10/09/2015;0.11;2.7;21.0;23.0;42.0;50.0;16.0;1.8
11/09/2015;0.1;6.1;29.0;37.0;29.0;29.0;9.8;3.6
12/09/2015;0.1;1.7;9.8;10.0;67.0;34.0;8.4;1.5
13/09/2015;0.1;1.8;8.9;9.1;57.0;22.0;7.1;1.6
14/09/2015;0.1;2.8;15.0;17.0;61.0;43.0;12.0;3.6
15/09/2015;0.1;3.2;19.0;21.0;36.0;12.0;3.0;3.0
16/09/2015;0.13;2.1;14.0;15.0;60.0;39.0;20.0;4.4
17/09/2015;0.1;3.8;22.0;26.0;54.0;37.0;13.0;2.8
18/09/2015;0.1;4.6;28.0;33.0;54.0;52.0;15.0;1.8
19/09/2015;0.1;3.3;23.0;25.0;43.0;21.0;9.8;1.8
20/09/2015;0.1;3.8;17.0;20.0;47.0;21.0;12.0;1.0
21/09/2015;0.1;2.3;11.0;12.0;66.0;30.0;12.0;1.5
22/09/2015;0.1;3.0;13.0;15.0;59.0;36.0;12.0;1.5
23/09/2015;0.1;3.5;17.0;19.0;50.0;55.0;17.0;1.7
24/09/2015;0.1;9.4;26.0;38.0;36.0;36.0;15.0;2.4
25/09/2015;0.11;11.0;28.0;43.0;30.0;95.0;35.0;1.3
26/09/2015;0.1;6.9;20.0;25.0;46.0;37.0;17.0;1.3
27/09/2015;0.1;2.4;12.0;13.0;53.0;23.0;14.0;1.0
28/09/2015;0.1;2.2;23.0;23.0;52.0;20.0;12.0;2.3
29/09/2015;0.1;5.0;22.0;27.0;55.0;25.0;14.0;4.4
30/09/2015;0.1;3.5;29.0;32.0;54.0;26.0;12.0;2.0
1/10/2015;0.1;4.2;30.0;34.0;54.0;31.0;19.0;1.3
2/10/2015;0.11;9.9;35.0;48.0;46.0;32.0;19.0;3.2
3/10/2015;0.1;3.2;22.0;25.0;50.0;24.0;15.0;2.8
4/10/2015;0.1;1.5;7.8;9.0;46.0;16.0;9.2;1.2
5/10/2015;0.11;2.9;14.0;17.0;50.0;20.0;9.8;1.6
6/10/2015;0.1;3.1;13.0;17.0;58.0;44.0;16.0;3.2
7/10/2015;0.1;11.0;30.0;45.0;31.0;53.0;19.0;2.5
8/10/2015;0.1;16.0;28.0;52.0;25.0;58.0;23.0;4.9
9/10/2015;0.1;5.6;25.0;33.0;35.0;26.0;12.0;1.8
10/10/2015;0.1;1.9;17.0;19.0;47.0;19.0;10.0;2.1
11/10/2015;0.1;2.5;14.0;17.0;44.0;21.0;9.7;1.1
12/10/2015;0.1;1.0;3.2;4.0;66.0;29.0;14.0;1.5
13/10/2015;0.1;1.4;6.5;8.2;73.0;32.0;15.0;1.0
14/10/2015;0.1;2.5;18.0;21.0;56.0;26.0;14.0;2.8
15/10/2015;0.1;3.8;24.0;29.0;38.0;25.0;15.0;1.4
16/10/2015;0.11;12.0;39.0;55.0;22.0;25.0;14.0;2.8
18/10/2015;0.1;3.2;22.0;25.0;35.0;20.0;11.0;1.3
19/10/2015;0.1;1.1;3.8;4.9;61.0;21.0;9.9;2.8
20/10/2015;0.1;1.8;13.0;14.0;59.0;23.0;12.0;2.5
21/10/2015;0.1;1.8;8.5;11.0;66.0;19.0;10.0;1.7
22/10/2015;0.11;8.3;31.0;43.0;36.0;26.0;12.0;2.8
23/10/2015;0.1;13.0;35.0;55.0;32.0;55.0;23.0;4.0
24/10/2015;0.1;2.4;14.0;16.0;65.0;29.0;14.0;2.5
25/10/2015;0.1;4.6;22.0;28.0;45.0;51.0;19.0;1.7
26/10/2015;0.11;4.7;24.0;30.0;49.0;19.0;9.9;11.0
27/10/2015;0.1;4.8;22.0;28.0;53.0;34.0;14.0;3.9
29/10/2015;0.1;3.9;13.0;19.0;28.0;13.0;4.3;1.3
30/10/2015;0.1;5.2;22.0;29.0;50.0;32.0;11.0;2.5
31/10/2015;0.1;2.8;15.0;19.0;65.0;26.0;11.0;2.9
1/05/2015;0.11;2.8;6.2;10.0;46.0;20.0;7.6;1.2
2/05/2015;0.11;2.9;5.6;9.5;45.0;17.0;7.8;1.3
3/05/2015;0.1;2.0;4.0;6.5;68.0;25.0;8.8;1.0
4/05/2015;0.1;4.0;12.0;17.0;54.0;21.0;13.0;1.9
5/05/2015;0.11;3.2;13.0;18.0;82.0;45.0;16.0;5.5
6/05/2015;0.11;4.6;16.0;23.0;68.0;57.0;18.0;4.4
7/05/2015;0.1;4.8;22.0;28.0;58.0;33.0;14.0;2.5
