Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;;;1.1;58;;;;;;;;;;2
02/01/2015;;;1.7;62;;;;;;;;;;2
03/01/2015;;;2.8;63;;;;;;;;;;2
04/01/2015;;;4.9;60;;;;;;;;;;2
05/01/2015;;;4.1;65;;;;;;;;;;2
06/01/2015;;;2.5;68;;;;;;;;;;2
07/01/2015;;;1.2;75;;;;;;;;;;2
08/01/2015;;;1.9;70;;;;;;;;;;2
09/01/2015;;;3.8;71;;;;;;;;;;2
10/01/2015;;;3.5;67;;;;;;;;;;2
11/01/2015;;;3.6;70;;;;;;;;;;2
12/01/2015;;;3.8;74;;;;;;;;;;
13/01/2015;;;5.5;67;;;;;;;;;;
14/01/2015;;;5.3;70;;;;;;;;;;
15/01/2015;;;6.6;64;;;;;;;;;;40
16/01/2015;;;6.6;63;;;;;;;;;;60
17/01/2015;;;1.3;66;;;;;;;;;;46
18/01/2015;;;-0.4;73;;;;;;;;;;43
19/01/2015;;;2.8;70;;;;;;;;;;55
20/01/2015;;;0.1;71;;;;;;;;;;42
21/01/2015;;;2;75;;;;;;;;;;38
22/01/2015;;;1.8;73;;;;;;;;;;50
23/01/2015;;;4.8;52;;;;;;;;;;70
24/01/2015;;;4.6;55;;;;;;;;;;66
25/01/2015;;;7;38;;;;;;;;;;78
26/01/2015;;;5.1;50;;;;;;;;;;61
27/01/2015;;;7.9;57;;;;;;;;;;65
28/01/2015;;;7.2;57;;;;;;;;;;62
29/01/2015;;;7.4;65;;;;;;;;;;47
30/01/2015;;;12.3;72;;;;;;;;;;59
31/01/2015;;;6.8;68;;;;;;;;;;72
01/02/2015;;;3.8;51;;;;;;;;;;72
02/02/2015;;;3.3;71;;;;;;;;;;52
03/02/2015;;;6;66;;;;;;;;;;69
04/02/2015;;;1.2;62;;;;;;;;;;72
05/02/2015;;;1.4;44;;;;;;;;;;74
06/02/2015;;;0.8;53;;;;;;;;;;66
07/02/2015;;;0.5;67;;;;;;;;;;43
08/02/2015;;;-1;74;;;;;;;;;;41
09/02/2015;;;0.8;72;;;;;;;;;;45
10/02/2015;;;3.7;69;;;;;;;;;;54
11/02/2015;;;5.5;76;;;;;;;;;;51
12/02/2015;;;6;85;;;;;;;;;;35
13/02/2015;;;6.8;70;;;;;;;;;;51
14/02/2015;;;8.9;66;;;;;;;;;;65
15/02/2015;;;10.2;63;;;;;;;;;;59
16/02/2015;;;9;67;;;;;;;;;;53
17/02/2015;;;6;76;;;;;;;;;;69
18/02/2015;;;5.9;67;;;;;;;;;;60
19/02/2015;;;3.9;71;;;;;;;;;;49
20/02/2015;;;4.9;68;;;;;;;;;;57
21/02/2015;;;7.2;59;;;;;;;;;;75
22/02/2015;;;8.6;49;;;;;;;;;;79
23/02/2015;;;9;65;;;;;;;;;;50
24/02/2015;;;7;49;;;;;;;;;;77
