Fecha;NO;NO2;O3;PM10;PM25;SO2
01/01/2015;3;8;72;;;1
02/01/2015;3;8;62;;;1
03/01/2015;3;8;62;;;1
04/01/2015;3;8;65;;;1
05/01/2015;3;8;67;;;1
06/01/2015;3;8;54;;;1
07/01/2015;3;8;52;;;1
08/01/2015;;;;;;
09/01/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
10/01/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
11/01/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
12/01/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
13/01/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
14/01/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
15/01/2015;;;;;;
16/01/2015;3;8;62;;;2
17/01/2015;3;8;63;;;1
18/01/2015;3;8;59;;;1
19/01/2015;3;8;53;;;1
20/01/2015;3;8;54;;;1
21/01/2015;3;8;57;;;1
22/01/2015;3;8;65;;;1
23/01/2015;3;8;85;;;1
24/01/2015;3;8;87;;;1
25/01/2015;7;8;91;;;6
26/01/2015;8;8;71;;;8
27/01/2015;9;8;77;;;7
28/01/2015;8;8;72;;;7
29/01/2015;8;8;66;;;8
30/01/2015;7;8;71;;;8
31/01/2015;6;8;69;;;8
01/02/2015;5;8;72;;;9
02/02/2015;5;8;65;;;8
03/02/2015;6;8;69;;;7
04/02/2015;5;8;81;;;9
05/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
06/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
07/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
08/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
09/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
10/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
11/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
12/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
13/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
14/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
15/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
16/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
17/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
18/02/2015;;;;;;
19/02/2015;3;8;70;;;4
20/02/2015;3;8;76;;;4
21/02/2015;3;8;81;;;4
22/02/2015;3;8;88;;;2
23/02/2015;3;8;69;;;2
24/02/2015;3;8;83;;;2
25/02/2015;3;8;76;;;2
26/02/2015;3;8;73;;;1
27/02/2015;3;8;86;;;1
28/02/2015;3;8;77;;;1
01/03/2015;3;8;61;;;1
02/03/2015;3;8;50;;;1
03/03/2015;3;8;57;;;1
04/03/2015;5;8;70;;;3
05/03/2015;7;8;86;;;4
06/03/2015;6;8;78;;;5
07/03/2015;3;7;74;;;5
08/03/2015;3;8;85;;;6
09/03/2015;3;8;81;;;6
10/03/2015;3;8;82;;;6
11/03/2015;3;8;83;;;6
12/03/2015;3;8;88;;;6
13/03/2015;3;8;89;;;7
14/03/2015;3;8;86;;;8
15/03/2015;3;8;84;;;8
16/03/2015;3;8;79;;;8
17/03/2015;3;8;83;;;7
18/03/2015;3;8;83;No hay dato;No hay dato;7
19/03/2015;3;8;79;No hay dato;No hay dato;6
20/03/2015;3;8;82;No hay dato;No hay dato;6
21/03/2015;4;8;64;No hay dato;No hay dato;4
22/03/2015;6;8;75;No hay dato;No hay dato;4
23/03/2015;5;8;72;No hay dato;No hay dato;4
24/03/2015;5;8;65;No hay dato;No hay dato;4
25/03/2015;4;8;88;No hay dato;No hay dato;5
26/03/2015;4;8;84;No hay dato;No hay dato;3
27/03/2015;5;7;80;No hay dato;No hay dato;3
28/03/2015;5;7;64;No hay dato;No hay dato;3
29/03/2015;5;8;77;No hay dato;No hay dato;3
30/03/2015;5;7;82;No hay dato;No hay dato;3
31/03/2015;5;7;;No hay dato;No hay dato;5
01/04/2015;6;8;81;No hay dato;No hay dato;5
02/04/2015;6;7;73;No hay dato;No hay dato;6
03/04/2015;5;8;64;No hay dato;No hay dato;6
04/04/2015;6;8;74;No hay dato;No hay dato;5
05/04/2015;5;8;75;No hay dato;No hay dato;6
06/04/2015;6;8;81;No hay dato;No hay dato;6
07/04/2015;6;8;85;No hay dato;No hay dato;6
08/04/2015;5;8;97;No hay dato;No hay dato;6
09/04/2015;6;8;99;No hay dato;No hay dato;6
10/04/2015;6;8;97;No hay dato;No hay dato;6
11/04/2015;5;8;94;No hay dato;No hay dato;6
12/04/2015;5;8;89;No hay dato;No hay dato;6
13/04/2015;5;8;94;No hay dato;No hay dato;6
14/04/2015;5;8;101;;;7
15/04/2015;6;8;96;;;7
16/04/2015;6;8;73;;;7
17/04/2015;6;8;65;;;7
18/04/2015;6;8;79;;;7
19/04/2015;8;8;78;;;5
20/04/2015;;;;;;
21/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
22/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
23/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
24/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
25/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
26/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
27/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
28/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
29/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
30/04/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
01/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
02/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
03/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
04/05/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
05/05/2015;;;;;;
