Fecha;Hora;SO2;NO;NO2;PM10;dd;vv;TMP;O3
01/01/2015;1:00:00;0;0.0;5;22;265;0.5;4.9;22
01/01/2015;2:00:00;0;0.7;13;21;265;0.9;4.1;19
01/01/2015;3:00:00;1;0.1;13;25;265;0.8;3.5;16
01/01/2015;4:00:00;0;0.0;8;18;264;0.8;2.7;17
01/01/2015;5:00:00;0;0.0;4;13;259;1.1;2.8;22
01/01/2015;6:00:00;0;0.0;4;13;264;0.8;3.0;28
01/01/2015;7:00:00;0;0.0;4;14;264;0.8;3.2;30
01/01/2015;8:00:00;0;0.0;3;16;258;1.4;5.7;48
01/01/2015;9:00:00;0;0.0;0;16;240;1.4;7.2;48
01/01/2015;10:00:00;0;0.0;2;15;263;1.1;8.4;35
01/01/2015;11:00:00;0;0.0;0;17;264;1.2;13.5;49
01/01/2015;12:00:00;0;0.0;0;15;264;2.2;14.4;62
01/01/2015;13:00:00;0;0.0;0;14;273;2.0;15.0;66
01/01/2015;14:00:00;0;0.1;0;15;275;1.7;15.7;67
01/01/2015;15:00:00;0;0.1;0;16;244;1.8;15.4;69
01/01/2015;16:00:00;0;0.0;0;16;247;2.1;14.8;70
01/01/2015;17:00:00;0;0.0;0;18;246;1.6;14.2;68
01/01/2015;18:00:00;0;0.0;5;23;245;1.1;11.7;55
01/01/2015;19:00:00;0;0.1;13;29;220;1.1;8.2;31
01/01/2015;20:00:00;1;0.1;11;31;254;1.1;6.9;31
01/01/2015;21:00:00;1;0.0;11;33;255;0.7;5.2;22
01/01/2015;22:00:00;1;0.1;10;30;255;0.8;3.9;19
01/01/2015;23:00:00;1;0.0;9;26;255;0.6;3.3;19
01/01/2015;0:00:00;1;0.0;10;25;255;0.5;3.1;22
02/01/2015;1:00:00;0;0.0;3;18;261;1.1;3.3;27
02/01/2015;2:00:00;0;0.0;2;15;260;0.9;3.4;30
02/01/2015;3:00:00;0;0.0;2;11;259;0.9;3.1;25
02/01/2015;4:00:00;0;0.1;3;11;258;0.6;3.2;30
02/01/2015;5:00:00;0;0.0;2;9;258;0.7;3.1;30
02/01/2015;6:00:00;0;0.0;1;8;248;0.9;2.8;22
02/01/2015;7:00:00;0;0.0;4;10;256;0.8;3.6;32
02/01/2015;8:00:00;0;0.8;11;10;238;0.8;2.8;15
02/01/2015;9:00:00;0;1.2;11;13;230;0.6;3.1;15
02/01/2015;10:00:00;0;1.3;6;18;253;1.0;7.6;22
02/01/2015;11:00:00;0;0.7;4;18;242;0.7;13.3;35
02/01/2015;12:00:00;0;0.1;2;10;208;1.3;16.0;54
02/01/2015;13:00:00;0;4.3;17;16;136;1.2;16.9;46
02/01/2015;14:00:00;0;3.2;13;16;138;0.9;17.5;51
02/01/2015;15:00:00;0;0.4;2;11;208;2.0;16.7;61
02/01/2015;16:00:00;0;0.1;1;12;201;1.9;16.4;63
02/01/2015;17:00:00;0;0.3;4;16;221;1.7;15.7;59
02/01/2015;18:00:00;0;0.2;12;18;218;1.3;12.7;46
02/01/2015;19:00:00;0;0.1;17;23;177;0.6;9.7;31
02/01/2015;20:00:00;1;0.7;23;30;220;0.8;7.4;15
02/01/2015;21:00:00;1;1.1;27;34;223;0.8;6.0;14
02/01/2015;22:00:00;2;2.1;31;37;231;0.7;5.0;17
02/01/2015;23:00:00;2;0.5;28;33;247;0.7;4.5;22
02/01/2015;0:00:00;1;0.1;14;19;241;0.7;3.9;23
03/01/2015;1:00:00;1;0.0;11;23;235;0.7;3.6;30
03/01/2015;2:00:00;1;0.0;8;18;235;0.7;3.5;34
03/01/2015;3:00:00;0;0.0;6;10;251;0.6;2.9;26
03/01/2015;4:00:00;0;0.0;5;10;254;0.6;3.0;29
03/01/2015;5:00:00;0;0.0;4;8;251;0.4;2.2;18
03/01/2015;6:00:00;0;0.0;2;7;264;0.8;2.5;10
03/01/2015;7:00:00;0;0.0;2;8;268;0.7;2.3;10
03/01/2015;8:00:00;0;0.0;2;8;267;0.7;2.5;8
03/01/2015;9:00:00;0;0.4;5;10;265;0.6;3.1;11
03/01/2015;10:00:00;0;3.6;8;19;265;0.6;6.9;10
03/01/2015;11:00:00;0;2.5;8;20;181;1.3;14.9;42
03/01/2015;12:00:00;1;0.5;4;16;152;1.4;17.9;55
03/01/2015;13:00:00;1;1.2;4;19;142;2.3;17.8;58
03/01/2015;14:00:00;1;1.2;4;19;140;2.2;17.9;62
03/01/2015;15:00:00;1;1.2;5;18;141;2.4;17.9;63
03/01/2015;16:00:00;1;0.8;4;20;151;2.8;17.2;67
03/01/2015;17:00:00;1;0.5;5;19;145;2.4;16.7;65
03/01/2015;18:00:00;1;0.0;6;21;144;2.3;14.8;62
03/01/2015;19:00:00;0;0.0;9;21;157;0.9;13.3;55
03/01/2015;20:00:00;2;0.8;30;44;180;0.6;9.6;20
03/01/2015;21:00:00;2;1.1;30;42;97;0.9;7.8;15
03/01/2015;22:00:00;1;1.1;23;37;73;0.7;6.5;11
03/01/2015;23:00:00;2;1.8;26;47;154;0.6;5.8;10
03/01/2015;0:00:00;1;0.2;17;27;220;0.7;6.3;22
04/01/2015;1:00:00;1;0.0;13;24;220;0.6;5.0;16
04/01/2015;2:00:00;0;0.0;10;18;216;0.5;5.6;22
04/01/2015;3:00:00;0;0.0;8;17;198;0.5;5.7;19
04/01/2015;4:00:00;0;0.0;6;16;208;0.6;5.7;22
04/01/2015;5:00:00;0;0.0;6;13;250;0.7;6.9;28
04/01/2015;6:00:00;0;0.0;5;13;253;1.0;7.4;33
04/01/2015;7:00:00;0;0.0;4;13;266;1.6;8.1;28
04/01/2015;8:00:00;0;0.0;5;10;272;1.2;7.8;27
04/01/2015;9:00:00;0;0.1;6;14;254;1.0;7.8;34
04/01/2015;10:00:00;0;1.4;6;23;251;0.4;10.4;15
04/01/2015;11:00:00;0;1.3;3;13;251;0.5;15.3;20
