Fecha;SO2;CO;NO2;PM10;O3;NO;NOX
03/10/2015;2;0,3;9;12;84;5;16
04/10/2015;1;0,3;10;19;53;6;19
05/10/2015;1;0,3;9;13;64;5;17
06/10/2015;1;0,3;10;3;64;5;18
07/10/2015;1;0,3;9;4;64;5;18
08/10/2015;1;0,3;8;5;60;4;15
09/10/2015;2;0,4;13;10;58;9;26
10/10/2015;2;0,6;15;24;62;11;32
11/10/2015;1;0,6;12;19;61;7;22
12/10/2015;1;0,6;10;10;51;5;18
13/10/2015;1;0,6;12;11;65;7;22
14/10/2015;2;0,4;13;13;76;7;23
15/10/2015;1;0,2;11;2;76;6;20
16/10/2015;2;0,2;18;10;62;12;35
17/10/2015;1;0,2;16;33;57;11;33
18/10/2015;1;0,2;11;18;54;6;20
19/10/2015;1;0,2;17;20;35;10;33
20/10/2015;1;0,2;14;5;58;8;26
21/10/2015;1;0,2;11;3;71;6;21
22/10/2015;1;0,2;11;4;69;6;21
23/10/2015;1;0,2;22;12;48;14;43
24/10/2015;1;0,2;17;28;49;10;32
25/10/2015;1;0,2;11;16;62;6;21
26/10/2015;1;0,1;15;22;57;8;27
27/10/2015;1;0,1;13;8;56;8;25
28/10/2015;1;0,1;13;2;64;8;25
29/10/2015;1;0,1;14;5;49;9;28
30/10/2015;1;0,1;20;27;44;13;40
31/10/2015;1;0,1;14;16;59;8;25
01/11/2015;1;0,1;12;17;70;6;22
