Fecha;CO;NO;NO2;NOX;O3;PM10;PM25;SO2;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;0.17;1;7;8;115;14;10;5;330;70;923.7;0;173.1;12.9;0.63
30/09/2015;0.17;2;8;9;99;13;8;4;136;80;920;0;135.7;13.2;0.89
29/09/2015;0.17;1;9;9;97;15;8;5;62;85;920.5;0;142.7;11.5;0.64
28/09/2015;0.18;2;10;9;96;11;7;4;128;79;925;0;188.4;11.4;0.86
27/09/2015;0.22;1;6;7;92;11;6;5;81;82;924.7;0;196.7;11;0.54
26/09/2015;0.22;2;8;9;98;15;9;4;98;76;922.2;0;173.6;14.1;0.63
25/09/2015;0.18;1;11;8;86;11;8;4;97;61;923.2;0;176.6;15.1;0.37
24/09/2015;0.13;1;6;8;73;9;;4;82;74;923.8;0.1;163.8;13.9;0.33
23/09/2015;0.16;1;4;6;74;7;2;4;347;97;921.5;6.1;78.5;10.8;3.72
22/09/2015;0.26;1;8;7;95;10;8;4;326;82;919;0;163.9;12.4;1.47
21/09/2015;0.25;2;9;8;116;10;8;4;49;70;921.3;0;208.6;14.7;0.38
20/09/2015;0.24;2;5;7;98;10;5;4;352;76;925.7;0;201.8;13.2;0.38
19/09/2015;0.23;2;8;8;98;11;6;5;72;80;927.7;0;176.7;12.5;0.5
18/09/2015;0.21;2;8;7;87;6;;4;81;84;924;0.2;192.2;9.9;0.77
17/09/2015;0.17;2;4;6;85;6;;4;245;83;915;8.7;102.5;9.1;1.6
16/09/2015;0.13;;3;;87;;;;;;;;;;
15/09/2015;0.17;;6;;85;;;;;;;;;;
14/09/2015;0.18;2;7;7;94;3;;4;272;71;915.1;0;149.6;12.5;1.14
13/09/2015;0.27;2;6;7;86;3;;4;213;74;911.4;1.2;83.2;14;2.02
12/09/2015;0.27;2;7;9;95;10;;4;106;86;914.9;0.7;162.7;16.1;0.66
11/09/2015;0.24;2;10;9;111;15;;4;157;76;916.2;0;224.6;15.9;0.74
10/09/2015;0.29;2;8;9;111;15;11;5;63;76;918.7;0;178.8;14.3;0.79
09/09/2015;0.28;2;13;10;122;13;11;5;204;61;918.2;0;157.3;16.3;0.36
08/09/2015;0.21;1;6;7;92;10;4;4;63;64;921.3;0;238;13;0.2
07/09/2015;0.21;1;10;8;98;10;8;5;48;81;925.7;0;183.9;11.3;0.29
06/09/2015;0.21;1;8;7;101;8;;4;88;80;926.2;0;231.7;10.6;0.64
05/09/2015;0.18;1;7;6;95;8;;5;45;81;924.6;1.4;207.1;11.2;0.56
04/09/2015;0.17;1;6;7;83;8;;4;40;93;921.5;1.1;68;10.1;0.27
03/09/2015;0.18;1;5;6;88;9;4;4;356;95;920.6;2;56;10.8;1.04
02/09/2015;0.19;1;9;7;87;11;5;4;91;88;920.4;0.4;92.4;11.9;0.35
01/09/2015;0.16;1;8;7;77;10;3;4;46;94;923.2;0.3;87.5;13;0.69
31/08/2015;0.25;3;7;10;92;;11;;200;79;918.5;2;188.6;18.9;0.23
30/08/2015;0.23;3;7;9;111;19;9;4;172;57;919.9;5.7;210;22.6;0.99
29/08/2015;0.25;2;8;10;123;17;8;3;136;54;920.8;0;244.3;23.7;1.08
28/08/2015;0.22;3;7;9;89;11;4;3;218;52;921.1;0;255.8;22.7;1.43
27/08/2015;0.19;2;6;9;86;10;4;3;205;52;917.7;0;176.4;21.7;2.65
26/08/2015;0.19;2;7;10;109;11;4;3;212;45;918.3;0;216.7;21.1;1.31
25/08/2015;0.17;2;8;10;92;9;;3;200;61;921.8;0;259.8;16.7;0.8
24/08/2015;0.17;2;6;8;77;8;4;3;239;72;916.7;0;182.5;13.2;0.53
23/08/2015;0.25;2;8;9;81;10;5;3;204;70;911.1;0.8;141.5;15.5;2.13
22/08/2015;0.31;2;8;10;121;11;6;3;176;69;916.3;4.8;184.2;19.5;0.57
21/08/2015;0.3;2;12;10;144;16;10;4;112;51;923.1;0.2;263.5;22.5;0.74
20/08/2015;0.26;2;9;9;132;12;5;4;110;55;925.3;0;259.5;19.1;0.36
19/08/2015;0.22;2;10;9;103;12;7;4;68;70;923.3;0;272.8;15.5;0.58
18/08/2015;0.23;2;7;9;95;13;8;4;28;79;920.3;0;213;14.1;0.93
17/08/2015;0.24;2;9;9;91;9;;5;24;63;918.7;0;228;15.1;0.68
16/08/2015;0.25;2;6;8;80;11;6;3;72;75;917.7;0;154.9;14.3;0.4
15/08/2015;0.21;2;5;8;78;8;4;3;13;83;920.1;0.4;186.4;12.9;0.88
14/08/2015;0.2;2;6;8;88;7;3;3;325;71;921;0.1;208.1;14;1.49
13/08/2015;0.23;2;7;9;89;9;5;3;269;73;920.2;1.7;157.8;15.6;1.16
12/08/2015;0.24;2;8;10;125;25;16;3;195;61;919.9;0;199.9;22.1;1.07
11/08/2015;0.23;2;9;11;134;19;12;4;105;64;917.4;0;244.1;20.7;0.83
10/08/2015;0.2;2;8;9;115;9;4;3;117;58;921.4;0;296.1;19.3;0.31
09/08/2015;0.19;2;6;8;94;10;5;3;67;80;926.6;0;243.8;14.1;0.49
08/08/2015;0.19;2;5;7;85;6;4;3;8;89;926.5;1.1;153.5;12.6;1.12
07/08/2015;0.3;2;6;8;108;10;6;3;19;91;922.5;0;146.4;15.2;0.86
06/08/2015;0.26;2;8;9;138;10;6;3;177;59;919.1;0;297.5;20;0.75
05/08/2015;0.26;2;9;10;128;12;7;4;153;70;918.5;0.1;307.7;18.8;0.62
04/08/2015;0.26;2;10;10;95;9;6;3;91;86;921.5;0;179.2;15.7;0.74
03/08/2015;0.26;2;9;10;132;17;10;4;125;68;919.6;0;257.1;21;0.32
02/08/2015;0.21;2;19;11;136;18;8;3;193;63;919.2;0;306.8;20.1;0.7
01/08/2015;0.17;2;8;9;107;11;7;3;89;79;920.3;0.1;260.9;13.1;0.5
31/07/2015;0.18;2;6;9;98;9;4;3;15;95;915.7;14.9;136.4;12.1;0.96
30/07/2015;0.19;2;8;9;75;11;4;3;152;95;919.4;1.4;62.8;11.2;0.63
29/07/2015;0.27;3;7;10;72;9;;4;46;93;919.2;0.2;102.8;14.3;0.68
28/07/2015;0.27;3;11;10;96;9;;5;83;74;919.2;0.1;328.9;18.1;0.2
27/07/2015;0.28;3;5;9;77;10;6;4;54;88;920.5;0;189.1;15.6;1.11
26/07/2015;0.26;3;8;10;115;12;8;5;59;64;919.2;0;312.6;18.3;0.29
25/07/2015;0.17;3;8;9;100;11;6;4;34;77;923;0.8;271.7;13.7;1.17
24/07/2015;0.2;3;9;10;109;9;4;4;21;65;917.6;0.2;272.4;17.7;1.05
23/07/2015;0.24;3;8;11;113;13;7;4;75;71;920.7;0.1;324.3;19.5;0.42
22/07/2015;0.27;3;5;9;77;8;4;4;38;94;923.9;2.5;86.4;16.6;0.23
21/07/2015;0.3;3;11;11;101;17;11;4;67;89;920.8;2.5;204.3;19.2;0.72
20/07/2015;0.29;3;8;11;125;12;9;5;72;66;921.2;0;331.4;21.6;0.52
19/07/2015;0.28;3;13;13;107;15;9;5;70;72;921.4;0.1;332.9;19.2;0.3
18/07/2015;0.29;3;13;12;126;19;11;4;158;70;920.5;3.4;228.4;20.4;0.4
17/07/2015;0.28;3;12;12;127;21;14;5;154;53;921.9;0;265.9;21.2;0.3
16/07/2015;0.3;3;10;12;133;25;17;5;159;68;919.8;0;267.6;21.7;0.48
15/07/2015;0.29;3;10;12;135;19;14;4;100;74;921.6;0;276.1;20.7;0.82
14/07/2015;0.27;3;10;10;128;14;;5;80;53;925.2;0;341.8;19.5;0.82
13/07/2015;0.21;3;7;10;117;10;;5;75;61;926.3;0;356.2;17.7;0.75
12/07/2015;0.23;3;7;9;82;7;;5;87;83;926.4;0;299.1;16;0.73
11/07/2015;0.24;3;6;8;119;11;7;4;136;83;927;0;181.4;14.7;0.31
10/07/2015;0.26;3;7;10;145;16;11;5;123;56;921.4;0;357.1;19.7;0.21
09/07/2015;0.21;3;8;9;96;8;5;5;111;71;924.4;0;280.8;15.3;0.45
08/07/2015;0.2;3;6;9;80;8;5;6;344;86;925.6;1;192.6;14.2;0.79
07/07/2015;0.26;3;8;10;128;15;10;6;50;65;922.4;0;345.6;19.3;0.92
06/07/2015;0.25;3;10;10;129;17;12;5;180;66;922.4;0.1;335.2;22.8;0.6
05/07/2015;0.24;3;8;9;73;8;6;4;63;91;924.1;0.1;267.2;17.1;0.92
04/07/2015;0.26;3;9;10;120;15;11;5;88;69;924.6;0;329.5;20.2;0.98
03/07/2015;0.23;3;11;10;134;19;9;5;185;61;922.5;0;314.5;22.9;0.94
02/07/2015;0.23;3;8;11;83;12;;5;78;89;923.3;0;275.6;16.7;0.85
01/07/2015;0.28;3;10;11;137;24;18;6;152;57;918;0.2;302.7;22.6;0.82
30/06/2015;0.31;3;9;11;148;24;14;5;152;51;918.8;0;347.4;25.5;0.77
29/06/2015;0.29;3;11;10;130;13;9;4;125;66;923.8;0;358.2;22.1;0.74
28/06/2015;0.28;2;7;9;105;11;9;6;74;66;925.3;0;367.6;19.2;0.97
27/06/2015;0.29;2;8;9;101;9;;5;82;56;925.5;0;367.8;18.4;0.56
26/06/2015;0.32;2;8;9;138;16;15;5;86;60;925.9;0;325.6;20.1;0.45
25/06/2015;0.28;2;10;10;141;10;8;5;128;45;925.2;0;366.5;19.2;0.19
24/06/2015;0.18;3;9;10;106;8;;5;50;63;923;0;369.1;14.7;0.64
23/06/2015;0.28;3;8;10;91;13;8;7;45;70;920.1;0;321.5;15.3;0.48
22/06/2015;0.27;3;9;10;118;13;11;5;87;65;919.5;0;324.2;18.4;0.36
21/06/2015;0.24;3;6;9;106;12;7;5;61;65;923.5;0;368;16.5;0.64
20/06/2015;0.21;2;8;9;106;10;;4;74;69;925.7;0;371.2;14.3;0.64
19/06/2015;0.21;2;8;8;100;7;3;4;1;90;926.3;0.2;196.3;12.8;1.08
18/06/2015;0.21;2;10;10;123;14;;5;52;82;927.7;0;302;13.4;1.1
17/06/2015;0.2;2;6;9;117;13;7;4;312;82;929.1;0;187.7;11.7;1.25
16/06/2015;0.17;2;5;8;98;9;6;4;14;86;927.6;0;148.6;10.4;1.35
15/06/2015;0.2;2;5;8;99;9;6;4;4;92;921.8;0.6;121.1;10.6;1.51
14/06/2015;0.2;2;7;9;93;9;5;4;251;87;915.9;21;180.2;11.3;0.25
13/06/2015;0.24;3;6;9;96;9;5;4;247;88;913.9;2.7;173.3;12.6;0.35
12/06/2015;0.24;3;9;10;98;10;5;4;184;86;913.8;18;230;13.2;0.28
11/06/2015;0.19;3;6;10;101;8;3;4;169;91;914;8.9;154.3;13.2;0.67
10/06/2015;0.22;2;7;10;108;8;5;4;188;96;916.2;25.1;78.1;10.8;0.56
09/06/2015;0.26;2;7;10;134;19;10;4;33;81;921.1;3.4;266.8;13.3;0.61
08/06/2015;0.27;3;8;10;125;16;12;5;69;80;924.1;0;321.9;17.3;0.69
07/06/2015;0.26;3;8;10;112;11;7;5;78;77;926.1;0.1;331;17.1;0.55
06/06/2015;0.26;3;7;10;76;8;4;4;97;95;927.3;0.1;186.8;12.2;0.62
05/06/2015;0.27;3;10;11;117;15;10;5;116;66;923.8;0.1;291.5;18.1;0.39
04/06/2015;0.31;3;9;11;133;20;11;5;171;57;923.7;0;347;21.6;0.56
03/06/2015;0.3;3;17;12;101;17;10;4;95;77;925.3;0;292.1;16.6;0.69
02/06/2015;0.24;2;11;10;106;11;5;5;85;73;923;0.1;318.8;15.5;0.44
01/06/2015;0.24;2;9;10;72;13;7;4;71;90;921.9;0;175.7;13.2;0.54
31/05/2015;0.23;2;9;9;86;12;5;5;48;74;921.7;0;310.1;13.9;0.72
30/05/2015;0.23;2;6;9;104;13;9;5;47;79;921.7;0;330.4;10.8;0.74
29/05/2015;0.23;2;7;9;103;17;11;5;339;86;920.1;0;180.8;10.1;0.65
28/05/2015;0.23;2;8;10;121;16;8;5;61;77;922.1;0;360.9;11.9;0.77
27/05/2015;0.19;2;8;10;105;17;7;4;125;85;925.4;0.3;229.5;10.2;0.42
26/05/2015;0.19;2;5;7;85;9;3;4;3;89;925.7;0.3;200.8;9.5;2.23
