Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;PM10
01/01/2015;0.1;192;7.2;70;1009;111;0;;33
02/01/2015;0.1;166;8.2;56;1009;118;0;;34
03/01/2015;0.1;169;11.5;42;1009;118;0;;28
04/01/2015;0.2;266;12;56;1009;116;0;;21
05/01/2015;0.2;119;8.7;79;1009;107;0;;28
06/01/2015;0.1;141;8.2;86;1008;99;0;;35
07/01/2015;0.2;163;7.8;80;1009;91;0.1;;31
08/01/2015;0.1;181;8.1;74;1009;117;0;;35
09/01/2015;0.1;238;9.2;67;1009;119;0.1;;42
10/01/2015;0.1;171;13;43;1009;122;0;;37
11/01/2015;0.5;327;12.7;44;1009;99;0;;17
12/01/2015;0.2;251;10.2;70;1009;122;0;;25
13/01/2015;0.2;289;10.9;73;1008;111;0;;40
14/01/2015;0.1;216;10.4;59;1008;125;0;;35
15/01/2015;0.2;214;11.1;56;1001;118;0;;
16/01/2015;0.5;280;11.4;46;995;63;0;;
17/01/2015;0.5;275;7.9;45;1004;135;0;11;
18/01/2015;0.2;187;5.6;56;999;77;0.3;12;
19/01/2015;1.1;348;6.6;64;992;37;1.9;19;
20/01/2015;0.3;320;6.5;45;993;97;0;7;
21/01/2015;0.2;298;6.8;53;991;89;0;10;
22/01/2015;1;331;8;46;995;105;0;;
23/01/2015;2.9;357;8.5;36;1001;137;0;;
24/01/2015;1.7;276;10.7;33;1005;133;0;;
25/01/2015;1.5;294;10.5;24;1006;136;0;;7
26/01/2015;0.4;243;8.7;42;1008;123;0;;
27/01/2015;1.8;345;12;44;1005;125;0;;
28/01/2015;1.1;271;10.5;49;1004;142;0;;10
29/01/2015;0.7;257;14.2;44;991;104;0;;11
30/01/2015;1.5;259;16.5;50;977;116;0.1;;8
31/01/2015;1.5;308;10.4;49;977;138;0.4;;5
01/02/2015;1.9;302;8.1;36;991;139;0.1;;
02/02/2015;0.3;265;8.2;49;991;79;0;;
03/02/2015;1;281;9.2;47;982;153;1;;
04/02/2015;2.3;357;4.1;54;982;94;0.3;;
05/02/2015;4.2;271;4.5;31;987;136;1.6;;
06/02/2015;2;307;3.8;36;992;160;0;;7
07/02/2015;0.3;258;4;54;1001;98;0;;20
08/02/2015;0.3;151;6.3;47;1003;158;0;;23
09/02/2015;0.3;97;5.5;57;1007;145;0;;32
10/02/2015;0.2;139;6.4;60;1007;165;0;;30
11/02/2015;0.2;104;7;73;1005;81;0;;35
12/02/2015;0.1;256;7.7;82;1003;45;0;;46
13/02/2015;0.2;214;10.3;65;1003;144;0;;34
14/02/2015;0.1;184;8.8;63;998;62;0;;7
15/02/2015;0.2;309;12.3;55;993;102;0;;15
16/02/2015;0.8;309;12.9;45;999;165;0.5;;23
17/02/2015;1.2;352;10.3;57;1006;71;0.2;;
18/02/2015;0.8;26;10;50;1009;131;0;;
19/02/2015;0.4;73;8;65;1009;159;0;;
20/02/2015;0.2;176;7.2;68;1004;183;0;;
21/02/2015;1.6;274;8.6;61;989;99;2;;
22/02/2015;2.1;236;10.2;41;992;98;0.9;;
23/02/2015;0.5;264;14.6;45;994;101;0;;
24/02/2015;2.2;316;10.4;39;1001;174;0.4;;
25/02/2015;3.3;306;12.3;45;1003;56;4.8;;
26/02/2015;2.7;309;15.8;45;1002;111;0.1;;
27/02/2015;2.8;314;11.9;38;1001;208;2;;7
28/02/2015;0.5;264;11;42;1004;136;0;;10
01/03/2015;0.1;264;14.8;52;1005;126;0;;17
02/03/2015;0.3;172;18.1;51;1004;193;0;;13
03/03/2015;0.3;70;13.9;74;1008;115;0;;19
04/03/2015;1.4;303;11.5;52;1008;198;0;;12
05/03/2015;0.8;309;11.1;27;1009;221;0;;
06/03/2015;0.2;229;9.6;46;1009;215;0;;17
07/03/2015;0.3;143;12.4;47;1008;222;0;;19
08/03/2015;0.2;149;10.1;66;1008;172;0;;31
09/03/2015;0.2;166;12.3;58;1008;194;0;;45
10/03/2015;0.2;161;12.9;54;1008;216;0;;42
11/03/2015;0.2;137;14.4;49;1007;215;0;;
12/03/2015;0.4;118;14.5;50;1004;211;0;;
13/03/2015;0.4;210;11.7;69;1005;185;0;34;
14/03/2015;1.4;321;10.2;37;1003;157;0;7;
15/03/2015;0.5;298;8.7;47;1001;111;0.6;15;
16/03/2015;0.3;111;8.2;57;1003;211;0;23;
17/03/2015;0.3;115;8;65;1004;215;0;24;
18/03/2015;1.1;55;10;81;1003;38;2.9;9;
19/03/2015;1.6;45;11.3;77;1001;46;2.9;;
20/03/2015;1.9;15;11;80;996;15;15.4;;
21/03/2015;0.6;7;10.9;91;991;29;47.6;;35
22/03/2015;0.4;93;9.2;95;994;0;97.9;;6
23/03/2015;0.7;69;9.4;;993;;67.5;;12
24/03/2015;1.1;54;10.4;90;988;;16.5;;22
25/03/2015;3.4;288;9;45;988;214;0.5;;
26/03/2015;2;321;11.5;42;997;263;0;;
27/03/2015;2.3;300;17.8;36;1003;256;0;;6
28/03/2015;1.1;209;20.3;35;1006;263;0.1;;
29/03/2015;0.6;311;19.7;35;1006;185;0;;
30/03/2015;0.5;274;20.8;33;1006;42;0;;
31/03/2015;0.5;287;23.1;33;1007;263;0;;
01/04/2015;0.6;338;16.3;46;1008;270;0;;
02/04/2015;0.2;196;13.9;56;1007;270;0;;
03/04/2015;0.2;95;13.6;64;1002;249;0;;22
04/04/2015;0.3;149;13.7;64;998;257;0;;17
05/04/2015;0.4;127;12.5;66;996;280;0;;9
06/04/2015;0.4;80;11.4;76;1004;90;0.1;;16
07/04/2015;0.6;122;10.4;68;1009;268;0;;14
08/04/2015;0.3;134;10.2;66;1009;294;0;;15
09/04/2015;0.3;111;10.6;65;1009;271;0.1;;12
10/04/2015;0.3;161;11.8;66;1008;264;0;;
11/04/2015;0.3;79;12.2;76;1008;146;0;13;
12/04/2015;0.5;21;14;48;1009;220;0;12;
13/04/2015;0.3;95;14.4;47;1009;270;0;13;
14/04/2015;0.2;120;15.4;48;1008;261;0;17;
15/04/2015;0.2;95;12.7;64;1003;75;0.3;22;
16/04/2015;0.2;73;14.3;76;1000;201;3.4;19;
17/04/2015;0.3;196;16.3;61;1001;272;0;;
18/04/2015;0.2;148;15.9;60;998;226;0;;19
19/04/2015;0.3;192;16;45;998;291;0;;11
20/04/2015;0.3;107;14.9;62;1005;243;0;;18
21/04/2015;0.3;133;14.9;62;1008;264;0;;15
22/04/2015;0.3;34;14.4;71;1005;215;0;;20
23/04/2015;0.4;131;16.6;61;1002;298;0;;24
24/04/2015;0.3;110;16.3;70;1000;271;0;;
25/04/2015;0.3;103;17.3;72;997;200;0;;
26/04/2015;0.4;210;18;59;990;188;0.9;;
27/04/2015;1.5;312;17.6;42;992;301;0;;
28/04/2015;0.9;257;16.2;45;1001;313;0;;
29/04/2015;0.3;129;14.6;72;1002;203;1;;
30/04/2015;0.3;124;16.3;74;1003;283;0.1;;
01/05/2015;0.2;138;21.2;53;998;219;0;;23
02/05/2015;0.3;121;21.7;53;997;296;0;;18
03/05/2015;0.2;165;23.4;54;994;240;0;;22
04/05/2015;0.3;98;20.6;64;992;223;0;;26
05/05/2015;0.3;57;19.1;63;995;159;0;;32
06/05/2015;0.4;137;18.9;47;1001;324;0;;
07/05/2015;0.3;186;18;60;1003;315;0;;
08/05/2015;0.4;141;21.4;48;1001;326;0;17;
09/05/2015;0.3;154;21.5;46;1007;321;0;;
10/05/2015;0.3;146;20.8;52;1007;323;0;;
11/05/2015;0.3;188;19.8;49;1007;316;0;;
12/05/2015;0.3;147;20.4;50;1007;331;0;;
13/05/2015;0.2;124;23.1;53;1005;283;0;;
14/05/2015;1.2;258;28.1;33;995;244;0;;
15/05/2015;2.8;344;18.1;36;1001;345;0.9;;
16/05/2015;1.7;285;19.4;36;1006;346;1.5;;12
17/05/2015;0.2;150;19.9;43;1005;391;0;;20
18/05/2015;0.3;164;19.4;53;998;338;0;;
19/05/2015;0.7;62;15.6;70;997;114;5.5;;16
20/05/2015;0.9;280;15.7;45;1002;299;0.1;;10
21/05/2015;1;14;16;40;1007;322;0;;13
22/05/2015;0.4;337;16;44;1005;335;0;;20
23/05/2015;0.3;162;17.2;46;1001;323;0;;19
24/05/2015;0.4;133;17.4;52;1001;237;0;;15
25/05/2015;0.2;190;19.6;45;1001;212;0;;19
26/05/2015;0.5;274;20.2;41;1000;342;0;;12
27/05/2015;0.4;131;19.2;47;1002;340;0;;19
28/05/2015;0.3;181;18.8;59;1003;333;0;;22
29/05/2015;0.3;142;19.2;57;1000;308;0;;17
30/05/2015;0.4;117;18.4;68;1001;275;2.2;;14
31/05/2015;0.3;156;19.2;67;1002;243;0;;13
01/06/2015;0.3;113;19.3;66;1002;262;0;;16
02/06/2015;0.3;161;20.6;64;1004;289;0;;20
03/06/2015;0.3;145;22.5;42;1006;328;0;;24
04/06/2015;0.3;145;22.6;37;1005;345;0;;
05/06/2015;0.3;182;22.6;37;1003;344;0;13;
06/06/2015;0.3;182;23.1;36;1004;346;0;12;
07/06/2015;0.2;146;23.3;32;1004;351;0;10;
08/06/2015;0.3;126;24.3;28;1001;338;0;10;
09/06/2015;0.4;94;23.3;49;999;259;0;15;
10/06/2015;;;;;;;0.8;12;
12/06/2015;;;;;;;;;20
14/06/2015;;;;;;;;;18
16/06/2015;;;;;;;;;12
17/06/2015;;;;;;;;;16
18/06/2015;;;;;;;;;24
19/06/2015;;;;;;;;;23
21/06/2015;;;;;;;;;22
