Fecha;NO;NO2;O3
01/01/2015;23;19;12
02/01/2015;72;38;5
03/01/2015;63;35;9
04/01/2015;28;27;11
05/01/2015;27;25;5
06/01/2015;11;14;13
07/01/2015;5;25;13
08/01/2015;5;21;15
09/01/2015;26;29;5
10/01/2015;30;26;2
11/01/2015;11;26;8
12/01/2015;28;29;5
13/01/2015;28;23;15
14/01/2015;14;24;22
15/01/2015;5;11;37
16/01/2015;1;8;59
17/01/2015;4;19;29
18/01/2015;1;8;38
19/01/2015;2;12;51
20/01/2015;9;23;20
21/01/2015;4;18;40
22/01/2015;6;21;41
23/01/2015;36;34;18
24/01/2015;31;30;15
25/01/2015;16;24;22
26/01/2015;28;37;14
27/01/2015;50;36;14
28/01/2015;51;30;11
29/01/2015;1;5;41
30/01/2015;1;1;57
31/01/2015;1;2;72
01/02/2015;1;2;67
02/02/2015;1;5;56
03/02/2015;1;5;63
04/02/2015;1;3;66
05/02/2015;1;7;57
07/02/2015;1;16;35
08/02/2015;1;6;59
09/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;51
10/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;26
11/02/2015;22;43;22
12/02/2015;12;37;27
13/02/2015;6;20;46
14/02/2015;1;7;69
15/02/2015;1;6;59
16/02/2015;3;16;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
17/02/2015;1;8;
18/02/2015;2;21;
19/02/2015;22;40;
20/02/2015;9;24;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/02/2015;1;8;65
22/02/2015;1;5;66
23/02/2015;3;9;54
24/02/2015;3;11;63
25/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;61
26/02/2015;;;45
27/02/2015;;;58
28/02/2015;;;44
01/03/2015;;;56
02/03/2015;;;45
03/03/2015;;;28
04/03/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;67
05/03/2015;3;15;63
06/03/2015;23;38;36
07/03/2015;26;39;26
08/03/2015;12;26;40
09/03/2015;31;46;33
10/03/2015;39;44;25
11/03/2015;31;37;35
12/03/2015;18;25;38
13/03/2015;7;13;65
14/03/2015;10;15;61
15/03/2015;8;14;57
16/03/2015;21;34;37
17/03/2015;15;39;34
18/03/2015;9;16;63
19/03/2015;6;13;69
20/03/2015;1;16;59
21/03/2015;1;15;57
22/03/2015;1;5;71
23/03/2015;2;17;47
24/03/2015;2;13;61
