Fecha;SO2;NO;NO2;PM10
01/01/2015;1;3;9;Sense dades
02/01/2015;1;4;16;Sense dades
03/01/2015;1;4;12;Sense dades
04/01/2015;1;3;11;Sense dades
05/01/2015;1;5;11;Sense dades
06/01/2015;1;5;11;Sense dades
07/01/2015;1;7;18;Sense dades
08/01/2015;1;7;17;21
09/01/2015;1;6;16;19
10/01/2015;1;3;10;10
11/01/2015;1;2;8;10
12/01/2015;1;2;12;20
13/01/2015;1;2;10;14
14/01/2015;1;4;18;19
15/01/2015;1;3;13;16
16/01/2015;1;5;13;15
17/01/2015;1;3;7;10
18/01/2015;1;2;7;10
19/01/2015;1;3;15;10
20/01/2015;1;3;10;20
21/01/2015;1;3;12;40
22/01/2015;1;4;15;34
23/01/2015;1;2;9;25
24/01/2015;1;2;6;13
25/01/2015;1;2;6;12
26/01/2015;1;2;11;28
27/01/2015;1;4;17;44
28/01/2015;1;3;14;46
29/01/2015;1;3;12;39
30/01/2015;1;1;8;13
31/01/2015;1;1;7;10
01/02/2015;1;1;3;10
02/02/2015;1;1;11;11
03/02/2015;1;2;15;10
04/02/2015;1;1;11;10
05/02/2015;1;2;12;20
06/02/2015;1;1;10;19
07/02/2015;1;1;12;20
08/02/2015;1;1;6;18
09/02/2015;1;2;14;37
10/02/2015;1;3;15;47
11/02/2015;1;4;21;31
12/02/2015;1;3;14;30
13/02/2015;1;4;16;44
14/02/2015;1;1;11;16
15/02/2015;1;1;9;12
16/02/2015;1;2;15;29
17/02/2015;1;4;23;50
18/02/2015;1;1;13;26
19/02/2015;1;1;12;Sense dades
20/02/2015;1;2;11;32
21/02/2015;1;1;10;13
22/02/2015;1;1;4;10
23/02/2015;1;2;13;31
24/02/2015;1;1;7;10
25/02/2015;1;3;11;14
26/02/2015;1;1;18;24
27/02/2015;1;2;13;23
28/02/2015;1;1;9;15
01/03/2015;1;1;11;14
02/03/2015;1;6;23;35
03/03/2015;1;2;13;27
04/03/2015;1;2;25;43
05/03/2015;1;1;15;18
06/03/2015;1;2;19;32
07/03/2015;1;2;17;34
08/03/2015;1;1;11;17
09/03/2015;1;1;14;24
10/03/2015;1;2;21;44
11/03/2015;1;2;22;46
12/03/2015;1;2;23;52
13/03/2015;1;1;15;40
14/03/2015;1;1;6;10
15/03/2015;1;1;7;12
16/03/2015;1;1;16;19
17/03/2015;1;1;22;28
18/03/2015;1;1;13;28
19/03/2015;1;1;13;54
20/03/2015;1;1;13;87
21/03/2015;1;1;5;51
22/03/2015;1;1;9;31
23/03/2015;1;1;12;31
24/03/2015;1;1;15;19
25/03/2015;1;1;12;10
26/03/2015;1;1;11;34
27/03/2015;1;1;13;16
28/03/2015;1;1;10;24
29/03/2015;1;1;13;13
30/03/2015;1;2;20;36
31/03/2015;1;3;22;31
01/04/2015;1;5;18;49
02/04/2015;1;2;12;35
03/04/2015;1;1;9;21
04/04/2015;1;1;8;15
05/04/2015;1;1;4;11
06/04/2015;1;1;5;18
07/04/2015;1;2;12;21
08/04/2015;1;1;11;12
09/04/2015;1;1;11;19
10/04/2015;1;2;15;20
11/04/2015;1;1;11;21
12/04/2015;1;1;13;17
13/04/2015;1;4;23;39
14/04/2015;1;3;19;32
15/04/2015;1;2;15;35
16/04/2015;1;3;21;34
17/04/2015;1;4;24;37
18/04/2015;1;1;10;17
