Fecha;NO;NO2;NOX;SO2;PM10;dd;vv;TMP;HR;PRB;RS
01/01/2014;8;32;45;16;18;197;2;15;80;1018;105
02/01/2014;5;32;40;16;;249;3;17;81;1016;22
03/01/2014;;;;16;34;250;3;17;89;1017;126
04/01/2014;3;18;22;12;23;258;4;18;79;1015;99
05/01/2014;3;16;21;12;19;266;2;16;55;1020;129
06/01/2014;3;18;23;11;17;279;2;15;76;1018;120
07/01/2014;38;48;107;22;31;230;1;15;90;1018;112
08/01/2014;10;35;50;13;27;64;2;13;81;1020;
09/01/2014;10;31;47;11;23;45;3;14;85;1019;
10/01/2014;11;32;49;10;31;48;4;15;88;1015;1
11/01/2014;6;26;35;10;25;36;2;14;87;1016;18
12/01/2014;5;23;31;12;31;254;2;15;90;1021;101
13/01/2014;17;36;63;17;40;320;2;16;83;1019;48
14/01/2014;7;28;39;19;28;263;3;16;61;1015;113
15/01/2014;7;23;33;12;17;169;2;16;77;1014;46
16/01/2014;5;18;27;13;19;242;3;16;91;1009;42
17/01/2014;6;18;28;13;18;119;2;16;71;1005;138
18/01/2014;1;12;14;13;17;250;4;16;79;996;28
19/01/2014;1;10;12;10;12;283;4;14;72;996;9
20/01/2014;;;;15;11;260;4;14;57;1013;140
21/01/2014;10;17;32;15;14;258;2;14;63;1017;112
22/01/2014;5;15;23;21;13;266;2;15;75;1012;34
23/01/2014;5;10;18;13;10;341;3;15;65;1019;105
24/01/2014;5;13;20;18;16;284;3;16;60;1022;
25/01/2014;4;9;15;15;13;319;3;21;55;1019;
26/01/2014;4;11;17;15;13;291;3;19;63;1019;
27/01/2014;6;14;23;17;21;286;3;19;61;1010;
28/01/2014;5;9;17;14;16;273;4;15;57;1008;
29/01/2014;5;11;18;15;21;268;4;16;69;999;
30/01/2014;6;10;19;13;13;306;3;15;49;1006;
31/01/2014;8;17;29;15;16;324;2;15;59;1010;
01/02/2014;4;12;18;15;11;262;3;18;65;1010;
02/02/2014;5;8;15;12;12;300;4;15;48;1017;
03/02/2014;7;18;29;16;24;265;4;14;74;1012;
04/02/2014;9;15;29;14;18;255;3;14;59;1015;
05/02/2014;5;16;24;16;41;235;5;17;81;1011;
06/02/2014;10;19;34;18;27;235;3;17;80;1013;
07/02/2014;6;16;26;23;25;254;4;18;61;1016;
08/02/2014;4;11;17;14;29;244;5;16;79;1013;
09/02/2014;4;10;17;16;19;225;5;17;76;1009;
10/02/2014;6;11;19;20;23;274;7;17;51;1005;
11/02/2014;6;14;24;18;20;260;4;15;55;1017;
12/02/2014;6;14;23;14;15;312;3;16;73;1017;
13/02/2014;8;23;35;18;31;250;3;19;82;1017;
14/02/2014;10;21;35;17;33;239;3;18;84;1014;
15/02/2014;5;13;21;16;74;240;3;18;77;1010;
16/02/2014;6;12;21;22;32;66;3;16;75;1013;
17/02/2014;14;21;43;13;25;51;4;15;83;1012;
18/02/2014;8;18;27;13;44;320;3;16;73;1009;
19/02/2014;5;14;21;7;34;304;3;16;61;1017;
20/02/2014;8;18;30;8;22;271;3;16;68;1018;
21/02/2014;7;19;30;11;23;288;3;17;70;1016;
22/02/2014;5;8;16;8;12;288;4;16;53;1022;
23/02/2014;5;13;21;24;15;105;3;15;73;1019;
24/02/2014;8;23;36;8;16;327;2;13;81;1016;
25/02/2014;13;19;38;9;16;274;2;15;66;1019;
26/02/2014;13;20;41;10;21;42;2;15;60;1022;
27/02/2014;3;7;13;7;15;285;3;15;56;1026;
28/02/2014;7;17;28;11;22;264;3;17;63;1018;43
01/03/2014;9;22;34;10;18;265;3;18;63;1008;
02/03/2014;8;17;29;9;12;274;3;21;60;1003;
03/03/2014;14;21;42;11;42;273;4;19;52;1006;
04/03/2014;13;20;41;12;28;259;4;17;50;1012;
05/03/2014;10;17;32;12;46;290;3;19;58;1013;
06/03/2014;9;19;33;13;20;96;2;16;86;1018;
07/03/2014;14;23;45;10;23;68;3;15;81;1023;
08/03/2014;10;27;42;15;20;70;3;14;73;1022;228
09/03/2014;16;35;59;6;28;55;5;15;75;1022;
10/03/2014;12;23;41;9;27;65;3;14;77;1020;
11/03/2014;14;30;51;9;28;56;3;14;74;1018;
12/03/2014;11;23;40;5;35;50;5;15;77;1021;106
13/03/2014;11;27;43;6;26;46;4;14;82;1022;124
14/03/2014;9;19;33;7;20;22;3;15;69;1023;145
15/03/2014;5;21;28;11;23;280;2;15;69;1024;242
16/03/2014;4;13;19;10;29;260;2;17;76;1021;247
17/03/2014;11;34;50;16;39;268;2;17;77;1020;262
18/03/2014;7;26;36;16;33;216;2;18;71;1018;266
19/03/2014;6;19;28;8;31;53;3;17;83;1020;137
20/03/2014;6;15;23;11;29;108;2;16;84;1019;267
21/03/2014;5;13;21;11;33;256;3;17;87;1018;234
22/03/2014;4;11;17;10;38;243;3;18;88;1013;223
23/03/2014;5;9;15;9;16;313;3;18;55;1016;243
24/03/2014;5;15;22;13;22;252;3;17;76;1018;247
25/03/2014;6;11;20;11;42;277;4;20;51;1016;269
26/03/2014;6;9;19;8;30;307;5;16;47;1011;276
27/03/2014;5;10;18;11;20;244;3;17;57;1011;295
28/03/2014;17;30;57;13;36;69;4;17;78;1006;201
29/03/2014;10;19;34;49;41;78;5;17;79;1002;218
30/03/2014;4;9;15;170;17;265;3;17;71;1009;297
