Fecha;NO;NO2;O3;PM10;PM25
01/01/2015;61;49;12;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
02/01/2015;92;62;4;40;42
03/01/2015;87;63;7;40;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
04/01/2015;27;41;7;30;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
05/01/2015;35;38;5;24;20
06/01/2015;20;32;10;27;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
07/01/2015;5;35;15;20;19
08/01/2015;12;31;17;12;12
09/01/2015;39;38;6;20;17
10/01/2015;47;36;3;25;25
11/01/2015;33;39;6;21;17
12/01/2015;42;29;5;25;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
13/01/2015;39;32;15;26;26
14/01/2015;20;35;27;19;17
15/01/2015;7;18;42;12;9
16/01/2015;6;19;60;8;5
17/01/2015;9;26;35;15;14
18/01/2015;8;23;39;9;9
19/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;42;10;7
20/01/2015;;;25;14;12
21/01/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;42;10;9
22/01/2015;20;45;36;11;10
23/01/2015;47;48;17;24;21
24/01/2015;49;48;17;30;28
25/01/2015;32;36;23;29;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
26/01/2015;44;53;14;31;29
27/01/2015;54;51;15;30;26
28/01/2015;60;30;14;43;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
29/01/2015;4;17;44;11;10
30/01/2015;4;16;57;5;4
31/01/2015;4;16;71;5;3
01/02/2015;3;14;66;8;5
02/02/2015;3;16;57;7;5
03/02/2015;4;20;62;6;4
04/02/2015;6;27;60;8;6
05/02/2015;10;32;52;10;8
06/02/2015;8;38;45;10;7
07/02/2015;4;28;36;14;11
08/02/2015;3;16;62;16;16
09/02/2015;4;34;47;17;11
10/02/2015;24;59;24;26;22
11/02/2015;16;48;23;25;21
12/02/2015;5;35;32;20;14
13/02/2015;3;23;50;15;13
14/02/2015;3;12;71;10;6
15/02/2015;3;13;58;5;5
16/02/2015;3;23;46;8;6
17/02/2015;3;22;62;9;5
18/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;51;12;8
19/02/2015;;;20;27;22
20/02/2015;;;35;21;19
21/02/2015;;;59;6;6
22/02/2015;;;62;6;4
23/02/2015;;;56;6;4
24/02/2015;;;62;8;5
25/02/2015;;;58;9;6
26/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;8;6
27/02/2015;16;32;;9;7
28/02/2015;6;17;;10;7
01/03/2015;2;8;;7;5
02/03/2015;5;14;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;7;5
03/03/2015;8;19;33;8;7
04/03/2015;5;18;63;8;5
05/03/2015;9;28;57;12;7
06/03/2015;46;61;26;27;21
07/03/2015;32;49;21;29;21
08/03/2015;13;34;34;21;18
09/03/2015;44;54;29;30;26
10/03/2015;41;46;26;31;23
11/03/2015;36;51;35;35;29
