Fecha;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;3;0.2;6;14;15;22;54
02/01/2015;3;0.2;3;11;8;15;60
03/01/2015;3;0.2;3;12;4;16;64
04/01/2015;5;0.2;2;10;7;13;60
05/01/2015;3;0.1;4;11;10;17;51
06/01/2015;3;0.1;3;8;12;12;61
07/01/2015;3;0.1;4;16;21;22;42
08/01/2015;3;0.1;4;12;20;17;45
09/01/2015;3;0.2;4;10;9;15;51
10/01/2015;3;0.2;4;12;8;17;64
11/01/2015;4;0.1;3;7;7;11;62
12/01/2015;3;0.2;4;10;9;15;61
13/01/2015;4;0.2;5;17;11;24;57
14/01/2015;3;0.1;3;13;10;17;55
15/01/2015;3;0.2;3;18;15;21;59
16/01/2015;3;0.1;2;8;10;11;69
17/01/2015;3;0.2;3;7;8;10;66
18/01/2015;3;0.1;2;5;8;8;69
19/01/2015;;;;;8;;
21/01/2015;3;0.1;;;8;;53
22/01/2015;7;0.2;6;12;3;21;63
23/01/2015;3;0.3;6;18;6;27;59
24/01/2015;3;0.2;3;11;6;15;65
25/01/2015;3;0.2;4;11;5;16;74
26/01/2015;3;0.2;4;12;10;17;55
27/01/2015;3;0.2;4;13;8;18;53
28/01/2015;3;0.2;3;14;9;17;56
29/01/2015;3;0.2;2;7;11;9;68
30/01/2015;3;0.1;2;5;18;6;64
31/01/2015;3;0.2;2;4;6;6;77
01/02/2015;3;0.2;2;5;4;8;80
02/02/2015;3;0.2;3;6;5;10;72
03/02/2015;3;0.2;2;9;4;12;72
04/02/2015;3;0.1;2;5;3;7;78
05/02/2015;3;0.1;;;6;;75
06/02/2015;3;0.2;;;5;;66
07/02/2015;3;0.2;;;9;;52
08/02/2015;3;0.2;;;8;;58
09/02/2015;3;0.2;;;14;;48
10/02/2015;3;0.2;;;15;;48
11/02/2015;3;0.2;6;24;21;33;51
12/02/2015;3;0.2;6;29;21;38;48
13/02/2015;3;0.2;3;16;15;20;59
14/02/2015;3;0.1;2;4;9;6;78
15/02/2015;3;0.1;2;5;4;7;71
16/02/2015;4;0.1;4;14;6;20;55
17/02/2015;;;;;19;;
18/02/2015;3;0.2;;;13;;70
19/02/2015;3;0.2;;;;;83
20/02/2015;4;0.3;2;14;16;15;67
21/02/2015;3;0.2;2;5;5;7;82
22/02/2015;3;0.1;3;8;4;11;80
23/02/2015;3;0.1;3;6;6;10;65
24/02/2015;3;0.2;2;5;5;8;86
25/02/2015;4;0.1;2;5;2;7;83
26/02/2015;3;0.1;2;7;2;9;68
27/02/2015;3;0.1;2;7;4;9;75
28/02/2015;3;0.1;2;6;4;8;75
01/03/2015;3;0.1;2;5;5;7;70
02/03/2015;3;0.1;3;6;6;10;63
03/03/2015;3;0.1;4;15;17;20;52
04/03/2015;3;0.2;4;10;13;16;67
05/03/2015;3;0.2;2;7;5;9;86
06/03/2015;3;0.2;2;10;10;13;79
07/03/2015;3;0.1;2;7;6;9;81
08/03/2015;3;0.1;2;10;14;12;82
09/03/2015;3;0.1;3;17;18;21;83
10/03/2015;3;0.1;2;13;17;15;93
