Fecha;PM25;PM10
09/01/2015;;44
17/01/2015;13;
18/01/2015;13;
19/01/2015;8;
20/01/2015;15;
21/01/2015;18;
22/01/2015;17;
24/01/2015;;16
25/01/2015;;18
26/01/2015;;27
27/01/2015;;33
28/01/2015;;21
29/01/2015;;26
30/01/2015;;30
31/01/2015;;11
01/02/2015;;12
02/02/2015;;17
03/02/2015;;15
04/02/2015;;8
05/02/2015;;17
06/02/2015;;16
07/02/2015;;22
08/02/2015;;18
09/02/2015;;28
10/02/2015;;28
11/02/2015;;34
12/02/2015;;44
21/02/2015;;23
22/02/2015;;7
23/02/2015;;16
24/02/2015;;8
25/02/2015;;12
26/02/2015;;14
27/02/2015;;15
28/02/2015;;17
01/03/2015;;24
02/03/2015;;26
03/03/2015;;29
04/03/2015;;33
05/03/2015;;16
06/03/2015;;27
07/03/2015;;26
08/03/2015;;27
09/03/2015;;36
10/03/2015;;41
11/03/2015;;50
13/03/2015;16;
14/03/2015;19;
15/03/2015;24;
16/03/2015;27;
17/03/2015;32;
18/03/2015;23;
19/03/2015;25;
21/03/2015;;15
22/03/2015;;6
23/03/2015;;14
24/03/2015;;29
25/03/2015;;10
26/03/2015;;16
03/04/2015;;36
04/04/2015;;24
05/04/2015;;15
06/04/2015;;19
07/04/2015;;22
08/04/2015;;21
09/04/2015;;21
11/04/2015;15;
12/04/2015;14;
14/04/2015;16;
19/04/2015;;16
01/05/2015;;33
08/05/2015;21;
09/05/2015;16;
10/05/2015;13;
11/05/2015;16;
12/05/2015;16;
13/05/2015;24;
15/05/2015;;30
16/05/2015;;17
17/05/2015;;21
18/05/2015;;25
19/05/2015;;22
20/05/2015;;13
21/05/2015;;19
22/05/2015;;19
23/05/2015;;21
24/05/2015;;19
25/05/2015;;21
26/05/2015;;17
27/05/2015;;21
28/05/2015;;23
29/05/2015;;15
30/05/2015;;21
31/05/2015;;15
01/06/2015;;18
02/06/2015;;17
03/06/2015;;21
05/06/2015;14;
06/06/2015;13;
07/06/2015;13;
08/06/2015;13;
09/06/2015;18;
10/06/2015;15;
14/06/2015;;23
16/06/2015;;17
17/06/2015;;18
18/06/2015;;24
19/06/2015;;26
21/06/2015;;26
22/06/2015;;28
24/06/2015;;22
26/06/2015;;24
27/06/2015;;29
29/06/2015;;25
03/07/2015;15;
04/07/2015;17;
05/07/2015;20;
06/07/2015;24;
07/07/2015;23;
08/07/2015;24;
10/07/2015;;37
11/07/2015;;25
12/07/2015;;23
13/07/2015;;30
14/07/2015;;30
15/07/2015;;27
16/07/2015;;27
17/07/2015;;29
24/07/2015;;33
25/07/2015;;29
26/07/2015;;43
27/07/2015;;34
28/07/2015;;33
29/07/2015;;32
01/08/2015;14;
02/08/2015;15;
03/08/2015;16;
04/08/2015;16;
05/08/2015;15;
07/08/2015;;41
08/08/2015;;40
09/08/2015;;24
10/08/2015;;22
11/08/2015;;30
12/08/2015;;34
13/08/2015;;34
14/08/2015;;14
15/08/2015;;13
16/08/2015;;15
17/08/2015;;21
18/08/2015;;18
19/08/2015;;18
20/08/2015;;20
21/08/2015;;20
22/08/2015;;18
23/08/2015;;16
