Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;NO;NO2;NOX;O3
01/01/2015;2.1;313;3.5;43;903;102;0;;4;5;10;62
02/01/2015;2.8;306;7.2;39;907;101;0;;6;5;13;65
03/01/2015;3.6;306;10;39;907;100;0;;4;4;9;67
04/01/2015;5.4;307;10.8;49;904;101;0;;3;4;7;66
05/01/2015;1.6;332;5.8;65;900;101;0;;4;6;10;48
06/01/2015;2.9;307;5.8;67;897;96;0;;3;4;8;55
07/01/2015;2.2;302;3.1;85;900;96;0;;4;4;9;50
08/01/2015;4.5;306;5.5;67;906;105;0;;4;4;9;64
09/01/2015;4.5;311;9.2;59;912;107;0;;5;4;11;66
10/01/2015;3;307;12.9;26;906;106;0;;3;4;8;67
11/01/2015;6.8;310;7.5;62;901;81;0;;2;4;6;67
12/01/2015;1.8;131;7.4;69;903;111;0;;;;;59
13/01/2015;1.8;311;10.3;47;898;102;0;;3;5;9;60
14/01/2015;2.3;78;8.5;66;898;106;0;;;;;58
15/01/2015;2.9;206;10.1;50;891;105;0;;3;4;8;67
16/01/2015;6.1;271;6;65;884;55;0;;2;4;6;69
17/01/2015;5.7;311;1.9;61;889;100;0;;;;;67
18/01/2015;1.5;128;1.3;59;884;40;0;;;;;62
19/01/2015;6.6;312;0.6;90;879;16;0.4;;2;4;6;58
20/01/2015;4.9;312;-.3;75;878;87;0;;4;4;8;63
21/01/2015;5;299;1.9;75;877;80;0;;3;4;7;65
22/01/2015;8;309;1.5;78;880;78;0;;2;4;6;68
23/01/2015;9.7;312;1.8;65;888;134;0;;4;4;8;70
24/01/2015;9.8;315;3.4;62;892;122;1;;4;4;8;72
25/01/2015;9.6;316;3.8;40;892;115;0;;4;4;8;78
26/01/2015;6.1;320;4.2;56;895;112;0;;3;4;7;75
27/01/2015;10;310;5.4;76;894;106;0;;2;4;6;70
28/01/2015;7.1;313;5.4;72;892;114;0;3;5;4;10;71
29/01/2015;8.8;283;9.6;62;882;71;0.8;3;2;4;7;67
30/01/2015;10.2;273;10.1;76;869;26;7.2;3;2;5;7;64
31/01/2015;8.4;293;3.7;80;866;119;4.8;3;2;4;6;72
01/02/2015;10.5;294;1.5;64;875;116;0.2;3;2;4;6;73
02/02/2015;4.3;274;3.2;67;878;43;0.2;3;2;4;6;68
03/02/2015;6;281;3.4;72;870;142;0.6;3;2;4;6;68
04/02/2015;8.7;310;-2.6;80;868;71;0;3;2;4;6;70
05/02/2015;12;305;-2.9;57;872;129;0.6;3;2;4;6;64
06/02/2015;9.3;311;-2.9;63;875;153;0;3;2;5;7;60
07/02/2015;4.1;317;-2.4;83;885;104;0;3;2;5;8;45
08/02/2015;5.9;315;-.6;76;889;150;0;3;2;4;7;62
09/02/2015;2;300;0.1;78;893;88;0;3;2;5;8;62
10/02/2015;2;139;1.7;73;893;160;0;3;5;9;15;68
11/02/2015;1.6;134;3.5;92;892;18;0;3;2;5;7;80
12/02/2015;1;126;4.1;96;892;7;1.2;3;2;6;9;62
13/02/2015;2.6;298;6.2;69;892;91;0;3;2;5;8;71
14/02/2015;5.7;284;7.1;68;886;37;0;4;2;4;6;76
15/02/2015;7;297;8.5;73;883;131;0;3;2;4;6;70
16/02/2015;8.7;315;7;74;888;130;2.4;4;2;4;6;75
17/02/2015;6.1;317;3.2;95;895;29;1.6;4;2;4;6;67
18/02/2015;3.9;328;3.3;83;901;113;0;3;2;5;7;65
19/02/2015;1.4;335;3.4;81;900;142;0;4;2;6;9;75
20/02/2015;1.8;90;3.5;80;891;177;0;4;3;9;12;74
21/02/2015;7.6;315;3.8;79;878;75;1.8;3;2;4;6;79
22/02/2015;11.1;311;4.2;73;880;123;0.2;3;2;4;6;82
23/02/2015;6.3;297;9.5;68;885;94;1.6;3;2;4;6;69
24/02/2015;10.2;301;3.3;74;888;188;0.2;4;2;4;6;77
25/02/2015;13;307;5.6;79;890;90;1.6;3;2;4;6;80
26/02/2015;10.9;309;9.3;76;892;151;0.4;3;2;4;6;69
27/02/2015;12.4;309;4.7;71;888;198;4.8;3;2;4;6;83
28/02/2015;7.9;306;6.9;71;892;147;0;3;2;4;6;76
01/03/2015;4.7;302;13;67;895;132;0;3;2;4;6;64
02/03/2015;4.4;294;16;60;896;143;0;3;2;4;7;55
03/03/2015;1.6;89;11.6;88;898;47;0.2;3;3;9;13;41
04/03/2015;9.8;310;6.7;68;897;199;0.6;4;2;4;6;75
05/03/2015;6.1;311;4.4;47;898;222;0;3;2;4;6;82
06/03/2015;1.8;316;7.5;40;901;224;0;4;2;6;9;73
07/03/2015;3.4;308;11.6;34;900;228;0;3;2;4;6;75
08/03/2015;2.1;315;9.2;55;897;123;0;3;2;6;8;82
09/03/2015;2.6;332;10.9;41;897;169;0;3;2;7;10;84
10/03/2015;2.1;333;11.1;45;898;218;0;3;2;8;11;82
11/03/2015;3.2;309;13.6;45;897;225;0;4;2;5;7;78
12/03/2015;1.8;350;12.9;48;895;221;0;3;2;7;10;96
13/03/2015;7;313;7.6;74;894;210;0;3;2;4;6;78
14/03/2015;8.1;304;3.5;65;890;204;0;5;2;4;6;86
15/03/2015;4.7;311;2.4;73;887;119;0;3;2;4;6;81
16/03/2015;2.5;141;2.6;77;889;216;0;3;2;6;8;75
17/03/2015;2;128;4.5;74;891;225;0;4;2;7;10;82
18/03/2015;2.6;102;5.4;99;891;2;3.8;3;2;4;6;90
19/03/2015;2.9;74;6.4;94;890;6;0.2;3;2;4;6;90
20/03/2015;3.2;20;6.2;95;887;5;0;3;2;4;6;89
21/03/2015;2;350;6.1;98;882;14;;3;2;5;7;83
22/03/2015;1.3;249;4.9;99;883;9;;3;2;4;6;86
23/03/2015;1.5;155;4.9;99;882;2;;3;2;6;8;87
24/03/2015;3.8;310;4.8;98;878;4;;3;2;4;7;84
25/03/2015;8.1;308;2.1;78;876;174;;3;2;4;6;83
26/03/2015;7.9;311;5.7;74;884;218;0;3;2;4;6;74
27/03/2015;7.2;307;11.1;65;895;273;0.2;3;2;4;6;76
28/03/2015;6.4;312;13.6;58;898;279;0;3;2;4;6;68
29/03/2015;5.3;309;12.2;62;897;116;0;3;2;4;6;73
30/03/2015;7.2;304;16.1;47;897;31;0;3;2;4;6;83
31/03/2015;6;313;16;57;899;272;0;3;2;4;6;80
01/04/2015;5.1;315;10.7;51;899;273;0;3;2;4;6;88
02/04/2015;2.6;312;11.8;37;897;285;0;3;2;4;7;77
03/04/2015;2.5;320;14.3;34;893;276;0;4;2;4;6;63
04/04/2015;3.6;318;9.5;66;888;272;0;3;2;4;6;75
05/04/2015;2.5;324;9.1;78;886;292;0;3;2;4;6;69
06/04/2015;1.5;127;6.8;96;893;89;0.4;3;2;4;6;76
07/04/2015;1.8;122;5.7;77;898;186;0;3;2;5;8;84
08/04/2015;2.3;136;6.3;75;899;295;0;3;2;4;6;99
09/04/2015;2;134;7.7;52;898;245;0.2;3;2;4;6;99
10/04/2015;1.8;123;8.3;75;896;242;0;3;2;5;7;99
11/04/2015;1.2;322;9.9;85;898;119;0.2;3;2;5;7;79
12/04/2015;1.2;127;10.2;61;901;211;0;3;2;5;7;96
13/04/2015;1.3;114;11.8;52;902;281;0;3;3;6;9;98
14/04/2015;1.6;123;13.4;44;900;250;0;4;3;8;12;98
15/04/2015;1.4;142;10.3;62;893;52;2.8;3;2;4;6;101
16/04/2015;1.5;86;11.2;85;890;129;0.4;3;2;5;7;80
17/04/2015;1.9;220;12.9;72;892;187;0;3;2;5;7;86
18/04/2015;1.7;126;12.6;75;889;207;0;3;2;6;8;93
19/04/2015;2.4;335;10.6;66;889;216;0;3;2;4;6;87
20/04/2015;1.3;134;10.6;74;895;236;0;3;2;5;7;82
21/04/2015;1.7;118;11.5;68;897;266;0;3;3;7;10;92
22/04/2015;1.9;132;11.5;77;895;222;1.6;3;2;4;7;97
23/04/2015;1.6;7;13.2;71;893;186;0;3;2;6;8;91
24/04/2015;1.5;97;14.6;70;891;246;0;4;2;6;9;95
25/04/2015;1.1;30;15.5;65;889;123;0.2;4;2;4;7;88
26/04/2015;2;255;14;65;883;183;1.4;3;2;4;6;76
27/04/2015;6;297;11.4;65;883;308;1.2;3;2;4;6;87
28/04/2015;3.1;331;10.5;61;891;311;0;3;2;5;7;85
29/04/2015;1;69;11.3;73;892;121;0;3;2;5;7;78
30/04/2015;1.4;81;12.9;83;894;202;0;3;2;6;9;79
01/05/2015;1.7;294;17.1;59;892;161;0.2;3;2;4;7;65
02/05/2015;1.6;106;18.4;69;891;225;0;4;2;5;7;76
03/05/2015;1.1;295;21.2;53;890;169;0;5;2;5;7;76
04/05/2015;2.3;129;20.2;57;887;238;0;;2;5;7;101
05/05/2015;2;324;17.3;53;888;159;0;;3;6;9;81
06/05/2015;2;23;14.1;59;892;274;0;;2;5;7;92
07/05/2015;2.6;121;15.2;67;893;324;0;;2;5;7;102
08/05/2015;3;291;18.9;46;894;315;0;;2;4;6;92
09/05/2015;1.6;358;17.9;60;900;321;0;;2;5;7;89
10/05/2015;1.9;114;17.9;58;900;322;0;;2;5;7;97
11/05/2015;2;120;18.9;44;899;316;0;;2;6;9;113
12/05/2015;1.4;95;20.1;44;900;341;0;;3;9;12;108
13/05/2015;1.6;5;24.2;40;899;175;0.6;;2;8;11;98
14/05/2015;5.2;271;25;32;892;271;0;3;2;4;7;83
15/05/2015;11.8;308;10.8;64;892;335;0.4;4;2;4;6;87
16/05/2015;7;313;13.8;58;898;359;0;3;2;4;6;91
17/05/2015;1.8;1;15.7;62;897;360;0;3;2;5;7;85
18/05/2015;1.9;130;17.9;54;891;351;0;4;2;6;8;103
19/05/2015;3.2;315;10.5;82;888;72;9.2;3;2;4;6;71
20/05/2015;5.3;309;9.3;66;892;351;0;4;2;4;6;88
21/05/2015;4.7;314;9.8;60;897;365;0;3;2;4;6;90
22/05/2015;2.7;320;10.4;63;895;287;0;3;2;4;6;86
23/05/2015;2.3;324;12;64;892;359;0;3;2;5;8;80
24/05/2015;1.2;334;12;80;892;151;0;3;2;6;8;67
25/05/2015;2.5;318;14.5;67;893;202;0;3;2;5;8;72
26/05/2015;4.5;315;14;62;893;365;0;3;2;5;7;79
27/05/2015;1.8;70;14.2;67;894;319;0;3;2;7;10;83
28/05/2015;1.8;123;16.1;64;894;314;0;3;2;8;10;96
29/05/2015;1.8;118;17;53;891;202;0;3;2;7;9;103
30/05/2015;1.5;185;14.6;85;893;129;5.6;4;2;7;9;78
31/05/2015;1.2;119;16;73;894;206;0.2;4;2;7;9;76
01/06/2015;1.3;126;15.4;80;895;145;2.2;3;2;8;11;74
02/06/2015;1.5;116;18.1;74;896;202;0;4;2;8;10;86
03/06/2015;1.4;118;19.8;53;898;299;0;5;2;8;11;97
04/06/2015;1.4;112;19.6;43;898;313;0;4;3;8;11;94
05/06/2015;1.8;129;19.1;47;897;314;0;5;2;6;8;109
06/06/2015;1.3;68;19.1;48;898;313;0;4;2;7;9;99
07/06/2015;1.3;139;19.3;42;898;318;0;3;2;6;8;100
08/06/2015;1.2;95;20.5;39;895;281;0.6;3;2;7;9;111
09/06/2015;;;;;;;1.6;;;;
10/06/2015;;;;;;;0;;;;
11/06/2015;1;119;15.4;94;889;42;3.4;3;2;4;6;90
12/06/2015;1.2;44;16.3;79;888;185;34.2;3;2;4;6;88
13/06/2015;1.3;116;14.9;91;887;77;4.4;3;2;4;6;75
14/06/2015;2;350;15.7;69;888;199;0;3;2;4;6;85
15/06/2015;1.6;317;13.5;85;892;100;4.4;4;2;4;6;74
16/06/2015;3.9;314;13.2;87;895;158;14;3;2;4;6;83
17/06/2015;3.2;318;14.9;74;896;297;0;3;2;4;6;84
18/06/2015;1.8;319;17.5;67;896;312;0;6;2;4;6;83
19/06/2015;2.5;310;18.2;67;894;316;0;3;3;4;7;62
20/06/2015;1.7;331;18.4;66;895;317;0;3;2;4;6;75
21/06/2015;1.5;111;19.9;72;896;256;0;4;2;4;6;85
22/06/2015;1.8;183;21.9;57;893;117;1.2;3;2;4;6;103
23/06/2015;1.7;274;19;67;891;131;3.6;3;2;5;7;94
24/06/2015;1.5;113;16.9;77;895;260;0;3;2;4;7;83
25/06/2015;1.3;83;19.7;71;898;302;0;3;2;5;7;90
26/06/2015;1.3;5;23;57;898;228;0;5;2;5;7;108
27/06/2015;1.2;116;24.9;53;897;281;0;3;2;5;7;115
28/06/2015;1.3;15;25.4;57;897;298;0;9;2;6;8;107
29/06/2015;1.9;124;23.2;55;897;296;0;5;2;5;7;105
30/06/2015;2;119;24.3;49;895;299;0;3;2;5;7;125
01/07/2015;2.7;138;24.2;41;895;294;0;3;2;4;6;114
02/07/2015;2.4;138;22.4;52;897;196;0;3;2;4;6;115
03/07/2015;2.7;137;23.1;54;899;289;0;3;2;4;6;112
04/07/2015;2.2;124;23.8;46;899;260;0;3;2;4;6;110
05/07/2015;2.4;143;27.3;31;897;274;0;3;2;4;6;112
06/07/2015;1.9;120;27.2;37;897;293;0;3;2;5;8;112
07/07/2015;1.4;117;30.1;32;895;174;0;3;2;5;7;111
08/07/2015;2.3;329;24.4;52;894;291;0;6;2;5;7;89
09/07/2015;1.5;97;21.8;66;895;295;0;3;2;5;7;83
10/07/2015;1.6;116;23.3;78;894;292;0;3;2;4;6;92
11/07/2015;1.7;57;21.7;77;897;276;0;3;2;4;6;83
12/07/2015;1.6;85;23.6;74;897;244;0;3;2;4;6;87
13/07/2015;1.5;74;24.9;59;897;274;0;5;2;5;7;100
14/07/2015;1.3;104;24.5;57;897;254;0;5;2;6;9;100
15/07/2015;1.8;115;23.9;65;895;268;0;3;2;6;8;99
16/07/2015;1.7;109;24.2;56;895;227;0;4;2;5;7;109
17/07/2015;1.8;113;24.5;56;896;263;0;3;2;6;8;111
18/07/2015;1.8;82;22.3;66;895;234;6.2;3;2;6;8;92
19/07/2015;1.1;84;23.6;68;894;140;8.4;3;2;7;9;86
20/07/2015;1.6;155;23.1;77;894;210;0;3;2;4;7;75
21/07/2015;1.6;234;22.8;73;894;106;2.8;3;2;5;7;76
22/07/2015;1.9;348;21.5;75;895;168;4.6;3;2;5;7;90
23/07/2015;1.3;103;22;82;894;218;0.6;3;2;4;6;73
24/07/2015;1.5;57;24.4;66;890;200;0;3;2;6;9;91
25/07/2015;2.4;342;20.1;73;894;224;0;3;2;4;6;72
26/07/2015;1.7;116;22.4;;893;250;0;3;2;4;6;75
27/07/2015;1.7;5;24.3;68;892;208;0;3;2;4;6;77
28/07/2015;1.7;118;21.7;84;892;185;0;3;3;5;8;70
29/07/2015;1.3;99;22.5;;891;194;0;3;2;5;8;63
30/07/2015;1.4;129;19.3;;891;91;0.6;4;2;6;8;54
31/07/2015;2;118;17.9;;889;42;0.8;3;2;4;6;66
01/08/2015;1.7;352;16.8;;892;180;0;3;2;4;6;73
02/08/2015;1.7;126;20.3;;895;263;0;3;2;4;6;82
03/08/2015;1.6;105;23.3;67;895;245;0.2;3;2;5;8;82
04/08/2015;1.6;116;23.3;66;895;263;0;3;2;5;8;97
05/08/2015;1.7;125;23.5;72;894;262;0;3;2;4;6;102
06/08/2015;1.7;115;24.9;81;894;257;0;3;2;4;6;90
07/08/2015;1.5;145;26.4;61;895;205;0;3;2;4;6;82
08/08/2015;1.6;37;18.9;;897;38;0;3;2;4;6;46
09/08/2015;2.7;325;17.9;71;897;234;0;3;2;4;6;65
10/08/2015;1.1;67;20.9;65;894;265;0;3;2;4;6;83
11/08/2015;1.8;120;21.8;;893;213;0;3;2;4;6;81
12/08/2015;1.9;118;22.7;;895;230;0;3;2;4;6;70
13/08/2015;2.1;295;24.1;44;893;269;0;3;2;4;6;79
14/08/2015;2.1;329;17.4;73;893;91;0;4;2;4;6;69
15/08/2015;2.3;312;15.9;72;892;111;0;3;2;4;6;64
16/08/2015;1.5;136;18;70;891;119;0;3;2;4;6;75
17/08/2015;1.2;82;17.4;;891;55;0;4;2;4;6;66
18/08/2015;1.3;14;16.1;;892;50;0;3;2;4;6;54
19/08/2015;1.5;65;16.8;;896;140;0;3;2;4;6;61
20/08/2015;1.2;113;19.5;;899;145;0;4;2;4;6;63
21/08/2015;1.4;127;20.8;;898;96;5.8;3;2;4;6;79
22/08/2015;1.7;120;19.4;77;893;184;0;3;2;4;6;78
23/08/2015;1.7;259;21.5;46;887;231;0.2;3;2;4;6;73
24/08/2015;2.1;308;19.3;57;890;204;0;3;2;4;6;74
25/08/2015;1.5;117;18;78;896;232;0;3;2;5;7;75
26/08/2015;1.9;120;20.3;82;895;236;0;3;2;4;6;87
27/08/2015;1.7;120;22.7;70;894;230;0;3;2;4;6;94
28/08/2015;1.6;112;23.2;59;896;237;0;3;2;4;7;96
29/08/2015;1.8;127;21.9;69;898;237;0;4;2;4;6;88
30/08/2015;1.9;123;20.9;86;896;207;0.2;3;2;4;6;83
31/08/2015;2;163;22.3;74;894;170;0.6;3;2;4;6;79
