Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;0.8;246;8.4;74;1019;82;0;12;3;0.2;2;6;12;8;45
02/01/2015;0.9;238;9.3;58;1021;93;0;9;3;0.1;3;9;11;13;44
03/01/2015;0.9;238;11.8;53;1018;94;0;10;3;0.1;3;11;12;14;43
04/01/2015;;;;;;;0;;;;;;;;
05/01/2015;;;;;;;0.1;;;;;;;;
06/01/2015;0.9;237;9.3;82;1010;81;0;21;3;0.2;2;4;21;7;42
07/01/2015;0.9;238;10.7;76;1014;76;0.6;20;3;;;;21;;39
08/01/2015;0.8;242;9.4;74;1021;87;0;18;3;0.1;;;20;;35
09/01/2015;0.9;226;10;66;1024;97;0;10;3;0.1;;;13;;37
10/01/2015;0.6;246;12.1;56;1015;100;0;7;3;0.1;;;11;;38
11/01/2015;1.3;260;13;51;1012;95;0;5;3;0.1;;;7;;51
12/01/2015;1;229;11.3;75;1016;87;0;10;3;0.1;;;11;;41
13/01/2015;1;233;12.1;71;1009;89;0;12;3;0.1;;;14;;37
14/01/2015;;;13.6;57;;;0;;;;;;;;
15/01/2015;;;12.6;56;;;;;;;;;;;
16/01/2015;;;13.1;44;;;;;;;;;;;
17/01/2015;;;8.9;48;;;;;;;;;;;
18/01/2015;;;6.9;61;;;;;;;;;;;46
19/01/2015;;;7.1;82;;;;;;;;;;;23
20/01/2015;;;5.3;65;;;;;;;;;;;37
21/01/2015;;;7.5;61;;;;;;;;;;;40
22/01/2015;;;8.4;51;;;;;;;;;;;52
23/01/2015;;;8.3;45;;;;;;;;;;;56
24/01/2015;;;10.6;36;;;;;;;;;;;70
25/01/2015;;;12.3;30;;;;;;;;;;;76
26/01/2015;;;8;51;;;;;;;;;;;
27/01/2015;;;11.2;52;;;;;;;;;;;
28/01/2015;;;9.9;58;;;;;;;;;;;
29/01/2015;;;13.9;50;;;;;;;;;;;
30/01/2015;;;17.6;57;;;;;;;;;;;
31/01/2015;;;12.8;53;;;;;;;;;;;
01/02/2015;;;10;34;;;;;;;;;;;
02/02/2015;;;8.9;55;;;;;;;;;;;36
03/02/2015;;;11.5;52;;;;;;;;;;;48
04/02/2015;;;6.7;47;;;;;;;;;;;48
05/02/2015;;;6.3;33;;;;;;;;;;;49
06/02/2015;;;5.7;38;;;;;;;;;;;44
07/02/2015;;;4.3;60;;;;;;;;;;;21
