Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;3.5;204;12.7;68;1030;98.2;0;10;4;2;4;11;6;76
02/01/2015;2.1;259;12.7;72;1032;116.5;0;10;5;2;7;11;9;62
03/01/2015;1.1;241;13.6;71;1030;115.9;0;14;5;3;13;15;15;47
04/01/2015;3.3;250;14.7;72;1027;116;0;9;5;2;6;9;7;63
05/01/2015;3;344;13.2;;1026;112.4;0;13;4;2;5;13;7;57
06/01/2015;3.8;12;11.4;;1022;105.4;0;21;4;2;5;21;6;50
07/01/2015;3.7;44;11.2;;1027;115.3;0;23;5;2;4;23;6;49
08/01/2015;3.3;14;11.2;;1033;113.2;0;21;4;2;5;21;7;53
09/01/2015;2.3;243;12.5;;1036;116.3;0;27;3;3;13;27;15;44
10/01/2015;1.4;122;14.4;;1028;116.9;0;31;4;4;26;32;30;30
11/01/2015;2;137;14.9;;1025;103.9;0.1;15;3;2;9;16;10;50
12/01/2015;4.6;231;13.4;73;1029;121.9;0;6;3;2;5;6;7;73
13/01/2015;5;212;14.2;;1022;104.5;0;9;3;2;6;10;8;80
14/01/2015;2.2;163;14.3;;1021;122.5;0;18;3;3;12;19;15;55
15/01/2015;2.5;274;13.8;;1014;98.4;0;22;3;3;14;23;16;58
16/01/2015;7.1;273;13.9;54;1007;49.1;2;10;3;2;7;11;8;69
17/01/2015;4.5;282;11.8;46;1016;132.7;0;3;4;2;4;3;6;79
18/01/2015;4.4;264;11.1;59;1011;89.7;0.1;5;3;2;4;5;6;75
19/01/2015;9.4;35;9.2;;1005;44.2;36.3;6;3;2;4;6;6;68
20/01/2015;4.6;337;9;55;1006;65.2;1.3;3;3;2;4;3;6;75
21/01/2015;3.3;291;10.2;56;1004;91.1;0;3;5;2;5;3;7;69
22/01/2015;9.3;62;10;55;1007;137;23.6;2;3;2;4;2;6;76
23/01/2015;6.9;314;10.9;45;1013;140.3;0;5;4;2;4;6;6;75
24/01/2015;7.9;321;11.8;47;1016;129;6.3;6;4;2;4;6;6;76
25/01/2015;10;327;11.9;39;1017;146.4;212.7;3;3;2;4;6;6;82
26/01/2015;3.5;179;10.7;49;1022;171.9;0;3;4;2;4;3;6;82
27/01/2015;3.2;4;12.8;61;1019;129.3;0;4;4;2;6;4;7;73
28/01/2015;3.2;151;12.3;59;1017;139.9;0;2;4;2;5;2;6;81
29/01/2015;7.1;244;15.2;61;1004;97.1;0.3;5;4;3;9;6;12;67
30/01/2015;10;360;14.2;;990;107.2;126.5;2;3;2;5;2;6;71
31/01/2015;9;329;12.2;48;989;132.7;166;2;3;2;4;2;6;81
01/02/2015;12;320;10.4;44;1002;150.1;588.7;2;3;2;4;2;6;83
02/02/2015;7.4;265;11.4;50;1004;91.2;0;3;3;2;4;3;6;76
03/02/2015;6.7;303;11.3;55;995;148.5;23.5;3;3;2;6;3;7;71
04/02/2015;;;;;;;21.1;;;;;;
05/02/2015;;;;;;;77.9;;;;;;
06/02/2015;5.2;330;;;1005;167.7;0.2;6;3;2;5;7;7;69
07/02/2015;5.2;30;;;1015;109.5;0;13;4;2;5;14;7;57
08/02/2015;4.5;328;;;1017;165;0;17;4;2;5;17;6;73
09/02/2015;5;26;;;1022;166.2;0;13;4;2;6;13;8;75
10/02/2015;2.4;266;;;1021;174.3;0;12;4;2;6;13;8;83
11/02/2015;3.4;14;;;1019;77.4;0;12;4;2;10;13;11;80
12/02/2015;3.2;12;;;1017;70;0;20;4;2;14;21;15;73
13/02/2015;2.6;235;;;1016;117.5;0;19;4;2;14;20;15;61
14/02/2015;2.5;285;;;1011;53.8;0;8;3;2;8;8;9;66
15/02/2015;2.7;298;;;1006;115.2;0;4;3;2;5;4;7;67
16/02/2015;6.5;19;;;1012;176.9;11.2;2;3;2;4;3;6;89
17/02/2015;8.3;26;;;1020;60.7;0;3;3;2;5;3;7;72
18/02/2015;7.7;41;;;1027;176.7;1;7;4;2;5;8;6;79
19/02/2015;4.6;37;;;1027;185.1;0;19;4;2;7;19;8;82
20/02/2015;2.6;239;;;1018;182.9;0;20;4;2;6;21;8;97
21/02/2015;7.1;307;;;1002;129.7;236.2;11;3;2;5;12;7;85
22/02/2015;8.7;1;;;1005;197.5;46.6;1;3;2;4;1;6;90
23/02/2015;4.9;233;;;1006;124.5;27.1;4;4;3;9;4;12;68
24/02/2015;13;325;;;1013;193.1;693.8;2;3;2;4;2;6;86
25/02/2015;10;338;;;1015;132.3;178;1;4;2;4;2;6;86
26/02/2015;5.5;314;;;1014;194.7;0.5;2;3;2;4;3;6;75
27/02/2015;9;331;;;1012;212.6;624.7;2;4;2;4;3;6;88
28/02/2015;4;191;;;1017;187.2;0;2;4;2;4;3;6;94
01/03/2015;3;199;;;1016;139.1;0;7;4;3;10;8;13;70
02/03/2015;2;193;;;1017;180.3;0;6;5;4;13;7;17;53
03/03/2015;4.5;42;;;1020;113;0.2;4;4;2;5;4;7;78
04/03/2015;7.1;346;;;1022;207.2;187.9;7;3;2;7;8;9;79
05/03/2015;7.2;324;;;1025;230.4;2.4;2;3;2;4;4;6;88
06/03/2015;4.3;214;;;1027;221.6;0;4;3;2;6;5;8;86
07/03/2015;2.6;186;;;1024;222.7;0;9;3;2;9;10;10;82
08/03/2015;2.9;93;;;1021;129.6;0;11;3;2;5;11;7;97
09/03/2015;2.5;207;;;1021;168.4;0;9;3;2;5;10;7;108
10/03/2015;2.2;198;;;1022;173.2;0;17;3;2;5;18;7;112
11/03/2015;2.4;153;;;1019;213.8;0;23;3;2;5;24;7;112
12/03/2015;2.1;58;;;1016;215.4;0;28;3;2;8;28;10;93
13/03/2015;4.1;22;;;1017;209.6;0;24;3;2;5;26;6;96
14/03/2015;7.6;347;;;1016;216.7;2.9;2;3;2;4;2;6;91
15/03/2015;2.8;194;;;1013;216.1;0;15;3;2;5;16;6;90
16/03/2015;3.6;53;;;1015;217.9;0;16;3;2;5;16;6;89
17/03/2015;1.8;38;;;1017;236.5;0;13;3;2;5;14;7;97
18/03/2015;4.3;64;;;1015;83.3;0.3;8;3;2;5;8;6;102
19/03/2015;10.2;49;;;1013;111.1;0;20;3;2;4;20;6;112
20/03/2015;10.8;53;;;1008;35;7.9;17;3;2;4;17;6;109
21/03/2015;2.3;91;;;1004;50.7;21.6;13;3;3;5;15;7;98
22/03/2015;3.3;84;;;1006;18.6;11;15;3;7;7;16;16;92
23/03/2015;3.1;94;;;1005;78.6;1.1;13;3;3;4;14;7;102
24/03/2015;5.5;60;;;1000;73.8;1.3;13;3;2;4;14;6;98
25/03/2015;9.2;290;;;1000;203.5;12.5;2;3;2;4;2;6;90
26/03/2015;4.6;211;;;1009;268.8;0.9;2;3;2;4;2;6;94
27/03/2015;4.4;174;;;1015;247.3;12.6;2;3;3;7;3;10;80
28/03/2015;4.6;191;;;1018;277.1;0.7;3;3;2;5;4;6;76
29/03/2015;3.8;170;;;1018;204.4;0;4;3;2;5;4;7;81
30/03/2015;5.1;272;;;1017;74.4;0.8;3;3;2;5;4;7;83
31/03/2015;4.1;211;;;1019;283.1;0;3;3;2;5;4;7;86
01/04/2015;6.6;234;;;1022;283.1;1;8;3;3;4;11;7;88
02/04/2015;3.2;194;13.2;83;1020;277.9;0;15;3;6;5;20;13;89
03/04/2015;1.7;175;13.3;85;1015;223.9;0;18;3;2;4;24;6;99
04/04/2015;3.3;198;13.6;72;1010;268.7;0;10;3;2;4;12;6;97
05/04/2015;3;129;13.6;66;1009;295.7;0;5;3;2;4;7;6;84
06/04/2015;1.3;111;13.4;62;1017;276.6;0;9;3;2;4;15;6;103
07/04/2015;2.7;75;13;67;1024;288.2;0;9;3;2;5;14;7;106
08/04/2015;1.8;122;13;59;1026;280.7;0;6;3;3;6;9;8;116
09/04/2015;1.5;73;12.9;67;1024;305.2;0;7;3;2;5;10;7;114
10/04/2015;3;56;13.7;76;1021;267.9;0;9;3;2;5;12;6;117
11/04/2015;5.2;43;13.6;81;1021;173.6;0;14;3;2;5;17;7;115
12/04/2015;6.4;37;14;77;1024;219.4;0;11;3;2;4;12;7;117
13/04/2015;2.9;57;14.4;72;1025;290.2;0;12;3;2;6;14;8;113
14/04/2015;1.1;101;14.7;75;1022;284.1;0;15;3;2;6;21;7;105
15/04/2015;5.5;34;14.5;85;1015;105.6;0;17;3;2;6;20;8;106
16/04/2015;1.7;201;14.9;86;1012;250.8;0;26;3;2;5;38;7;108
17/04/2015;1.9;194;15.8;84;1013;280.5;0;28;3;2;6;34;8;98
18/04/2015;2;135;15.4;87;1010;242.6;0;16;3;2;4;19;6;112
19/04/2015;3.1;229;15.8;67;1010;310.6;0;5;3;2;4;8;6;103
20/04/2015;1.6;126;15.4;79;1017;312.5;0;7;3;3;4;11;8;108
21/04/2015;1.3;101;15.8;76;1020;266;0;9;4;2;4;11;7;106
22/04/2015;2.4;80;15.8;79;1018;201.1;0;8;;2;4;9;6;116
23/04/2015;2;236;16.2;77;1014;262.2;0;14;;2;5;18;7;108
24/04/2015;2.7;176;16;85;1012;213.1;0;19;;2;4;23;6;109
25/04/2015;1.6;160;16.7;83;1009;230;0;32;;2;4;45;6;104
26/04/2015;2.5;43;17;82;1003;258.2;0;25;;2;4;33;6;102
27/04/2015;8.3;306;18.2;51;1003;306;0;2;;2;4;4;6;93
28/04/2015;5.5;242;15.8;54;1013;308.5;0.4;5;;2;4;8;6;104
29/04/2015;2.7;221;15.4;79;1014;213.9;0;10;;2;6;14;7;94
30/04/2015;2.5;118;15.7;85;1015;290.9;0;18;;2;5;20;7;103
01/05/2015;2;199;17.3;83;1010;215;0;22;;2;5;28;8;110
02/05/2015;1.9;114;18.9;80;1009;277.4;0;17;;2;4;21;6;105
03/05/2015;1.7;122;18.8;86;1006;293.6;0;15;;2;4;21;6;104
04/05/2015;3;51;17.4;;1005;169;0;14;;2;5;16;6;106
05/05/2015;2.1;159;18.6;79;1006;167.1;0;16;;2;4;20;6;95
06/05/2015;4;86;18;78;1013;327;0;15;;2;5;19;7;100
07/05/2015;1.7;123;17.9;82;1015;272.1;0;11;;2;4;16;6;104
08/05/2015;3.1;183;19;79;1013;306.8;0;15;3;2;4;23;6;112
09/05/2015;3.4;182;19.6;80;1019;330.7;0;19;3;2;4;26;6;108
10/05/2015;3;197;19.2;81;1020;328;0;17;3;2;4;22;6;96
11/05/2015;2.9;198;19.5;76;1019;309;0;7;;2;5;10;7;104
12/05/2015;1.4;166;19.9;79;1019;339.8;0;7;;2;4;10;6;102
13/05/2015;2.6;189;19.8;85;1017;285.3;0;14;;2;4;18;6;104
14/05/2015;3.4;66;21.3;;1008;228.1;2.5;21;;2;6;33;8;99
15/05/2015;8.5;340;18.5;45;1012;353.6;3.9;5;;3;4;19;7;97
16/05/2015;6.4;256;18.3;56;1018;354.9;0;3;;2;4;7;6;104
17/05/2015;3.7;181;17.7;71;1017;354.2;0;4;;4;7;6;13;87
18/05/2015;2.5;181;17.7;83;1011;257.4;0;6;;2;4;9;6;101
19/05/2015;5.1;27;16.3;73;1008;101.2;1.7;7;;2;4;9;6;83
20/05/2015;4.6;250;15.8;54;1014;345.7;0;4;;2;4;5;6;94
21/05/2015;6.5;134;15.8;57;1019;352.4;0;4;;2;4;6;6;95
22/05/2015;6.4;283;16.1;55;1017;360.3;0;6;;2;4;8;6;100
23/05/2015;4.6;257;17;62;1013;355.3;0;8;;2;4;12;6;101
24/05/2015;3.2;158;17.2;76;1013;328.2;0;7;;2;4;10;6;95
25/05/2015;2.9;238;18.6;76;1012;355.8;0;11;;2;4;14;6;101
26/05/2015;3.8;204;18.9;64;1012;364.8;0;5;;2;4;8;6;77
27/05/2015;3.5;125;18;71;1015;364.4;0;8;;2;4;12;6;76
28/05/2015;3.5;211;18;;1015;355.9;0;15;3;2;4;19;6;68
29/05/2015;2.6;180;18.7;80;1012;313.6;0;12;3;2;4;16;6;81
30/05/2015;1.7;103;19.2;72;1013;281.5;0;11;3;2;4;14;6;73
31/05/2015;2.1;136;19.7;79;1014;388.8;0;9;3;2;4;11;6;77
01/06/2015;2.1;138;19.7;83;1015;329.8;0;10;3;2;4;12;6
02/06/2015;2;185;20.5;81;1016;343.3;0;12;3;2;4;16;6
03/06/2015;1.4;189;21.1;80;1018;362.8;0;11;3;2;5;14;7
04/06/2015;1.1;175;22.5;70;1017;372.9;0;10;3;2;5;13;7
05/06/2015;2;203;22.4;71;1016;351;0;9;3;2;4;12;6
06/06/2015;1.8;190;22.4;77;1017;374.2;0;10;3;2;4;12;6
07/06/2015;1.7;181;22.3;74;1017;377.3;0;10;3;2;4;13;6
08/06/2015;1.9;272;23.1;66;1013;364;0;9;3;6;9;12;18
09/06/2015;2.3;62;23.5;70;1011;301.6;0;12;3;2;5;16;7
10/06/2015;2.5;69;23.5;79;1010;296.6;0;13;3;2;4;17;6
11/06/2015;5.6;44;22.2;;1007;131.8;0;17;3;2;4;20;6
12/06/2015;2.6;217;22.3;73;1006;363.8;0;14;3;2;4;19;6
13/06/2015;2.9;61;;;1006;195.8;8.4;17;3;3;4;23;8
14/06/2015;3.4;192;;;1007;326.3;0;12;3;2;5;17;7
15/06/2015;5.8;49;21.7;70;1010;358.8;5.2;12;3;2;4;18;6;81
16/06/2015;;;;;;;0.3;;;;;;
17/06/2015;3.7;262;21;61;1016;368.4;0;9;4;2;4;11;6;74
18/06/2015;3.8;188;21.5;72;1015;368.1;0;9;4;2;4;12;6;77
19/06/2015;4;215;22.7;70;1013;345.7;0;10;4;3;5;13;8;78
20/06/2015;4.2;112;22.4;66;1014;374.3;0;7;4;2;4;9;6;63
21/06/2015;2.7;206;22.6;79;1014;352.7;0;11;3;2;4;15;6;61
