Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;7;3;0.1;2;4;8;6;53
02/01/2015;4;5;0.1;2;5;8;7;57
03/01/2015;3;5;0.1;2;4;4;6;69
04/01/2015;3;4;0.1;2;5;5;7;64
05/01/2015;11;3;0.1;2;5;14;7;46
06/01/2015;19;3;0.1;2;5;20;7;40
07/01/2015;19;3;0.1;2;5;21;6;44
08/01/2015;10;3;0.1;2;5;12;8;49
09/01/2015;4;3;0.1;2;5;7;7;58
10/01/2015;5;3;0.1;2;4;8;6;74
11/01/2015;2;3;0.1;2;4;5;6;72
12/01/2015;9;3;0.1;2;5;11;7;44
13/01/2015;9;3;0.1;2;6;12;9;39
14/01/2015;7;3;0.1;2;5;11;8;49
15/01/2015;9;3;0.1;2;4;14;6;59
16/01/2015;5;3;0.1;2;4;7;6;74
17/01/2015;4;3;0.1;2;4;8;6;65
18/01/2015;6;3;0.1;2;4;7;6;61
19/01/2015;2;3;0.1;2;4;2;6;57
20/01/2015;4;3;0.1;2;4;4;6;59
21/01/2015;4;3;0.1;2;4;4;6;60
22/01/2015;2;3;0.1;2;4;2;6;68
23/01/2015;2;3;0.1;2;4;4;6;70
24/01/2015;3;3;0.1;2;4;4;6;71
25/01/2015;2;3;0.1;2;4;3;6;80
26/01/2015;5;3;0.1;2;5;8;7;64
27/01/2015;2;3;0.1;2;4;4;6;67
28/01/2015;3;3;0.1;2;5;4;6;67
29/01/2015;4;3;0.1;2;4;6;6;64
30/01/2015;1;3;0.1;2;4;2;6;54
31/01/2015;1;3;0.1;2;4;1;6;73
01/02/2015;2;3;0.1;2;4;3;6;73
02/02/2015;5;3;0.1;2;4;5;6;56
03/02/2015;2;3;0.1;2;4;2;6;67
04/02/2015;3;3;0.1;2;4;5;6;70
05/02/2015;5;4;0.1;;;19;;70
06/02/2015;4;3;0.1;;;5;;63
07/02/2015;8;3;0.1;;;9;;44
08/02/2015;7;3;0.1;;;8;;66
09/02/2015;11;3;0.1;;;13;;54
10/02/2015;11;3;0.1;;;14;;58
11/02/2015;15;3;0.1;3;12;19;16;45
12/02/2015;12;3;0.1;2;12;15;15;39
13/02/2015;6;3;0.1;2;7;9;9;58
14/02/2015;8;3;0.1;2;10;8;12;58
15/02/2015;1;3;0.1;2;5;1;7;55
16/02/2015;2;3;;2;6;3;8;60
17/02/2015;2;3;;2;7;2;9;61
18/02/2015;7;3;;2;12;8;13;56
19/02/2015;15;3;;2;10;16;13;66
20/02/2015;18;3;;2;8;20;11;68
21/02/2015;7;3;;2;5;7;7;65
22/02/2015;1;3;;2;4;2;6;74
23/02/2015;3;3;;2;4;3;6;60
24/02/2015;1;3;;2;4;2;6;74
25/02/2015;1;3;;2;4;1;6;67
26/02/2015;1;3;;2;4;1;6;60
27/02/2015;1;3;;2;4;3;6;75
28/02/2015;2;3;;2;4;2;6;66
01/03/2015;2;3;;2;6;3;8;51
02/03/2015;3;3;0.1;2;9;5;11;46
03/03/2015;9;3;0.1;3;15;12;18;36
04/03/2015;4;3;0.1;2;5;6;7;67
05/03/2015;2;3;0.1;2;5;3;7;88
06/03/2015;5;3;0.1;3;16;8;19;66
07/03/2015;8;3;0.1;3;17;14;21;65
08/03/2015;12;3;0.1;2;14;17;17;62
09/03/2015;11;3;0.1;2;24;17;27;57
10/03/2015;14;3;0.1;3;20;20;24;65
11/03/2015;10;3;0.1;2;15;15;17;74
12/03/2015;14;3;0.1;2;17;22;19;75
13/03/2015;26;3;0.1;2;16;31;18;67
14/03/2015;3;3;0.1;2;4;6;6;78
15/03/2015;10;3;0.1;2;5;11;7;76
16/03/2015;12;3;0.1;2;10;14;13;64
17/03/2015;17;3;0.1;2;12;19;14;68
18/03/2015;8;3;0.1;2;7;8;9;66
19/03/2015;9;3;0.1;2;4;10;6;82
20/03/2015;6;3;0.1;2;4;7;7;80
21/03/2015;5;3;0.1;2;7;5;9;64
22/03/2015;4;3;0.1;2;6;4;8;66
23/03/2015;4;3;0.1;2;8;4;10;71
24/03/2015;3;3;0.1;2;7;4;9;72
25/03/2015;1;3;0.1;2;4;1;6;81
26/03/2015;1;3;0.1;2;4;2;6;68
27/03/2015;1;3;0.1;2;4;1;6;61
28/03/2015;1;3;0.1;2;4;2;6;60
29/03/2015;3;3;0.1;2;5;4;7;71
30/03/2015;2;3;0.1;2;5;4;7;73
31/03/2015;2;3;0.1;2;6;5;8;72
01/04/2015;4;3;0.1;2;7;7;9;69
02/04/2015;6;3;0.1;2;10;10;12;67
03/04/2015;6;3;0.1;3;8;9;12;60
04/04/2015;8;3;0.1;2;8;11;10;55
05/04/2015;5;3;0.1;2;5;6;8;65
06/04/2015;9;3;0.1;2;6;10;8;69
07/04/2015;8;3;0.1;2;10;9;13;68
08/04/2015;7;3;0.1;3;10;9;14;71
09/04/2015;8;3;0.1;2;9;9;11;66
10/04/2015;6;3;0.1;2;8;9;10;73
11/04/2015;16;3;0.1;2;10;20;12;56
12/04/2015;9;3;0.1;2;8;20;10;82
13/04/2015;9;3;0.1;2;12;23;15;80
14/04/2015;9;3;0.1;2;13;19;15;72
15/04/2015;10;3;0.2;2;15;18;17;67
16/04/2015;8;3;0.1;2;7;10;9;61
17/04/2015;4;3;0.1;2;7;6;9;67
18/04/2015;10;3;0.1;2;10;12;12;70
19/04/2015;2;3;0.1;2;5;4;7;79
20/04/2015;4;3;0.1;2;9;6;12;68
21/04/2015;5;3;0.1;2;9;7;11;67
22/04/2015;8;3;0.2;2;9;9;11;65
23/04/2015;7;3;0.1;2;8;10;10;78
24/04/2015;11;3;0.1;2;11;16;14;68
25/04/2015;5;3;0.1;2;6;8;8;63
26/04/2015;3;3;0.1;2;4;5;7;69
27/04/2015;1;3;0.1;2;4;3;6;78
28/04/2015;3;3;0.1;2;6;7;8;73
29/04/2015;7;3;0.1;2;9;10;12;64
30/04/2015;10;3;0.1;2;10;13;12;69
01/05/2015;4;3;0.1;2;5;7;7;68
02/05/2015;5;;;3;11;13;14;58
03/05/2015;4;;;2;5;12;7;72
04/05/2015;9;;0.1;2;14;20;17;77
05/05/2015;4;;0.1;2;5;10;7;77
06/05/2015;4;;0.1;2;6;10;9;85
07/05/2015;8;;0.1;2;9;14;11;77
08/05/2015;6;;0.1;2;7;14;9;71
09/05/2015;5;;0.1;2;6;12;8;74
10/05/2015;6;;0.1;2;7;14;9;73
11/05/2015;7;;0.1;3;13;16;17;72
12/05/2015;8;;0.1;2;10;20;12;94
13/05/2015;13;;0.1;2;19;33;22;97
14/05/2015;18;;;2;4;71;6;101
15/05/2015;5;3;0.1;2;4;32;6;94
16/05/2015;3;3;0.1;2;6;14;8;100
17/05/2015;4;3;0.1;2;8;9;10;89
18/05/2015;5;;0.1;2;12;13;15;84
19/05/2015;7;;0.1;2;9;13;11;67
20/05/2015;3;;0.1;2;7;4;9;89
21/05/2015;2;;0.1;2;6;4;8;92
22/05/2015;4;;0.1;2;7;7;9;89
23/05/2015;6;;0.1;2;6;10;8;91
24/05/2015;6;;0.1;2;6;9;8;81
25/05/2015;7;3;0.1;2;8;11;10;80
26/05/2015;3;3;0.1;2;9;7;12;72
27/05/2015;5;3;0.1;2;7;10;9;83
28/05/2015;8;3;0.1;2;11;13;13;81
29/05/2015;7;3;0.1;2;9;12;12;91
30/05/2015;7;3;0.1;2;5;10;8;80
03/06/2015;6;3;0.1;2;16;11;19
04/06/2015;6;3;0.1;2;10;9;12;97
05/06/2015;8;3;0.1;2;12;14;14;80
06/06/2015;7;3;0.1;3;12;13;15;78
07/06/2015;5;5;0.1;2;10;11;12;83
08/06/2015;7;4;0.1;2;11;13;13;90
09/06/2015;10;4;0.1;2;8;19;10;91
10/06/2015;12;3;0.1;2;8;16;10;73
11/06/2015;14;5;0.1;2;11;18;13;61
12/06/2015;8;4;0.1;2;9;12;11;74
13/06/2015;11;4;0.1;2;6;14;8;58
14/06/2015;5;6;0.1;2;4;8;6;70
15/06/2015;5;5;0.2;2;5;8;7;69
16/06/2015;3;4;0.1;2;6;4;8;72
17/06/2015;6;6;0.1;2;8;8;10;77
18/06/2015;8;4;0.1;2;10;12;13;72
19/06/2015;7;4;0.2;2;9;11;11;79
20/06/2015;6;5;0.1;2;7;10;9;67
21/06/2015;7;5;0.1;2;7;12;10;70
22/06/2015;8;;0.1;2;9;14;11;69
24/06/2015;7;4;0.1;2;9;10;11;72
25/06/2015;8;4;0.1;2;12;13;14;66
26/06/2015;8;4;0.1;2;14;15;17;78
27/06/2015;9;4;0.1;2;11;18;13;85
28/06/2015;11;4;0.1;2;11;20;14;86
29/06/2015;11;5;0.1;2;12;18;14;82
30/06/2015;8;4;0.1;2;14;16;16;83
01/07/2015;8;4;0.1;2;12;16;14;76
02/07/2015;9;5;0.1;2;11;19;13;81
03/07/2015;10;3;0.1;2;11;18;13;75
04/07/2015;10;5;0.1;2;10;18;12;79
05/07/2015;9;4;;2;11;18;13;86
06/07/2015;9;4;;3;16;22;20;81
07/07/2015;13;3;;2;19;39;22;92
08/07/2015;;;;2;12;;14;86
09/07/2015;;3;;2;9;;11;63
10/07/2015;;;;2;11;;13;61
11/07/2015;;3;;2;8;;10;61
12/07/2015;;3;;2;9;;11;62
13/07/2015;14;;0.1;2;12;25;14;73
14/07/2015;15;;0.1;2;12;25;14;67
15/07/2015;13;;0.1;2;12;24;14;68
16/07/2015;10;;0.1;2;11;19;14;82
17/07/2015;11;;0.1;2;16;22;18;78
18/07/2015;13;;0.1;2;11;21;14;59
19/07/2015;13;;0.1;3;16;20;19;57
20/07/2015;15;;0.1;2;12;22;15;64
23/07/2015;7;;;2;9;11;11
24/07/2015;10;;;2;12;17;14;88
25/07/2015;7;;;2;7;13;8
26/07/2015;11;;;2;9;16;11
27/07/2015;9;3;;2;10;16;12
28/07/2015;11;3;;2;9;17;11
29/07/2015;13;3;;2;8;19;10
30/07/2015;11;3;;2;6;15;8
31/07/2015;8;3;;2;7;10;9;65
04/08/2015;9;;0.1;2;10;16;13;65
05/08/2015;9;;0.1;2;8;13;11;71
06/08/2015;13;;0.1;2;8;19;10;59
07/08/2015;23;;;2;7;46;9;57
08/08/2015;23;3;0.1;2;6;36;8;39
09/08/2015;11;3;0.1;2;4;17;6;44
10/08/2015;10;3;0.1;2;5;17;7;65
11/08/2015;17;3;0.1;2;5;24;7;56
12/08/2015;20;3;0.1;2;4;30;6;65
13/08/2015;7;3;0.1;2;4;16;7;69
14/08/2015;2;3;0.1;2;5;9;7;71
15/08/2015;6;3;0.1;2;4;9;7;47
16/08/2015;6;3;0.1;2;5;9;7;50
19/08/2015;9;3;0.1;2;7;12;9;66
20/08/2015;11;3;0.1;2;8;15;11;56
21/08/2015;10;3;0.1;2;8;14;11;61
22/08/2015;7;3;0.1;2;8;10;10;52
23/08/2015;5;3;0.1;2;5;11;7;56
