Fecha;PM25;SO2;NO;NO2;PM10;NOX;O3
01/01/2014;5;;2;23;6;25;53
02/01/2014;7;;2;27;16;30;45
03/01/2014;7;;12;45;11;62;24
04/01/2014;16;;2;19;27;22;58
05/01/2014;8;;2;20;13;22;61
06/01/2014;7;1;11;39;12;55;41
07/01/2014;21;1;43;78;32;144;13
08/01/2014;25;1;32;47;37;95;28
09/01/2014;52;2;27;57;59;99;8
10/01/2014;;1;10;60;;75;11
11/01/2014;35;2;22;63;41;96;6
12/01/2014;;1;15;39;35;61;17
13/01/2014;16;0;17;51;18;78;17
14/01/2014;12;1;11;38;14;54;37
15/01/2014;11;1;22;42;13;76;20
16/01/2014;11;2;30;43;15;88;24
17/01/2014;18;0;21;50;22;82;29
18/01/2014;12;2;10;47;14;63;22
19/01/2014;;2;1;27;10;27;46
20/01/2014;;0;2;33;21;35;52
21/01/2014;;2;12;54;;71;34
22/01/2014;12;3;37;52;18;109;18
23/01/2014;13;3;26;67;15;107;22
24/01/2014;15;0;9;49;21;63;41
25/01/2014;10;1;3;25;13;30;46
26/01/2014;10;1;3;28;14;32;41
27/01/2014;62;1;3;26;63;30;57
28/01/2014;36;1;2;25;44;28;59
29/01/2014;12;2;3;30;16;35;58
30/01/2014;12;2;9;40;14;54;46
31/01/2014;14;2;11;49;19;66;31
01/02/2014;16;3;6;29;19;39;42
02/02/2014;8;1;3;22;9;26;58
03/02/2014;15;1;11;38;17;55;35
04/02/2014;15;2;7;44;19;54;40
05/02/2014;59;0;5;38;61;46;50
06/02/2014;19;4;12;48;29;66;36
07/02/2014;35;1;4;24;43;29;61
08/02/2014;28;1;3;13;31;16;68
09/02/2014;8;0;2;16;11;19;60
10/02/2014;6;2;3;19;6;24;62
11/02/2014;8;2;3;37;10;42;51
12/02/2014;10;4;8;47;13;60;33
13/02/2014;8;2;7;27;15;37;35
14/02/2014;11;1;6;27;15;37;34
15/02/2014;16;0;7;37;20;48;35
16/02/2014;8;2;3;34;10;38;30
17/02/2014;9;3;6;27;11;37;31
18/02/2014;27;4;33;58;32;108;18
19/02/2014;32;2;36;64;41;119;18
20/02/2014;21;1;13;40;23;60;30
21/02/2014;;2;4;26;;32;42
22/02/2014;7;0;3;36;14;40;50
23/02/2014;9;2;4;36;18;42;50
24/02/2014;11;1;11;43;20;59;50
25/02/2014;22;0;6;30;29;39;47
26/02/2014;13;1;4;41;19;47;49
27/02/2014;14;2;14;69;21;90;23
28/02/2014;50;1;3;30;62;35;52
01/03/2014;12;1;4;37;15;43;38
02/03/2014;8;1;3;25;12;30;37
03/03/2014;26;1;1;17;41;18;72
04/03/2014;10;1;3;22;14;26;64
05/03/2014;11;3;6;33;13;41;44
06/03/2014;16;3;12;36;20;54;43
07/03/2014;20;1;7;49;25;60;47
08/03/2014;26;2;6;47;28;55;61
09/03/2014;24;2;3;34;28;38;69
10/03/2014;22;4;17;57;25;83;46
11/03/2014;27;3;12;45;27;64;58
12/03/2014;24;2;2;36;31;39;60
13/03/2014;14;4;6;32;19;41;60
