Fecha;NO;NO2;O3;PM10;SO2
4/01/15;0.8;5.5;54.0;12.0;1.8
5/01/15;7.0;15.0;31.0;19.0;4.2
6/01/15;0.9;8.0;53.0;13.0;3.6
7/01/15;11.0;22.0;19.0;22.0;3.4
8/01/15;3.2;18.0;33.0;16.0;2.6
9/01/15;20.0;21.0;14.0;22.0;9.3
10/01/15;3.6;11.0;30.0;12.0;3.0
11/01/15;1.8;7.1;50.0;15.0;1.2
12/01/15;9.9;12.0;41.0;9.6;1.5
13/01/15;0.91;4.6;69.0;9.6;1.1
14/01/15;0.85;3.9;72.0;9.2;1.7
15/01/15;0.97;7.1;71.0;10.0;1.5
16/01/15;1.3;6.5;69.0;17.0;1.5
17/01/15;0.86;2.8;71.0;7.6;2.0
18/01/15;1.0;4.0;59.0;13.0;1.7
19/01/15;1.5;7.3;66.0;20.0;1.5
20/01/15;1.2;5.0;72.0;15.0;1.2
21/01/15;1.1;3.3;81.0;18.0;1.1
22/01/15;1.3;7.3;74.0;20.0;1.1
23/01/15;3.7;15.0;38.0;14.0;4.1
24/01/15;2.2;8.0;40.0;11.0;1.5
25/01/15;0.86;6.3;56.0;15.0;1.7
26/01/15;4.4;14.0;37.0;14.0;1.6
27/01/15;4.9;15.0;37.0;13.0;1.6
28/01/15;0.95;4.8;62.0;7.2;1.2
29/01/15;0.85;3.6;69.0;8.5;1.5
30/01/15;1.1;2.9;70.0;11.0;1.2
31/01/15;0.88;1.6;83.0;19.0;1.3
1/02/15;1.0;3.1;77.0;16.0;1.2
2/02/15;1.2;3.7;73.0;9.9;1.1
3/02/15;1.2;3.4;78.0;11.0;1.1
4/02/15;0.91;2.3;78.0;17.0;1.8
5/02/15;1.1;3.8;76.0;14.0;3.7
6/02/15;0.83;5.0;65.0;14.0;7.4
7/02/15;0.85;7.3;61.0;27.0;20.0
8/02/15;0.82;6.6;68.0;24.0;8.7
9/02/15;0.8;3.6;80.0;25.0;2.4
10/02/15;5.0;18.0;40.0;22.0;8.9
11/02/15;14.0;26.0;48.0;27.0;8.7
12/02/15;3.4;13.0;52.0;15.0;2.5
13/02/15;0.9;3.9;84.0;13.0;1.5
14/02/15;0.84;3.1;79.0;10.0;1.2
15/02/15;1.3;4.2;70.0;9.1;1.1
16/02/15;1.3;3.1;79.0;15.0;1.1
17/02/15;0.83;2.9;83.0;20.0;10.0
18/02/15;0.97;6.3;76.0;19.0;2.9
19/02/15;4.3;14.0;49.0;12.0;4.3
20/02/15;0.91;6.9;70.0;8.3;2.8
21/02/15;0.93;3.4;80.0;18.0;1.1
22/02/15;0.81;2.6;63.0;7.4;1.1
23/02/15;1.0;3.5;78.0;14.0;1.1
24/02/15;1.1;4.4;81.0;23.0;1.1
25/02/15;1.1;4.5;76.0;17.0;1.1
26/02/15;0.96;3.9;76.0;19.0;1.3
27/02/15;1.6;9.2;73.0;23.0;1.1
28/02/15;0.97;2.8;68.0;6.6;1.1
1/03/15;0.8;2.0;72.0;5.5;1.1
2/03/15;0.9;4.7;66.0;13.0;1.1
3/03/15;0.87;3.7;68.0;9.3;1.1
4/03/15;1.2;4.8;78.0;14.0;3.0
5/03/15;0.82;3.3;86.0;19.0;1.1
6/03/15;5.1;17.0;39.0;29.0;13.0
7/03/15;2.5;19.0;40.0;24.0;19.0
8/03/15;0.98;8.7;63.0;16.0;3.3
9/03/15;2.1;8.5;72.0;23.0;4.6
10/03/15;1.8;14.0;71.0;36.0;6.7
11/03/15;1.1;9.7;60.0;16.0;3.7
12/03/15;1.8;9.8;46.0;39.0;1.4
13/03/15;0.88;3.7;79.0;13.0;1.1
14/03/15;0.84;3.5;66.0;12.0;1.1
15/03/15;0.81;5.8;67.0;17.0;1.5
16/03/15;2.2;14.0;50.0;19.0;5.2
17/03/15;4.7;15.0;50.0;21.0;7.3
18/03/15;1.7;9.0;68.0;18.0;3.3
19/03/15;0.81;9.4;73.0;37.0;14.0
20/03/15;0.8;13.0;89.0;31.0;23.0
21/03/15;0.81;9.0;75.0;17.0;3.2
22/03/15;0.84;9.8;78.0;24.0;24.0
23/03/15;1.0;6.1;76.0;13.0;3.8
24/03/15;0.82;3.1;85.0;14.0;1.1
25/03/15;1.7;4.6;79.0;15.0;1.1
26/03/15;1.1;5.2;64.0;6.7;1.1
27/03/15;1.1;7.4;54.0;8.8;1.1
28/03/15;1.0;5.9;56.0;9.4;1.1
