Fecha;NO;NO2;NOX;O3;PM10;PM25;SO2
01/10/2015;4;20;17;98;20;8;5
30/09/2015;6;31;27;63;23;8;7
29/09/2015;3;15;16;75;20;8;11
28/09/2015;3;27;18;74;19;8;11
27/09/2015;3;13;14;76;16;5;8
26/09/2015;4;19;18;74;18;;9
25/09/2015;4;20;22;63;20;;9
24/09/2015;4;22;17;64;14;;7
23/09/2015;2;18;12;59;5;;6
22/09/2015;3;15;11;76;10;4;6
21/09/2015;3;13;14;85;16;7;7
20/09/2015;3;19;14;85;13;4;8
19/09/2015;4;17;17;77;16;2;10
18/09/2015;3;18;15;80;10;1;6
17/09/2015;3;24;14;70;10;4;6
16/09/2015;3;8;9;74;11;;5
15/09/2015;4;22;17;67;11;4;6
14/09/2015;3;29;15;78;15;5;5
13/09/2015;3;13;13;64;10;3;4
12/09/2015;3;14;13;76;18;5;5
11/09/2015;3;19;14;89;22;9;5
10/09/2015;4;23;17;81;24;10;9
09/09/2015;4;18;21;83;27;12;7
08/09/2015;3;24;17;92;17;5;8
07/09/2015;4;18;18;74;15;2;10
06/09/2015;3;22;13;86;13;4;5
05/09/2015;3;16;12;78;10;4;8
04/09/2015;3;16;13;66;7;4;6
03/09/2015;2;14;12;65;8;4;4
02/09/2015;3;14;15;73;12;5;5
01/09/2015;2;13;11;74;9;3;4
31/08/2015;3;18;13;74;24;2;4
30/08/2015;2;21;12;94;37;1;7
29/08/2015;3;13;13;88;21;1;8
28/08/2015;3;16;16;65;15;1;7
27/08/2015;3;18;15;59;12;6;4
26/08/2015;4;16;16;86;12;3;5
25/08/2015;4;16;17;71;11;8;10
24/08/2015;3;22;12;75;12;6;4
23/08/2015;2;6;7;71;7;4;4
22/08/2015;2;14;13;73;34;12;8
21/08/2015;3;19;17;111;27;12;9
20/08/2015;4;16;15;106;14;1;8
19/08/2015;3;12;13;80;15;5;11
18/08/2015;3;18;14;81;13;5;12
17/08/2015;3;15;12;79;14;2;12
16/08/2015;3;16;13;56;14;2;8
15/08/2015;2;13;10;60;11;;6
14/08/2015;2;7;9;78;;;7
13/08/2015;3;11;10;75;17;;7
12/08/2015;3;19;16;92;32;;13
11/08/2015;3;14;14;105;30;;10
10/08/2015;3;23;18;117;20;;10
09/08/2015;2;18;13;78;14;6;13
08/08/2015;2;14;10;72;10;;6
07/08/2015;2;13;10;68;13;;8
06/08/2015;3;22;14;84;19;;8
05/08/2015;3;19;14;92;19;7;7
04/08/2015;2;12;11;64;12;;7
03/08/2015;3;20;15;105;22;;9
02/08/2015;3;18;14;124;17;7;12
01/08/2015;3;18;13;100;15;6;8
31/07/2015;2;11;11;83;14;;7
30/07/2015;3;15;13;65;12;4;10
29/07/2015;3;17;14;68;13;;7
28/07/2015;3;13;11;83;13;;8
27/07/2015;2;17;11;65;15;6;6
26/07/2015;3;11;11;89;20;;7
25/07/2015;2;16;10;80;21;4;9
24/07/2015;3;15;12;77;13;;7
23/07/2015;3;13;13;79;18;;
22/07/2015;3;12;11;55;15;;
21/07/2015;3;17;15;55;23;;7
20/07/2015;4;14;16;93;22;;11
19/07/2015;3;15;15;78;29;4;13
18/07/2015;3;16;15;71;26;;7
17/07/2015;3;26;15;83;25;;14
16/07/2015;3;16;14;72;28;;9
15/07/2015;3;18;14;60;25;;8
14/07/2015;4;21;17;74;17;2;10
13/07/2015;4;15;16;66;13;5;12
12/07/2015;7;22;20;57;12;3;10
11/07/2015;2;14;11;91;17;7;8
10/07/2015;4;17;16;124;26;9;6
09/07/2015;3;19;15;76;11;5;7
08/07/2015;2;10;10;69;9;3;12
07/07/2015;3;20;13;87;18;7;8
06/07/2015;3;13;13;101;20;11;10
05/07/2015;2;10;10;56;8;2;8
04/07/2015;3;13;13;94;21;11;11
03/07/2015;3;17;15;119;25;14;7
02/07/2015;2;12;11;59;16;;5
01/07/2015;3;19;15;82;37;;14
30/06/2015;3;30;19;125;37;;14
29/06/2015;3;17;15;88;26;;8
28/06/2015;3;16;13;59;23;;12
27/06/2015;3;21;14;80;30;;9
26/06/2015;3;20;17;95;30;;8
25/06/2015;3;28;18;120;21;10;14
24/06/2015;4;15;16;74;18;;15
23/06/2015;4;20;18;64;16;7;22
22/06/2015;3;18;16;74;22;7;14
21/06/2015;3;16;15;90;19;9;20
20/06/2015;3;26;15;82;19;8;22
19/06/2015;3;18;12;71;15;;6
18/06/2015;3;17;13;105;19;;12
17/06/2015;3;30;14;103;16;;7
16/06/2015;3;20;12;84;12;5;6
15/06/2015;2;17;11;86;13;5;6
14/06/2015;2;15;10;91;12;5;9
13/06/2015;2;14;10;78;13;4;6
12/06/2015;3;17;15;85;22;7;9
11/06/2015;3;24;15;85;19;;6
10/06/2015;3;25;19;59;19;4;6
09/06/2015;2;19;14;99;22;9;7
08/06/2015;3;15;12;100;23;10;7
07/06/2015;2;13;12;72;21;8;13
06/06/2015;2;11;10;65;14;;7
05/06/2015;3;23;17;82;27;8;7
04/06/2015;3;24;17;117;30;6;7
03/06/2015;3;15;15;65;21;;7
02/06/2015;3;16;13;71;16;6;11
01/06/2015;3;18;15;55;15;;8
31/05/2015;2;12;11;74;16;2;9
30/05/2015;3;21;14;89;17;2;14
29/05/2015;2;18;12;86;12;1;9
28/05/2015;3;19;16;89;19;;11
27/05/2015;3;22;14;86;17;8;8
26/05/2015;2;23;10;71;10;4;5
25/05/2015;3;20;11;60;10;;5
24/05/2015;2;7;8;60;8;;5
23/05/2015;2;13;10;85;11;4;6
22/05/2015;2;17;12;89;13;5;6
21/05/2015;3;27;13;83;10;4;5
20/05/2015;2;14;10;78;7;;5
19/05/2015;2;8;9;80;10;1;5
18/05/2015;3;16;14;78;16;;6
17/05/2015;2;26;13;64;10;6;12
16/05/2015;2;11;9;75;10;4;5
15/05/2015;2;7;9;78;7;3;6
14/05/2015;2;12;11;83;17;3;8
13/05/2015;5;32;25;69;30;15;20
12/05/2015;3;18;15;77;29;16;15
11/05/2015;3;20;19;79;40;21;15
10/05/2015;3;33;16;106;22;10;9
09/05/2015;3;16;16;74;15;8;9
08/05/2015;3;33;17;93;14;6;9
07/05/2015;3;25;17;104;15;6;6
06/05/2015;3;21;17;95;13;5;11
05/05/2015;2;17;12;87;16;6;10
04/05/2015;3;29;13;74;17;4;6
03/05/2015;2;18;11;75;18;5;8
02/05/2015;3;20;15;40;;4;7
01/05/2015;2;30;11;71;13;6;9
30/04/2015;10;38;24;77;12;5;6
29/04/2015;4;22;19;72;15;7;7
28/04/2015;4;22;17;75;13;5;8
27/04/2015;2;18;11;74;6;2;6
26/04/2015;2;14;9;77;10;2;6
25/04/2015;3;23;14;86;14;6;6
24/04/2015;5;37;30;48;22;11;12
23/04/2015;3;20;17;75;15;6;12
22/04/2015;3;46;19;93;17;10;7
21/04/2015;5;31;23;93;15;8;6
20/04/2015;5;20;19;87;18;7;12
19/04/2015;2;18;12;93;11;4;6
18/04/2015;3;25;16;84;16;6;6
17/04/2015;3;22;17;78;18;7;6
16/04/2015;4;41;23;81;25;8;7
15/04/2015;3;35;16;101;25;6;7
14/04/2015;5;40;24;105;35;7;7
13/04/2015;5;35;23;108;36;9;7
12/04/2015;3;23;14;97;29;8;7
11/04/2015;3;26;16;82;16;7;11
10/04/2015;3;38;18;85;17;5;8
09/04/2015;2;30;14;102;19;6;7
08/04/2015;2;10;10;105;13;5;6
07/04/2015;5;33;24;88;18;9;12
06/04/2015;3;28;15;80;16;7;10
05/04/2015;2;17;10;74;8;4;7
04/04/2015;2;13;9;80;7;3;7
03/04/2015;3;11;10;77;16;7;8
02/04/2015;3;17;13;84;16;7;14
01/04/2015;2;23;12;84;26;5;11
31/03/2015;3;30;14;71;14;7;7
30/03/2015;5;24;18;74;17;6;7
29/03/2015;3;26;17;78;15;7;7
28/03/2015;3;24;16;65;18;8;6
27/03/2015;3;25;16;67;6;3;7
26/03/2015;3;27;20;60;6;3;6
25/03/2015;2;26;13;82;8;3;6
24/03/2015;2;37;19;77;8;4;6
23/03/2015;3;27;22;53;8;5;6
22/03/2015;1;16;12;72;16;7;6
21/03/2015;2;17;14;57;18;9;6
20/03/2015;2;16;13;70;31;14;7
19/03/2015;2;28;20;76;23;12;8
18/03/2015;6;41;34;67;23;10;7
17/03/2015;8;46;34;88;19;9;6
16/03/2015;4;43;26;66;30;12;6
15/03/2015;2;23;17;59;25;10;0
14/03/2015;2;24;15;70;11;5;0
13/03/2015;2;29;13;81;29;5;
12/03/2015;2;23;17;76;47;18;
11/03/2015;4;31;25;69;39;17;
10/03/2015;5;33;29;78;28;11;
09/03/2015;4;43;26;81;22;9;10
08/03/2015;3;41;21;83;22;10;8
07/03/2015;5;38;27;66;22;9;10
06/03/2015;6;48;31;55;22;9;7
05/03/2015;3;33;21;80;16;5;6
04/03/2015;2;23;12;82;;3;5
03/03/2015;3;30;20;58;13;6;8
02/03/2015;7;26;26;64;12;4;6
01/03/2015;6;27;23;54;15;;6
28/02/2015;8;34;32;47;18;11;5
27/02/2015;2;29;13;91;11;3;5
26/02/2015;2;38;14;70;;2;6
25/02/2015;2;12;9;80;4;2;6
24/02/2015;2;20;10;77;6;2;6
23/02/2015;7;39;27;76;9;4;6
22/02/2015;2;21;12;84;8;3;6
21/02/2015;1;10;8;84;7;2;6
20/02/2015;9;41;33;73;14;7;7
19/02/2015;6;45;32;68;15;7;7
18/02/2015;5;42;30;62;14;5;7
17/02/2015;2;17;11;81;17;2;7
16/02/2015;2;48;19;71;9;2;6
15/02/2015;2;32;21;63;11;5;6
14/02/2015;3;34;30;48;13;7;7
13/02/2015;5;34;25;79;17;9;6
12/02/2015;18;53;60;55;30;16;7
11/02/2015;13;53;52;43;32;19;7
10/02/2015;7;51;37;66;25;12;7
09/02/2015;5;43;30;62;28;9;10
08/02/2015;3;32;25;51;22;12;8
07/02/2015;4;34;29;29;21;12;7
06/02/2015;6;43;37;62;11;6;7
05/02/2015;2;29;17;67;12;4;8
04/02/2015;2;29;17;63;6;2;7
03/02/2015;3;51;23;76;;3;6
02/02/2015;4;43;25;55;6;3;6
01/02/2015;2;32;14;74;9;3;6
31/01/2015;2;27;12;78;4;2;6
30/01/2015;2;46;18;76;4;2;6
29/01/2015;11;44;37;47;9;6;6
28/01/2015;6;44;34;39;14;7;6
27/01/2015;6;42;30;62;15;7;6
26/01/2015;10;40;42;32;20;9;7
25/01/2015;3;31;22;57;17;5;8
24/01/2015;4;34;23;45;13;8;7
23/01/2015;9;47;37;50;11;5;6
22/01/2015;2;34;15;66;;3;6
