Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;NO;NO2;O3
17/01/2015;;;;;;;0;;;;
18/01/2015;5.7;223;2.6;69;907;88;1.4;3;2;4;73
19/01/2015;4.9;325;1.5;92;901;26;8.8;3;2;4;65
20/01/2015;6.5;266;0.9;68;902;111;0;3;2;4;67
21/01/2015;8.7;273;1.1;81;902;113;0.4;3;2;5;56
22/01/2015;8.9;277;1.4;81;905;98;0;3;2;4;65
23/01/2015;6.6;285;2.8;57;912;139;0;3;2;4;72
24/01/2015;6.2;276;3.4;51;915;135;0;3;2;4;73
25/01/2015;5.4;290;5.7;46;916;143;0;3;2;4;74
26/01/2015;3.6;271;5.6;41;918;141;0;3;2;4;73
27/01/2015;5.6;283;7;56;917;143;0;3;2;4;67
28/01/2015;6.6;271;6.1;56;914;146;0;3;2;4;70
29/01/2015;13.5;265;7.4;66;906;117;0;3;2;4;67
30/01/2015;27.1;264;11.2;73;894;140;0;3;2;4;63
31/01/2015;18.6;270;6.9;70;891;154;9.4;3;2;4;75
01/02/2015;15.4;276;2.2;59;904;131;0;3;2;4;76
02/02/2015;10.6;257;2.5;74;903;102;0.4;3;2;4;69
03/02/2015;15.5;264;4.5;80;895;132;6;3;2;4;77
04/02/2015;11;279;-0.4;78;894;146;4.2;3;2;4;83
05/02/2015;8.4;290;0.1;50;899;172;0;3;2;4;78
06/02/2015;9.6;279;-0.4;62;902;138;0;3;2;4;72
07/02/2015;2.4;356;-0.9;69;909;83;0;3;2;5;57
08/02/2015;3.1;285;2.2;62;912;178;0;3;2;5;65
09/02/2015;4.7;50;1.9;90;915;33;2.2;3;2;5;74
10/02/2015;4;58;3.1;92;915;85;0.8;3;2;4;85
11/02/2015;4.9;72;4.6;99;913;46;0;3;2;5;84
12/02/2015;2;106;4.2;99;913;36;11.2;3;2;4;85
13/02/2015;6.2;267;5.8;79;914;179;0;3;2;4;78
14/02/2015;13.9;265;7.2;75;910;92;0;3;2;4;79
15/02/2015;12.2;269;8.1;78;906;114;0;3;2;4;71
16/02/2015;9.4;271;7.7;76;911;171;0;3;3;5;61
17/02/2015;7.5;23;4.3;95;915;39;11.2;3;2;4;72
18/02/2015;7.9;35;4.7;80;921;50;0;3;2;4;77
19/02/2015;7;36;4;88;921;61;0.2;3;2;4;95
20/02/2015;2.4;245;5.5;81;913;158;0;3;2;4;87
21/02/2015;8.8;273;5.2;69;902;123;0.6;3;2;4;82
22/02/2015;10;280;6.3;53;905;203;0;3;2;4;83
23/02/2015;15.1;269;8.1;73;908;121;0.8;3;2;4;66
24/02/2015;14.7;280;5.2;57;913;181;0.2;3;2;4;81
25/02/2015;11.1;278;5.7;63;916;69;0;3;2;4;77
26/02/2015;;;;;;;0;;;;
27/02/2015;;;;;;;0;;;;
28/02/2015;6.6;285;8.7;49;914;204;0;3;2;4;78
01/03/2015;;;;;;;0;;;;
02/03/2015;7.9;267;14.2;63;917;213;0;3;3;4;67
03/03/2015;3.5;226;14.6;67;917;115;0;3;2;5;68
04/03/2015;6.4;296;11;54;919;210;0;3;2;4;72
05/03/2015;3.5;298;6.5;34;922;239;0;3;2;4;93
06/03/2015;2.5;32;9.3;29;922;238;0;3;2;5;90
07/03/2015;2.7;247;13.7;25;920;240;0;3;2;4;94
08/03/2015;;;;;;;0;;;;
09/03/2015;;;;;;;0;;;;
10/03/2015;4;270;13.9;45;918;234;0;3;2;5;103
11/03/2015;5.9;265;16.1;30;917;242;0;3;2;4;105
