Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;OXL;PM10;PM25;SO2;TOL
01/10/2015;0.62;0.38;0.18;22;56;60;79;3.09;40;18;3;4.35
30/09/2015;0.47;0.23;0.17;14;57;51;73;1.92;32;15;3;3.47
29/09/2015;0.59;0.34;0.68;12;42;43;64;3.11;41;18;3;3.77
28/09/2015;0.48;0.28;0.78;10;43;42;70;3.13;38;17;4;3.4
27/09/2015;0.32;0.23;0.34;6;35;26;69;1.65;27;11;3;2.05
26/09/2015;0.41;0.24;0.52;8;35;29;69;2.25;26;13;3;2.63
25/09/2015;0.49;0.29;0.81;15;37;45;64;3.45;28;11;4;3.6
24/09/2015;0.49;0.28;0.69;9;37;32;64;2.84;21;8;3;2.79
23/09/2015;0.21;0.21;0.22;4;31;22;55;1.26;10;3;2;1.37
22/09/2015;0.26;0.19;0.31;4;36;23;62;1.67;17;6;3;1.77
21/09/2015;0.54;0.31;0.78;16;57;45;82;3.17;36;16;7;3.66
20/09/2015;0.27;0.23;0.29;5;24;21;78;1.36;17;6;5;1.74
19/09/2015;0.33;0.2;0.44;5;26;21;78;1.85;18;6;4;1.94
18/09/2015;0.41;0.22;0.56;8;43;32;75;2.38;21;7;4;2.76
17/09/2015;0.2;0.16;0.21;4;31;20;64;1.1;12;4;4;1.24
16/09/2015;0.18;0.16;0.13;3;14;11;71;0.42;11;3;3;0.51
15/09/2015;0.43;0.26;0.59;12;44;34;66;2.55;20;6;3;2.89
14/09/2015;0.28;0.24;0.23;4;41;24;67;1.25;21;6;3;1.64
13/09/2015;0.24;0.22;0.29;5;22;19;72;1.43;18;8;2;1.68
12/09/2015;0.5;0.26;0.35;4;27;20;77;1.75;26;12;3;1.63
11/09/2015;0.61;0.31;0.91;14;46;41;86;4.16;32;14;3;4.21
10/09/2015;0.37;0.3;0.57;6;42;32;69;2.51;31;14;3;2.6
09/09/2015;0.64;0.41;1.61;18;64;53;81;6.16;44;20;4;6.46
08/09/2015;0.18;0.27;0.32;10;42;33;84;1.12;25;9;3;0.84
07/09/2015;0.14;0.22;0.13;13;46;42;70;0.17;29;12;3;0.22
06/09/2015;0.14;0.21;0.14;4;22;18;85;0.17;14;5;3;0.22
05/09/2015;0.15;0.19;0.14;4;23;19;69;0.17;15;6;3;0.23
04/09/2015;0.16;0.21;0.15;3;31;20;64;0.18;15;6;3;0.23
03/09/2015;0.24;0.2;0.25;3;26;21;57;1.02;17;7;3;1.14
02/09/2015;0.57;0.19;0.53;8;48;31;75;2.29;30;11;3;2.64
01/09/2015;0.32;0.21;0.24;2;28;18;63;1.15;16;6;3;1.36
31/08/2015;0.31;0.24;0.29;4;38;22;65;1.35;40;15;3;1.72
30/08/2015;0.32;0.26;0.25;2;42;14;88;1.13;42;17;3;1.33
29/08/2015;0.39;0.39;0.38;3;26;18;79;1.54;38;20;3;1.64
28/08/2015;0.64;0.3;0.8;8;39;30;50;3.25;25;9;3;3.21
27/08/2015;0.45;0.29;0.59;10;44;35;69;2.7;23;9;3;2.77
26/08/2015;0.33;0.28;0.57;12;63;38;86;3.01;21;9;3;3.2
25/08/2015;0.3;0.27;0.3;9;40;28;72;2.39;15;6;4;2.23
24/08/2015;0.21;0.23;0.23;4;44;19;68;1.58;16;5;4;1.51
23/08/2015;0.15;0.22;0.12;3;17;11;69;0.49;11;5;3;0.52
22/08/2015;0.29;0.32;0.24;4;25;17;66;1.27;39;24;3;1.48
21/08/2015;0.43;0.32;0.66;10;47;32;97;3.06;42;21;3;2.88
20/08/2015;0.22;0.29;0.5;8;33;29;86;2.06;25;10;3;1.73
19/08/2015;0.19;0.22;1.61;8;31;23;68;6.48;15;6;3;2.27
18/08/2015;0.29;0.25;0.54;7;31;25;69;2.45;20;8;3;2.27
17/08/2015;0.19;0.26;0.24;4;25;18;72;1.49;;7;3;1.54
16/08/2015;0.17;0.18;0.27;4;17;17;53;1.27;;6;4;1.4
15/08/2015;0.18;0.2;0.15;3;15;13;54;0.78;13;5;3;0.88
14/08/2015;0.17;0.2;0.31;3;18;15;70;1.41;17;4;3;1.3
13/08/2015;0.26;0.25;0.22;4;31;19;70;1.78;23;10;3;1.79
12/08/2015;0.29;0.35;0.32;7;40;28;88;2.19;44;19;3;2.32
11/08/2015;0.34;0.27;0.39;9;37;30;94;2.71;40;19;3;3.11
10/08/2015;0.26;0.27;0.37;7;33;26;92;2.34;26;10;3;2.23
09/08/2015;0.22;0.19;0.25;3;26;16;69;1.25;20;6;3;1.23
08/08/2015;0.16;0.19;0.13;2;25;14;65;1.02;15;5;3;1.04
07/08/2015;0.15;0.23;0.25;3;18;16;57;1.66;18;6;3;1.66
06/08/2015;0.43;0.28;0.5;10;44;33;69;2.26;39;17;3;2.58
05/08/2015;0.22;0.26;0.37;6;27;22;71;2.03;26;10;3;2.14
04/08/2015;0.15;0.22;0.18;3;22;18;45;1.33;16;5;3;1.3
03/08/2015;0.2;0.25;0.18;5;56;23;86;1.3;28;11;3;1.48
02/08/2015;0.2;0.21;0.26;4;28;19;111;1.44;24;11;3;1.54
01/08/2015;0.2;0.2;0.23;3;22;18;90;1.25;22;8;3;1.27
31/07/2015;0.19;0.16;0.24;3;23;19;75;1.25;24;8;3;1.34
30/07/2015;0.18;0.22;0.17;5;26;21;64;1.01;20;6;3;0.75
29/07/2015;0.19;0.3;0.16;10;40;32;49;1.08;23;9;3;1.18
28/07/2015;0.19;0.23;0.13;6;34;24;67;0.65;21;8;3;0.82
27/07/2015;0.22;0.27;0.4;5;26;22;51;2.88;34;12;3;1.25
26/07/2015;0.15;0.19;0.18;4;21;17;69;0.97;24;9;5;1.05
25/07/2015;0.17;0.2;0.13;4;29;18;71;0.5;37;16;3;0.61
24/07/2015;0.27;0.33;0.43;8;52;27;58;2.54;26;10;4;2.52
23/07/2015;0.22;0.27;0.46;6;28;22;62;2.37;23;9;5;2.03
22/07/2015;0.21;0.27;0.62;5;28;24;36;3.17;;10;4;2.49
21/07/2015;0.41;0.3;0.77;8;36;32;39;3.16;44;15;4;2.73
20/07/2015;0.22;0.3;0.5;7;33;26;79;2.36;29;16;5;1.98
19/07/2015;0.22;0.28;0.29;4;19;17;57;1.6;34;17;5;1.59
18/07/2015;0.27;0.32;0.36;4;20;18;64;1.7;41;19;5;1.58
17/07/2015;0.38;0.34;0.68;7;31;26;66;3.14;37;18;5;2.85
16/07/2015;0.24;0.3;0.42;5;32;21;67;2.33;28;18;4;2.31
15/07/2015;1.61;0.3;0.66;7;31;26;56;3.11;39;17;5;2.47
14/07/2015;0.2;0.26;0.4;5;28;19;62;1.87;22;9;5;1.61
13/07/2015;;0.24;;8;28;23;59;;16;6;5;
12/07/2015;0.16;0.18;0.19;3;13;12;57;1.18;12;4;5;1.17
11/07/2015;0.15;0.2;0.16;3;15;13;70;1.04;30;9;5;1.02
