Fecha;CO;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PMB;TMP;vv
01/10/2015;0.28;3;47;23;73;28;6;261;79;1021.7;18;0.92
30/09/2015;0.42;13;65;54;56;29;5;197;79;1017.9;17.8;0.9
29/09/2015;0.33;24;77;63;63;28;6;339;84;1019.5;16;0.12
28/09/2015;0.39;14;58;47;63;23;6;126;82;1023.5;17;0.53
27/09/2015;0.21;5;33;22;62;14;4;178;84;1023.8;16.7;0.22
26/09/2015;0.28;8;45;30;60;18;5;63;85;;17.5;0.1
25/09/2015;0.28;20;54;55;57;28;5;46;80;;17.3;0.36
24/09/2015;0.25;14;54;43;52;16;4;103;81;1022.4;17.8;0.41
23/09/2015;0.16;3;23;15;54;9;4;289;89;1020.5;16.4;0.72
22/09/2015;0.18;2;9;8;63;12;4;261;78;1018.1;17.1;1.49
21/09/2015;0.29;18;68;56;64;25;5;321;80;1019.8;17.3;0.13
20/09/2015;0.43;5;38;27;62;21;6;137;80;1024.2;16.7;0.55
19/09/2015;0.24;5;38;23;59;16;7;85;76;1026.9;17.2;0.35
18/09/2015;0.23;14;50;45;59;18;12;315;69;1023.1;17.4;0.28
17/09/2015;0.16;3;24;16;49;10;7;238;70;1013.2;16.8;1.16
16/09/2015;0.16;3;22;12;53;11;6;189;55;996.1;23.1;2.34
15/09/2015;0.3;8;54;30;50;21;6;161;69;1002.8;18.6;3.48
14/09/2015;0.21;2;20;13;57;19;5;272;68;1013.9;18.1;0.99
13/09/2015;0.21;2;17;12;48;9;6;188;76;1007.8;19.4;1.76
12/09/2015;0.21;2;13;11;58;17;5;325;84;1013.4;19.6;0.42
11/09/2015;0.3;13;49;41;66;21;5;112;82;;19.4;0.06
10/09/2015;0.28;3;45;18;56;16;5;270;82;1017.1;19.5;0.73
09/09/2015;0.29;14;68;51;62;27;6;294;79;1015.4;18.8;0.51
08/09/2015;0.26;16;58;54;63;20;9;98;76;1019.3;17.2;0.65
07/09/2015;0.27;16;62;49;58;16;6;74;73;1024.7;17.1;0.54
06/09/2015;0.26;4;30;21;69;12;5;105;75;1025.2;17.1;0.71
05/09/2015;0.25;3;20;13;60;8;5;259;72;1023.9;17.5;0.57
04/09/2015;0.16;3;19;13;58;6;5;1;80;1021;17.1;1
03/09/2015;0.18;3;27;16;51;10;5;252;82;1019.6;17.5;0.82
02/09/2015;0.29;10;59;34;60;17;5;93;77;1019.3;18.2;0.28
01/09/2015;0.29;3;24;15;56;12;5;239;81;1021.8;18.4;0.79
31/08/2015;0.38;4;41;20;59;24;5;290;83;1015.1;22.3;0.81
30/08/2015;0.39;3;45;19;64;31;4;241;73;1013.8;25;0.13
29/08/2015;0.31;4;29;19;50;26;4;325;86;1016.2;21.8;0.82
28/08/2015;0.34;7;44;20;38;24;4;305;85;1017.5;21.6;0.51
27/08/2015;0.31;4;37;20;44;13;4;168;57;1011.9;26.1;1.33
26/08/2015;0.31;4;48;26;50;18;6;230;62;1013.2;23.3;0.92
25/08/2015;0.28;8;49;34;50;17;6;105;65;1018.5;21.4;0.16
24/08/2015;0.2;3;20;13;48;16;5;285;61;1014.7;20.1;1.03
23/08/2015;0.27;3;17;12;49;7;7;214;62;1007.8;22.1;0.73
22/08/2015;0.33;2;23;13;51;24;4;301;86;1013.3;20.9;0.23
21/08/2015;0.31;11;63;42;67;31;4;314;82;1019.5;21.2;0.6
20/08/2015;0.26;8;47;33;65;24;5;211;78;1022.1;20;0.43
19/08/2015;0.28;9;44;28;51;13;4;25;75;1021.6;19.5;0.63
18/08/2015;0.28;4;43;20;60;19;4;359;77;1018.8;19.9;0.09
17/08/2015;0.23;5;38;20;58;17;4;22;77;1017.3;19.7;0.19
16/08/2015;0.28;5;30;21;46;21;4;51;80;1016;18;0.29
15/08/2015;0.17;3;15;12;41;13;4;265;79;1018.6;18.9;0.83
14/08/2015;0.19;2;10;10;50;15;5;272;66;1019.4;19.9;1.21
13/08/2015;0.21;3;43;17;49;;4;251;74;1017.2;21.2;0.78
12/08/2015;0.42;9;62;35;53;38;4;300;82;1015.9;22.1;0.66
11/08/2015;0.28;9;64;33;60;35;4;300;81;1014.5;21.8;0.85
10/08/2015;0.21;7;42;31;67;27;4;109;72;1017.8;21.7;0.37
09/08/2015;0.19;2;17;9;59;14;4;296;70;1024.6;20.8;0.81
08/08/2015;0.21;2;9;9;53;12;4;270;75;1025.1;19.3;1.08
07/08/2015;0.21;3;19;12;48;11;4;226;83;1020.8;20.1;1.19
06/08/2015;0.33;14;57;43;47;38;4;20;79;1016.7;21.5;0.78
05/08/2015;0.33;8;34;31;57;30;4;320;77;1015.4;21.7;0.59
04/08/2015;0.32;3;18;14;45;;4;207;85;1019.7;19.8;0.37
03/08/2015;0.27;7;66;30;70;31;4;318;75;1017.1;21.6;0.24
02/08/2015;0.35;3;32;19;81;25;4;186;59;1014.4;24.2;0.78
01/08/2015;0.34;3;34;18;71;16;4;7;66;1018.6;20;0.58
31/07/2015;0.22;2;27;16;64;13;4;262;79;1014.6;17.9;0.41
30/07/2015;0.2;3;30;15;51;12;4;18;72;1018.4;18.8;0.65
29/07/2015;0.19;3;43;21;42;;4;28;87;1017.3;19;0.58
28/07/2015;0.22;5;44;23;60;;4;23;70;1016.8;22.1;0.14
27/07/2015;0.19;3;21;13;36;;4;288;74;1018.5;21.2;1.1
26/07/2015;0.25;5;46;27;53;38;5;353;67;1016;21.7;0.38
25/07/2015;0.22;2;16;9;56;15;4;301;66;;20;0.81
24/07/2015;0.33;18;61;51;52;13;4;217;78;1014.2;21.2;0.41
23/07/2015;0.29;8;45;26;41;26;4;348;79;1018.2;21.4;0.44
22/07/2015;0.27;3;24;12;39;;4;239;86;1021.4;21.2;1.01
21/07/2015;0.22;4;48;21;41;28;5;266;89;1017.9;22.2;0.36
20/07/2015;0.29;9;53;31;65;30;5;313;75;1017.7;23.7;0.53
19/07/2015;0.28;5;28;23;53;;5;14;80;1018.1;23.4;0.35
18/07/2015;0.38;6;35;25;41;21;5;303;82;1016.8;22.7;0.46
17/07/2015;0.27;5;40;26;59;29;5;325;81;1018.9;21.8;0.51
16/07/2015;0.32;3;28;18;53;16;5;314;83;1016.5;22;0.74
15/07/2015;0.32;4;39;22;45;42;4;347;82;1019.5;21.7;0.69
14/07/2015;0.23;9;56;31;49;26;4;358;77;1023.3;21.2;0.91
13/07/2015;0.26;10;46;30;45;19;4;19;77;1024.5;20.1;0.37
12/07/2015;0.19;2;15;10;59;12;5;52;76;1024.9;20.6;0.43
11/07/2015;0.21;2;8;7;68;21;5;342;74;1025.4;21;0.81
10/07/2015;0.3;9;53;35;97;28;5;235;65;1017.8;22.4;0.53
09/07/2015;0.24;3;24;14;65;15;4;19;66;1022.7;20.6;1.16
08/07/2015;0.17;2;15;11;63;9;5;346;73;1024.4;20.2;1.2
07/07/2015;0.21;3;16;12;73;18;5;316;77;1020.3;21.8;1.22
06/07/2015;0.3;6;49;23;79;18;5;11;79;1019.4;21.9;0.76
05/07/2015;0.18;2;14;10;54;;5;278;87;1022.1;20.6;0.74
04/07/2015;0.24;3;37;15;76;22;5;16;73;1022.4;21.7;1.42
03/07/2015;0.39;10;44;37;94;37;5;123;63;1018;25.8;0.44
02/07/2015;0.23;3;15;14;58;20;4;298;81;1021.6;20.7;0.91
01/07/2015;0.21;3;23;16;70;30;4;327;78;1015.4;21.6;1.02
30/06/2015;0.38;6;58;33;84;35;4;327;71;1013.4;24.3;0.83
29/06/2015;0.22;4;37;20;68;15;4;47;78;1020.4;22;0.33
28/06/2015;0.29;5;33;20;47;18;4;321;82;1023.2;20.6;0.12
27/06/2015;0.23;3;22;13;71;25;4;318;77;1023.5;20.7;0.57
26/06/2015;0.37;4;47;22;90;31;4;305;82;1023.4;20.3;0.3
25/06/2015;0.27;8;53;33;104;25;4;256;74;1021.6;21.1;0.38
24/06/2015;0.3;7;36;26;65;19;4;11;75;1021.2;19.7;0.24
23/06/2015;0.22;5;41;20;51;11;4;16;75;1018.6;19.9;0.52
22/06/2015;0.41;12;57;37;51;24;4;330;80;1017;20;0.57
21/06/2015;0.37;5;42;22;73;22;4;57;76;1021.6;19.2;0.26
20/06/2015;0.26;5;28;18;70;14;4;18;78;;18.2;0.39
19/06/2015;0.19;3;31;18;64;15;4;295;81;;17.9;0.72
18/06/2015;0.2;3;26;16;88;15;4;324;74;1026.9;18.7;0.64
17/06/2015;0.16;2;14;12;86;19;4;313;75;1028.4;18.4;1.3
16/06/2015;0.15;3;15;11;74;13;4;313;72;1027;17.4;1.47
15/06/2015;0.17;3;27;15;81;14;4;318;78;1021.1;17.6;1.22
14/06/2015;0.29;3;34;16;92;13;4;313;78;1015.2;16.9;0.66
13/06/2015;0.27;2;33;12;82;13;4;6;85;;17.9;0.43
12/06/2015;0.3;3;54;17;91;18;4;15;84;1013;17.5;0.94
11/06/2015;0.27;4;36;24;76;20;4;198;81;1011.5;18.9;0.44
10/06/2015;0.28;6;80;36;65;23;4;173;88;1014.6;16.3;0.18
09/06/2015;0.24;2;28;17;88;24;4;314;80;1020.4;17.5;0.52
08/06/2015;0.22;5;46;23;92;23;4;316;81;1022.6;19;0.95
07/06/2015;0.24;2;13;10;70;14;4;351;82;1025;18.7;0.62
06/06/2015;0.24;2;16;11;60;15;4;356;89;1026.7;17;0.63
05/06/2015;0.32;4;52;25;65;31;4;298;78;1021.7;19.4;0.65
04/06/2015;0.39;11;66;45;74;50;4;314;70;1019;22.7;0.33
03/06/2015;0.19;2;19;12;72;23;4;15;84;1024.2;18.4;1.34
02/06/2015;0.22;4;31;20;56;15;4;4;84;1021.7;18.4;0.76
01/06/2015;0.23;3;20;17;49;13;4;340;85;1020.7;17.7;0.71
31/05/2015;0.31;5;29;22;69;16;5;34;74;1020.4;18.2;0.63
30/05/2015;0.23;4;40;22;83;11;5;97;77;1021.1;16.2;0.28
29/05/2015;0.16;2;22;14;81;10;4;359;74;1019.9;16.7;1.13
28/05/2015;0.35;10;57;35;82;21;5;20;80;1021.7;16.4;1.01
27/05/2015;0.2;3;20;14;73;20;4;300;82;1025.3;16;0.73
26/05/2015;0.19;4;37;20;70;25;4;314;80;1026;15.7;1.13
25/05/2015;0.17;5;27;21;59;16;4;323;84;1024.5;15.8;1.41
24/05/2015;0.16;3;14;11;58;7;4;300;84;1023.3;15.9;0.72
23/05/2015;0.19;3;14;12;79;12;4;317;72;1025.5;15.2;1.45
22/05/2015;0.19;3;26;16;82;16;4;341;69;;14.6;1.67
21/05/2015;0.21;3;27;21;75;16;4;337;66;;14.3;2.35
20/05/2015;0.18;3;34;14;78;12;4;272;81;1026.6;12.9;1.04
19/05/2015;0.17;4;23;16;75;16;4;296;77;1020.7;13.3;1.31
18/05/2015;0.44;16;45;44;70;23;5;293;82;1019.1;13.7;0.53
17/05/2015;0.2;6;16;16;68;10;4;6;83;1028.4;15.1;0.64
16/05/2015;0.2;6;14;18;73;14;4;295;83;1033.3;14.6;0.98
15/05/2015;0.19;5;18;16;70;13;4;249;88;1027.8;12.7;1.54
14/05/2015;0.18;5;22;20;74;17;4;263;76;1021.5;15.2;0.99
13/05/2015;0.27;3;48;22;83;30;5;345;84;1021.2;16.6;0.96
12/05/2015;0.18;3;38;20;85;33;8;347;85;1021.8;16;0.86
11/05/2015;0.25;2;35;17;89;28;4;343;86;1022.3;15.8;1.17
10/05/2015;0.41;4;37;27;85;24;5;112;70;1021.8;19.6;0.19
09/05/2015;0.33;2;31;15;77;14;4;345;84;1027.7;16.4;0.42
08/05/2015;0.24;4;64;25;96;18;6;12;62;1019.4;19.1;0.61
07/05/2015;0.36;13;69;58;93;31;6;149;62;1014.7;18.2;0.6
06/05/2015;0.21;2;44;15;99;13;5;31;72;1021.7;14.4;0.36
05/05/2015;0.23;3;59;18;87;16;6;350;72;1014.2;15.2;0.38
04/05/2015;0.27;6;49;29;65;16;7;177;58;1001.8;22.5;2
03/05/2015;0.23;1;15;10;68;10;7;189;63;1009;20.5;1.1
02/05/2015;0.24;2;30;15;48;12;5;177;67;1009.8;21;1.18
01/05/2015;0.2;3;46;17;51;13;14;199;69;1013.8;19.3;0.89
30/04/2015;0.26;3;52;27;77;20;8;195;60;1017.2;17.7;0.73
29/04/2015;0.25;5;56;31;74;18;6;269;76;1021.4;13.3;0.4
