Fecha;vv;dd;TMP;HR;RS;LL;PM25;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;0.5;148;0.6;58;109;0;2;4;2;5;4;7;48
02/01/2015;0.2;184;1.9;65;108;0;3;3;2;7;6;8;40
03/01/2015;0.3;191;3.6;68;105;0;3;3;2;5;5;7;38
04/01/2015;0.7;176;4.1;77;105;0.2;4;3;2;6;5;8;36
05/01/2015;0.4;201;2.7;80;107;0.2;5;3;2;5;7;8;23
06/01/2015;0.7;179;2.3;84;98;0.2;11;3;2;6;13;7;26
07/01/2015;0.4;264;3.6;83;70;0;14;3;4;8;18;13;25
08/01/2015;0.4;178;1.8;78;109;0;8;3;4;6;11;11;29
09/01/2015;0.2;174;4.4;74;111;0.2;4;3;4;9;7;15;31
10/01/2015;0.2;170;5.5;70;109;0.2;3;3;2;4;4;7;33
11/01/2015;1;214;3.4;79;56;0.2;3;3;2;4;5;6;40
12/01/2015;0.7;153;5.3;69;114;0.2;5;3;3;8;7;12;39
13/01/2015;0.3;119;7;67;106;0;6;3;3;10;10;13;35
14/01/2015;0.3;131;5.7;75;108;0;8;3;4;10;11;14;34
15/01/2015;0.8;224;6.5;68;110;0.2;7;3;;;14;;40
16/01/2015;1.4;300;7.2;59;73;0;5;3;;;7;;65
17/01/2015;1.3;301;3.2;59;92;0;4;3;;;7;;66
18/01/2015;0.1;11;0.9;68;61;1.6;5;3;;;6;;45
19/01/2015;1.3;344;2.8;81;15;1.5;6;3;;;7;;59
20/01/2015;0.5;188;0;79;84;0;5;3;;;6;;40
21/01/2015;0.7;245;1.8;84;65;2.2;5;3;;;6;;36
22/01/2015;1.5;343;2.9;80;28;0.4;3;3;;;3;;53
23/01/2015;1.8;328;4.4;60;67;0;6;3;;;7;;75
24/01/2015;2.6;298;4.5;63;105;0;6;3;;;7;;67
25/01/2015;3.5;330;5.3;45;123;0;3;3;;;9;;80
26/01/2015;1.4;349;4.4;62;105;0;5;3;;;9;;68
27/01/2015;2.6;328;8.3;64;69;0;2;3;;;4;;77
28/01/2015;1.4;330;7.3;63;94;0.2;3;3;;;5;;73
29/01/2015;1.8;260;10.8;58;93;0;4;3;;;6;;61
30/01/2015;3;318;10;76;19;19.7;1;3;;;2;;73
31/01/2015;3.5;322;6.2;71;78;9.2;1;3;2;4;1;6;85
01/02/2015;3.7;319;3.7;64;61;0.6;2;3;2;4;2;6;84
02/02/2015;0.6;270;5.6;64;74;0.2;3;3;2;4;4;6;69
03/02/2015;2.3;302;4.5;75;88;5.2;2;3;2;4;2;6;63
04/02/2015;2.2;307;0.2;76;57;1.4;8;3;2;4;11;6;79
05/02/2015;4.5;313;0.3;53;110;0.2;7;3;2;4;16;6;76
06/02/2015;3.5;332;-0.1;60;88;0;7;3;2;4;7;6;70
07/02/2015;0.7;325;-0.5;75;54;0.1;12;3;2;4;14;6;49
08/02/2015;0.9;325;-0.3;76;81;0;17;4;2;4;20;6;54
09/02/2015;0.4;264;0.2;77;134;0;13;5;3;5;19;8;46
10/02/2015;0.4;179;1.6;72;150;0.4;10;4;3;5;16;7;52
11/02/2015;0.2;177;2.8;83;44;0.2;11;4;3;7;20;11;44
12/02/2015;0.3;162;4.2;89;37;1.6;15;3;4;6;23;12;36
13/02/2015;0.5;201;5.3;75;117;0.4;10;3;3;4;18;7;44
14/02/2015;0.7;229;4.1;83;68;1.4;6;4;2;4;8;7;43
15/02/2015;2.3;292;8;79;64;0.2;;3;2;4;;6;50
16/02/2015;4.3;343;9.2;69;97;10.2;2;3;2;4;2;6;81
17/02/2015;1.7;347;6.1;79;45;10.3;3;4;2;4;4;6;69
18/02/2015;0.5;347;5;72;137;0.2;9;3;2;4;11;6;64
19/02/2015;0.2;228;3.1;78;136;0.2;14;4;3;4;17;7;49
20/02/2015;0.4;34;5.2;72;166;0.4;17;3;2;5;21;7;65
21/02/2015;4.4;335;5.3;76;71;6.6;8;3;2;4;9;6;74
22/02/2015;5.8;326;6.4;64;100;0;1;3;2;4;2;6;90
23/02/2015;2.2;300;11.4;61;150;6.8;1;3;2;5;2;7;68
24/02/2015;4.6;320;6.1;64;102;0.2;1;3;2;4;2;6;85
25/02/2015;6.8;325;8.7;64;87;0;1;3;2;4;1;6;89
26/02/2015;4.5;331;11.8;63;43;0.6;1;3;2;4;1;6;78
27/02/2015;6;322;8.1;57;180;0.2;1;3;2;4;3;6;92
28/02/2015;1.5;310;7.9;67;97;0;3;3;2;4;4;6;74
01/03/2015;0.8;285;11.7;71;148;0;2;3;2;4;3;6;45
02/03/2015;1.4;296;12.8;71;175;0;4;3;3;4;6;7;38
03/03/2015;0.3;191;12.6;78;111;0.2;7;3;3;4;10;7;32
04/03/2015;4.7;311;8.1;66;122;0;5;3;2;4;8;6;69
05/03/2015;2.6;323;5.6;48;198;0;3;4;2;4;8;6;84
06/03/2015;0.4;181;5.6;54;202;0;4;4;2;4;6;6;60
07/03/2015;0.7;271;8.1;57;202;0;5;3;2;4;9;6;58
08/03/2015;0.7;144;8.9;59;182;0;7;3;2;4;17;7;61
09/03/2015;0.4;123;9.5;58;160;0;7;4;2;5;17;8;56
10/03/2015;0.4;215;10.1;54;195;0;9;3;2;4;19;7;61
11/03/2015;0.8;228;10.4;62;196;0;11;5;2;5;21;7;58
12/03/2015;0.6;161;11;59;194;0;13;3;2;4;24;7;71
13/03/2015;2.7;337;8.3;68;82;0;12;3;2;4;24;6;72
14/03/2015;2.7;330;6;58;127;0;4;3;2;4;7;6;91
15/03/2015;0.7;263;3.9;69;98;0;17;3;2;4;21;6;72
16/03/2015;0.4;168;5.2;66;184;0;19;3;2;4;23;6;71
17/03/2015;1.6;169;6.6;59;203;0.2;19;4;2;4;23;6;80
18/03/2015;0.3;83;8.1;84;31;6.2;6;3;2;4;7;6;75
19/03/2015;0.6;135;8.6;;57;7.2;9;3;2;4;12;6;70
20/03/2015;0.4;8;6.6;;34;19.1;11;3;2;4;15;7;56
21/03/2015;0.6;359;8.8;;35;46.6;4;3;2;4;5;6;83
22/03/2015;0.2;322;8;;42;26.3;3;3;2;4;4;6;82
23/03/2015;0.1;32;7;;23;51.8;4;3;2;4;5;6;74
24/03/2015;0.7;328;7.3;;15;66;3;3;2;4;3;6;84
25/03/2015;3.7;325;5;66;79;0.8;2;3;2;4;3;6;94
26/03/2015;3.9;334;8.1;64;109;0.2;2;3;2;4;3;6;85
27/03/2015;4.2;323;13.3;61;227;0;1;3;2;4;2;6;81
28/03/2015;2.3;341;14.4;58;220;0;3;3;2;4;5;6;70
29/03/2015;2.1;304;11.9;67;205;0;4;3;2;4;5;6;62
30/03/2015;3;328;14.4;58;188;0.1;4;3;3;5;8;8;66
31/03/2015;4.1;354;16.8;51;243;0;4;3;2;4;7;6;83
01/04/2015;3.7;326;11.5;54;217;0;5;3;2;4;11;6;90
02/04/2015;0.7;275;10;57;249;0;3;3;2;4;7;6;65
03/04/2015;0.9;142;11.9;53;233;0.2;2;3;2;4;4;6;49
