Fecha;CO;NO;NO2;NOX;O3;PM10;PM25;SO2;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;0.52;;63;;94;43;32;11;282;74;979.5;3.4;123.4;16.6;2.07
30/09/2015;0.44;10;75;43;89;28;16;5;139;68;976.5;0;119.7;18.1;0.69
29/09/2015;0.44;17;44;49;73;42;26;6;353;84;;0;95.7;15.8;0.73
28/09/2015;0.35;;31;;83;;;;;;;;;;
27/09/2015;0.37;;21;;57;;;;;;;;;;
26/09/2015;0.35;4;21;18;75;17;9;4;2;82;970.1;0;119.6;16.6;0.99
25/09/2015;0.37;13;33;39;65;21;12;5;18;83;979;0;121.6;15.8;0.71
24/09/2015;0.4;10;36;33;70;17;7;4;19;80;980.6;0.1;125.5;16;0.66
23/09/2015;0.21;5;29;21;68;8;3;4;300;88;978.4;10.4;53.7;14;1.3
22/09/2015;0.35;4;27;21;87;13;6;4;282;81;976.1;6.9;81.2;15.4;2.32
21/09/2015;0.35;20;49;53;98;19;11;5;285;76;975.2;0;148.5;16.2;0.94
20/09/2015;0.32;12;46;37;83;12;5;4;281;74;982.4;0;160.4;16.1;0.56
19/09/2015;0.27;7;37;30;85;25;;6;339;77;985;0;139.1;15.3;0.74
18/09/2015;0.28;16;45;46;77;20;8;5;331;77;981;0.1;129;14.3;0.53
17/09/2015;0.3;6;38;29;65;16;;7;262;68;971.9;2.5;79.3;15.1;1.97
16/09/2015;0.23;4;19;18;70;14;;5;208;59;957.5;3.9;87.9;20.5;3.03
15/09/2015;0.32;12;65;39;74;18;9;4;154;71;964.2;1.4;52.5;16.5;1.69
14/09/2015;0.2;4;28;21;74;14;5;4;307;73;972.4;1.2;108.8;15.6;1.39
13/09/2015;0.3;3;20;16;82;21;9;7;228;61;967.3;0.6;73.7;19.9;2.08
12/09/2015;0.24;3;19;15;81;19;;4;322;85;971.9;0;25.1;18.3;0.92
11/09/2015;0.26;22;43;55;92;36;20;6;212;74;972.8;0;167;19.9;0.81
10/09/2015;0.34;5;42;29;86;26;;5;314;83;975.6;0.1;40;17.5;0.72
09/09/2015;0.37;12;58;44;94;45;26;7;255;69;974.2;0;161.9;19.6;0.84
08/09/2015;0.35;16;53;53;91;43;21;7;315;71;977.8;0;188.7;17;0.3
07/09/2015;0.37;11;49;39;78;38;15;6;341;73;982.6;0;162.2;15.6;1.03
06/09/2015;0.24;6;50;27;93;33;;5;340;75;983.3;0;167.5;15.2;0.91
05/09/2015;0.21;3;27;15;80;12;5;4;330;75;981.9;0;111.1;15.2;1.07
04/09/2015;0.17;4;24;17;76;10;3;4;358;77;978.7;0;80.8;15.4;1.23
03/09/2015;0.23;4;31;21;77;11;4;3;315;86;977.5;4.6;54.8;15.7;1.03
02/09/2015;0.22;4;26;21;86;16;7;4;22;80;977.5;8.7;89.3;16.4;0.91
01/09/2015;0.33;4;25;18;75;13;4;3;328;84;979.9;1.5;49.1;17.2;1.33
31/08/2015;0.34;4;26;20;82;23;7;4;237;71;974.2;13.8;79;23;0.44
30/08/2015;0.25;3;16;10;102;25;8;4;152;37;973.7;4.4;193.7;29.2;1.85
29/08/2015;0.23;3;25;13;105;17;5;4;121;46;975.5;0;206.6;28.9;1.35
28/08/2015;0.24;12;47;36;90;24;;5;30;63;976.1;0;217.6;25;0.47
27/08/2015;0.36;7;49;32;76;27;;5;182;54;972.4;0;88.9;25.2;0.87
26/08/2015;0.38;3;35;20;98;22;9;4;143;54;973.1;0;203;25.3;0.81
25/08/2015;0.32;7;39;28;86;23;10;5;69;63;977.7;0;224.8;20;0.49
24/08/2015;0.25;5;23;18;69;12;5;4;288;61;973.2;0;130.9;18.3;0.88
23/08/2015;0.24;3;16;13;76;8;2;6;230;61;967.3;0.2;183;20.9;2.41
22/08/2015;0.22;3;41;16;99;23;;4;134;70;972;25.5;122;23.8;0.74
21/08/2015;0.25;15;51;43;121;28;;4;342;64;978.2;0;222.7;24.5;0.37
20/08/2015;0.27;3;29;19;105;21;9;4;32;64;980.9;0;239.2;22.2;0.51
19/08/2015;0.31;6;29;23;81;21;;4;3;72;979.9;0;231.3;18.4;0.64
18/08/2015;0.34;5;36;24;78;25;;5;8;73;977.1;0;146.7;17.7;0.81
17/08/2015;0.3;3;22;13;80;14;5;3;12;77;975.4;0;179.3;18.1;1.34
16/08/2015;0.26;4;18;14;63;17;9;4;16;79;974.3;0;133.8;16.8;0.68
15/08/2015;0.27;3;12;11;62;9;;3;315;83;976.7;3.9;95.2;16.5;1.2
14/08/2015;0.26;3;15;13;80;10;;3;296;67;977.6;1.2;158.3;17.7;2.88
13/08/2015;0.3;4;29;18;74;14;3;4;267;72;975.7;4.1;177.9;20.4;1.78
12/08/2015;0.3;5;45;23;101;40;;3;248;71;974.4;1.4;199;24.9;0.1
11/08/2015;0.31;7;43;28;103;34;;4;316;70;972.7;0;192.9;23.3;0.77
10/08/2015;0.34;7;27;24;104;22;9;3;27;74;976.9;0;256;20.3;0.57
09/08/2015;0.23;3;21;13;69;12;4;3;293;82;982.8;0.8;94.3;17.2;1.15
08/08/2015;0.2;3;21;14;66;9;3;3;285;86;983;2.2;67.2;16.2;1.16
07/08/2015;0.22;4;21;14;69;11;2;3;304;84;978.7;0.5;72.2;19.3;1.4
06/08/2015;0.32;3;32;16;98;19;7;3;21;78;975;0;211.7;21.4;1.06
05/08/2015;0.29;5;34;18;96;23;8;3;30;75;974.2;0;231.9;22.6;0.78
04/08/2015;0.28;4;23;17;64;12;;3;3;85;977.8;0.2;75.4;18.8;0.95
03/08/2015;0.32;19;74;56;102;26;;4;317;72;975.1;0;177.1;22.4;0.72
02/08/2015;0.31;27;60;64;112;17;8;4;169;61;974;0;271.9;23.5;0.87
01/08/2015;0.27;16;65;41;100;15;6;4;332;73;976.4;0;221.8;17.7;1.16
31/07/2015;0.27;6;36;22;85;13;7;3;306;85;972.3;0.7;65.7;16.3;0.89
30/07/2015;0.19;9;48;30;73;16;7;3;17;79;976.5;2.2;94.4;16.1;1.07
29/07/2015;0.23;10;36;28;67;22;10;4;355;85;975.7;0.7;60.5;18;1.25
28/07/2015;0.22;6;24;18;84;14;;3;345;69;975.6;0;284.4;21.2;1
27/07/2015;0.28;6;23;19;59;17;4;3;314;83;977.2;1.3;90.7;18.6;1.07
26/07/2015;0.25;4;10;13;92;11;;3;359;67;974.6;0.2;241.3;20.3;0.81
25/07/2015;0.27;4;12;12;77;13;3;3;329;76;979.2;2.2;120.6;17.1;1.45
24/07/2015;0.27;7;32;25;84;19;5;4;329;74;973;2.6;213.7;20.8;1.09
23/07/2015;0.3;8;25;22;83;15;6;3;13;77;976.2;0;270.9;21.7;0.89
22/07/2015;0.29;6;19;20;55;10;;3;292;91;979.2;1.1;62.9;19.9;1.82
21/07/2015;0.32;7;23;23;65;19;;3;320;86;976;2.7;100.5;21.5;0.64
20/07/2015;0.47;8;31;26;107;25;18;4;359;71;976.3;0;271.6;24.1;0.87
19/07/2015;0.28;4;21;15;77;16;;3;356;76;976.4;0;248.4;22.8;0.71
18/07/2015;0.37;5;25;17;90;19;;3;266;76;975.4;3.7;224.2;23.6;0.49
17/07/2015;0.43;6;40;26;79;27;;3;8;79;977.1;5.1;202.2;22.7;0.66
16/07/2015;0.47;20;84;51;88;31;;3;37;74;974.8;0.1;158.7;23.9;0.64
15/07/2015;0.32;7;35;25;85;26;;4;14;76;977.6;0;272.1;22.5;0.82
14/07/2015;0.23;4;15;15;80;14;;3;12;73;981.4;0;284.4;21.4;1.49
13/07/2015;0.23;9;37;26;84;18;;4;355;72;982.6;0;285.5;20.1;1.36
12/07/2015;0.27;4;15;12;71;9;;3;11;73;983.1;0;210.8;19.3;1.59
11/07/2015;0.26;4;10;11;93;15;;3;344;77;983.6;0.3;80;18.6;1.35
10/07/2015;0.36;8;45;28;127;38;17;7;306;62;976.9;0;295.2;22.9;0.94
09/07/2015;0.26;5;19;18;77;15;;3;4;68;980.9;0;287.4;18.8;1.82
08/07/2015;0.28;5;13;15;64;8;1;3;360;78;982.2;0.5;118.4;18;1.97
07/07/2015;0.36;6;47;25;88;23;;4;318;68;978.3;0;286.8;21.8;1.49
06/07/2015;0.32;6;35;25;114;26;;3;319;66;977.5;0;282;25.1;0.25
05/07/2015;0.23;4;11;11;59;12;;3;10;82;980.1;0;105.4;20.3;1.38
04/07/2015;0.29;5;30;18;97;22;;4;357;72;980.6;0.6;284.1;21.8;1.35
03/07/2015;0.2;5;26;17;121;26;8;4;161;54;977.4;0;245.6;27.2;1.22
02/07/2015;0.2;5;14;16;60;10;;3;343;85;979.5;0.1;97.3;19.9;1.31
01/07/2015;0.33;5;45;22;114;27;;3;54;66;973.2;0.1;252.8;24.8;0.51
30/06/2015;0.41;5;44;25;133;24;;4;154;49;973;0;280.8;29.1;0.6
29/06/2015;0.31;6;46;23;100;19;;4;82;76;979.2;0;275.9;23.3;0.75
28/06/2015;0.33;6;25;19;62;19;;4;348;80;981.1;0;283.9;20.6;1.23
27/06/2015;0.3;5;34;19;76;24;;4;356;72;981.4;0;287.7;20.7;0.58
26/06/2015;0.3;15;75;50;117;26;;4;347;74;981.3;0;251.8;21.7;0.72
25/06/2015;0.3;15;87;54;119;37;;6;8;66;980.4;0;307.3;22.3;0.24
24/06/2015;0.37;8;27;28;77;24;;4;5;72;979;0;296.4;18.8;0.96
23/06/2015;0.27;8;33;25;71;22;11;4;18;67;976.3;0;309.5;18.5;1.63
22/06/2015;0.35;6;25;23;97;25;;4;2;77;975.2;0;239.1;20.8;1.11
21/06/2015;0.29;5;36;22;88;27;;5;339;70;979.4;0;309.4;19.1;0.71
20/06/2015;0.29;5;23;19;83;23;;5;2;75;982.1;0.1;311.2;17.4;1.36
19/06/2015;0.32;7;29;25;70;13;;4;300;88;982.6;0.5;80.9;15.5;1.43
18/06/2015;0.3;6;39;27;95;29;;6;303;81;983.9;0;109.7;15.7;0.95
17/06/2015;0.22;5;33;24;99;23;;4;321;76;984.8;0;145.3;15.7;1.49
16/06/2015;0.22;5;23;21;80;16;;4;290;80;983.2;0.8;78.5;14.6;2.81
15/06/2015;0.22;5;30;21;81;14;;4;315;84;977.6;3.6;124.4;15.3;1.5
14/06/2015;0.26;4;16;16;81;12;;4;289;83;972.1;16.2;168.1;15.6;0.78
13/06/2015;0.28;4;18;16;78;10;;4;1;89;970;18.6;86.4;16.3;0.62
12/06/2015;0.28;5;21;19;83;15;;4;360;84;970.6;2.9;164.2;16.9;1.18
11/06/2015;0.28;5;35;24;81;15;;4;163;83;970.5;18.7;99.7;18.3;0.42
10/06/2015;0.28;6;38;34;88;18;;4;127;89;973.1;8.2;75.8;15;0.42
09/06/2015;0.27;4;21;20;103;27;15;4;319;78;977.8;1.5;138.5;16.6;1.5
08/06/2015;0.25;5;22;21;89;23;;4;312;80;979.9;0;236.9;19.8;1.3
07/06/2015;0.14;4;10;12;63;12;5;4;29;81;982.4;0;255.4;19.1;1.08
06/06/2015;0.15;4;9;12;66;9;4;4;6;87;983.8;0;73;16;1.67
05/06/2015;0.33;10;78;37;95;24;;5;4;65;979.5;0.9;265.1;20.8;0.81
04/06/2015;0.28;11;55;36;123;35;10;6;164;54;978.3;0.1;295.7;25;0.71
03/06/2015;0.25;5;27;21;64;15;8;4;14;88;981.7;0.1;67.4;17.1;1.5
02/06/2015;0.19;9;26;28;76;18;9;4;26;81;978.7;0;252.3;19.5;1.25
01/06/2015;0.18;6;31;22;59;14;7;4;28;81;978.2;0;153.3;17.3;1.11
31/05/2015;0.28;5;24;17;79;22;;5;8;68;977.9;0;267.8;17.5;0.95
30/05/2015;0.23;6;27;21;85;23;16;4;343;75;978.3;0;286.1;14.7;0.8
29/05/2015;0.19;5;28;21;81;17;6;4;7;82;977;0;93.5;14.1;1.44
28/05/2015;0.3;9;52;34;89;35;;7;346;78;978.8;0;226.7;15.4;1.06
27/05/2015;0.17;5;34;23;98;20;10;4;350;73;982.2;0.6;214;14.8;1.33
26/05/2015;0.18;;15;;73;;;;;;;;;;
25/05/2015;0.25;6;27;24;65;8;;4;337;80;981.1;0;97.3;14.4;1.28
24/05/2015;0.25;4;16;13;63;6;;4;346;86;979.9;3.7;103.9;14.1;1.39
23/05/2015;0.23;4;11;13;84;9;4;4;332;77;982.1;0.5;153.4;12.3;1.69
22/05/2015;0.31;10;57;31;89;16;6;4;332;73;986.3;0;148.7;11.5;1.69
21/05/2015;0.19;5;25;19;83;10;5;4;312;77;988;0.9;100.9;10.8;1.96
20/05/2015;0.16;6;30;24;78;8;6;4;285;84;982.1;12.8;81.4;10.2;2.18
19/05/2015;0.35;5;17;17;79;10;4;4;322;82;977.5;4.1;104.6;10.9;2.04
18/05/2015;0.26;8;27;26;76;20;10;4;341;81;975.9;0.6;239.2;12.9;1.04
17/05/2015;0.27;4;16;13;68;5;3;4;352;82;985.1;1.2;130.5;14.1;1.09
16/05/2015;0.27;4;15;14;81;6;;4;296;84;989.8;3.9;112.5;12.5;1.92
15/05/2015;0.24;5;18;18;84;7;3;4;299;86;983.8;26.5;58.1;10.6;3.14
14/05/2015;0.23;6;36;23;82;15;;4;302;79;977.9;0.3;65;13.4;2.26
13/05/2015;0.29;7;59;37;71;38;;6;42;61;978.1;0;141.9;21.5;0.54
12/05/2015;0.44;15;89;58;100;53;;7;27;62;978.7;0;281.2;22.6;0.91
11/05/2015;0.28;8;37;31;103;28;;4;38;68;978.9;0;258.1;20.8;1.24
10/05/2015;0.32;5;49;23;106;41;12;5;109;59;980.4;0;282.1;21.9;0.75
09/05/2015;0.3;5;30;20;83;21;;5;2;78;984.9;0;150.7;15.3;0.89
08/05/2015;0.25;5;32;20;95;16;6;4;337;56;977.1;0;181.2;18.9;0.89
07/05/2015;0.28;6;54;29;108;21;7;5;125;54;973.9;0;270.5;19.1;1.12
06/05/2015;0.27;5;31;24;92;17;6;4;16;74;978.4;0;198.6;12.9;1.45
05/05/2015;0.23;5;31;20;88;14;6;4;314;70;971.4;2.5;188.8;14.5;0.93
04/05/2015;0.31;5;35;22;86;23;8;4;179;52;961.8;0;137.4;23.1;1.85
03/05/2015;0.29;5;22;20;69;28;13;10;224;56;968.3;1.6;90.4;21.3;2.67
02/05/2015;0.25;7;35;23;36;12;7;5;203;69;969.5;0;115.1;20.5;1.27
01/05/2015;0.26;6;21;21;58;13;5;5;236;70;972.8;2.2;74.4;18.1;2.15
30/04/2015;0.38;11;54;42;77;31;10;7;231;62;975.9;0;191.4;16.7;1.71
29/04/2015;0.29;10;41;37;74;21;11;5;339;74;978.3;0.1;122.9;11.4;0.71
28/04/2015;0.28;5;38;22;83;13;5;4;348;70;979.8;0;200;10.8;1.3
27/04/2015;0.27;5;24;20;80;8;4;4;292;85;971.5;13.4;79;11.3;2.68
26/04/2015;0.22;4;20;15;78;6;;5;223;75;965.2;17.2;63.6;14.6;1.01
25/04/2015;0.32;5;23;20;82;10;;8;213;55;970.4;0;194.6;18.3;2.02
24/04/2015;0.31;14;66;50;87;28;13;5;197;63;972.4;0.1;151.1;16.9;0.18
23/04/2015;0.2;;25;;75;;;;;;;;;;
22/04/2015;0.21;;16;;103;;;;;;;;;;
21/04/2015;0.4;17;52;49;95;31;17;6;131;56;980.1;0;226;17.3;1.08
